dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
roman-empire,ResNet,BASE,1,1,512,3e-05,690706,8.025,0.071,521.5
roman-empire,ResNet,ENS_k4,4,1,512,3e-05,2762824,31.693,0.151,553.2
roman-empire,ResNet,TABM_k2,2,1,512,3e-05,693920,18.55,0.126,691.3
roman-empire,ResNet,TABM_k4,4,1,512,3e-05,697664,36.815,0.207,691.4
roman-empire,ResNet,TABM_k8,8,1,512,3e-05,705152,73.422,0.428,691.5
roman-empire,ResNet,BASE,1,2,512,3e-05,1217042,13.329,0.052,728.8
roman-empire,ResNet,ENS_k4,4,2,512,3e-05,4868168,52.807,0.202,784.5
roman-empire,ResNet,TABM_k2,2,2,512,3e-05,1220256,29.1,0.111,899.7
roman-empire,ResNet,TABM_k4,4,2,512,3e-05,1224000,57.948,0.202,899.7
roman-empire,ResNet,TABM_k8,8,2,512,3e-05,1231488,115.658,0.406,899.8
roman-empire,ResNet,BASE,1,3,512,3e-05,1743378,18.631,0.073,936.0
roman-empire,ResNet,ENS_k4,4,3,512,3e-05,6973512,73.944,0.153,1015.8
roman-empire,ResNet,TABM_k2,2,3,512,3e-05,1746592,39.689,0.149,1108.9
roman-empire,ResNet,TABM_k4,4,3,512,3e-05,1750336,79.15,0.275,1109.0
roman-empire,ResNet,TABM_k8,8,3,512,3e-05,1757824,157.838,0.265,1109.1
