dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
tolokers,ResNet,BASE,1,1,512,3e-05,533505,4.643,0.083,281.6
tolokers,ResNet,ENS_k4,4,1,512,3e-05,2134020,17.38,0.292,306.1
tolokers,ResNet,TABM_k2,2,1,512,3e-05,536088,9.775,0.22,357.9
tolokers,ResNet,TABM_k4,4,1,512,3e-05,539184,19.183,0.488,357.9
tolokers,ResNet,TABM_k8,8,1,512,3e-05,545376,37.89,0.474,358.0
tolokers,ResNet,BASE,1,2,512,3e-05,1059841,7.413,0.063,391.5
tolokers,ResNet,ENS_k4,4,2,512,3e-05,4239364,29.252,0.262,440.0
tolokers,ResNet,TABM_k2,2,2,512,3e-05,1062424,15.836,0.337,469.7
tolokers,ResNet,TABM_k4,4,2,512,3e-05,1065520,32.785,0.651,469.8
tolokers,ResNet,TABM_k8,8,2,512,3e-05,1071712,64.656,1.076,469.9
tolokers,ResNet,BASE,1,3,512,3e-05,1586177,10.753,0.109,500.9
tolokers,ResNet,ENS_k4,4,3,512,3e-05,6344708,42.3,0.521,573.6
tolokers,ResNet,TABM_k2,2,3,512,3e-05,1588760,21.714,0.182,581.2
tolokers,ResNet,TABM_k4,4,3,512,3e-05,1591856,43.106,0.262,581.3
tolokers,ResNet,TABM_k8,8,3,512,3e-05,1598048,89.174,1.209,581.3
tolokers,ResNet,BASE,1,4,512,3e-05,2112513,13.744,0.12,610.4
tolokers,ResNet,ENS_k4,4,4,512,3e-05,8450052,53.334,0.362,707.1
tolokers,ResNet,TABM_k2,2,4,512,3e-05,2115096,27.725,0.214,692.7
tolokers,ResNet,TABM_k4,4,4,512,3e-05,2118192,55.117,0.265,692.7
tolokers,ResNet,TABM_k8,8,4,512,3e-05,2124384,109.732,0.433,692.8
tolokers,ResNet,BASE,1,5,512,3e-05,2638849,16.52,0.149,719.9
tolokers,ResNet,ENS_k4,4,5,512,3e-05,10555396,65.158,0.262,840.7
tolokers,ResNet,TABM_k2,2,5,512,3e-05,2641432,33.717,0.158,804.1
tolokers,ResNet,TABM_k4,4,5,512,3e-05,2644528,67.129,0.313,804.2
tolokers,ResNet,TABM_k8,8,5,512,3e-05,2650720,134.509,1.359,804.3
tolokers,GCN,BASE,1,1,512,3e-05,796161,31.065,0.283,4267.2
tolokers,GCN,ENS_k4,4,1,512,3e-05,3184644,123.213,0.832,4303.6
tolokers,GCN,TABM_k2,2,1,512,3e-05,798744,62.609,0.458,4293.7
tolokers,GCN,TABM_k4,4,1,512,3e-05,801840,124.771,0.618,4293.8
tolokers,GCN,TABM_k8,8,1,512,3e-05,808032,248.843,0.911,4293.9
tolokers,GCN,BASE,1,2,512,3e-05,1585153,60.08,0.399,4407.0
tolokers,GCN,ENS_k4,4,2,512,3e-05,6340612,239.853,0.829,4479.6
tolokers,GCN,TABM_k2,2,2,512,3e-05,1587736,121.107,0.593,4436.6
tolokers,GCN,TABM_k4,4,2,512,3e-05,1590832,241.737,0.852,4436.6
tolokers,GCN,TABM_k8,8,2,512,3e-05,1597024,483.885,1.969,4436.7
tolokers,GCN,BASE,1,3,512,3e-05,2374145,89.396,0.456,4546.8
tolokers,GCN,ENS_k4,4,3,512,3e-05,9496580,356.973,1.103,4655.5
tolokers,GCN,TABM_k2,2,3,512,3e-05,2376728,179.629,0.74,4579.4
tolokers,GCN,TABM_k4,4,3,512,3e-05,2379824,358.797,1.157,4579.4
tolokers,GCN,TABM_k8,8,3,512,3e-05,2386016,717.325,1.515,4579.5
tolokers,GCN,BASE,1,4,512,3e-05,3163137,118.672,0.566,4686.8
tolokers,GCN,ENS_k4,4,4,512,3e-05,12652548,474.189,1.324,4831.6
tolokers,GCN,TABM_k2,2,4,512,3e-05,3165720,238.74,0.846,4722.4
