dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
amazon-ratings,ResNet,BASE,1,1,512,3e-05,684037,9.166,0.161,561.8
amazon-ratings,ResNet,ENS_k4,4,1,512,3e-05,2736148,36.117,0.139,593.1
amazon-ratings,ResNet,TABM_k2,2,1,512,3e-05,687212,21.089,0.138,747.5
amazon-ratings,ResNet,TABM_k4,4,1,512,3e-05,690904,42.323,0.463,747.6
amazon-ratings,ResNet,TABM_k8,8,1,512,3e-05,698288,83.514,0.315,747.7
amazon-ratings,ResNet,BASE,1,2,512,3e-05,1210373,15.282,0.07,784.0
amazon-ratings,ResNet,ENS_k4,4,2,512,3e-05,4841492,60.749,0.239,839.4
amazon-ratings,ResNet,TABM_k2,2,2,512,3e-05,1213548,33.343,0.139,971.9
amazon-ratings,ResNet,TABM_k4,4,2,512,3e-05,1217240,66.701,0.347,971.9
amazon-ratings,ResNet,TABM_k8,8,2,512,3e-05,1224624,132.427,0.179,972.0
amazon-ratings,ResNet,BASE,1,3,512,3e-05,1736709,21.466,0.124,1006.2
amazon-ratings,ResNet,ENS_k4,4,3,512,3e-05,6946836,85.32,0.223,1085.7
amazon-ratings,ResNet,TABM_k2,2,3,512,3e-05,1739884,45.83,0.189,1196.1
amazon-ratings,ResNet,TABM_k4,4,3,512,3e-05,1743576,91.433,0.355,1196.1
amazon-ratings,ResNet,TABM_k8,8,3,512,3e-05,1750960,181.421,0.269,1196.3
amazon-ratings,ResNet,BASE,1,4,512,3e-05,2263045,27.484,0.071,1228.4
amazon-ratings,ResNet,ENS_k4,4,4,512,3e-05,9052180,109.394,0.125,1332.0
amazon-ratings,ResNet,TABM_k2,2,4,512,3e-05,2266220,58.047,0.283,1420.3
amazon-ratings,ResNet,TABM_k4,4,4,512,3e-05,2269912,115.263,0.224,1420.4
amazon-ratings,ResNet,TABM_k8,8,4,512,3e-05,2277296,230.254,0.3,1420.5
amazon-ratings,ResNet,BASE,1,5,512,3e-05,2789381,33.63,0.088,1450.6
amazon-ratings,ResNet,ENS_k4,4,5,512,3e-05,11157524,134.202,0.291,1578.3
amazon-ratings,ResNet,TABM_k2,2,5,512,3e-05,2792556,70.052,0.186,1644.5
amazon-ratings,ResNet,TABM_k4,4,5,512,3e-05,2796248,139.655,0.234,1644.6
amazon-ratings,ResNet,TABM_k8,8,5,512,3e-05,2803632,279.489,0.523,1644.7
amazon-ratings,GCN,BASE,1,1,512,3e-05,946693,17.268,0.078,1136.1
amazon-ratings,GCN,ENS_k4,4,1,512,3e-05,3786772,68.286,0.164,1179.5
amazon-ratings,GCN,TABM_k2,2,1,512,3e-05,949868,37.171,0.119,1216.2
amazon-ratings,GCN,TABM_k4,4,1,512,3e-05,953560,74.034,0.195,1216.3
amazon-ratings,GCN,TABM_k8,8,1,512,3e-05,960944,147.818,0.306,1216.4
amazon-ratings,GCN,BASE,1,2,512,3e-05,1735685,31.321,0.118,1409.1
amazon-ratings,GCN,ENS_k4,4,2,512,3e-05,6942740,124.775,0.172,1488.5
amazon-ratings,GCN,TABM_k2,2,2,512,3e-05,1738860,65.411,0.127,1492.4
amazon-ratings,GCN,TABM_k4,4,2,512,3e-05,1742552,130.574,0.192,1492.4
amazon-ratings,GCN,TABM_k8,8,2,512,3e-05,1749936,260.931,0.272,1492.5
amazon-ratings,GCN,BASE,1,3,512,3e-05,2524677,45.45,0.074,1682.3
amazon-ratings,GCN,ENS_k4,4,3,512,3e-05,10098708,181.307,0.165,1797.9
amazon-ratings,GCN,TABM_k2,2,3,512,3e-05,2527852,94.171,0.259,1768.7
amazon-ratings,GCN,TABM_k4,4,3,512,3e-05,2531544,187.16,0.319,1768.7
amazon-ratings,GCN,TABM_k8,8,3,512,3e-05,2538928,375.127,1.064,1768.8
amazon-ratings,GCN,BASE,1,4,512,3e-05,3313669,59.57,0.054,1955.5
amazon-ratings,GCN,ENS_k4,4,4,512,3e-05,13254676,237.791,0.167,2107.2
amazon-ratings,GCN,TABM_k2,2,4,512,3e-05,3316844,121.898,0.131,2044.8
amazon-ratings,GCN,TABM_k4,4,4,512,3e-05,3320536,243.681,0.496,2044.8
amazon-ratings,GCN,TABM_k8,8,4,512,3e-05,3327920,487.322,1.172,2044.9
amazon-ratings,GCN,BASE,1,5,512,3e-05,4102661,73.808,0.115,2228.6
amazon-ratings,GCN,ENS_k4,4,5,512,3e-05,16410644,294.41,0.322,2416.4
amazon-ratings,GCN,TABM_k2,2,5,512,3e-05,4105836,150.152,0.14,2320.9
amazon-ratings,GCN,TABM_k4,4,5,512,3e-05,4109528,300.311,0.572,2321.0
amazon-ratings,GCN,TABM_k8,8,5,512,3e-05,4116912,599.851,0.783,2321.1
amazon-ratings,SAGE,BASE,1,1,512,3e-05,1470981,21.48,0.077,735.0
amazon-ratings,SAGE,ENS_k4,4,1,512,3e-05,5883924,85.48,0.13,801.9
amazon-ratings,SAGE,TABM_k2,2,1,512,3e-05,1474156,45.807,0.128,902.4
amazon-ratings,SAGE,TABM_k4,4,1,512,3e-05,1477848,91.584,0.455,902.5
amazon-ratings,SAGE,TABM_k8,8,1,512,3e-05,1485232,182.276,0.323,902.6
amazon-ratings,SAGE,BASE,1,2,512,3e-05,2784261,39.905,0.074,1109.0
amazon-ratings,SAGE,ENS_k4,4,2,512,3e-05,11137044,159.377,0.358,1236.3
amazon-ratings,SAGE,TABM_k2,2,2,512,3e-05,2787436,82.678,0.125,1281.5
amazon-ratings,SAGE,TABM_k4,4,2,512,3e-05,2791128,164.98,0.177,1281.5
amazon-ratings,SAGE,TABM_k8,8,2,512,3e-05,2798512,330.082,0.753,1281.7
amazon-ratings,SAGE,BASE,1,3,512,3e-05,4097541,58.392,0.087,1482.8
amazon-ratings,SAGE,ENS_k4,4,3,512,3e-05,16390164,233.113,0.274,1670.4
amazon-ratings,SAGE,TABM_k2,2,3,512,3e-05,4100716,119.521,0.14,1660.4
amazon-ratings,SAGE,TABM_k4,4,3,512,3e-05,4104408,238.702,0.336,1660.5
amazon-ratings,SAGE,TABM_k8,8,3,512,3e-05,4111792,477.148,0.429,1660.6
amazon-ratings,SAGE,BASE,1,4,512,3e-05,5410821,76.844,0.094,1857.0
amazon-ratings,SAGE,ENS_k4,4,4,512,3e-05,21643284,306.796,0.258,2104.6
amazon-ratings,SAGE,TABM_k2,2,4,512,3e-05,5413996,156.415,0.214,2039.3
amazon-ratings,SAGE,TABM_k4,4,4,512,3e-05,5417688,312.256,0.241,2039.4
amazon-ratings,SAGE,TABM_k8,8,4,512,3e-05,5425072,624.728,0.884,2039.5
amazon-ratings,SAGE,BASE,1,5,512,3e-05,6724101,95.316,0.088,2230.9
amazon-ratings,SAGE,ENS_k4,4,5,512,3e-05,26896404,380.574,0.19,2538.8
amazon-ratings,SAGE,TABM_k2,2,5,512,3e-05,6727276,193.485,0.306,2418.5
amazon-ratings,SAGE,TABM_k4,4,5,512,3e-05,6730968,386.059,0.215,2418.5
amazon-ratings,SAGE,TABM_k8,8,5,512,3e-05,6738352,772.366,1.007,2418.6
amazon-ratings,GAT,BASE,1,1,512,3e-05,947717,19.802,0.126,1995.8
amazon-ratings,GAT,ENS_k4,4,1,512,3e-05,3790868,78.766,0.199,2039.1
amazon-ratings,GAT,TABM_k2,2,1,512,3e-05,950892,42.322,0.115,2073.4
amazon-ratings,GAT,TABM_k4,4,1,512,3e-05,954584,84.383,0.218,2073.4
amazon-ratings,GAT,TABM_k8,8,1,512,3e-05,961968,168.415,0.317,2073.6
amazon-ratings,GAT,BASE,1,2,512,3e-05,1737733,36.473,0.087,2756.3
amazon-ratings,GAT,ENS_k4,4,2,512,3e-05,6950932,145.519,0.273,2835.8
amazon-ratings,GAT,TABM_k2,2,2,512,3e-05,1740908,75.739,0.154,2837.3
amazon-ratings,GAT,TABM_k4,4,2,512,3e-05,1744600,151.761,0.394,2837.4
amazon-ratings,GAT,TABM_k8,8,2,512,3e-05,1751984,302.644,0.741,2837.5
amazon-ratings,GAT,BASE,1,3,512,3e-05,2527749,53.227,0.098,3515.8
amazon-ratings,GAT,ENS_k4,4,3,512,3e-05,10110996,212.284,0.318,3631.5
amazon-ratings,GAT,TABM_k2,2,3,512,3e-05,2530924,109.185,0.18,3600.7
amazon-ratings,GAT,TABM_k4,4,3,512,3e-05,2534616,218.114,0.222,3600.7
amazon-ratings,GAT,TABM_k8,8,3,512,3e-05,2542000,436.312,0.977,3600.8
amazon-ratings,GAT,BASE,1,4,512,3e-05,3317765,70.031,0.116,4275.4
amazon-ratings,GAT,ENS_k4,4,4,512,3e-05,13271060,279.245,0.357,4427.3
amazon-ratings,GAT,TABM_k2,2,4,512,3e-05,3320940,142.672,0.161,4365.7
amazon-ratings,GAT,TABM_k4,4,4,512,3e-05,3324632,285.121,0.379,4365.7
amazon-ratings,GAT,TABM_k8,8,4,512,3e-05,3332016,570.879,1.352,4365.8
amazon-ratings,GAT,BASE,1,5,512,3e-05,4107781,86.804,0.155,5034.9
amazon-ratings,GAT,ENS_k4,4,5,512,3e-05,16431124,346.148,0.256,5223.0
amazon-ratings,GAT,TABM_k2,2,5,512,3e-05,4110956,176.331,0.354,5129.1
amazon-ratings,GAT,TABM_k4,4,5,512,3e-05,4114648,352.142,0.509,5129.1
amazon-ratings,GAT,TABM_k8,8,5,512,3e-05,4122032,704.645,1.173,5129.2
amazon-ratings,GAT-sep,BASE,1,1,512,3e-05,1472517,34.403,0.094,2868.7
amazon-ratings,GAT-sep,ENS_k4,4,1,512,3e-05,5890068,137.206,0.261,2935.8
amazon-ratings,GAT-sep,TABM_k2,2,1,512,3e-05,1475692,71.831,0.288,2947.4
amazon-ratings,GAT-sep,TABM_k4,4,1,512,3e-05,1479384,143.685,0.552,2947.5
amazon-ratings,GAT-sep,TABM_k8,8,1,512,3e-05,1486768,286.128,0.864,2947.6
amazon-ratings,GAT-sep,BASE,1,2,512,3e-05,2787333,65.76,0.073,4451.2
amazon-ratings,GAT-sep,ENS_k4,4,2,512,3e-05,11149332,262.829,0.318,4580.0
amazon-ratings,GAT-sep,TABM_k2,2,2,512,3e-05,2790508,134.459,0.275,4535.7
amazon-ratings,GAT-sep,TABM_k4,4,2,512,3e-05,2794200,268.733,0.598,4535.7
amazon-ratings,GAT-sep,TABM_k8,8,2,512,3e-05,2801584,536.836,0.701,4535.8
amazon-ratings,GAT-sep,BASE,1,3,512,3e-05,4102149,97.188,0.095,6035.0
amazon-ratings,GAT-sep,ENS_k4,4,3,512,3e-05,16408596,388.246,0.325,6225.9
amazon-ratings,GAT-sep,TABM_k2,2,3,512,3e-05,4105324,197.244,0.291,6124.5
amazon-ratings,GAT-sep,TABM_k4,4,3,512,3e-05,4109016,394.021,0.24,6124.6
amazon-ratings,GAT-sep,TABM_k8,8,3,512,3e-05,4116400,788.213,1.067,6124.7
amazon-ratings,GAT-sep,BASE,1,4,512,3e-05,5416965,128.727,0.115,7618.1
amazon-ratings,GAT-sep,ENS_k4,4,4,512,3e-05,21667860,514.138,0.343,7868.7
amazon-ratings,GAT-sep,TABM_k2,2,4,512,3e-05,5420140,260.392,0.437,7712.6
amazon-ratings,GAT-sep,TABM_k4,4,4,512,3e-05,5423832,520.221,0.75,7712.7
amazon-ratings,GAT-sep,TABM_k8,8,4,512,3e-05,5431216,1040.321,1.427,7712.8
amazon-ratings,GAT-sep,BASE,1,5,512,3e-05,6731781,160.12,0.153,9202.0
amazon-ratings,GAT-sep,ENS_k4,4,5,512,3e-05,26927124,639.37,0.36,9519.5
amazon-ratings,GAT-sep,TABM_k2,2,5,512,3e-05,6734956,323.649,0.423,9302.3
amazon-ratings,GAT-sep,TABM_k4,4,5,512,3e-05,6738648,645.998,0.778,9302.4
amazon-ratings,GAT-sep,TABM_k8,8,5,512,3e-05,6746032,1291.292,1.29,9302.5
amazon-ratings,GT,BASE,1,1,512,3e-05,1998341,38.203,0.097,2828.1
amazon-ratings,GT,ENS_k4,4,1,512,3e-05,7993364,152.034,0.16,2919.6
amazon-ratings,GT,TABM_k2,2,1,512,3e-05,2001516,79.11,0.171,2907.0
amazon-ratings,GT,TABM_k4,4,1,512,3e-05,2005208,157.884,0.177,2907.0
amazon-ratings,GT,TABM_k8,8,1,512,3e-05,2012592,315.569,0.285,2907.2
amazon-ratings,GT,BASE,1,2,512,3e-05,3838981,73.271,0.096,4477.5
amazon-ratings,GT,ENS_k4,4,2,512,3e-05,15355924,292.653,0.334,4653.2
amazon-ratings,GT,TABM_k2,2,2,512,3e-05,3842156,149.79,0.292,4563.8
amazon-ratings,GT,TABM_k4,4,2,512,3e-05,3845848,299.113,0.44,4563.8
amazon-ratings,GT,TABM_k8,8,2,512,3e-05,3853232,597.426,1.359,4563.9
amazon-ratings,GT,BASE,1,3,512,3e-05,5679621,108.547,0.134,6126.5
amazon-ratings,GT,ENS_k4,4,3,512,3e-05,22718484,433.56,0.445,6386.5
amazon-ratings,GT,TABM_k2,2,3,512,3e-05,5682796,219.945,0.401,6219.8
amazon-ratings,GT,TABM_k4,4,3,512,3e-05,5686488,439.05,0.54,6219.9
amazon-ratings,GT,TABM_k8,8,3,512,3e-05,5693872,877.986,1.181,6220.0
amazon-ratings,GT,BASE,1,4,512,3e-05,7520261,143.696,0.122,7776.4
amazon-ratings,GT,ENS_k4,4,4,512,3e-05,30081044,574.003,0.471,8120.7
amazon-ratings,GT,TABM_k2,2,4,512,3e-05,7523436,290.241,0.294,7875.9
amazon-ratings,GT,TABM_k4,4,4,512,3e-05,7527128,579.979,0.796,7876.0
amazon-ratings,GT,TABM_k8,8,4,512,3e-05,7534512,1159.724,1.296,7876.1
amazon-ratings,GT,BASE,1,5,512,3e-05,9360901,178.894,0.151,9425.5
amazon-ratings,GT,ENS_k4,4,5,512,3e-05,37443604,714.482,0.465,9854.0
amazon-ratings,GT,TABM_k2,2,5,512,3e-05,9364076,360.523,0.343,9532.0
amazon-ratings,GT,TABM_k4,4,5,512,3e-05,9367768,720.565,0.804,9532.0
