dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
amazon-ratings,ResNet,BASE,1,1,512,3e-05,684037,8.479,0.167,561.8
amazon-ratings,ResNet,ENS_k4,4,1,512,3e-05,2736148,33.37,0.145,593.1
amazon-ratings,ResNet,TABM_k2,2,1,512,3e-05,687212,19.56,0.115,747.5
amazon-ratings,ResNet,TABM_k4,4,1,512,3e-05,690904,38.797,0.173,747.6
amazon-ratings,ResNet,TABM_k8,8,1,512,3e-05,698288,77.554,0.342,747.7
amazon-ratings,ResNet,BASE,1,2,512,3e-05,1210373,14.08,0.076,784.0
amazon-ratings,ResNet,ENS_k4,4,2,512,3e-05,4841492,55.789,0.142,839.4
amazon-ratings,ResNet,TABM_k2,2,2,512,3e-05,1213548,30.768,0.129,971.9
amazon-ratings,ResNet,TABM_k4,4,2,512,3e-05,1217240,61.298,0.152,971.9
amazon-ratings,ResNet,TABM_k8,8,2,512,3e-05,1224624,122.512,0.404,972.0
amazon-ratings,ResNet,BASE,1,3,512,3e-05,1736709,19.714,0.063,1006.2
amazon-ratings,ResNet,ENS_k4,4,3,512,3e-05,6946836,78.375,0.335,1085.7
amazon-ratings,ResNet,TABM_k2,2,3,512,3e-05,1739884,41.987,0.119,1196.1
amazon-ratings,ResNet,TABM_k4,4,3,512,3e-05,1743576,83.837,0.573,1196.1
amazon-ratings,ResNet,TABM_k8,8,3,512,3e-05,1750960,167.213,0.284,1196.3
amazon-ratings,ResNet,BASE,1,4,512,3e-05,2263045,25.315,0.095,1228.4
amazon-ratings,ResNet,ENS_k4,4,4,512,3e-05,9052180,100.598,0.128,1332.0
amazon-ratings,ResNet,TABM_k2,2,4,512,3e-05,2266220,53.279,0.148,1420.3
amazon-ratings,ResNet,TABM_k4,4,4,512,3e-05,2269912,106.159,0.206,1420.4
amazon-ratings,ResNet,TABM_k8,8,4,512,3e-05,2277296,212.281,0.426,1420.5
amazon-ratings,ResNet,BASE,1,5,512,3e-05,2789381,30.941,0.12,1450.6
amazon-ratings,ResNet,ENS_k4,4,5,512,3e-05,11157524,122.986,0.153,1578.3
amazon-ratings,ResNet,TABM_k2,2,5,512,3e-05,2792556,64.453,0.135,1644.5
amazon-ratings,ResNet,TABM_k4,4,5,512,3e-05,2796248,128.578,0.216,1644.6
amazon-ratings,ResNet,TABM_k8,8,5,512,3e-05,2803632,256.926,0.5,1644.7
amazon-ratings,GCN,BASE,1,1,512,3e-05,946693,15.902,0.056,1136.1
amazon-ratings,GCN,ENS_k4,4,1,512,3e-05,3786772,63.151,0.117,1179.5
amazon-ratings,GCN,TABM_k2,2,1,512,3e-05,949868,34.554,0.354,1216.2
amazon-ratings,GCN,TABM_k4,4,1,512,3e-05,953560,68.633,0.143,1216.3
amazon-ratings,GCN,TABM_k8,8,1,512,3e-05,960944,137.243,0.262,1216.4
amazon-ratings,GCN,BASE,1,2,512,3e-05,1735685,29.037,0.21,1409.1
amazon-ratings,GCN,ENS_k4,4,2,512,3e-05,6942740,115.394,0.1,1488.5
amazon-ratings,GCN,TABM_k2,2,2,512,3e-05,1738860,60.62,0.126,1492.4
amazon-ratings,GCN,TABM_k4,4,2,512,3e-05,1742552,120.856,0.191,1492.4
amazon-ratings,GCN,TABM_k8,8,2,512,3e-05,1749936,241.562,0.223,1492.5
amazon-ratings,GCN,BASE,1,3,512,3e-05,2524677,42.076,0.08,1682.3
amazon-ratings,GCN,ENS_k4,4,3,512,3e-05,10098708,167.741,0.148,1797.9
amazon-ratings,GCN,TABM_k2,2,3,512,3e-05,2527852,86.748,0.158,1768.7
amazon-ratings,GCN,TABM_k4,4,3,512,3e-05,2531544,173.17,0.197,1768.7
amazon-ratings,GCN,TABM_k8,8,3,512,3e-05,2538928,346.009,0.322,1768.8
amazon-ratings,GCN,BASE,1,4,512,3e-05,3313669,55.194,0.093,1955.5
amazon-ratings,GCN,ENS_k4,4,4,512,3e-05,13254676,220.015,0.215,2107.2
amazon-ratings,GCN,TABM_k2,2,4,512,3e-05,3316844,112.855,0.149,2044.8
amazon-ratings,GCN,TABM_k4,4,4,512,3e-05,3320536,225.444,0.267,2044.8
amazon-ratings,GCN,TABM_k8,8,4,512,3e-05,3327920,450.629,0.46,2044.9
amazon-ratings,GCN,BASE,1,5,512,3e-05,4102661,68.245,0.073,2228.6
amazon-ratings,GCN,ENS_k4,4,5,512,3e-05,16410644,272.505,0.342,2416.4
amazon-ratings,GCN,TABM_k2,2,5,512,3e-05,4105836,139.093,0.205,2320.9
