dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
minesweeper,ResNet,BASE,1,1,512,3e-05,531969,4.207,0.048,234.9
minesweeper,ResNet,ENS_k4,4,1,512,3e-05,2127876,15.597,0.49,259.3
minesweeper,ResNet,TABM_k2,2,1,512,3e-05,534546,8.683,0.191,301.2
minesweeper,ResNet,TABM_k4,4,1,512,3e-05,537636,16.995,0.305,301.3
minesweeper,ResNet,TABM_k8,8,1,512,3e-05,543816,33.751,0.675,301.4
minesweeper,ResNet,BASE,1,2,512,3e-05,1058305,6.593,0.091,331.5
minesweeper,ResNet,ENS_k4,4,2,512,3e-05,4233220,25.9,0.247,380.0
minesweeper,ResNet,TABM_k2,2,2,512,3e-05,1060882,14.253,0.375,399.8
minesweeper,ResNet,TABM_k4,4,2,512,3e-05,1063972,27.42,0.357,399.9
minesweeper,ResNet,TABM_k8,8,2,512,3e-05,1070152,54.402,0.47,400.0
minesweeper,ResNet,BASE,1,3,512,3e-05,1584641,9.385,0.153,427.4
minesweeper,ResNet,ENS_k4,4,3,512,3e-05,6338564,36.115,0.274,500.0
minesweeper,ResNet,TABM_k2,2,3,512,3e-05,1587218,18.988,0.197,497.7
minesweeper,ResNet,TABM_k4,4,3,512,3e-05,1590308,37.759,0.29,497.8
minesweeper,ResNet,TABM_k8,8,3,512,3e-05,1596488,75.367,0.948,497.9
minesweeper,ResNet,BASE,1,4,512,3e-05,2110977,11.804,0.111,523.7
minesweeper,ResNet,ENS_k4,4,4,512,3e-05,8443908,46.512,0.228,620.4
minesweeper,ResNet,TABM_k2,2,4,512,3e-05,2113554,24.184,0.215,596.1
minesweeper,ResNet,TABM_k4,4,4,512,3e-05,2116644,48.076,0.269,596.1
minesweeper,ResNet,TABM_k8,8,4,512,3e-05,2122824,95.737,0.418,596.2
minesweeper,ResNet,BASE,1,5,512,3e-05,2637313,14.399,0.096,619.6
minesweeper,ResNet,ENS_k4,4,5,512,3e-05,10549252,57.456,0.521,740.3
minesweeper,ResNet,TABM_k2,2,5,512,3e-05,2639890,29.38,0.172,693.9
minesweeper,ResNet,TABM_k4,4,5,512,3e-05,2642980,59.579,0.862,694.0
minesweeper,ResNet,TABM_k8,8,5,512,3e-05,2649160,117.798,1.801,694.1
minesweeper,GCN,BASE,1,1,512,3e-05,794625,7.391,0.13,480.3
minesweeper,GCN,ENS_k4,4,1,512,3e-05,3178500,28.768,0.285,516.7
minesweeper,GCN,TABM_k2,2,1,512,3e-05,797202,16.253,0.362,503.7
minesweeper,GCN,TABM_k4,4,1,512,3e-05,800292,31.016,0.67,503.8
minesweeper,GCN,TABM_k8,8,1,512,3e-05,806472,63.127,0.977,503.9
minesweeper,GCN,BASE,1,2,512,3e-05,1583617,13.583,0.136,597.2
minesweeper,GCN,ENS_k4,4,2,512,3e-05,6334468,52.638,0.366,669.7
minesweeper,GCN,TABM_k2,2,2,512,3e-05,1586194,27.346,0.264,623.6
minesweeper,GCN,TABM_k4,4,2,512,3e-05,1589284,54.198,0.29,623.6
minesweeper,GCN,TABM_k8,8,2,512,3e-05,1595464,107.919,0.467,623.7
minesweeper,GCN,BASE,1,3,512,3e-05,2372609,19.348,0.145,714.8
minesweeper,GCN,ENS_k4,4,3,512,3e-05,9490436,76.426,0.29,823.4
minesweeper,GCN,TABM_k2,2,3,512,3e-05,2375186,39.448,0.35,744.2
minesweeper,GCN,TABM_k4,4,3,512,3e-05,2378276,78.184,0.674,744.3
minesweeper,GCN,TABM_k8,8,3,512,3e-05,2384456,155.485,0.575,744.4
minesweeper,GCN,BASE,1,4,512,3e-05,3161601,25.394,0.134,831.7
minesweeper,GCN,ENS_k4,4,4,512,3e-05,12646404,100.523,0.503,976.4
minesweeper,GCN,TABM_k2,2,4,512,3e-05,3164178,51.639,0.487,864.1
minesweeper,GCN,TABM_k4,4,4,512,3e-05,3167268,102.693,0.984,864.1
minesweeper,GCN,TABM_k8,8,4,512,3e-05,3173448,202.801,0.372,864.2
minesweeper,GCN,BASE,1,5,512,3e-05,3950593,31.393,0.144,948.6
minesweeper,GCN,ENS_k4,4,5,512,3e-05,15802372,124.028,0.318,1129.4
minesweeper,GCN,TABM_k2,2,5,512,3e-05,3953170,62.993,0.157,984.0
minesweeper,GCN,TABM_k4,4,5,512,3e-05,3956260,125.469,0.272,984.0
minesweeper,GCN,TABM_k8,8,5,512,3e-05,3962440,251.572,1.639,984.1
minesweeper,SAGE,BASE,1,1,512,3e-05,1318913,9.061,0.09,318.5
minesweeper,SAGE,ENS_k4,4,1,512,3e-05,5275652,35.756,0.322,380.2
minesweeper,SAGE,TABM_k2,2,1,512,3e-05,1321490,18.777,0.135,370.7
minesweeper,SAGE,TABM_k4,4,1,512,3e-05,1324580,37.298,0.296,370.7
minesweeper,SAGE,TABM_k8,8,1,512,3e-05,1330760,74.358,0.42,370.8
minesweeper,SAGE,BASE,1,2,512,3e-05,2632193,16.823,0.114,480.0
minesweeper,SAGE,ENS_k4,4,2,512,3e-05,10528772,66.59,0.246,604.6
minesweeper,SAGE,TABM_k2,2,2,512,3e-05,2634770,34.265,0.258,538.2
minesweeper,SAGE,TABM_k4,4,2,512,3e-05,2637860,68.113,0.284,538.3
minesweeper,SAGE,TABM_k8,8,2,512,3e-05,2644040,137.586,1.632,538.4
minesweeper,SAGE,BASE,1,3,512,3e-05,3945473,24.581,0.144,642.7
minesweeper,SAGE,ENS_k4,4,3,512,3e-05,15781892,98.251,0.346,825.9
minesweeper,SAGE,TABM_k2,2,3,512,3e-05,3948050,49.886,0.29,704.0
minesweeper,SAGE,TABM_k4,4,3,512,3e-05,3951140,100.547,0.558,704.0
minesweeper,SAGE,TABM_k8,8,3,512,3e-05,3957320,197.895,1.284,704.1
minesweeper,SAGE,BASE,1,4,512,3e-05,5258753,32.477,0.16,804.6
minesweeper,SAGE,ENS_k4,4,4,512,3e-05,21035012,128.156,0.276,1052.7
minesweeper,SAGE,TABM_k2,2,4,512,3e-05,5261330,65.109,0.204,872.3
minesweeper,SAGE,TABM_k4,4,4,512,3e-05,5264420,130.373,0.921,872.4
minesweeper,SAGE,TABM_k8,8,4,512,3e-05,5270600,258.947,0.438,872.4
minesweeper,SAGE,BASE,1,5,512,3e-05,6572033,40.276,0.171,965.9
minesweeper,SAGE,ENS_k4,4,5,512,3e-05,26288132,159.74,0.512,1273.8
minesweeper,SAGE,TABM_k2,2,5,512,3e-05,6574610,81.199,0.32,1037.6
minesweeper,SAGE,TABM_k4,4,5,512,3e-05,6577700,161.157,0.557,1037.7
minesweeper,SAGE,TABM_k8,8,5,512,3e-05,6583880,322.078,1.641,1037.7
minesweeper,GAT,BASE,1,1,512,3e-05,795649,8.55,0.161,843.8
minesweeper,GAT,ENS_k4,4,1,512,3e-05,3182596,33.522,0.243,880.2
minesweeper,GAT,TABM_k2,2,1,512,3e-05,798226,18.483,0.285,865.2
minesweeper,GAT,TABM_k4,4,1,512,3e-05,801316,35.155,0.445,865.2
