dataset,model,num_layers,hidden_dim,lr,split,best_step,tabm_inits,init_scheme,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,val_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,train_metric
roman-empire,SAGE,5,512,3e-05,0,2260,4,default,acc,0.8926742672920227,0.8926742672920227,0.6955007314682007,,0.8663196654061743,0.8912029535856258,0.8624784699967074,0.8722455014370422,0.8926742672920227,0.8923402428627014,0.7427643537521362,,0.8636112351175111,0.8915850951955393,0.8575284691659947,0.8709194366644649,0.8923402428627014,0.9998235106468201,0.00038505683187395334,,0.9998005544139102,0.9998236679031057,0.9996913580246913,0.9999106823865667,0.9998235106468201
roman-empire,SAGE,5,512,3e-05,1,2140,4,default,acc,0.8928508162498474,0.8928508162498474,0.6968856453895569,,0.862928518749215,0.8914964487664591,0.8601001114816651,0.8668443326227068,0.8928508162498474,0.8993998765945435,0.6527743935585022,,0.86970026926866,0.8981002115077573,0.8715019192046934,0.8693797701013444,0.8993998765945435,1.0,0.00020555408264044672,,1.0,1.0,1.0,1.0,1.0
roman-empire,SAGE,5,512,3e-05,2,3600,4,default,acc,0.8923212289810181,0.8923212289810181,0.8531425595283508,,0.8651381775698392,0.8910296390526192,0.8641969549578047,0.866736588452842,0.8923212289810181,0.8971055150032043,0.7454433441162109,,0.872891256446395,0.8961429570252605,0.874796078924648,0.8719877405739822,0.8971055150032043,1.0,5.886558938072994e-06,,1.0,1.0,1.0,1.0,1.0
roman-empire,SAGE,5,512,3e-05,3,2560,4,default,acc,0.8993821740150452,0.8993821740150452,0.7358906865119934,,0.8735996323526414,0.8986576080810109,0.87139078357852,0.8774468330494815,0.8993821740150452,0.8946346640586853,0.7346545457839966,,0.870785852623544,0.8939562744875184,0.8684028882572662,0.8739936501810657,0.8946346640586853,0.9999117851257324,0.000270679040113464,,0.9999001962267948,0.9999117027211915,0.9999553770638108,0.9998452491488704,0.9999117851257324
roman-empire,SAGE,5,512,3e-05,4,2620,4,default,acc,0.8972638845443726,0.8972638845443726,0.745759904384613,,0.8757939267512882,0.8957326842398793,0.8752104274566901,0.8779507545372005,0.8972638845443726,0.8916342854499817,0.7312527298927307,,0.8662809331148554,0.8899474663173083,0.8597548661751226,0.8743696205002836,0.8916342854499817,0.9999117851257324,0.000300820596748963,,0.9998999794901763,0.9999117025490416,0.9999553770638108,0.999844816883923,0.9999117851257324
roman-empire,GAT-sep,5,512,3e-05,0,3180,4,default,acc,0.9119152426719666,0.9119152426719666,0.6233347654342651,,0.8923798403268373,0.9111123370482472,0.886323022875986,0.899647872039327,0.9119152426719666,0.9089304208755493,0.653144359588623,,0.8858047837639114,0.908068703172687,0.8804441338484206,0.8924209064604504,0.9089304208755493,1.0,5.1265502406749874e-05,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,1,2530,4,default,acc,0.9122682809829712,0.9122682809829712,0.5701601505279541,,0.8917593995550901,0.9117174251647877,0.8889793116068027,0.8957982289848582,0.9122682809829712,0.9114013314247131,0.5499509572982788,,0.8905181645465946,0.9109938990166402,0.8928182139267188,0.8893536028338056,0.9114013314247131,1.0,1.991549288504757e-05,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,2,2480,4,default,acc,0.9057369828224182,0.9057369828224182,0.64347243309021,,0.8860288516178205,0.904969712757294,0.8864536061498742,0.8864210060325233,0.9057369828224182,0.90716552734375,0.5553593635559082,,0.8860732649160802,0.9065475207088343,0.8830308936362736,0.8909180051969159,0.90716552734375,1.0,3.3761622034944594e-05,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,3,3250,4,default,acc,0.9120917916297913,0.9120917916297913,0.6248711943626404,,0.8888092002413275,0.9120655208782864,0.8872184231838064,0.8915737524414875,0.9120917916297913,0.909812867641449,0.6429867744445801,,0.8874250789535744,0.9096034377189898,0.8855971848561607,0.890216336152796,0.909812867641449,1.0,9.935201887856238e-06,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,4,2880,4,default,acc,0.9127978682518005,0.9127978682518005,0.6271243691444397,,0.8966608298930672,0.9118770492833553,0.8964870614041585,0.8977322754941375,0.9127978682518005,0.9115778207778931,0.5871316194534302,,0.8929378376675358,0.9108794182450827,0.8891051019021327,0.8978758590974376,0.9115778207778931,1.0,0.00011030254245270044,,1.0,1.0,1.0,1.0,1.0
