dataset,model,num_layers,hidden_dim,lr,split,best_step,tabm_inits,init_scheme,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,val_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,train_metric
roman-empire,SAGE,5,512,3e-05,0,2250,4,ones_all,acc,0.8564871549606323,0.8564871549606323,1.2280689477920532,,0.8185311083799317,0.8538218499152928,0.813897978066706,0.8278462103049071,0.8564871549606323,0.8485704064369202,1.3064799308776855,,0.8070704865119263,0.8468441221315862,0.8033908368167109,0.8138876238413201,0.8485704064369202,1.0,0.00011847164569189772,,1.0,1.0,1.0,1.0,1.0
roman-empire,SAGE,5,512,3e-05,1,3850,4,ones_all,acc,0.8707854747772217,0.8707854747772217,1.2846076488494873,,0.8301317593262334,0.8688274321782173,0.8297869043467755,0.8330971277531063,0.8707854747772217,0.8639251589775085,1.2917287349700928,,0.827334631149292,0.8619789175748594,0.8270129801728229,0.8295349229868424,0.8639251589775085,1.0,1.3785144403755112e-07,,1.0,1.0,1.0,1.0,1.0
roman-empire,SAGE,5,512,3e-05,2,2510,4,ones_all,acc,0.8506619334220886,0.8506619334220886,1.3704276084899902,,0.810881361239133,0.8483591810651187,0.8059763706454404,0.8187948135651824,0.8506619334220886,0.8540416359901428,1.2546976804733276,,0.8145794024643588,0.852010532805019,0.8147893887678678,0.8166676156006528,0.8540416359901428,1.0,2.2158299088914646e-06,,1.0,1.0,1.0,1.0,1.0
roman-empire,SAGE,5,512,3e-05,3,3060,4,ones_all,acc,0.8596645593643188,0.8596645593643188,1.3706547021865845,,0.8186733599401097,0.8578377071555338,0.8163314057653958,0.8230099628276886,0.8596645593643188,0.8513942360877991,1.3235223293304443,,0.8136902443546353,0.8490092061190925,0.810600131608338,0.8213032120920166,0.8513942360877991,1.0,4.517881734500406e-06,,1.0,1.0,1.0,1.0,1.0
roman-empire,SAGE,5,512,3e-05,4,2500,4,ones_all,acc,0.8612532615661621,0.8612532615661621,1.2794142961502075,,0.8306917400967014,0.8582111697585078,0.8363019444323396,0.8291410821382162,0.8612532615661621,0.8529826998710632,1.316663146018982,,0.8166180555531148,0.8499935571792279,0.8159673918670994,0.8213224616320662,0.8529826998710632,1.0,0.00010089489660458639,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,0,1950,4,ones_all,acc,0.8866725564002991,0.8866725564002991,0.8668502569198608,,0.8608009353485109,0.8851383137391454,0.857171768705964,0.8677780759670779,0.8866725564002991,0.8836921453475952,0.8941831588745117,,0.852104700594198,0.8826114912119172,0.8477073492712874,0.8599272420195888,0.8836921453475952,1.0,3.456487684161402e-05,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,1,2990,4,ones_all,acc,0.8903794884681702,0.8903794884681702,0.9095435738563538,,0.86103343689526,0.8888565010165164,0.8613030959972151,0.8652321151761927,0.8903794884681702,0.8932226896286011,0.8752081394195557,,0.8657603981768274,0.8925742286556934,0.8662778781004857,0.8675352760986421,0.8932226896286011,1.0,4.859244313593081e-07,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,2,1950,4,ones_all,acc,0.8773168325424194,0.8773168325424194,0.9799976348876953,,0.8447638340239352,0.8753671738381146,0.8421725669124006,0.8518032643169215,0.8773168325424194,0.8836921453475952,0.8885501027107239,,0.8546474701458573,0.8821823889139729,0.8552753787545078,0.8587750195210225,0.8836921453475952,1.0,1.0956689038721379e-05,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,3,1880,4,ones_all,acc,0.8882612586021423,0.8882612586021423,0.8936935663223267,,0.8569432273944159,0.8873594417836156,0.8539124945457757,0.8636670382629796,0.8882612586021423,0.8858100771903992,0.8365460634231567,,0.8585202664891305,0.8848034439939683,0.8571688753962616,0.8636540185637109,0.8858100771903992,1.0,9.570547263137996e-06,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,4,2890,4,ones_all,acc,0.8884377479553223,0.8884377479553223,0.9917523264884949,,0.861904159186274,0.8863560468392603,0.8617846523639352,0.8663893840198637,0.8884377479553223,0.886339545249939,0.9855995178222656,,0.857485780760246,0.8845913661327217,0.85667465437642,0.8610170629445258,0.886339545249939,1.0,6.056423558220558e-07,,1.0,1.0,1.0,1.0,1.0
