dataset,model,num_layers,hidden_dim,lr,split,best_step,tabm_inits,init_scheme,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,val_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,train_metric
roman-empire,SAGE,5,512,3e-05,0,2840,2,default,acc,0.8785524964332581,0.8785524964332581,0.9668430089950562,,0.8455171192260073,0.8758677458419801,0.8458641025950467,0.8503517866757522,0.8785524964332581,0.8732791543006897,0.9841216206550598,,0.8300286526212042,0.8711336021337057,0.8265626635551284,0.8372063966496284,0.8732791543006897,0.9999117851257324,0.00016813167894724756,,0.9999001782771109,0.9999117903366547,0.9998452491488704,0.9999553411932833,0.9999117851257324
roman-empire,SAGE,5,512,3e-05,1,2840,2,default,acc,0.8829655647277832,0.8829655647277832,0.9120113849639893,,0.8477678967712587,0.881358829813538,0.8441426208191322,0.8538840199438978,0.8829655647277832,0.8868690133094788,0.8592355847358704,,0.8577185786993171,0.8855628071336169,0.8587181844138267,0.858497356472451,0.8868690133094788,1.0,5.5682357924524695e-05,,1.0,1.0,1.0,1.0,1.0
roman-empire,SAGE,5,512,3e-05,2,2890,2,default,acc,0.8720211386680603,0.8720211386680603,1.0363205671310425,,0.8395455359477334,0.869599224765309,0.8402089297682169,0.8415580246192101,0.8720211386680603,0.8739851713180542,0.946222722530365,,0.8421333127542509,0.8724990057445822,0.8465918666658169,0.8392389508522281,0.8739851713180542,1.0,6.915694484632695e-06,,1.0,1.0,1.0,1.0,1.0
roman-empire,SAGE,5,512,3e-05,3,2970,2,default,acc,0.8767872452735901,0.8767872452735901,1.0212275981903076,,0.8403259077405154,0.8753971235056164,0.835085372714482,0.8478175690208566,0.8767872452735901,0.8766325116157532,1.0016436576843262,,0.8429306067564777,0.8749668484130338,0.8384370711229051,0.8490549660492702,0.8766325116157532,1.0,0.00010827799269463867,,1.0,1.0,1.0,1.0,1.0
roman-empire,SAGE,5,512,3e-05,4,3380,2,default,acc,0.8843777179718018,0.8843777179718018,0.9909862279891968,,0.8557208830717361,0.8819723585064442,0.8564567147874171,0.8580564106607197,0.8843777179718018,0.8748676180839539,0.992763876914978,,0.8430703595177144,0.8727519552594158,0.8375456550014785,0.8510747750139657,0.8748676180839539,0.9999117851257324,0.00015840752166695893,,0.9998999794901763,0.9999117025490416,0.9999553770638108,0.999844816883923,0.9999117851257324
roman-empire,GAT-sep,5,512,3e-05,0,3530,2,default,acc,0.9046778082847595,0.9046778082847595,0.7910239696502686,,0.8819614572364307,0.9031535688989676,0.8826162482076761,0.8842453921713191,0.9046778082847595,0.9006353616714478,0.8113023638725281,,0.8720464784421658,0.898882429755032,0.8707163689668902,0.8772252032990675,0.9006353616714478,1.0,2.900825847973465e-06,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,1,2530,2,default,acc,0.9013239145278931,0.9013239145278931,0.6857115030288696,,0.8764377236570925,0.9010062563555176,0.8679292563672327,0.8875249905044522,0.9013239145278931,0.9032827019691467,0.665707528591156,,0.8796643448150844,0.9029166851305158,0.8750016368889233,0.8853693488483177,0.9032827019691467,1.0,1.5336372598540038e-05,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,2,2740,2,default,acc,0.8893203735351562,0.8893203735351562,0.8304083943367004,,0.8635650450751557,0.8876499434772764,0.8615333616299513,0.8684647462176794,0.8893203735351562,0.8962230682373047,0.743131160736084,,0.8685579255433905,0.8953195899611608,0.8661040651591397,0.8740799989356529,0.8962230682373047,1.0,1.8264328900841065e-05,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,3,2040,2,default,acc,0.9007943272590637,0.9007943272590637,0.6926822662353516,,0.8729204990447587,0.9000101427671638,0.8691242099772426,0.8796757200127888,0.9007943272590637,0.8981644511222839,0.6527431607246399,,0.8731224209967682,0.8976695241152035,0.8702899852939113,0.8780236654992364,0.8981644511222839,1.0,0.00013545644469559193,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,4,3030,2,default,acc,0.9039717316627502,0.9039717316627502,0.7975435853004456,,0.886835248923907,0.9027504226655415,0.8851781902326821,0.8899154270210752,0.9039717316627502,0.8971055150032043,0.7554661631584167,,0.8724171469503128,0.8957920500392406,0.8662727019218707,0.8809876882469372,0.8971055150032043,1.0,2.0934316125931218e-05,,1.0,1.0,1.0,1.0,1.0
