dataset,model,variant,split,seed,num_layers,hidden_dim,lr,m,num_steps,best_step,num_params,train_seconds,val_metric,test_metric,test_acc,test_loss,n_test,mean_member_acc,at_least_one_member_correct_rate,pair_disagreement,error_jaccard,mean_entropy,nll,brier,ece10,checkpoint,prediction_file
roman-empire,GAT,gnnm,0,0,5,512,3e-05,4,5000,3770,4121408,1106.2610769867897,0.8287731409072876,0.8275679349899292,0.8275679349899292,0.9866980910301208,5666,0.8189639449119568,0.8746911287307739,0.08909871553381284,0.6964351242964603,0.13283519446849823,0.9858298301696777,0.2879473567008972,0.12092483516190662,experiments_iclr/gat_failure_pair_results/checkpoints/roman-empire_GAT_gnnm_split0.pt,experiments_iclr/gat_failure_pair_results/predictions/roman-empire_GAT_gnnm_split0.npz
roman-empire,GAT,untied_backbone,0,0,5,512,3e-05,4,5000,4480,15971648,1303.1792606785893,0.8328331708908081,0.823508620262146,0.823508620262146,1.1645228862762451,5666,0.8081979751586914,0.881750762462616,0.11974937717119853,0.6270879448567512,0.10772747546434402,1.1639578342437744,0.3017219305038452,0.13432853060799455,experiments_iclr/gat_failure_pair_results/checkpoints/roman-empire_GAT_untied_backbone_split0.pt,experiments_iclr/gat_failure_pair_results/predictions/roman-empire_GAT_untied_backbone_split0.npz
roman-empire,GAT,gnnm,1,1,5,512,3e-05,4,5000,3510,4121408,1030.7522246018052,0.8361870646476746,0.8229791522026062,0.8229791522026062,0.9816416501998901,5666,0.81693434715271,0.8708083033561707,0.0841863714158535,0.7092349080107887,0.12826690077781677,0.9816416501998901,0.2960994243621826,0.12840984782757042,experiments_iclr/gat_failure_pair_results/checkpoints/roman-empire_GAT_gnnm_split1.pt,experiments_iclr/gat_failure_pair_results/predictions/roman-empire_GAT_gnnm_split1.npz
roman-empire,GAT,untied_backbone,1,1,5,512,3e-05,4,5000,2620,15971648,801.1394336372614,0.8250661492347717,0.8252735137939453,0.8252735137939453,0.9348780512809753,5666,0.8083744645118713,0.8849276304244995,0.12283797810475032,0.6103670392817766,0.13872484862804413,0.9348780512809753,0.29083487391471863,0.12112681132884215,experiments_iclr/gat_failure_pair_results/checkpoints/roman-empire_GAT_untied_backbone_split1.pt,experiments_iclr/gat_failure_pair_results/predictions/roman-empire_GAT_untied_backbone_split1.npz
roman-empire,GAT,gnnm,2,2,4,512,3e-05,4,5000,2140,3331392,538.9037822782993,0.8139452338218689,0.8187433481216431,0.8187433481216431,0.7400381565093994,5666,0.8093892931938171,0.881574273109436,0.10815978174408276,0.6452102942106389,0.19725649058818817,0.7400382161140442,0.28189605474472046,0.10705136016444564,experiments_iclr/gat_failure_pair_results/checkpoints/roman-empire_GAT_gnnm_split2.pt,experiments_iclr/gat_failure_pair_results/predictions/roman-empire_GAT_gnnm_split2.npz
roman-empire,GAT,untied_backbone,2,2,4,512,3e-05,4,5000,1750,12811584,458.43617405742407,0.8125330805778503,0.8159195184707642,0.8159195184707642,0.8202251195907593,5666,0.798888087272644,0.8833391666412354,0.13263324896494547,0.5971538588233485,0.17721153795719147,0.820225179195404,0.29833167791366577,0.11670728594283433,experiments_iclr/gat_failure_pair_results/checkpoints/roman-empire_GAT_untied_backbone_split2.pt,experiments_iclr/gat_failure_pair_results/predictions/roman-empire_GAT_untied_backbone_split2.npz
roman-empire,GAT,gnnm,3,3,4,512,3e-05,4,5000,2440,3331392,604.3793329149485,0.8303618431091309,0.8240380883216858,0.8240380883216858,0.789069414138794,5666,0.8146399259567261,0.8752205967903137,0.09765854477882385,0.6743317154786427,0.17650721967220306,0.7890694737434387,0.2802135944366455,0.1088699162179066,experiments_iclr/gat_failure_pair_results/checkpoints/roman-empire_GAT_gnnm_split3.pt,experiments_iclr/gat_failure_pair_results/predictions/roman-empire_GAT_gnnm_split3.npz
roman-empire,GAT,untied_backbone,3,3,4,512,3e-05,4,5000,3590,12811584,864.1297274455428,0.8282435536384583,0.8243910670280457,0.8243910670280457,0.9820758104324341,5666,0.8110659718513489,0.8889868855476379,0.1233086201051871,0.6118404542669665,0.12193669378757477,0.9820756912231445,0.2926410734653473,0.127749283660646,experiments_iclr/gat_failure_pair_results/checkpoints/roman-empire_GAT_untied_backbone_split3.pt,experiments_iclr/gat_failure_pair_results/predictions/roman-empire_GAT_untied_backbone_split3.npz
roman-empire,GAT,gnnm,4,4,4,512,3e-05,4,5000,2280,3331392,569.6835484430194,0.8285966515541077,0.8240380883216858,0.8240380883216858,0.7721285223960876,5666,0.8095657825469971,0.8819272518157959,0.11724908525745074,0.6342129315091778,0.20338992774486542,0.7721285223960876,0.2805686295032501,0.09963229191210352,experiments_iclr/gat_failure_pair_results/checkpoints/roman-empire_GAT_gnnm_split4.pt,experiments_iclr/gat_failure_pair_results/predictions/roman-empire_GAT_gnnm_split4.npz
roman-empire,GAT,untied_backbone,4,4,4,512,3e-05,4,5000,3730,12811584,896.3606316745281,0.8331862092018127,0.8263325095176697,0.8263325095176697,1.0505462884902954,5666,0.8080214858055115,0.8836921453475952,0.119219904144605,0.6237191604160903,0.1168384999036789,1.0505462884902954,0.29707443714141846,0.1281207551188837,experiments_iclr/gat_failure_pair_results/checkpoints/roman-empire_GAT_untied_backbone_split4.pt,experiments_iclr/gat_failure_pair_results/predictions/roman-empire_GAT_untied_backbone_split4.npz
