dataset,model,variant,split,seed,num_layers,hidden_dim,lr,m,num_steps,best_step,num_params,train_seconds,val_metric,test_metric,test_acc,test_loss,n_test,mean_member_acc,at_least_one_member_correct_rate,pair_disagreement,error_jaccard,mean_entropy,nll,brier,ece10,checkpoint,prediction_file
roman-empire,SAGE,gnnm,0,0,5,512,3e-05,4,5000,2260,6737728,858.8759269788861,0.8926742672920227,0.8923402428627014,0.8923402428627014,0.7427644729614258,5666,0.883206844329834,0.9221673011779785,0.06071302232642969,0.66338361196286,0.060755692422389984,0.7427644729614258,0.19001077115535736,0.08350267925938099,experiments_iclr/results/checkpoints/roman-empire_SAGE_gnnm_split0.pt,experiments_iclr/results/predictions/roman-empire_SAGE_gnnm_split0.npz
roman-empire,SAGE,independent_projectors,0,0,5,512,3e-05,4,5000,3970,7220808,1403.7134755924344,0.8709620237350464,0.8663960099220276,0.8663960099220276,0.9795538783073425,5666,0.8566889762878418,0.9108718633651733,0.0826273647447427,0.6396268193678488,0.06381036341190338,0.9795538783073425,0.23699772357940674,0.10904092069606125,experiments_iclr/results/checkpoints/roman-empire_SAGE_independent_projectors_split0.pt,experiments_iclr/results/predictions/roman-empire_SAGE_independent_projectors_split0.npz
roman-empire,SAGE,heads_only,0,0,5,512,3e-05,4,5000,2640,6758472,965.5798424780369,0.8487201929092407,0.8436286449432373,0.8436286449432373,1.299041748046875,5666,0.8435845375061035,0.8469820022583008,0.006000705761834979,0.9764033415321164,0.05082404613494873,1.299041986465454,0.28697603940963745,0.1365259010359215,experiments_iclr/results/checkpoints/roman-empire_SAGE_heads_only_split0.pt,experiments_iclr/results/predictions/roman-empire_SAGE_heads_only_split0.npz
roman-empire,SAGE,input_only,0,0,5,512,3e-05,4,5000,3130,6735554,1140.9902398437262,0.8990290760993958,0.8951641321182251,0.8951641321182251,0.7766526341438293,5666,0.8859865665435791,0.9271090626716614,0.06256618164479733,0.6424392560975275,0.053240854293107986,0.7764424085617065,0.18585211038589478,0.0840856337293297,experiments_iclr/results/checkpoints/roman-empire_SAGE_input_only_split0.pt,experiments_iclr/results/predictions/roman-empire_SAGE_input_only_split0.npz
roman-empire,SAGE,output_only,0,0,5,512,3e-05,4,5000,2310,6732944,862.3263806402683,0.8548984527587891,0.8452170491218567,0.8452170491218567,1.3181993961334229,5666,0.845305323600769,0.8457465171813965,0.00035298269843527425,0.9977207969808028,0.06039217486977577,1.3160696029663086,0.27700722217559814,0.1311143598735616,experiments_iclr/results/checkpoints/roman-empire_SAGE_output_only_split0.pt,experiments_iclr/results/predictions/roman-empire_SAGE_output_only_split0.npz
roman-empire,SAGE,base,0,0,5,512,3e-05,1,5000,1820,6730770,179.1412654221058,0.8621358871459961,0.8595128655433655,0.8595128655433655,0.9851905703544617,5666,0.8595128655433655,0.8595128655433655,0.0,1.0,0.06479762494564056,0.9851906895637512,0.2534940540790558,0.11511232794850594,experiments_iclr/results/checkpoints/roman-empire_SAGE_base_split0.pt,experiments_iclr/results/predictions/roman-empire_SAGE_base_split0.npz
roman-empire,SAGE,gnnm_m1,0,0,5,512,3e-05,1,5000,2000,6732112,200.4239053502679,0.8552515506744385,0.8438051342964172,0.8438051342964172,1.1834875345230103,5666,0.8438051342964172,0.8438051342964172,0.0,1.0,0.0735190138220787,1.1829993724822998,0.2739315629005432,0.12667008119790749,experiments_iclr/results/checkpoints/roman-empire_SAGE_gnnm_m1_split0.pt,experiments_iclr/results/predictions/roman-empire_SAGE_gnnm_m1_split0.npz
roman-empire,SAGE,independent_projectors,1,1,5,512,3e-05,4,5000,4310,7220808,1513.9478013888001,0.8815533518791199,0.8764560222625732,0.8764560222625732,0.93722003698349,5666,0.8646311163902283,0.9177550077438354,0.0799211636185646,0.6259873400510778,0.058020833879709244,0.936786949634552,0.22232063114643097,0.10073404181309148,experiments_iclr/results/checkpoints/roman-empire_SAGE_independent_projectors_split1.pt,experiments_iclr/results/predictions/roman-empire_SAGE_independent_projectors_split1.npz
roman-empire,SAGE,heads_only,1,1,5,512,3e-05,4,5000,3940,6758472,1390.2835353314877,0.8619593977928162,0.8600423336029053,0.8600423336029053,1.2342075109481812,5666,0.8606600761413574,0.8655135631561279,0.0073832212171206875,0.9603015448967955,0.04436202347278595,1.2342075109481812,0.25759387016296387,0.12215379213759806,experiments_iclr/results/checkpoints/roman-empire_SAGE_heads_only_split1.pt,experiments_iclr/results/predictions/roman-empire_SAGE_heads_only_split1.npz
roman-empire,SAGE,input_only,1,1,5,512,3e-05,4,5000,1780,6735554,694.1518693268299,0.8962047696113586,0.8976349830627441,0.8976349830627441,0.6318551301956177,5666,0.8888986706733704,0.9286974668502808,0.06100717621544997,0.6447932018599946,0.06714735180139542,0.6318551301956177,0.17517094314098358,0.07701547237070983,experiments_iclr/results/checkpoints/roman-empire_SAGE_input_only_split1.pt,experiments_iclr/results/predictions/roman-empire_SAGE_input_only_split1.npz
roman-empire,SAGE,output_only,1,1,5,512,3e-05,4,5000,1910,6732944,729.5762415155768,0.8669019937515259,0.8554535508155823,0.8554535508155823,1.1633281707763672,5666,0.8554535508155823,0.8554535508155823,8.824567339615896e-05,1.0,0.05994422361254692,1.1629232168197632,0.2556615173816681,0.12092811300308533,experiments_iclr/results/checkpoints/roman-empire_SAGE_output_only_split1.pt,experiments_iclr/results/predictions/roman-empire_SAGE_output_only_split1.npz
roman-empire,SAGE,base,1,1,5,512,3e-05,1,5000,1510,6730770,152.99534682184458,0.8683142066001892,0.8626896739006042,0.8626896739006042,0.8958853483200073,5666,0.8626896739006042,0.8626896739006042,0.0,1.0,0.07151837646961212,0.8958854675292969,0.24240201711654663,0.10986775842543527,experiments_iclr/results/checkpoints/roman-empire_SAGE_base_split1.pt,experiments_iclr/results/predictions/roman-empire_SAGE_base_split1.npz
roman-empire,SAGE,gnnm_m1,1,1,5,512,3e-05,1,5000,2540,6732112,243.14917678385973,0.8635480999946594,0.8603953123092651,0.8603953123092651,1.1452430486679077,5666,0.8603953123092651,0.8603953123092651,0.0,1.0,0.06271430850028992,1.144407868385315,0.24960964918136597,0.11385930661943686,experiments_iclr/results/checkpoints/roman-empire_SAGE_gnnm_m1_split1.pt,experiments_iclr/results/predictions/roman-empire_SAGE_gnnm_m1_split1.npz
roman-empire,SAGE,gnnm,1,1,5,512,3e-05,4,5000,2140,6737728,816.8120922595263,0.8928508162498474,0.8993998765945435,0.8993998765945435,0.6527743935585022,5666,0.891899049282074,0.9334627389907837,0.06238969104985396,0.6273819584871944,0.06281425058841705,0.6527743935585022,0.17375263571739197,0.07618250500133852,experiments_iclr/results/checkpoints/roman-empire_SAGE_gnnm_split1.pt,experiments_iclr/results/predictions/roman-empire_SAGE_gnnm_split1.npz
roman-empire,SAGE,independent_projectors,2,2,5,512,3e-05,4,5000,4360,7220808,1527.1792880296707,0.8669019937515259,0.867984414100647,0.867984414100647,0.9562925100326538,5666,0.8581891655921936,0.9105188846588135,0.08027414605021477,0.6409756577180399,0.06172581762075424,0.9562926292419434,0.23222607374191284,0.10726997943557319,experiments_iclr/results/checkpoints/roman-empire_SAGE_independent_projectors_split2.pt,experiments_iclr/results/predictions/roman-empire_SAGE_independent_projectors_split2.npz
roman-empire,SAGE,heads_only,2,2,5,512,3e-05,4,5000,2690,6758472,979.7212156280875,0.8437775373458862,0.8457465171813965,0.8457465171813965,1.307778000831604,5666,0.8452170491218567,0.8492763638496399,0.006441934189448754,0.9696891413463766,0.050631411373615265,1.3077781200408936,0.28479766845703125,0.13431322142122482,experiments_iclr/results/checkpoints/roman-empire_SAGE_heads_only_split2.pt,experiments_iclr/results/predictions/roman-empire_SAGE_heads_only_split2.npz
roman-empire,SAGE,input_only,2,2,5,512,3e-05,4,5000,2150,6735554,814.9057622104883,0.8873786330223083,0.8889868855476379,0.8889868855476379,0.6842033267021179,5666,0.882544994354248,0.923579216003418,0.06109542089203993,0.6612054788466103,0.060982462018728256,0.6842033863067627,0.19389647245407104,0.08809661257841161,experiments_iclr/results/checkpoints/roman-empire_SAGE_input_only_split2.pt,experiments_iclr/results/predictions/roman-empire_SAGE_input_only_split2.npz
roman-empire,SAGE,output_only,2,2,5,512,3e-05,4,5000,1840,6732944,708.32493429631,0.8467784523963928,0.8460994958877563,0.8460994958877563,1.2227624654769897,5666,0.8460994958877563,0.8460994958877563,0.0,1.0,0.0633048415184021,1.2227624654769897,0.27510887384414673,0.12891169380383233,experiments_iclr/results/checkpoints/roman-empire_SAGE_output_only_split2.pt,experiments_iclr/results/predictions/roman-empire_SAGE_output_only_split2.npz
roman-empire,SAGE,base,2,2,5,512,3e-05,1,5000,2190,6730770,210.079954482615,0.8619593977928162,0.8656900525093079,0.8656900525093079,0.9555462598800659,5666,0.8656900525093079,0.8656900525093079,0.0,1.0,0.05760767310857773,0.9555464386940002,0.24301479756832123,0.11224377245724776,experiments_iclr/results/checkpoints/roman-empire_SAGE_base_split2.pt,experiments_iclr/results/predictions/roman-empire_SAGE_base_split2.npz
roman-empire,SAGE,gnnm_m1,2,2,5,512,3e-05,1,5000,2880,6732112,272.922946177423,0.8508384823799133,0.8531591892242432,0.8531591892242432,1.2072503566741943,5666,0.8531591892242432,0.8531591892242432,0.0,1.0,0.06344416737556458,1.2072503566741943,0.26240915060043335,0.12164074684034118,experiments_iclr/results/checkpoints/roman-empire_SAGE_gnnm_m1_split2.pt,experiments_iclr/results/predictions/roman-empire_SAGE_gnnm_m1_split2.npz
roman-empire,SAGE,gnnm,2,2,5,512,3e-05,4,5000,3600,6737728,1304.3536764159799,0.8923212289810181,0.8971055150032043,0.8971055150032043,0.7454433441162109,5666,0.8901340961456299,0.9315213561058044,0.0587716189523538,0.6444036492470874,0.04935939610004425,0.7454394102096558,0.18228065967559814,0.08381020055575242,experiments_iclr/results/checkpoints/roman-empire_SAGE_gnnm_split2.pt,experiments_iclr/results/predictions/roman-empire_SAGE_gnnm_split2.npz
roman-empire,SAGE,independent_projectors,3,3,5,512,3e-05,4,5000,4610,7220808,1614.716106429696,0.8748455047607422,0.8718672394752502,0.8718672394752502,0.9490415453910828,5666,0.8630868196487427,0.9175785183906555,0.08145075539747874,0.6218978069286301,0.05803391709923744,0.9490416646003723,0.22739540040493011,0.10517797903917728,experiments_iclr/results/checkpoints/roman-empire_SAGE_independent_projectors_split3.pt,experiments_iclr/results/predictions/roman-empire_SAGE_independent_projectors_split3.npz
roman-empire,SAGE,heads_only,3,3,5,512,3e-05,4,5000,2410,6758472,890.4034235030413,0.8529567122459412,0.8494528532028198,0.8494528532028198,1.209879755973816,5666,0.8483498096466064,0.8519237041473389,0.006383103706563513,0.9711388574430551,0.05300136283040047,1.209879755973816,0.27433162927627563,0.12981057796127898,experiments_iclr/results/checkpoints/roman-empire_SAGE_heads_only_split3.pt,experiments_iclr/results/predictions/roman-empire_SAGE_heads_only_split3.npz
roman-empire,SAGE,input_only,3,3,5,512,3e-05,4,5000,2780,6735554,1028.2422160878778,0.9018534421920776,0.8951641321182251,0.8951641321182251,0.7401221990585327,5666,0.8897370100021362,0.927991509437561,0.05683021309475104,0.6612652580055371,0.05918649956583977,0.7401221990585327,0.1813623160123825,0.08092386342283305,experiments_iclr/results/checkpoints/roman-empire_SAGE_input_only_split3.pt,experiments_iclr/results/predictions/roman-empire_SAGE_input_only_split3.npz
roman-empire,SAGE,output_only,3,3,5,512,3e-05,4,5000,2240,6732944,840.910237506032,0.8594880700111389,0.8551005721092224,0.8551005721092224,1.2440463304519653,5666,0.8550123572349548,0.8551005721092224,0.00011766089786154528,0.9991889699918897,0.0562535896897316,1.242924451828003,0.26241573691368103,0.12278387941330056,experiments_iclr/results/checkpoints/roman-empire_SAGE_output_only_split3.pt,experiments_iclr/results/predictions/roman-empire_SAGE_output_only_split3.npz
roman-empire,SAGE,base,3,3,5,512,3e-05,1,5000,2530,6730770,239.27964280545712,0.8684906959533691,0.867984414100647,0.867984414100647,0.9822589755058289,5666,0.867984414100647,0.867984414100647,0.0,1.0,0.05171192064881325,0.9822591543197632,0.24065931141376495,0.11230096335016265,experiments_iclr/results/checkpoints/roman-empire_SAGE_base_split3.pt,experiments_iclr/results/predictions/roman-empire_SAGE_base_split3.npz
roman-empire,SAGE,gnnm_m1,3,3,5,512,3e-05,1,5000,2710,6732112,258.32145196199417,0.8563106656074524,0.8543946146965027,0.8543946146965027,1.188497543334961,5666,0.8543946146965027,0.8543946146965027,0.0,1.0,0.06330104917287827,1.1879699230194092,0.2600344121456146,0.12048863711050847,experiments_iclr/results/checkpoints/roman-empire_SAGE_gnnm_m1_split3.pt,experiments_iclr/results/predictions/roman-empire_SAGE_gnnm_m1_split3.npz
roman-empire,SAGE,gnnm,3,3,5,512,3e-05,4,5000,2560,6737728,959.417138889432,0.8993821740150452,0.8946346640586853,0.8946346640586853,0.7346544861793518,5666,0.8891192674636841,0.928167998790741,0.05788916163146496,0.6625206059795842,0.05677476525306702,0.7346544861793518,0.1834241896867752,0.08259833840972156,experiments_iclr/results/checkpoints/roman-empire_SAGE_gnnm_split3.pt,experiments_iclr/results/predictions/roman-empire_SAGE_gnnm_split3.npz
roman-empire,SAGE,independent_projectors,4,4,5,512,3e-05,4,5000,4090,7220808,1445.688932262361,0.8665489554405212,0.8665724992752075,0.8665724992752075,0.9559457302093506,5666,0.8560271263122559,0.914225161075592,0.08933403715491295,0.6156365087676642,0.07041049003601074,0.9559458494186401,0.23598358035087585,0.10498637434521897,experiments_iclr/results/checkpoints/roman-empire_SAGE_independent_projectors_split4.pt,experiments_iclr/results/predictions/roman-empire_SAGE_independent_projectors_split4.npz
roman-empire,SAGE,heads_only,4,4,5,512,3e-05,4,5000,3520,6758472,1256.9559181332588,0.8548984527587891,0.8494528532028198,0.8494528532028198,1.3113089799880981,5666,0.8501147031784058,0.8547475934028625,0.00641251898681124,0.9677566748622541,0.04897259920835495,1.3113089799880981,0.2761836647987366,0.1310404960993471,experiments_iclr/results/checkpoints/roman-empire_SAGE_heads_only_split4.pt,experiments_iclr/results/predictions/roman-empire_SAGE_heads_only_split4.npz
roman-empire,SAGE,input_only,4,4,5,512,3e-05,4,5000,2450,6735554,916.9010698646307,0.8946160674095154,0.8905753493309021,0.8905753493309021,0.7301114797592163,5666,0.8835598230361938,0.9265795946121216,0.06406635728975137,0.6435644637210062,0.06198557838797569,0.7301114797592163,0.18750286102294922,0.0847631865704594,experiments_iclr/results/checkpoints/roman-empire_SAGE_input_only_split4.pt,experiments_iclr/results/predictions/roman-empire_SAGE_input_only_split4.npz
roman-empire,SAGE,output_only,4,4,5,512,3e-05,4,5000,1600,6732944,628.2802903056145,0.8473080396652222,0.8459230065345764,0.8459230065345764,1.213146448135376,5666,0.8460994958877563,0.8464524745941162,0.0002941522470791824,0.9980906554431098,0.06984859704971313,1.2130024433135986,0.27210748195648193,0.12620037499764453,experiments_iclr/results/checkpoints/roman-empire_SAGE_output_only_split4.pt,experiments_iclr/results/predictions/roman-empire_SAGE_output_only_split4.npz
roman-empire,SAGE,base,4,4,5,512,3e-05,1,5000,1520,6730770,154.43855506181717,0.8619593977928162,0.8545711040496826,0.8545711040496826,0.9602686762809753,5666,0.8545711040496826,0.8545711040496826,0.0,1.0,0.07144221663475037,0.9602686762809753,0.2591513991355896,0.11864803462259502,experiments_iclr/results/checkpoints/roman-empire_SAGE_base_split4.pt,experiments_iclr/results/predictions/roman-empire_SAGE_base_split4.npz
roman-empire,SAGE,gnnm_m1,4,4,5,512,3e-05,1,5000,3770,6732112,349.1692549139261,0.8639011383056641,0.8616307377815247,0.8616307377815247,1.3053168058395386,5666,0.8616307377815247,0.8616307377815247,0.0,1.0,0.053828928619623184,1.3037394285202026,0.253899484872818,0.11699732065680742,experiments_iclr/results/checkpoints/roman-empire_SAGE_gnnm_m1_split4.pt,experiments_iclr/results/predictions/roman-empire_SAGE_gnnm_m1_split4.npz
roman-empire,SAGE,gnnm,4,4,5,512,3e-05,4,5000,2620,6737728,978.8451429530978,0.8972638845443726,0.8916342854499817,0.8916342854499817,0.7312527894973755,5666,0.8857218027114868,0.9278150200843811,0.06359571528931458,0.643158355030076,0.05851267650723457,0.7310714721679688,0.18569384515285492,0.0855787999118408,experiments_iclr/results/checkpoints/roman-empire_SAGE_gnnm_split4.pt,experiments_iclr/results/predictions/roman-empire_SAGE_gnnm_split4.npz
