dataset,model,num_layers,hidden_dim,lr,split,best_step,tabm_inits,init_scheme,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,val_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,train_metric
roman-empire,SAGE,5,512,3e-05,0,3740,4,xavier_all,acc,0.8759046792984009,0.8759046792984009,0.6048516631126404,,0.8491840149982216,0.8733802232027819,0.8607432888365631,0.8415231989588121,0.8759046792984009,0.8727496862411499,0.6019797325134277,,0.8385310488099111,0.8704929297838517,0.8434120488058969,0.8357149363047497,0.8727496862411499,0.9994704723358154,0.006411680951714516,,0.9993561313027371,0.9994699068575896,0.9997602951940665,0.9989555016780847,0.9994704723358154
roman-empire,SAGE,5,512,3e-05,1,2470,4,xavier_all,acc,0.8808472752571106,0.8808472752571106,0.5139250159263611,,0.8493078139534819,0.87804222446146,0.8602406154040256,0.8446642944358566,0.8808472752571106,0.8757500648498535,0.5184404850006104,,0.842015908002342,0.8724840894820673,0.8569113929280578,0.8329947667669235,0.8757500648498535,0.9984114766120911,0.02284744754433632,,0.9984786359749607,0.9984103028267606,0.9986000747651066,0.9983618599170521,0.9984114766120911
roman-empire,SAGE,5,512,3e-05,2,3210,4,xavier_all,acc,0.8670785427093506,0.8670785427093506,0.5997214913368225,,0.8347867511646643,0.8644080717416757,0.8477868804933669,0.8250052198644665,0.8670785427093506,0.8701023459434509,0.5851532816886902,,0.8344320745807859,0.8670134372586638,0.8522445086822412,0.8228193244493613,0.8701023459434509,0.9990292191505432,0.010711569339036942,,0.9993798354733353,0.9990287982275072,0.9995777012521923,0.999183802178313,0.9990292191505432
roman-empire,SAGE,5,512,3e-05,3,2960,4,xavier_all,acc,0.8757281303405762,0.8757281303405762,0.5595988631248474,,0.8386080230797606,0.8726114471039109,0.8503240651132055,0.8323374033063671,0.8757281303405762,0.8686904311180115,0.5748843550682068,,0.8375471863714858,0.8653923286073908,0.8526694011115591,0.8306751636758289,0.8686904311180115,0.998587965965271,0.015378965996205807,,0.9986668439345888,0.9985868552892511,0.9993556719749527,0.997987518923218,0.998587965965271
roman-empire,SAGE,5,512,3e-05,4,3900,4,xavier_all,acc,0.8769637942314148,0.8769637942314148,0.6057192087173462,,0.8509886881823735,0.8741549755737744,0.8631356431512693,0.8436243879218455,0.8769637942314148,0.87257319688797,0.5952436327934265,,0.8430426178442,0.8695923839440446,0.8479809029390177,0.8431969965562041,0.87257319688797,0.9994704723358154,0.006108370143920183,,0.999415836902284,0.9994699762062853,0.9997511107718852,0.9990835551076501,0.9994704723358154
roman-empire,GAT-sep,5,512,3e-05,0,3810,4,xavier_all,acc,0.9011473655700684,0.9011473655700684,0.4825803339481354,,0.8810147599167425,0.8998344996109242,0.8847196993532827,0.8799520362469256,0.9011473655700684,0.8921637535095215,0.5080354809761047,,0.8642420932908369,0.8904921959111508,0.8644418791903766,0.8668228054898494,0.8921637535095215,0.9997352361679077,0.0056465789675712585,,0.999615446711664,0.9997350538499367,0.9998848100386595,0.9993476875796872,0.9997352361679077
roman-empire,GAT-sep,5,512,3e-05,1,4270,4,xavier_all,acc,0.9048543572425842,0.9048543572425842,0.49842482805252075,,0.880809659335759,0.9031820267779547,0.8875616934479098,0.8792628267184192,0.9048543572425842,0.9046946167945862,0.48357799649238586,,0.8828846887903445,0.9035755728065099,0.892434073749758,0.8767978846699586,0.9046946167945862,0.9999117851257324,0.003170513780787587,,0.9999047842760409,0.9999116990769902,0.9999645465503794,0.9998452491488704,0.9999117851257324
roman-empire,GAT-sep,5,512,3e-05,2,4960,4,xavier_all,acc,0.8944395184516907,0.8944395184516907,0.5710216760635376,,0.8695698485288955,0.892850459611174,0.8779026391896481,0.8643049037516854,0.8944395184516907,0.8969290256500244,0.5415381193161011,,0.8743839755243991,0.8954939052001105,0.8829020150502104,0.8693440870309197,0.8969290256500244,1.0,0.001636043074540794,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,3,2970,4,xavier_all,acc,0.894086480140686,0.894086480140686,0.48158881068229675,,0.866689825637407,0.893455689492355,0.871353633677264,0.8653954048631332,0.894086480140686,0.8921637535095215,0.48223376274108887,,0.8674131734050152,0.8908892376650183,0.8753999278628992,0.8629738823180011,0.8921637535095215,0.9992057681083679,0.01250589918345213,,0.9990557386643891,0.9992048327516536,0.9995288203474535,0.9985883940845679,0.9992057681083679
roman-empire,GAT-sep,5,512,3e-05,4,3760,4,xavier_all,acc,0.8905560374259949,0.8905560374259949,0.5209221243858337,,0.8689751831079859,0.8892350927566207,0.8756536260071478,0.8665859742075314,0.8905560374259949,0.8932226896286011,0.49908024072647095,,0.8680588426465408,0.8913596429478735,0.8702535880536029,0.8688614841139435,0.8932226896286011,0.9994704723358154,0.006255997344851494,,0.9994397799581479,0.9994701646101791,0.999760473336834,0.9991210357755163,0.9994704723358154
