dataset,model,num_layers,hidden_dim,lr,split,best_step,tabm_inits,init_scheme,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,val_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,train_metric
roman-empire,SAGE,5,512,3e-05,0,3470,8,default,acc,0.9090908765792847,0.9090908765792847,0.6377097368240356,,0.8912870376214393,0.9081222444991588,0.8928129378207702,0.8912918110639452,0.9090908765792847,0.9041651487350464,0.6797116994857788,,0.8793602882476121,0.9036790420898494,0.8757018048946617,0.8839939221347582,0.9041651487350464,0.9999117851257324,0.00015815772349014878,,0.9999001782771109,0.9999117903366547,0.9998452491488704,0.9999553411932833,0.9999117851257324
roman-empire,SAGE,5,512,3e-05,1,3370,8,default,acc,0.9085613489151001,0.9085613489151001,0.6776747107505798,,0.883442362757825,0.9076097447701941,0.877150933731184,0.8910988875974363,0.9085613489151001,0.9135192036628723,0.6366980075836182,,0.889466810488285,0.9124452186490024,0.8921863045257664,0.8876387093661214,0.9135192036628723,1.0,1.9701368728419766e-05,,1.0,1.0,1.0,1.0,1.0
roman-empire,SAGE,5,512,3e-05,2,4550,8,default,acc,0.9057369828224182,0.9057369828224182,0.7683005332946777,,0.8843281167654873,0.9049768929216185,0.886801326639636,0.8824400763268938,0.9057369828224182,0.9101658463478088,0.6728054285049438,,0.8865823655233892,0.9095418636211275,0.8848362561426985,0.8891581419602351,0.9101658463478088,1.0,4.706747404270573e-06,,1.0,1.0,1.0,1.0,1.0
roman-empire,SAGE,5,512,3e-05,3,2600,8,default,acc,0.9117387533187866,0.9117387533187866,0.6087735295295715,,0.8886092849999365,0.911086257077996,0.8890119479985431,0.8900609172878016,0.9117387533187866,0.9062830805778503,0.6174057126045227,,0.8797227663720103,0.9054724046626383,0.875547146792263,0.8847513062412791,0.9062830805778503,1.0,0.00023715240240562707,,1.0,1.0,1.0,1.0,1.0
roman-empire,SAGE,5,512,3e-05,4,3640,8,default,acc,0.9085613489151001,0.9085613489151001,0.7110927700996399,,0.8896432342881475,0.9072273612304698,0.8894354696120802,0.891197122564548,0.9085613489151001,0.90716552734375,0.6606862545013428,,0.8845485785957957,0.9061663018285595,0.8813755810585159,0.8886804696287727,0.90716552734375,1.0,0.00010534260945860296,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,0,2350,8,default,acc,0.9136804938316345,0.9136804938316345,0.5151948928833008,,0.8967758919668015,0.9129957502685624,0.8926061471335951,0.9021335657933184,0.9136804938316345,0.9089304208755493,0.5500538349151611,,0.8869606387206377,0.9082550760215731,0.8817743682811576,0.8935334429230102,0.9089304208755493,0.9998235106468201,0.000341922277584672,,0.9998005544139102,0.9998236679031057,0.9996913580246913,0.9999106823865667,0.9998235106468201
roman-empire,GAT-sep,5,512,3e-05,1,4370,8,default,acc,0.9159752726554871,0.9159752726554871,0.6251642107963562,,0.8958598085899657,0.9152569938678512,0.8937878241864805,0.89889152603954,0.9159752726554871,0.9202258586883545,0.5795456767082214,,0.9025486463041079,0.9198130758840016,0.9027070896182011,0.9029199113725331,0.9202258586883545,1.0,9.699174370325636e-07,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,2,3270,8,default,acc,0.9094439148902893,0.9094439148902893,0.6386252045631409,,0.890113370778918,0.9089153418853779,0.8903664140282387,0.8907376291728311,0.9094439148902893,0.914401650428772,0.5462897419929504,,0.8964304813604733,0.9138210734200358,0.8957556928837277,0.8984555729007051,0.914401650428772,1.0,1.189924751088256e-05,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,3,2880,8,default,acc,0.9186230897903442,0.9186230897903442,0.550977349281311,,0.902274716038884,0.9183543369554839,0.9034656602562586,0.9026063531972848,0.9186230897903442,0.9089304208755493,0.5716217756271362,,0.8880064429710037,0.9088744068246353,0.8844459175646012,0.892423271693228,0.9089304208755493,1.0,5.575491741183214e-05,,1.0,1.0,1.0,1.0,1.0
roman-empire,GAT-sep,5,512,3e-05,4,2570,8,default,acc,0.9106795787811279,0.9106795787811279,0.545711874961853,,0.894221288509134,0.9100287220585568,0.8927309739985861,0.8962874106064184,0.9106795787811279,0.9158136248588562,0.5314034223556519,,0.8964460115386866,0.915329703627506,0.8919941407127359,0.9022975600724982,0.9158136248588562,1.0,0.0001243392180185765,,1.0,1.0,1.0,1.0,1.0
