dataset,arm,selected_lr,selected_weight_decay,seed,parameter_count,parameter_bytes,latency_ms_median,latency_ms_q25,latency_ms_q75,peak_allocated_bytes_max,peak_increment_bytes_max
cora,base,0.001,0.01,0,349831,1399324,1.0162300000000002,1.0078387500000001,1.0341292499999999,36583936,10961920
cora,ens,0.0003,0.01,0,1399324,5597296,3.7752115,3.75018225,3.8245355,41012224,11190784
cora,tied,0.001,0.01,0,357020,1428080,4.193128,4.1721275,4.21733925,42788864,17137664
cora,private_first,0.003,0.0,0,604700,2418800,4.2575895,4.230738,4.3135705,43779584,17137664
cora,private_last,0.003,0.01,0,604700,2418800,4.242241,4.2243657500000005,4.264060499999999,43779584,17137664
cora,untied,0.003,0.0,0,852380,3409520,4.285816499999999,4.255741,4.3190254999999995,44770304,17137664
wikics,base,0.003,0.01,0,205194,820776,2.8002885,2.79775475,2.8043625,276022272,245054464
wikics,ens,0.003,0.01,0,820776,3283104,10.9519135,10.9343295,10.97781475,279891456,246459904
wikics,tied,0.001,0.01,0,207872,831488,11.038194,11.01714875,11.06162575,277438976,246459904
wikics,private_first,0.001,0.01,0,455552,1822208,11.117930000000001,11.10243225,11.13786725,278429696,246459904
wikics,private_last,0.001,0.0,0,455552,1822208,11.1035755,11.089081,11.12222325,278429696,246459904
wikics,untied,0.001,0.01,0,703232,2812928,11.1009165,11.06393225,11.127829,279420416,246459904
actor,base,0.003,0.01,0,285445,1141780,1.0298675,1.015859,1.03711075,82916352,42941952
actor,ens,0.003,0.01,0,1141780,4567120,3.9086410000000003,3.89204275,3.929169,86799360,43398144
actor,tied,0.003,0.01,0,290616,1162464,4.252762499999999,4.236572499999999,4.2705415,83394048,43398144
actor,private_first,0.003,0.01,0,538296,2153184,4.351036000000001,4.33235775,4.37868925,84384768,43398144
actor,private_last,0.003,0.01,0,538296,2153184,4.3341015,4.3155962500000005,4.3573515,84384768,43398144
actor,untied,0.003,0.01,0,785976,3143904,4.319986500000001,4.29679925,4.344625499999999,85375488,43398144
chameleon_filtered,base,0.0003,0.01,0,463749,1854996,1.0145525,1.00943175,1.02847525,30037504,10892800
chameleon_filtered,ens,0.001,0.01,0,1854996,7419984,3.7443549999999997,3.73045625,3.7732865,36064768,10946560
chameleon_filtered,tied,0.001,0.01,0,474492,1897968,4.234532,4.22102275,4.25556525,30134784,10946560
chameleon_filtered,private_first,0.003,0.01,0,722172,2888688,4.297205999999999,4.28325825,4.32418775,30929408,10946560
chameleon_filtered,private_last,0.003,0.01,0,722172,2888688,4.2938765,4.274684,4.31652375,30929408,10946560
chameleon_filtered,untied,0.003,0.01,0,969852,3879408,4.293521999999999,4.27002825,4.3399280000000005,31920128,10946560
