dataset,seed,freeze_sha256,canonical_initial_state_sha256,graph_parameter_coordinates,update_cosine,opposite_sign_coordinate_count,opposite_sign_fraction_all_graph_coordinates,sync_zero_update_coordinate_count,sync_zero_update_fraction_all_graph_coordinates,tied_graph_update_l2_norm,sync_graph_update_l2_norm,sync_over_tied_l2_norm_ratio,relative_l2_update_difference,mean_gradient_dot_tied_update,mean_gradient_dot_sync_update,analytic_vs_actual_tied_max_abs_error,analytic_vs_actual_sync_max_abs_error,actual_tied_vs_sync_max_abs_parameter_update_difference,matched_post_step_rng
cora,0,52f825d983c9792ee0d82a68d0a27c781b639458724a09dba6bc6cc38363df75,16709c6a59258f6e751a8c59f75c448848608743eebbca00c42c50a791b76ff2,165120,0.7034102894302904,15122,0.09158187984496124,758,0.004590600775193798,0.40634241802589516,0.22136548805541473,0.5447757315882972,0.7282711635546228,-0.8839145433371587,-0.5048628026421083,5.960464477539063e-08,8.89413058757782e-08,0.0015000700950622559,True
cora,1,52f825d983c9792ee0d82a68d0a27c781b639458724a09dba6bc6cc38363df75,5bda3cb9f657f498a1562ddb7614af2b7ea402e278b5a4cf68c7767c8ed21338,165120,0.6957725638773075,15728,0.09525193798449612,764,0.004626937984496124,0.406341953689786,0.218978587766402,0.538902236842561,0.7351930623036842,-0.8933999460070245,-0.5084746811208783,5.948822945356369e-08,8.568167686462402e-08,0.0015000104904174805,True
cora,2,52f825d983c9792ee0d82a68d0a27c781b639458724a09dba6bc6cc38363df75,f923547107fdea69a45ff96802f53563fc60a825b7b18746d041b246215bfa41,165120,0.6779102290381339,16676,0.10099321705426356,897,0.005432412790697674,0.4063405117895726,0.21001550686354767,0.5168460952579256,0.7525818072181404,-0.8264165915233184,-0.4335330350072114,5.902256816625595e-08,9.237555786967278e-08,0.0015000700950622559,True
wikics,0,52f825d983c9792ee0d82a68d0a27c781b639458724a09dba6bc6cc38363df75,1962f86f548021c6808e51e008f32309163a6ef3a639d6c27c3680fb1d27a778,165120,0.6413478785778174,21129,0.12796148255813952,709,0.004293846899224806,0.40634387349895845,0.21078853818719706,0.5187442260963173,0.7769842689819617,-1.313907978415013,-0.6232813720475804,5.925539880990982e-08,8.579809218645096e-08,0.0015000700950622559,True
wikics,1,52f825d983c9792ee0d82a68d0a27c781b639458724a09dba6bc6cc38363df75,2c29553aa524a4d029ed9485c9449283b689519afcd32bd888316aedc4c3de74,165120,0.667139352721339,15082,0.09133963178294574,952,0.005765503875968993,0.40634340314521966,0.21974703095177264,0.5407914321996242,0.7555718900744005,-1.3326296607575974,-0.6362036879795627,5.960464477539063e-08,8.614733815193176e-08,0.0015000104904174805,True
wikics,2,52f825d983c9792ee0d82a68d0a27c781b639458724a09dba6bc6cc38363df75,d1352eb3399c0d00e851d906198280a1a07f6eaa854f9283e4ab7917e6a4b5dd,165120,0.6710280627701015,19077,0.11553415697674418,677,0.004100048449612403,0.40634444201377756,0.22307308914860863,0.5489753669155516,0.7514108061109164,-1.5945210272331178,-0.8381859069348264,5.960464477539063e-08,8.66129994392395e-08,0.0015000104904174805,True
actor,0,52f825d983c9792ee0d82a68d0a27c781b639458724a09dba6bc6cc38363df75,3ca8c156a23fe4e9462349a34a42ea18a98646e5982e1e34e30cff58a25d2c2a,165120,0.7678385856057539,12318,0.07460029069767442,211,0.0012778585271317829,0.4063356116792655,0.2666039482346847,0.6561176046886195,0.6503118359924769,-0.6489938028413288,-0.4740166436361311,5.925539880990982e-08,8.783536031842232e-08,0.0015000104904174805,True
actor,1,52f825d983c9792ee0d82a68d0a27c781b639458724a09dba6bc6cc38363df75,9cb856215ca1bd25ea976f15a49e27ef601b6d358c849ab6e401aadda303566d,165120,0.8567625767108913,8809,0.05334907945736434,73,0.00044210271317829457,0.4063390567716734,0.3184337729273613,0.7836651870417982,0.5208657365616992,-1.1163193118782375,-0.9923114602876837,5.972106009721756e-08,8.789356797933578e-08,0.0015000030398368835,True
actor,2,52f825d983c9792ee0d82a68d0a27c781b639458724a09dba6bc6cc38363df75,64f244582ede217a29c5e9841f4fae54e31e1d3389cb1282fcc39ad34e7521b8,165120,0.7618546155969039,12569,0.07612039728682171,172,0.0010416666666666667,0.40633612468855546,0.2588783828734216,0.6371040307377154,0.6596516149576905,-0.5472025417470868,-0.38049034828594197,5.925539880990982e-08,9.316136129200459e-08,0.001499999314546585,True
chameleon_filtered,0,52f825d983c9792ee0d82a68d0a27c781b639458724a09dba6bc6cc38363df75,1611e104789ee842814297f88cf2159fc8e4df29e9ed987d73dd0f2fd60d28aa,165120,0.7906807115335719,10299,0.06237281976744186,345,0.0020893895348837207,0.4063417818246856,0.2765453976917078,0.6805733745859835,0.6220511538919452,-1.2201601722046718,-1.0053009093902079,5.925539880990982e-08,8.591450750827789e-08,0.0015000700950622559,True
chameleon_filtered,1,52f825d983c9792ee0d82a68d0a27c781b639458724a09dba6bc6cc38363df75,acb178c438f9e722770b979a06dff4078801eefcfb0e85cda537c95be6968f0e,165120,0.7667926640980953,11756,0.07119670542635659,392,0.002374031007751938,0.4063393318765615,0.26061290311942104,0.6413676517994337,0.6540339777070651,-0.9953204125506425,-0.7476838291956044,5.9138983488082886e-08,8.707866072654724e-08,0.0015000700950622559,True
chameleon_filtered,2,52f825d983c9792ee0d82a68d0a27c781b639458724a09dba6bc6cc38363df75,d9ff146e80b0a0ab234780aecb11751bbef8e16d9236306c21061cebd8707e44,165120,0.7600710647853227,11826,0.07162063953488372,343,0.002077277131782946,0.40633909975134985,0.2545499992877664,0.6264472196830987,0.663435986705483,-0.7867294896236103,-0.5662697182053194,5.98374754190445e-08,8.579809218645096e-08,0.0015000104904174805,True
