seed,variant,correct_members,node_count,node_fraction,pooled_accuracy_within_group
0,base,0,14175,0.2916486636627369,0.0
0,base,1,34428,0.7083513363372631,1.0
0,ens,0,11279,0.2320638643705121,0.0005319620533735261
0,ens,1,1969,0.0405119025574553,0.07211782630777044
0,ens,2,1736,0.035717959796720364,0.5506912442396313
0,ens,3,2359,0.04853609859473695,0.9665112335735481
0,ens,4,31260,0.6431701746805752,1.0
0,gnnm,0,12316,0.25339999588502765,0.0006495615459564793
0,gnnm,1,1941,0.03993580643170175,0.0824317362184441
0,gnnm,2,1668,0.03431886920560459,0.5689448441247003
0,gnnm,3,2140,0.04403020389687879,0.9738317757009346
0,gnnm,4,30538,0.6283151245807872,1.0
1,base,0,14450,0.29730675061210216,0.0
1,base,1,34153,0.7026932493878979,1.0
1,ens,0,11438,0.23533526737032692,0.000699422976044763
1,ens,1,1997,0.04108799868320886,0.07411116675012519
1,ens,2,1761,0.036232331337571755,0.5803520726859739
1,ens,3,2358,0.048515523733102896,0.9698897370653096
1,ens,4,31049,0.6388288788757895,1.0
1,gnnm,0,12649,0.2602514248091682,0.00023717289904340264
1,gnnm,1,1894,0.03896878793490114,0.07550158394931362
1,gnnm,2,1593,0.03277575458305043,0.5574387947269304
1,gnnm,3,2093,0.04306318540007818,0.9684663162924032
1,gnnm,4,30374,0.6249408472728021,1.0
2,base,0,14186,0.2918749871407115,0.0
2,base,1,34417,0.7081250128592885,1.0
2,ens,0,11453,0.23564389029483776,0.0004365668383829564
2,ens,1,1900,0.03909223710470547,0.07105263157894737
2,ens,2,1740,0.03580025924325659,0.5270114942528735
2,ens,3,2273,0.046766660494208176,0.9736031676198856
2,ens,4,31237,0.642696952862992,1.0
2,gnnm,0,12549,0.2581939386457626,0.0001593752490238266
2,gnnm,1,1903,0.039153961689607636,0.06936416184971098
2,gnnm,2,1664,0.03423656975906837,0.5540865384615384
2,gnnm,3,2210,0.04547044421126268,0.9683257918552036
2,gnnm,4,30277,0.6229450856942987,1.0
