seed,variant,correct_members,node_count,node_fraction,pooled_accuracy_within_group
0,base,0,15756,0.32417751990617866,0.0
0,base,1,32847,0.6758224800938214,1.0
0,ens,0,12932,0.26607411065160586,0.00038663779771110426
0,ens,1,1908,0.03925683599777791,0.06865828092243187
0,ens,2,1673,0.03442174351377487,0.5744172145845786
0,ens,3,2148,0.044194802789951235,0.9636871508379888
0,ens,4,29942,0.6160525070468901,1.0
0,gnnm,0,13750,0.28290434746826326,0.0014545454545454545
0,gnnm,1,2546,0.05238359772030533,0.10015710919088766
0,gnnm,2,2251,0.04631401353825895,0.5752998667258996
0,gnnm,3,2865,0.05894697858156904,0.9738219895287958
0,gnnm,4,27191,0.5594510626916034,1.0
1,base,0,15698,0.32298417793140344,0.0
1,base,1,32905,0.6770158220685966,1.0
1,ens,0,12870,0.26479846923029443,0.0005439005439005439
1,ens,1,1979,0.04071765117379585,0.07276402223345124
1,ens,2,1690,0.034771516161553814,0.5591715976331361
1,ens,3,2245,0.046190564368454624,0.9679287305122495
1,ens,4,29819,0.6135217990659013,1.0
1,gnnm,0,14222,0.2926156821595375,0.00042188159189987344
1,gnnm,1,2449,0.050387836141801944,0.08901592486729278
1,gnnm,2,2212,0.04551159393453079,0.5687160940325497
1,gnnm,3,2751,0.05660144435528671,0.9734641948382406
1,gnnm,4,26969,0.5548834434088431,1.0
2,base,0,15521,0.3193424274221756,0.0
2,base,1,33082,0.6806575725778244,1.0
2,ens,0,12835,0.26407834907310246,0.00046747175691468643
2,ens,1,1939,0.03989465670843364,0.07478081485301702
2,ens,2,1636,0.033660473633314814,0.5709046454767727
2,ens,3,2225,0.04577906713577351,0.9667415730337079
2,ens,4,29968,0.6165874534493756,1.0
2,gnnm,0,14067,0.28942657860625887,0.000781971991185043
2,gnnm,1,2528,0.05201325021089233,0.08781645569620253
2,gnnm,2,2304,0.047404481204863895,0.5763888888888888
2,gnnm,3,2744,0.056457420323848324,0.9704810495626822
2,gnnm,4,26960,0.5546982696541366,1.0
