dataset,arm,learning_rate,weight_decay,validation_accuracy_mean,test_accuracy_mean,test_accuracy_sample_sd,paired_test_minus_tied_mean,paired_test_minus_untied_mean
cora,TIED default,0.001,0.0,0.6726667086283366,0.6773333549499512,0.02557995946882871,,
cora,UNTIED default,0.001,0.0,0.7013333638509115,0.7256667017936707,0.008082922607199491,,
cora,SYNC default,0.001,0.0,0.6573333541552225,0.6636666854222616,0.022898336607485907,-0.013666669527689615,-0.062000016371409096
cora,SYNC selected,0.001,0.01,0.6580000122388204,0.6623333692550659,0.02665208545932272,-0.014999985694885254,-0.06333333253860474
wikics,TIED default,0.001,0.0,0.822310189406077,0.7904338240623474,0.005316557908352447,,
wikics,UNTIED default,0.001,0.0,0.819483737150828,0.7905478278795878,0.0028839133787855326,,
wikics,SYNC default,0.001,0.0,0.822310189406077,0.7890085975329081,0.004204429924967048,-0.0014252265294392903,-0.0015392303466796875
wikics,SYNC selected,0.001,0.01,0.822310189406077,0.7888945738474528,0.0042665877158825916,-0.0015392502148946126,-0.0016532540321350098
actor,TIED default,0.001,0.0,0.37719298402468365,0.3730263411998749,0.00821710421183064,,
actor,UNTIED default,0.001,0.0,0.37554824352264404,0.3739035328229268,0.013945715530708044,,
actor,SYNC default,0.001,0.0,0.37705592314402264,0.37214913964271545,0.01132522729898564,-0.0008772015571594238,-0.001754393180211385
actor,SYNC selected,0.003,0.01,0.37705593307813007,0.37521930535634357,0.002490751318395477,0.0021929641564687095,0.001315772533416748
chameleon_filtered,TIED default,0.001,0.0,0.4471544722716014,0.388316144545873,0.02542723276463391,,
chameleon_filtered,UNTIED default,0.001,0.0,0.4134727120399475,0.41408934195836383,0.03432128100694162,,
chameleon_filtered,SYNC default,0.001,0.0,0.4436701536178589,0.39003435770670575,0.02083222744957054,0.001718213160832723,-0.024054984251658123
chameleon_filtered,SYNC selected,0.001,0.01,0.445993036031723,0.3814432919025421,0.008928097478387373,-0.006872852643330892,-0.03264605005582174
