dataset,seed,tied_default_valid_accuracy,sync_default_valid_accuracy,norm_sync_default_valid_accuracy,tied_default_test_accuracy,sync_default_test_accuracy,norm_sync_default_test_accuracy,norm_minus_tied_test_accuracy,norm_minus_sync_test_accuracy,max_relative_graph_step_norm_error,rounding_corrected_steps,max_abs_relative_scale_correction,min_graph_step_scale,max_graph_step_scale,norm_score_sha256,norm_result_sha256
cora,0,0.6820000410079956,0.6660000085830688,0.6820000410079956,0.6890000104904175,0.6820000410079956,0.6880000233650208,-0.0009999871253967285,0.0059999823570251465,1.4469418205985463e-05,1,1.595844483670561e-06,1.8658319634296332,2.220860288078544,940784a91e343b8086b32dd6a003e244a9f15b4c838ea515572c0bdd05c8f120,c439f2aff7eb1c55c0b05b73745ad5be5163f221e2b39a242b8174bcf4c44959
cora,1,0.64000004529953,0.628000020980835,0.6480000019073486,0.6480000019073486,0.6380000114440918,0.6500000357627869,0.0020000338554382324,0.012000024318695068,9.148806745906644e-06,0,0.0,1.877790237595069,2.1289965795380965,2ecf9dc089c4c5455f6e32828daabfca4aaf7bee70a77f78f8608cb451eb964f,75b5d902829d56c3c5c8cfd9261894bafae2eff25e53a9411646bdf5af034f4c
cora,2,0.6960000395774841,0.6780000329017639,0.6840000152587891,0.6950000524520874,0.6710000038146973,0.6770000457763672,-0.018000006675720215,0.006000041961669922,1.413105964873905e-05,9,6.029985501565527e-05,1.78034968817396,2.119513146614177,38931db75ff5b0960bf7b8f84743f44254662f76f42114c6acc41c7c168e5a73,56734be557070c2e3784fbbe8b9d4d8a5697038e53eef53cc312f834e034b4db
wikics,0,0.8208027482032776,0.8241944909095764,0.819672167301178,0.7928852438926697,0.7937403917312622,0.7933983206748962,0.0005130767822265625,-0.0003420710563659668,5.846075736142628e-07,0,0.0,1.5471861175835904,1.8098038910118794,1754e413ed7eee964652959c2fd3952d873c41feaa1aafb1198031ed60b58841,52054af6e4bf0a54e88ddd2a229ba2b711a249fc1c8f1312d79719229f5d3339
wikics,1,0.8213680386543274,0.819672167301178,0.8230639100074768,0.7843338251113892,0.7875833511352539,0.7872412800788879,0.0029074549674987793,-0.0003420710563659668,6.374273677036524e-07,0,0.0,1.6231327278153656,1.827061738707805,5c93f5b9d89f81da96db3e532ca4f8ee58ef026390397f59153147398dc0a959,873199f4ff93e294c66266f68be3d4ac8167c7a78015372ab79918a2aeaa6cfb
wikics,2,0.8247597813606262,0.8230639100074768,0.8236292004585266,0.7940824031829834,0.7857020497322083,0.7922011017799377,-0.0018813014030456543,0.006499052047729492,2.9146791509229457e-07,0,0.0,1.6064359917100004,1.8744440682302717,fd5f9727a08548e858ad73ac90c5ab43db220462b3a498e8d7ff370a624a01ac,745ef561c6fcf0a31491c75db5ef8c5536b0f3ce077d68ba6830f27b159c41c4
actor,0,0.37705591320991516,0.37664473056793213,0.3787006735801697,0.3638158142566681,0.36315789818763733,0.3638158142566681,0.0,0.0006579160690307617,1.908157182844557e-07,0,0.0,1.438614767786218,1.8063793955604401,56943ae053fbead6845b77263391ea42a450b4ee774ea51a77bf6455e5ad2160,6e3b181008fd9d9c2bce5e163c0c69b59f624c86de0c4811d076d73bc8ffeced
actor,1,0.37417763471603394,0.37417763471603394,0.37047699093818665,0.37565791606903076,0.3684210777282715,0.3657895028591156,-0.009868413209915161,-0.002631574869155884,1.376263681623919e-07,0,0.0,1.4291134367611935,1.8115430721637897,f3212f5d2454182cacb9ddf19bdd2cb2951735b8ace66433647d5ff4f8b830ed,afc0005f1f36bbb262d46bd18eb59bf2564851becd0d44f73d28e1697682d3e4
actor,2,0.3803454041481018,0.3803454041481018,0.3815789520740509,0.3796052932739258,0.38486844301223755,0.3861842155456543,0.006578922271728516,0.001315772533416748,1.3131298866661172e-07,0,0.0,1.3630140228705474,1.7905801628529867,f2e3ae0668c2350d73bbce7e1c4b037db60fefd0563673989533aa567d828f0d,2481d6ccbacd96e93ec11220d2bd7407d1513e4dce640f66dc3ce4274b32c86f
chameleon_filtered,0,0.4320557415485382,0.4285714328289032,0.4181184768676758,0.37628865242004395,0.3865979313850403,0.3969072103500366,0.020618557929992676,0.010309278964996338,7.003035291310582e-07,0,0.0,1.4976171391462196,1.9813840188517664,48ca852bcc0be05309dc756613e9828ff3396a2f6537524e40334630c9571703,6db2bd104eb7b99a3a44c636452e192c55006e69007df7ff6dc36bc941e1063d
chameleon_filtered,1,0.4320557415485382,0.4285714328289032,0.4320557415485382,0.4175257682800293,0.41237112879753113,0.34536081552505493,-0.07216495275497437,-0.0670103132724762,2.2293179087286389e-07,0,0.0,1.4673047109390218,2.0171522764663035,eeb9ec6e8c04ee3ba22d2dfc35e41c0e39656479b5cece263e2e5fa579e57f83,edbcf10f7619f40bd6a183f003ce87ce05de9aa9ba0c97b72ceee696e42b48a7
chameleon_filtered,2,0.47735193371772766,0.47386759519577026,0.46341463923454285,0.3711340129375458,0.3711340129375458,0.3865979313850403,0.015463918447494507,0.015463918447494507,3.227037626590175e-07,0,0.0,1.5591216009017177,2.015393535798464,c8adf1016fa2ad2104ac723d2e7689d4c613fa5549a0d7ed406f8483408eda06,396d34dd1408c127276f3b11003582814adc7d56f97cf382ce0964f8b87810b3
