study,graph,seed,partial_arm,N,both_correct,partial_only_correct,ens_only_correct,neither_correct,partial_accuracy,ens_accuracy,delta_accuracy,partial_cell,ens_cell,partial_hard_sha256,ens_hard_sha256,test_reference_sha256
validation_tuning,cora,0,private_first,1000,674,51,62,213,0.725,0.736,-0.011,cora/private_first/lr0.003_wd0/seed0,cora/ens/lr0.0003_wd0.01/seed0,6b8f7e221b2e9267b141ee6057981f967ce4b6941afcb6dba42273c057f35168,7d2317e60e71b4fd151e10d73403e3d02238398e0c8eb3c36e2c2a834beb3aac,bb516d5567ea6fe5a470f827a5f06b5ede5b82b4bff5d00ab062854a3cb16210
validation_tuning,cora,1,private_first,1000,675,69,65,191,0.744,0.74,0.004,cora/private_first/lr0.003_wd0/seed1,cora/ens/lr0.0003_wd0.01/seed1,12cac363e88f84fb63283e5d640c9e9cef021e681ffe158c7665526241a5bc8f,5eead4da307de0a504308fb2b8a9c34e2c325d9ef8fa6dc30bcf8e1efa549cd7,bb516d5567ea6fe5a470f827a5f06b5ede5b82b4bff5d00ab062854a3cb16210
validation_tuning,cora,2,private_first,1000,677,64,55,204,0.741,0.732,0.009,cora/private_first/lr0.003_wd0/seed2,cora/ens/lr0.0003_wd0.01/seed2,fc831d4156d67dd8ffb90e80c7549331a55cbeaff3e354975937b108bfb240b1,8b1744d12813cbc5f913ab06f141b6eef2d55b03406dee1d91e24715595b8013,bb516d5567ea6fe5a470f827a5f06b5ede5b82b4bff5d00ab062854a3cb16210
validation_tuning,wikics,0,private_last,5847,4463,179,147,1058,0.7939114075594322,0.7884385154780229,0.00547289208140927,wikics/private_last/lr0.001_wd0/seed0,wikics/ens/lr0.003_wd0.01/seed0,796c445256c9cbf10c09ef752b3dfcff6a09ad1cf9b3b01d724293082b077919,8efad34423e932c0940e99448c4717f72e390ca9e420a64d938be6f7ffcc0c87,c99b79f77a85c34e31add27e4cc190f9fcf31daf693f8adf5c3eb5f57577ceae
validation_tuning,wikics,1,private_last,5847,4431,233,174,1009,0.7976740208654011,0.7875833760903027,0.01009064477509834,wikics/private_last/lr0.001_wd0/seed1,wikics/ens/lr0.003_wd0.01/seed1,7608b72f200427e001de68d4ced670f6405ae4fa797579a5a8e485330ca47baf,ffb36a333aa47b58179f7cc08bb59daedc4e68a9d00f1c2e3b21fb2a0207f96e,c99b79f77a85c34e31add27e4cc190f9fcf31daf693f8adf5c3eb5f57577ceae
validation_tuning,wikics,2,private_last,5847,4478,180,141,1048,0.7966478536001368,0.7899777663759193,0.006670087224217547,wikics/private_last/lr0.001_wd0/seed2,wikics/ens/lr0.003_wd0.01/seed2,6bdddbd6ecaeafa45d21de0497dfdfd268a2ddbaf4527a166d4fc908499ddf55,305734f41562d8a8377723d242a91d95ff2d82fa8af2d49429430be774837b8d,c99b79f77a85c34e31add27e4cc190f9fcf31daf693f8adf5c3eb5f57577ceae
validation_tuning,actor,0,private_first,1520,409,151,152,808,0.3684210526315789,0.36907894736842106,-0.0006578947368421052,actor/private_first/lr0.003_wd0.01/seed0,actor/ens/lr0.003_wd0.01/seed0,a14c218703a6fe2f049ad5f8f144ca10384fdfe5d5419f7b3d4dafb0bd7d30ca,94cab491f5c4fead50991436fe8c1b535200842d04aa890c7fb22d5c9f132eac,1ff33401699436acf50eee95817be530521b72bf95af53b5a054caf5df311058
validation_tuning,actor,1,private_first,1520,427,157,148,788,0.38421052631578945,0.3782894736842105,0.0059210526315789476,actor/private_first/lr0.003_wd0.01/seed1,actor/ens/lr0.003_wd0.01/seed1,b43cc02f30330c0010ad1878488add9c5427105c6134b4cfad42b3bebb06ca10,cce1f00ea284fef34d4054618110ef8c06708bfa1f2a94bf52e017c7d3dafc74,1ff33401699436acf50eee95817be530521b72bf95af53b5a054caf5df311058
validation_tuning,actor,2,private_first,1520,393,159,187,781,0.3631578947368421,0.3815789473684211,-0.018421052631578946,actor/private_first/lr0.003_wd0.01/seed2,actor/ens/lr0.003_wd0.01/seed2,0502e0d4d5d41f06129e3d8695673da5ded74b72c44bc0b1b2896181adf20659,be6d0d5fc6d1e03ebdcb3b536c5bd2920a8b74d806ef493edb6d2a12db80c359,1ff33401699436acf50eee95817be530521b72bf95af53b5a054caf5df311058
validation_tuning,chameleon_filtered,0,private_last,194,51,17,36,90,0.35051546391752575,0.4484536082474227,-0.0979381443298969,chameleon_filtered/private_last/lr0.003_wd0.01/seed0,chameleon_filtered/ens/lr0.001_wd0.01/seed0,87606f2366d38f7bfcf1ae58ac98d2adc31a1ecdbf462d00f671e1768d5db1c0,ba960316c0edbd6eed4a0e25ebd21bee7112fe95dac085b18efabc39bc0e0e9f,76a504ce33fd892c5051aecff720a7814987d62192c3459facb8e8a327226b10
