dataset,arm,comparator,seed0_difference_pp,seed1_difference_pp,seed2_difference_pp,mean_difference_pp
citeseer,base,ens,-4.000002145767212,-5.299997329711914,-0.9000003337860107,-3.3999999364217124
citeseer,base,tied,0.0,3.700000047683716,12.099999189376831,5.266666412353516
citeseer,base,untied,-2.899998426437378,-7.400000095367432,0.40000081062316895,-3.299999237060547
citeseer,ens,base,4.000002145767212,5.299997329711914,0.9000003337860107,3.3999999364217124
citeseer,ens,tied,4.000002145767212,8.99999737739563,12.999999523162842,8.666666348775228
citeseer,ens,untied,1.100003719329834,-2.1000027656555176,1.3000011444091797,0.10000069936116536
citeseer,tied,base,0.0,-3.700000047683716,-12.099999189376831,-5.266666412353516
citeseer,tied,ens,-4.000002145767212,-8.99999737739563,-12.999999523162842,-8.666666348775228
citeseer,tied,untied,-2.899998426437378,-11.100000143051147,-11.699998378753662,-8.566665649414062
citeseer,private_first,base,2.399998903274536,4.499995708465576,-2.2000014781951904,1.5666643778483074
citeseer,private_first,ens,-1.6000032424926758,-0.8000016212463379,-3.100001811981201,-1.833335558573405
citeseer,private_first,tied,2.399998903274536,8.199995756149292,9.89999771118164,6.833330790201823
citeseer,private_first,untied,-0.4999995231628418,-2.9000043869018555,-1.8000006675720215,-1.7333348592122395
citeseer,private_last,base,2.6000022888183594,3.3999979496002197,-5.4000020027160645,0.19999941190083823
citeseer,private_last,ens,-1.3999998569488525,-1.8999993801116943,-6.300002336502075,-3.200000524520874
citeseer,private_last,tied,2.6000022888183594,7.0999979972839355,6.699997186660767,5.4666658242543535
citeseer,private_last,untied,-0.29999613761901855,-4.000002145767212,-5.0000011920928955,-3.0999998251597085
citeseer,untied,base,2.899998426437378,7.400000095367432,-0.40000081062316895,3.299999237060547
citeseer,untied,ens,-1.100003719329834,2.1000027656555176,-1.3000011444091797,-0.10000069936116536
citeseer,untied,tied,2.899998426437378,11.100000143051147,11.699998378753662,8.566665649414062
pubmed,base,ens,-2.799999713897705,-0.9000003337860107,-0.40000081062316895,-1.3666669527689617
pubmed,base,tied,-0.4999995231628418,1.2999951839447021,3.9999961853027344,1.5999972820281982
pubmed,base,untied,-2.399998903274536,0.6999969482421875,1.8999993801116943,0.0666658083597819
pubmed,ens,base,2.799999713897705,0.9000003337860107,0.40000081062316895,1.3666669527689617
pubmed,ens,tied,2.3000001907348633,2.199995517730713,4.399996995925903,2.9666642347971597
pubmed,ens,untied,0.40000081062316895,1.5999972820281982,2.3000001907348633,1.4333327611287434
pubmed,tied,base,0.4999995231628418,-1.2999951839447021,-3.9999961853027344,-1.5999972820281982
pubmed,tied,ens,-2.3000001907348633,-2.199995517730713,-4.399996995925903,-2.9666642347971597
pubmed,tied,untied,-1.8999993801116943,-0.5999982357025146,-2.09999680519104,-1.5333314736684163
pubmed,private_first,base,2.399998903274536,0.20000338554382324,-1.8000006675720215,0.2666672070821126
pubmed,private_first,ens,-0.40000081062316895,-0.6999969482421875,-2.2000014781951904,-1.0999997456868489
pubmed,private_first,tied,1.8999993801116943,1.4999985694885254,2.199995517730713,1.8666644891103108
pubmed,private_first,untied,0.0,0.9000003337860107,0.09999871253967285,0.33333301544189453
pubmed,private_last,base,2.199995517730713,0.4999995231628418,-1.1999964714050293,0.4999995231628418
pubmed,private_last,ens,-0.6000041961669922,-0.40000081062316895,-1.5999972820281982,-0.8666674296061198
pubmed,private_last,tied,1.699995994567871,1.799994707107544,2.799999713897705,2.09999680519104
pubmed,private_last,untied,-0.20000338554382324,1.1999964714050293,0.700002908706665,0.5666653315226237
pubmed,untied,base,2.399998903274536,-0.6999969482421875,-1.8999993801116943,-0.0666658083597819
pubmed,untied,ens,-0.40000081062316895,-1.5999972820281982,-2.3000001907348633,-1.4333327611287434
pubmed,untied,tied,1.8999993801116943,0.5999982357025146,2.09999680519104,1.5333314736684163
