dataset,arm,role,lr,weight_decay,mean_validation_accuracy,test_seed0,test_seed1,test_seed2,mean_test_accuracy,sd_test_accuracy_across_optimizer_seeds,parameter_count,selected_epoch_seed0,selected_epoch_seed1,selected_epoch_seed2,training_seconds_all_three_seeds,partial_family_selected
citeseer,base,selected,0.003,0.01,0.6260000268618265,0.5960000157356262,0.5800000429153442,0.6270000338554382,0.6010000308354696,0.023895604205401995,640262,838,30,956,16.92154492996633,False
citeseer,base,default,0.001,0.0,0.6186666886011759,0.612000048160553,0.5509999990463257,0.6210000514984131,0.5946666995684305,0.03808327147036833,640262,662,28,56,16.982725337147713,False
citeseer,ens,selected,0.0003,0.01,0.662000040213267,0.6360000371932983,0.6330000162124634,0.6360000371932983,0.6350000301996866,0.00173206292085959,2561048,25,989,23,61.547236401587725,False
citeseer,ens,default,0.001,0.0,0.6480000217755636,0.6370000243186951,0.6130000352859497,0.64000004529953,0.6300000349680582,0.014798649376383335,2561048,14,18,11,60.22264587134123,False
citeseer,tied,selected,0.0003,0.01,0.5586667060852051,0.5960000157356262,0.5430000424385071,0.5060000419616699,0.5483333667119344,0.04523640216332807,656524,760,392,900,70.41260291077197,False
citeseer,tied,default,0.001,0.0,0.5520000259081522,0.5790000557899475,0.534000039100647,0.49800002574920654,0.537000040213267,0.040583262826650916,656524,383,52,20,69.45526876114309,False
citeseer,private_first,selected,0.003,0.01,0.6313333710034689,0.6200000047683716,0.625,0.6050000190734863,0.6166666746139526,0.010408320071173668,904204,513,21,193,71.60943350382149,True
citeseer,private_first,default,0.001,0.0,0.6293333570162455,0.6380000114440918,0.6520000100135803,0.5900000333786011,0.6266666849454244,0.0325166494711331,904204,59,811,36,70.48807386122644,True
citeseer,private_last,selected,0.001,0.0,0.6133333643277487,0.6220000386238098,0.6140000224113464,0.5730000138282776,0.6030000249544779,0.0262868896130567,904204,114,847,820,70.4985608458519,False
citeseer,private_last,default,0.001,0.0,0.6133333643277487,0.6220000386238098,0.6140000224113464,0.5730000138282776,0.6030000249544779,0.0262868896130567,904204,114,847,820,70.4985608458519,False
citeseer,untied,selected,0.001,0.0,0.6406667033831278,0.625,0.6540000438690186,0.6230000257492065,0.6340000232060751,0.017349368695707204,1151884,758,818,21,74.79698256775737,False
citeseer,untied,default,0.001,0.0,0.6406667033831278,0.625,0.6540000438690186,0.6230000257492065,0.6340000232060751,0.017349368695707204,1151884,758,818,21,74.79698256775737,False
pubmed,base,selected,0.0003,0.01,0.752666691939036,0.7270000576972961,0.7490000128746033,0.7580000162124634,0.7446666955947876,0.01594780818705769,229891,66,861,85,21.56322039850056,False
pubmed,base,default,0.001,0.0,0.7306666970252991,0.7500000596046448,0.6860000491142273,0.7390000224113464,0.7250000437100729,0.03421987563420523,229891,28,12,43,21.51942583359778,False
pubmed,ens,selected,0.0003,0.01,0.7640000184377035,0.7550000548362732,0.7580000162124634,0.7620000243186951,0.7583333651224772,0.0035118704860180924,919564,231,132,113,85.0330358184874,False
pubmed,ens,default,0.001,0.0,0.7533333698908488,0.7420000433921814,0.7550000548362732,0.7550000548362732,0.7506667176882426,0.007505560106714614,919564,17,42,29,84.78990612179041,False
pubmed,tied,selected,0.001,0.0,0.7506666978200277,0.7320000529289246,0.7360000610351562,0.718000054359436,0.7286667227745056,0.009451633590034161,233320,545,217,74,90.87175937741995,False
pubmed,tied,default,0.001,0.0,0.7506666978200277,0.7320000529289246,0.7360000610351562,0.718000054359436,0.7286667227745056,0.009451633590034161,233320,545,217,74,90.87175937741995,False
pubmed,private_first,selected,0.0003,0.01,0.7680000265439352,0.7510000467300415,0.7510000467300415,0.7400000095367432,0.7473333676656088,0.006350874434646692,481000,829,616,418,92.10096277855337,False
pubmed,private_first,default,0.001,0.0,0.7540000279744467,0.7420000433921814,0.7480000257492065,0.7470000386238098,0.7456667025883993,0.00321454286153514,481000,719,54,765,91.73456097021699,False
pubmed,private_last,selected,0.001,0.0,0.771333376566569,0.7490000128746033,0.7540000081062317,0.7460000514984131,0.749666690826416,0.004041431806961496,481000,648,440,363,91.77585024014115,True
pubmed,private_last,default,0.001,0.0,0.771333376566569,0.7490000128746033,0.7540000081062317,0.7460000514984131,0.749666690826416,0.004041431806961496,481000,648,440,363,91.77585024014115,True
pubmed,untied,selected,0.001,0.0,0.7546666860580444,0.7510000467300415,0.7420000433921814,0.7390000224113464,0.7440000375111898,0.006245008268158605,728680,898,122,120,94.83184764534235,False
pubmed,untied,default,0.001,0.0,0.7546666860580444,0.7510000467300415,0.7420000433921814,0.7390000224113464,0.7440000375111898,0.006245008268158605,728680,898,122,120,94.83184764534235,False
