dataset,variant,included_backbones,n_configurations,mean_params_m,mean_step_ms,mean_peak_allocated_mb
amazon-ratings,BASE,all_eight,40,4.002309,75.31890000000001,3522.0199999999995
amazon-ratings,ENS_k4,all_eight,40,16.009236,300.6537749999999,3706.0175000000004
amazon-ratings,TABM_k2,all_eight,40,4.005484,153.47625,3635.7300000000005
amazon-ratings,TABM_k4,all_eight,40,4.009176,306.54957499999995,3635.785
amazon-ratings,TABM_k8,all_eight,40,4.01656,612.8393249999999,3635.8975
amazon-ratings,BASE,without_TAG,35,3.876357,71.57,3725.802857142857
amazon-ratings,ENS_k4,without_TAG,35,15.505428,285.69731428571424,3904.148571428572
amazon-ratings,TABM_k2,without_TAG,35,3.879532,145.98654285714284,3842.6600000000003
amazon-ratings,TABM_k4,without_TAG,35,3.883224,291.58022857142856,3842.7114285714283
amazon-ratings,TABM_k8,without_TAG,35,3.890608,582.9312857142857,3842.825714285714
minesweeper,BASE,all_eight,40,3.850241,31.953600000000005,1501.21
minesweeper,ENS_k4,all_eight,40,15.400964,126.76029999999999,1679.2774999999997
minesweeper,TABM_k2,all_eight,40,3.852818,64.49227499999999,1543.0750000000003
minesweeper,TABM_k4,all_eight,40,3.855908,128.503675,1543.1275
minesweeper,TABM_k8,all_eight,40,3.862088,256.630125,1543.22
minesweeper,BASE,without_TAG,35,3.724289,30.430800000000005,1586.9942857142858
minesweeper,ENS_k4,without_TAG,35,14.897156,120.72268571428572,1759.5542857142855
minesweeper,TABM_k2,without_TAG,35,3.726866,61.472685714285724,1629.7914285714287
minesweeper,TABM_k4,without_TAG,35,3.729956,122.44714285714288,1629.8400000000001
minesweeper,TABM_k8,without_TAG,35,3.736136,244.5174,1629.9314285714288
questions,BASE,all_eight,40,4.000769,135.7102,6200.5425000000005
questions,ENS_k4,all_eight,40,16.003076,542.129475,6384.6849999999995
questions,TABM_k2,all_eight,40,4.003934,276.64072500000003,6420.139999999999
questions,TABM_k4,all_eight,40,4.007612,552.8428,6420.205
questions,TABM_k8,all_eight,40,4.014968,1105.4604749999999,6420.31
questions,BASE,without_TAG,35,3.874817,129.35999999999999,6535.745714285716
questions,ENS_k4,without_TAG,35,15.499268,516.7434571428571,6714.268571428572
questions,TABM_k2,without_TAG,35,3.877982,263.9309714285714,6762.62
questions,TABM_k4,without_TAG,35,3.88166,527.4195714285714,6762.682857142858
questions,TABM_k8,without_TAG,35,3.889016,1054.6815428571426,6762.788571428572
roman-empire,BASE,all_eight,40,4.008978,51.295125,2043.5699999999997
roman-empire,ENS_k4,all_eight,40,16.035912,204.4428,2228.1700000000005
roman-empire,TABM_k2,all_eight,40,4.012192,104.99685000000002,2164.34
roman-empire,TABM_k4,all_eight,40,4.015936,209.61915,2164.4125000000004
roman-empire,TABM_k8,all_eight,40,4.023424,418.77295000000004,2164.5249999999996
roman-empire,BASE,without_TAG,35,3.883026,49.31968571428571,2117.4857142857145
roman-empire,ENS_k4,without_TAG,35,15.532104,196.53557142857144,2296.471428571429
roman-empire,TABM_k2,without_TAG,35,3.88624,101.0379142857143,2232.634285714286
roman-empire,TABM_k4,without_TAG,35,3.889984,201.71331428571426,2232.7085714285713
roman-empire,TABM_k8,without_TAG,35,3.897472,402.97231428571433,2232.8199999999997
tolokers,BASE,all_eight,40,3.851777,164.844825,12776.312499999998
tolokers,ENS_k4,all_eight,40,15.407108,658.657425,12953.302500000002
tolokers,TABM_k2,all_eight,40,3.85436,330.5766,12818.0575
tolokers,TABM_k4,all_eight,40,3.857456,660.6421750000001,12818.105000000003
tolokers,TABM_k8,all_eight,40,3.863648,1320.9574749999997,12818.199999999999
tolokers,BASE,without_TAG,35,3.725825,152.658,13921.399999999998
tolokers,ENS_k4,without_TAG,35,14.9033,609.9391142857143,14092.720000000001
tolokers,TABM_k2,without_TAG,35,3.728408,306.16240000000005,13963.608571428573
tolokers,TABM_k4,without_TAG,35,3.731504,611.9216285714286,13963.657142857144
tolokers,TABM_k8,without_TAG,35,3.737696,1223.488514285714,13963.751428571428
