dataset,backbone,variant,split,selected_depth,val_metric,test_metric,metric_name,source
roman-empire,GCN,BASE,0,5,0.753574550151825,0.7359688878059387,acc,results2/roman_empire/base.csv
roman-empire,GCN,BASE,1,1,0.7413945198059082,0.735262930393219,acc,results2/roman_empire/base.csv
roman-empire,GCN,BASE,2,5,0.7394527792930603,0.7290857434272766,acc,results2/roman_empire/base.csv
roman-empire,GCN,BASE,3,4,0.7449249625205994,0.7446169853210449,acc,results2/roman_empire/base.csv
roman-empire,GCN,BASE,4,1,0.7442188858985901,0.718849241733551,acc,results2/roman_empire/base.csv
roman-empire,GCN,BASE,5,5,0.7523388862609863,0.7396752238273621,acc,results2/roman_empire/base.csv
roman-empire,GCN,BASE,6,1,0.7330979704856873,0.7299681901931763,acc,results2/roman_empire/base.csv
roman-empire,GCN,BASE,7,5,0.7500441074371338,0.7426756024360657,acc,results2/roman_empire/base.csv
roman-empire,GCN,BASE,8,1,0.7309796810150146,0.7319096326828003,acc,results2/roman_empire/base.csv
roman-empire,GCN,BASE,9,4,0.7383936047554016,0.7278503179550171,acc,results2/roman_empire/base.csv
roman-empire,SAGE,BASE,0,5,0.8699029088020325,0.8609247803688049,acc,results2/roman_empire/base.csv
roman-empire,SAGE,BASE,1,5,0.8714916110038757,0.8667489886283875,acc,results2/roman_empire/base.csv
roman-empire,SAGE,BASE,2,5,0.8688437342643738,0.8715142607688904,acc,results2/roman_empire/base.csv
roman-empire,SAGE,BASE,3,5,0.8699029088020325,0.8669254779815674,acc,results2/roman_empire/base.csv
roman-empire,SAGE,BASE,4,5,0.8695498704910278,0.8660430312156677,acc,results2/roman_empire/base.csv
roman-empire,SAGE,BASE,5,5,0.8720211386680603,0.8789269328117371,acc,results2/roman_empire/base.csv
roman-empire,SAGE,BASE,6,4,0.8656663298606873,0.8619837164878845,acc,results2/roman_empire/base.csv
roman-empire,SAGE,BASE,7,5,0.870432436466217,0.8649840950965881,acc,results2/roman_empire/base.csv
roman-empire,SAGE,BASE,8,5,0.8711385726928711,0.8709847927093506,acc,results2/roman_empire/base.csv
roman-empire,SAGE,BASE,9,5,0.8691967725753784,0.8593363761901855,acc,results2/roman_empire/base.csv
roman-empire,GAT,BASE,0,5,0.8194174766540527,0.8078008890151978,acc,results2/roman_empire/base.csv
roman-empire,GAT,BASE,1,5,0.8333627581596375,0.8316272497177124,acc,results2/roman_empire/base.csv
roman-empire,GAT,BASE,2,4,0.8225948810577393,0.8303917646408081,acc,results2/roman_empire/base.csv
roman-empire,GAT,BASE,3,5,0.8416593074798584,0.8370984792709351,acc,results2/roman_empire/base.csv
roman-empire,GAT,BASE,4,5,0.8397175669670105,0.8282738924026489,acc,results2/roman_empire/base.csv
roman-empire,GAT,BASE,5,5,0.8280670642852783,0.8236851096153259,acc,results2/roman_empire/base.csv
