dataset,backbone,variant,metric_name,n_splits,mean_percent,population_sd_percent
roman-empire,GCN,BASE,acc,10,73.35862755775452,0.7321841043236826
roman-empire,GCN,ENS,acc,10,75.2453202009201,0.7290683318289338
roman-empire,GCN,GNNM,acc,10,77.73914337158203,0.5415180413183908
roman-empire,SAGE,BASE,acc,10,86.68372452259064,0.5514478254287116
roman-empire,SAGE,ENS,acc,10,87.46558129787445,0.4662049868084801
roman-empire,SAGE,GNNM,acc,10,90.04059076309204,0.4636074136321314
roman-empire,GAT,BASE,acc,10,82.78326690196991,0.8742031601778371
roman-empire,GAT,ENS,acc,10,83.89339745044708,0.3987455503153538
roman-empire,GAT,GNNM,acc,10,82.71090507507324,0.4801220745314868
roman-empire,GAT-sep,BASE,acc,10,89.22873079776764,0.577914388938494
roman-empire,GAT-sep,ENS,acc,10,90.1411908864975,0.41982673155664657
roman-empire,GAT-sep,GNNM,acc,10,91.1895489692688,0.32656094523549284
roman-empire,GT,BASE,acc,10,88.24920237064362,0.5331558820972132
roman-empire,GT,ENS,acc,10,89.00988101959229,0.43454540527422686
roman-empire,GT,GNNM,acc,10,90.2523809671402,0.30722130473459164
roman-empire,GT-sep,BASE,acc,10,87.4602872133255,0.47947491957883537
roman-empire,GT-sep,ENS,acc,10,88.20860922336578,0.3748480436218446
roman-empire,GT-sep,GNNM,acc,10,89.81291651725769,0.4416375648404244
roman-empire,ResNet,BASE,acc,10,65.87715983390808,0.336094580162567
roman-empire,ResNet,ENS,acc,10,66.16307497024536,0.48788232421637423
roman-empire,ResNet,GNNM,acc,10,66.01305782794952,0.4510753790007473
roman-empire,TAG,BASE,acc,10,87.42145895957947,0.5226079849776444
roman-empire,TAG,ENS,acc,10,88.33391845226288,0.598927589756732
roman-empire,TAG,GNNM,acc,10,89.6805477142334,0.274108503041369
amazon-ratings,GCN,BASE,acc,10,50.30377209186554,0.3917229451533018
amazon-ratings,GCN,ENS,acc,10,50.67613899707795,0.474381639819124
amazon-ratings,GCN,GNNM,acc,10,49.97713506221771,0.5742897790677612
amazon-ratings,SAGE,BASE,acc,10,53.7759256362915,0.6056916723955846
amazon-ratings,SAGE,ENS,acc,10,54.93058919906616,0.4383633215368713
amazon-ratings,SAGE,GNNM,acc,10,55.40911316871643,0.4522509705382112
amazon-ratings,GAT,BASE,acc,10,51.70994520187377,0.5123512110083882
amazon-ratings,GAT,ENS,acc,10,53.021395206451416,0.6181675856075349
amazon-ratings,GAT,GNNM,acc,10,52.89237201213837,0.44248206196477424
amazon-ratings,GAT-sep,BASE,acc,10,54.43083345890045,0.4679482258743283
amazon-ratings,GAT-sep,ENS,acc,10,55.58386266231536,0.5062987955820837
amazon-ratings,GAT-sep,GNNM,acc,10,55.76514661312103,0.43568230170917066
amazon-ratings,GT,BASE,acc,10,53.82165551185608,0.44284646754932827
amazon-ratings,GT,ENS,acc,10,55.10697364807129,0.3933772160932897
amazon-ratings,GT,GNNM,acc,10,55.52833497524261,0.43024473419840326
