dataset,model,variant,split,n_test,m,mean_member_acc,logit_ensemble_acc,mean_probability_acc,logit_vs_probability_decisions,ensemble_gain_vs_mean_member_pp,mean_member_ce_nats,pooled_ce_nats,mean_ce_gap_nats,mean_reverse_kl_nats,ce_kl_identity_max_abs_nats,double_fault,pool_member_rescue_pairs,pool_member_harm_pairs,pool_net_correct_pairs,pool_gain_from_pairs_pp,k0_ensemble_rescues,pool_correct_with_some_member_wrong_nodes,pool_wrong_with_some_member_correct_nodes,all_members_correct_ensemble_harms
roman-empire,SAGE,gnnm,0,5666,4,0.8832068478644547,0.892340275326509,0.8909283445111189,48,0.9133427462054255,0.8234793543815613,0.7427645325660706,0.08071490377187729,0.08071490377187729,2.861030225176364e-06,0.0931580185904224,446,239,207,0.913342746205436,1,321,170,0
roman-empire,SAGE,independent_projectors,0,5666,4,0.8566890222379103,0.8663960465937169,0.8660430638898694,69,0.9707024355806615,1.1019247770309448,0.9795538783073425,0.12237085402011871,0.12237085402011871,3.337863745400682e-06,0.11180727144369927,558,338,220,0.9707024355806565,0,399,252,0
roman-empire,SAGE,heads_only,0,5666,4,0.8435845393575715,0.8436286621955524,0.8436286621955524,1,0.004412283798094219,1.3001790046691895,1.2990423440933228,0.00113677850458771,0.0011367747792974114,2.622506144689396e-06,0.15454759383456879,26,25,1,0.004412283798093893,0,20,19,0
roman-empire,SAGE,input_only,0,5666,4,0.8859865866572538,0.8951641369572891,0.8942816801976703,31,0.9177550300035309,0.8616566061973572,0.7766526341438293,0.08500399440526962,0.08500399440526962,2.861023403966101e-06,0.08918696317213791,451,243,208,0.9177550300035299,1,334,182,0
roman-empire,SAGE,output_only,0,5666,4,0.8453053300388281,0.8452170843628662,0.8452170843628662,0,-0.008824567596188437,1.3182001113891602,1.318199634552002,3.7923533113826124e-07,3.7589106227642333e-07,3.8146970382513246e-06,0.15451817860924813,1,3,-2,-0.008824567596187787,0,1,3,0
roman-empire,SAGE,base,0,5666,1,0.8595128838686904,0.8595128838686904,0.8595128838686904,0,0.0,0.9851905703544617,0.9851905703544617,0.0,0.0,0.0,nan,0,0,0,0.0,0,0,0,0
roman-empire,SAGE,gnnm_m1,0,5666,1,0.8438051535474762,0.8438051535474762,0.8438051535474762,0,0.0,1.1834875345230103,1.1834875345230103,0.0,0.0,0.0,nan,0,0,0,0.0,0,0,0,0
roman-empire,SAGE,independent_projectors,1,5666,4,0.8646311330744794,0.876456053653371,0.8738086833745147,66,1.1824920578891618,1.0607115030288696,0.9372199177742004,0.12349160760641098,0.12349160760641098,2.861059329006821e-06,0.10421814331097777,575,307,268,1.1824920578891633,0,407,234,0
roman-empire,SAGE,heads_only,1,5666,4,0.8606600776561949,0.8600423579244617,0.8600423579244617,0,-0.06177197317331906,1.2352983951568604,1.234208345413208,0.0010900342604145408,0.001090035424567759,3.099439254583558e-06,0.13651606071302505,34,48,-14,-0.06177197317331451,0,27,31,0
roman-empire,SAGE,input_only,1,5666,4,0.8888986939639958,0.8976350158842217,0.8969290504765266,34,0.8736321920225887,0.7077611088752747,0.6318551301956177,0.07590595632791519,0.07590595632791519,2.3841566871851683e-06,0.0870396517237322,436,238,198,0.8736321920225909,0,324,176,0
roman-empire,SAGE,output_only,1,5666,4,0.855453582774444,0.855453582774444,0.855453582774444,0,0.0,1.1633284091949463,1.1633281707763672,3.2865659704839345e-07,3.2799309224174067e-07,3.814697265625e-06,0.14454641722555595,0,0,0,0.0,0,0,0,0
roman-empire,SAGE,base,1,5666,1,0.862689728203318,0.862689728203318,0.862689728203318,0,0.0,0.8958854675292969,0.8958854675292969,0.0,0.0,0.0,nan,0,0,0,0.0,0,0,0,0
roman-empire,SAGE,gnnm_m1,1,5666,1,0.8603953406283092,0.8603953406283092,0.8603953406283092,0,0.0,1.1452432870864868,1.1452432870864868,0.0,0.0,0.0,nan,0,0,0,0.0,0,0,0,0
roman-empire,SAGE,gnnm,1,5666,4,0.8918990469466996,0.8993999294034593,0.8993999294034593,41,0.7500882456759617,0.7300238013267517,0.6527745723724365,0.07724928855895996,0.07724929600954056,2.4437904357910156e-06,0.08333333333333333,428,258,170,0.7500882456759619,0,321,193,0
roman-empire,SAGE,independent_projectors,2,5666,4,0.8581891987292622,0.8679844687610307,0.8679844687610307,68,0.9795270031768499,1.0846211910247803,0.956292450428009,0.12832872569561005,0.12832872569561005,4.291534423828125e-06,0.11077773855747736,551,329,222,0.9795270031768444,2,401,243,0
roman-empire,SAGE,heads_only,2,5666,4,0.8452170843628662,0.8457465584186374,0.8457465584186374,1,0.05294740557711952,1.3088703155517578,1.3077785968780518,0.0010917512699961662,0.0010917476611211896,2.3841819256631425e-06,0.1524002823861631,40,28,12,0.05294740557712672,0,29,20,0
