dataset,model,variant,n_splits,splits,mean_reverse_kl_nats,mean_member_ce_nats,mean_pooled_ce_nats,mean_pooling_gain_pp,mean_rescue_pairs_per_split,mean_harm_pairs_per_split,mean_k0_rescues_per_split,mean_wrong_with_some_correct_member_nodes_per_split,mean_logit_probability_decision_changes_per_split
roman-empire,SAGE,base,5,0 1 2 3 4,0.0,0.9558300852775574,0.9558300852775574,0.0,0.0,0.0,0.0,0.0,0.0
roman-empire,SAGE,ens_pooled,5,0 1 2 3 4,0.132725690305233,1.0436243176460267,0.9108986496925354,0.8268619837627945,492.8,305.4,0.0,226.6,55.8
roman-empire,SAGE,freeze_output_factors,5,0 1 2 3 4,0.0804461270570755,0.7992666602134705,0.7188205122947693,0.680374161666073,413.0,258.8,0.4,190.4,42.6
roman-empire,SAGE,gnnm,5,0 1 2 3 4,0.0807937204837799,0.8021716475486755,0.7213779568672181,0.7006706671373064,417.0,258.2,0.4,190.8,42.2
roman-empire,SAGE,gnnm_m1,5,0 1 2 3 4,0.0,1.205959105491638,1.205959105491638,0.0,0.0,0.0,0.0,0.0,0.0
roman-empire,SAGE,heads_only,5,0 1 2 3 4,0.001071398495696485,1.2735151290893554,1.2724437713623047,0.007942110836565153,33.8,32.0,0.0,22.8,0.4
roman-empire,SAGE,independent_projectors,5,0 1 2 3 4,0.1283766195178032,1.0839874029159546,0.9556107759475708,1.0130603600423593,568.6,339.0,0.6,251.8,69.6
roman-empire,SAGE,input_only,5,0 1 2 3 4,0.08132371604442597,0.7939127206802368,0.7125889897346497,0.7359689375220646,422.6,255.8,0.4,189.0,38.0
roman-empire,SAGE,output_only,5,0 1 2 3 4,2.9060686586035444e-07,1.232296895980835,1.23229660987854,-0.003529827038475375,0.6,1.4,0.0,1.2,0.0
roman-empire,SAGE,untied_backbone,5,0 1 2 3 4,0.1319564014673233,1.1969895124435426,1.0650331377983093,0.839216378397456,526.4,336.2,0.2,247.6,67.8
