dataset,model,num_layers,hidden_dim,lr,split,num_model_seeds,best_steps,individual_val_metrics,individual_val_accs,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
minesweeper,ResNet,1,512,3e-05,0,4,"[30, 40, 20, 30]","[0.5011, 0.5156, 0.508, 0.5077]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.5134546249999999,0.7999999523162842,0.5197478532791138,0.5134546249999999,,,,,roc_auc,0.509385,0.7999999523162842,0.5205281376838684,0.509385,,,,,roc_auc,0.519745,0.7999999523162842,0.5193023085594177,0.519745,,,,
minesweeper,ResNet,2,512,3e-05,0,4,"[40, 310, 140, 20]","[0.516, 0.503, 0.5163, 0.503]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.517197125,0.7999999523162842,0.5155665874481201,0.517197125,,,,,roc_auc,0.5019020000000001,0.7999999523162842,0.516031801700592,0.5019020000000001,,,,,roc_auc,0.521463,0.7999999523162842,0.5152021646499634,0.521463,,,,
minesweeper,ResNet,3,512,3e-05,0,4,"[60, 20, 20, 30]","[0.5144, 0.5174, 0.517, 0.503]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.514614875,0.7999999523162842,0.5314947366714478,0.514614875,,,,,roc_auc,0.5142439999999999,0.7999999523162842,0.5328302979469299,0.5142439999999999,,,,,roc_auc,0.521027,0.7999999523162842,0.5306811928749084,0.521027,,,,
minesweeper,ResNet,4,512,3e-05,0,4,"[60, 30, 110, 20]","[0.5186, 0.5162, 0.5144, 0.512]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.512213875,0.7999999523162842,0.5200890302658081,0.512213875,,,,,roc_auc,0.513946,0.7999999523162842,0.5204219818115234,0.513946,,,,,roc_auc,0.5106809999999999,0.7999999523162842,0.5201390385627747,0.5106809999999999,,,,
minesweeper,ResNet,5,512,3e-05,0,4,"[20, 30, 40, 40]","[0.5186, 0.503, 0.5174, 0.5181]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.5145086249999999,0.7999999523162842,0.5215985178947449,0.5145086249999999,,,,,roc_auc,0.515953,0.7999999523162842,0.522143542766571,0.515953,,,,,roc_auc,0.521903,0.7999999523162842,0.5207424759864807,0.521903,,,,
minesweeper,ResNet,1,512,3e-05,1,4,"[40, 20, 30, 40]","[0.5157, 0.5198, 0.5138, 0.5101]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.5116705,0.7999999523162842,0.5171492099761963,0.5116705,,,,,roc_auc,0.515604,0.7999999523162842,0.5178154110908508,0.515604,,,,,roc_auc,0.5233665,0.7999999523162842,0.5177500247955322,0.5233665,,,,
minesweeper,ResNet,2,512,3e-05,1,4,"[710, 250, 20, 20]","[0.5137, 0.5174, 0.5162, 0.5152]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.5102475000000001,0.7999999523162842,0.5141177773475647,0.5102475000000001,,,,,roc_auc,0.513746,0.7999999523162842,0.5144000053405762,0.513746,,,,,roc_auc,0.5070105,0.7999999523162842,0.5147857069969177,0.5070105,,,,
minesweeper,ResNet,3,512,3e-05,1,4,"[20, 260, 20, 160]","[0.5185, 0.5158, 0.5218, 0.5158]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.509605,0.7999999523162842,0.5179389715194702,0.509605,,,,,roc_auc,0.520923,0.7999999523162842,0.5176275372505188,0.520923,,,,,roc_auc,0.5163584999999999,0.7999999523162842,0.5171660780906677,0.5163584999999999,,,,
minesweeper,ResNet,4,512,3e-05,1,4,"[30, 10, 100, 20]","[0.5158, 0.5153, 0.5158, 0.5222]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.5112855,0.7999999523162842,0.555161714553833,0.5112855,,,,,roc_auc,0.520069,0.7999999523162842,0.5550364255905151,0.520069,,,,,roc_auc,0.5293525,0.7999999523162842,0.5549108386039734,0.5293525,,,,
minesweeper,ResNet,5,512,3e-05,1,4,"[30, 10, 130, 10]","[0.5158, 0.5156, 0.5121, 0.5209]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.5122530000000001,0.7999999523162842,0.5792953968048096,0.5122530000000001,,,,,roc_auc,0.511352,0.7999999523162842,0.579639732837677,0.511352,,,,,roc_auc,0.5227864999999999,0.7999999523162842,0.579275369644165,0.5227864999999999,,,,
