dataset,model,num_layers,hidden_dim,lr,split,best_step,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
amazon-ratings,ResNet,1,512,3e-05,0,4890,acc,0.9616200923919678,0.9616200923919678,0.13444076478481293,,0.9636123222690063,0.9616528626676695,0.9623276190642173,0.9653725427374029,acc,0.4786868989467621,0.4786868989467621,2.0128026008605957,,0.4253602600023127,0.47308625723456116,0.4597477913378018,0.40866343347654965,acc,0.49322226643562317,0.49322226643562317,1.9063009023666382,,0.43859824633769307,0.4878096969912383,0.47351920041668694,0.42143564835251857
amazon-ratings,ResNet,2,512,3e-05,0,690,acc,0.4324677288532257,0.4324677288532257,1.3141748905181885,,0.23876702381489281,0.36030900295934176,0.44217749753636915,0.2759449059178277,acc,0.3965376317501068,0.3965376317501068,1.376254677772522,,0.20672551173102396,0.32177655660756943,0.3253852793465393,0.24771860367402604,acc,0.39033153653144836,0.39033153653144836,1.371116042137146,,0.20667648747702438,0.3181695531407298,0.4023370613834909,0.24592428283119766
amazon-ratings,ResNet,3,512,3e-05,0,380,acc,0.4110729992389679,0.4110729992389679,1.3491662740707397,,0.20065611483788337,0.32036696051050373,0.3040247423681673,0.2516954649483956,acc,0.3929446339607239,0.3929446339607239,1.383470058441162,,0.18729093405486555,0.30219898009197166,0.2761939715817149,0.2379500827692839,acc,0.38690185546875,0.38690185546875,1.3808180093765259,,0.18501451267054453,0.29808743337093146,0.2876021552920175,0.23512614942968724
amazon-ratings,ResNet,4,512,3e-05,0,4290,acc,0.9831781983375549,0.9831781983375549,0.06625160574913025,,0.9828766393955126,0.9831814742516057,0.9803055227533484,0.9855729794968038,acc,0.488812655210495,0.488812655210495,2.1692004203796387,,0.4325946416560651,0.4822254692617711,0.47532724899690787,0.41336883185756934,acc,0.4999183416366577,0.4999183416366577,2.065617561340332,,0.4424146763769505,0.494095451877717,0.4806401415942084,0.4239915077219001
amazon-ratings,ResNet,5,512,3e-05,0,450,acc,0.4096031188964844,0.4096031188964844,1.3537379503250122,,0.19813577072862598,0.3172149966312983,0.24504938073295773,0.2514246252358713,acc,0.39196473360061646,0.39196473360061646,1.385368824005127,,0.1868068955160749,0.3014047010913238,0.20595210683859086,0.2383501332911911,acc,0.38559529185295105,0.38559529185295105,1.3819736242294312,,0.1844574065885853,0.29717992749497246,0.15363760278846134,0.23540179489677718
amazon-ratings,ResNet,1,512,3e-05,1,5000,acc,0.9581904411315918,0.9581904411315918,0.14058634638786316,,0.9615990813448295,0.958205273054441,0.9657231592714293,0.9579249017676515,acc,0.48946595191955566,0.48946595191955566,2.018775701522827,,0.4253893458103269,0.48199764607872764,0.467019293540324,0.4069985145210039,acc,0.4914257526397705,0.4914257526397705,1.997324824333191,,0.4370987018940494,0.4848560013172423,0.48959863530764614,0.4154462363714105
amazon-ratings,ResNet,2,512,3e-05,1,4880,acc,0.9861178994178772,0.9861178994178772,0.053923796862363815,,0.9860095832272652,0.9861108536870383,0.9850349729887522,0.9870298297560721,acc,0.4871794879436493,0.4871794879436493,2.2088863849639893,,0.432030553930007,0.4803627805703695,0.46414516373894654,0.41548143460992043,acc,0.4951820969581604,0.4951820969581604,2.189997434616089,,0.4369510892873299,0.48859824716497735,0.4750470741324124,0.4184546014119671
amazon-ratings,ResNet,3,512,3e-05,1,4950,acc,0.9878327250480652,0.9878327250480652,0.043134626001119614,,0.986816571687317,0.987832580289836,0.984162992972446,0.9895568815038731,acc,0.49158909916877747,0.49158909916877747,2.2383267879486084,,0.4349322687848132,0.4858338976038997,0.4731684877427413,0.416489533419724,acc,0.49877509474754333,0.49877509474754333,2.2200164794921875,,0.4457986484327555,0.49344766907546594,0.4873474535294887,0.4259194459107025
amazon-ratings,ResNet,4,512,3e-05,1,4150,acc,0.9832598567008972,0.9832598567008972,0.06424959748983383,,0.9834012653439398,0.9832538354335342,0.9823582367451404,0.9845235112817241,acc,0.4907724857330322,0.4907724857330322,2.173679828643799,,0.4390156202651199,0.48490868849195695,0.482830994046265,0.41870819981125057,acc,0.49485546350479126,0.49485546350479126,2.151870012283325,,0.43793186006237317,0.48792021379963607,0.48422638239441174,0.41819957448414824
amazon-ratings,ResNet,5,512,3e-05,1,4540,acc,0.9866078495979309,0.9866078495979309,0.044110506772994995,,0.9854899910102446,0.986604154560864,0.982682933095661,0.9883916359211031,acc,0.4924056828022003,0.4924056828022003,2.280977487564087,,0.43784955454941177,0.4862849015738427,0.47997057991093417,0.41788379994759445,acc,0.4937122166156769,0.4937122166156769,2.2605748176574707,,0.44219408356202033,0.4877694388325881,0.4886337222096956,0.4208676644618075
