dataset,model,num_layers,hidden_dim,lr,split,best_step,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
roman-empire,ResNet,1,512,3e-05,0,700,acc,0.7416821122169495,0.7416821122169495,0.7430654764175415,,0.6535701760458397,0.7273821054727989,0.6920494339410399,0.6702014937325642,acc,0.6529567241668701,0.6529567241668701,1.1663715839385986,,0.5412605191872362,0.6323074699948339,0.5506654516322483,0.5674620188335031,acc,0.6553123593330383,0.6553123593330383,1.1396825313568115,,0.5363944336811115,0.6333507484254821,0.531462293646596,0.5686732767311435
roman-empire,ResNet,1,512,3e-05,1,610,acc,0.7253552079200745,0.7253552079200745,0.7910003066062927,,0.6188096780639376,0.7050567163833721,0.6951960539558871,0.6201061115753141,acc,0.6647837162017822,0.6647837162017822,1.1027799844741821,,0.5398721640091669,0.6392477861155942,0.5622602008197718,0.5560689203033532,acc,0.6643134355545044,0.6643134355545044,1.0978538990020752,,0.5353320500900866,0.636682492977313,0.5432822757864617,0.551342277665754
roman-empire,ResNet,1,512,3e-05,2,630,acc,0.7351513504981995,0.7351513504981995,0.7673411965370178,,0.6356098114399142,0.7170997667173866,0.7002712929825434,0.635895906327867,acc,0.6527802348136902,0.6527802348136902,1.1495468616485596,,0.5288886144702487,0.627725081255646,0.5421675292248548,0.5410519168686956,acc,0.6547828912734985,0.6547828912734985,1.1098967790603638,,0.5267688684867733,0.6294709686901754,0.54397420640801,0.5373194166257188
roman-empire,ResNet,1,512,3e-05,3,600,acc,0.7283558249473572,0.7283558249473572,0.7928149104118347,,0.6238185649538686,0.7076197028755259,0.6999259920297528,0.6226126975694257,acc,0.654898464679718,0.654898464679718,1.1167458295822144,,0.5299420718125916,0.6287659632334829,0.550457872036382,0.5380118831290198,acc,0.6625485420227051,0.6625485420227051,1.08870530128479,,0.5411864217341192,0.6376693240143476,0.5864292846570374,0.5480588573381395
roman-empire,ResNet,1,512,3e-05,4,750,acc,0.7559791803359985,0.7559791803359985,0.6945110559463501,,0.6691792276698062,0.7425611820014557,0.7185200302325239,0.6644561531578391,acc,0.6559576392173767,0.6559576392173767,1.154157042503357,,0.5388998260773267,0.6353647125910337,0.5548566245587829,0.5494307559445869,acc,0.6509000658988953,0.6509000658988953,1.1726833581924438,,0.5408747134170075,0.6307628997518427,0.5502970492566743,0.5533787867921093
roman-empire,ResNet,1,512,3e-05,5,660,acc,0.7323272824287415,0.7323272824287415,0.7692436575889587,,0.6410446616164561,0.7146639171384983,0.704086372602089,0.6388654164273045,acc,0.6582524180412292,0.6582524180412292,1.1174050569534302,,0.5307270621212696,0.6336424177780093,0.5494572488563849,0.5419553072991143,acc,0.665372371673584,0.665372371673584,1.0710252523422241,,0.5471981481326003,0.6431642374252543,0.5599418932317155,0.5591347351781578
roman-empire,ResNet,1,512,3e-05,6,610,acc,0.7323272824287415,0.7323272824287415,0.7759941816329956,,0.6324446908995183,0.7137897647289642,0.7024295651499661,0.6333328996938785,acc,0.6559576392173767,0.6559576392173767,1.1103333234786987,,0.5262772492825255,0.6327471646311976,0.5379069134099823,0.5387727588050096,acc,0.6590186953544617,0.6590186953544617,1.1276676654815674,,0.5342594540600148,0.6351103332728993,0.5471773938944863,0.5482828612116311
roman-empire,ResNet,1,512,3e-05,7,540,acc,0.7222663760185242,0.7222663760185242,0.8262420296669006,,0.6099012537814069,0.6978560559949308,0.6931034530602153,0.6106858224327449,acc,0.6513680219650269,0.6513680219650269,1.109851360321045,,0.5174899328250124,0.6221714098646836,0.542444870699321,0.5279622675659671,acc,0.6618425250053406,0.6618425250053406,1.1153788566589355,,0.5294812218976783,0.6314445249746798,0.5578607601171091,0.5390847005102412
roman-empire,ResNet,1,512,3e-05,8,370,acc,0.695084273815155,0.695084273815155,0.9174010753631592,,0.5671545412117305,0.6677074002639584,0.6326552322393202,0.5710142470651314,acc,0.6559576392173767,0.6559576392173767,1.103552222251892,,0.5143444108867028,0.6228543097076075,0.5441816011038839,0.5274582977219917,acc,0.6583127379417419,0.6583127379417419,1.0891469717025757,,0.5234640556655502,0.6279176638755176,0.5460645017548994,0.5370932596395154
roman-empire,ResNet,1,512,3e-05,9,700,acc,0.7461830377578735,0.7461830377578735,0.727266788482666,,0.6569161088979227,0.730726727671366,0.7003498665922591,0.6614433512001824,acc,0.6559576392173767,0.6559576392173767,1.1592340469360352,,0.5376858956792897,0.6330579433010357,0.5565044854003706,0.5510415632152839,acc,0.6438404321670532,0.6438404321670532,1.168331503868103,,0.5227766962697752,0.6206917373862311,0.5277837515518828,0.5409868802332776
