dataset,model,num_layers,hidden_dim,lr,split,num_model_seeds,best_steps,individual_val_metrics,individual_val_accs,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
roman-empire,ResNet,1,512,3e-05,0,4,"[700, 550, 600, 700]","[0.653, 0.6533, 0.656, 0.6602]","[0.653, 0.6533, 0.656, 0.6602]",acc,0.734268844127655,0.734268844127655,0.760316014289856,,0.6384695539045908,0.7164870143275225,0.7004922378826879,0.6527036573454512,acc,0.6518976092338562,0.6518976092338562,1.1209348440170288,,0.5355551467715223,0.6279106209836539,0.5500360743713696,0.5608512399126906,acc,0.6577832698822021,0.6577832698822021,1.1038563251495361,,0.5357065462551567,0.6317701732363417,0.5365543887141538,0.5669809823959411
roman-empire,ResNet,2,512,3e-05,0,4,"[440, 380, 570, 490]","[0.6549, 0.6584, 0.6574, 0.6547]","[0.6549, 0.6584, 0.6574, 0.6547]",acc,0.7227959036827087,0.7227959036827087,0.8011213541030884,,0.6196015309736608,0.7031749140686928,0.6921069923916418,0.6400691626206341,acc,0.6578993797302246,0.6578993797302246,1.1073168516159058,,0.5345515689142485,0.6321282693650728,0.5580489437005943,0.5644488254586242,acc,0.6583127379417419,0.6583127379417419,1.0908679962158203,,0.5346662526647836,0.6320957875502652,0.5352162398276962,0.5683134871367879
roman-empire,ResNet,3,512,3e-05,0,4,"[440, 350, 520, 430]","[0.6558, 0.6568, 0.6602, 0.6586]","[0.6558, 0.6568, 0.6602, 0.6586]",acc,0.7205013036727905,0.7205013036727905,0.8063424825668335,,0.6192066464058059,0.7016920262353382,0.6871924515021883,0.6406030346382344,acc,0.65754634141922,0.65754634141922,1.0954135656356812,,0.5359819668410274,0.6322466259905833,0.5600192719061579,0.5667083699137003,acc,0.6570773124694824,0.6570773124694824,1.078409194946289,,0.5346255990780296,0.6311950762479079,0.5344283004761153,0.5697241353910335
roman-empire,ResNet,4,512,3e-05,0,4,"[370, 420, 440, 370]","[0.6547, 0.6572, 0.6577, 0.6575]","[0.6547, 0.6572, 0.6577, 0.6575]",acc,0.7130879759788513,0.7130879759788513,0.8232226967811584,,0.6072590483732276,0.6906015306908744,0.6793489410791496,0.6331756926354806,acc,0.654898464679718,0.654898464679718,1.0839895009994507,,0.5313662407980787,0.6265147792503267,0.5501902532679007,0.5635218672572564,acc,0.6539004445075989,0.6539004445075989,1.071666955947876,,0.5306910752191817,0.6253717972515095,0.5297632054752345,0.5667928540912126
roman-empire,ResNet,5,512,3e-05,0,4,"[340, 350, 580, 430]","[0.6508, 0.6556, 0.653, 0.6556]","[0.6508, 0.6556, 0.653, 0.6556]",acc,0.7183831930160522,0.7183831930160522,0.7944238185882568,,0.6188523866290507,0.6980317748007522,0.6791699981686355,0.6431629375145025,acc,0.6570167541503906,0.6570167541503906,1.0830250978469849,,0.5366498900946922,0.6303750503850423,0.5576756334418405,0.5678569363691806,acc,0.6554888486862183,0.6554888486862183,1.0704387426376343,,0.5342691034262271,0.6281691080875436,0.530732215109992,0.5703759525206549
roman-empire,ResNet,1,512,3e-05,1,4,"[710, 690, 590, 660]","[0.6653, 0.6632, 0.6634, 0.6641]","[0.6653, 0.6632, 0.6634, 0.6641]",acc,0.7376224398612976,0.7376224398612976,0.7479689717292786,,0.6357757570118865,0.7192942703911622,0.723725560548675,0.6344492809774493,acc,0.6670785546302795,0.6670785546302795,1.1082024574279785,,0.5418292131427658,0.6407325919698498,0.560639384037931,0.5573288041941309,acc,0.6673137545585632,0.6673137545585632,1.0958172082901,,0.5409606150142722,0.6405023346064779,0.548089799062669,0.5552137631887227
roman-empire,ResNet,2,512,3e-05,1,4,"[590, 470, 350, 440]","[0.6616, 0.6614, 0.6627, 0.6665]","[0.6616, 0.6614, 0.6627, 0.6665]",acc,0.7191774845123291,0.7191774845123291,0.812106728553772,,0.6059158014561136,0.6952975209216059,0.7111685068571671,0.6098748882273985,acc,0.6605471968650818,0.6605471968650818,1.079891562461853,,0.5353982401271422,0.6319115552178961,0.5629773969364663,0.5530949857146189,acc,0.6667842864990234,0.6667842864990234,1.0700206756591797,,0.5382572253485532,0.6369597293412761,0.5505958542762779,0.5548546719948851
roman-empire,ResNet,3,512,3e-05,1,4,"[420, 340, 690, 370]","[0.6634, 0.66, 0.6613, 0.6621]","[0.6634, 0.66, 0.6613, 0.6621]",acc,0.7243844270706177,0.7243844270706177,0.7890812158584595,,0.6123053174320028,0.701198567912718,0.7115938207612742,0.6197826508139701,acc,0.6623124480247498,0.6623124480247498,1.0777696371078491,,0.5333299455130429,0.6335460307361919,0.5555622557566008,0.5556081643880718,acc,0.6669607758522034,0.6669607758522034,1.0673041343688965,,0.5382178874516067,0.6374762489672313,0.5445537232443379,0.5584026412305059
roman-empire,ResNet,4,512,3e-05,1,4,"[490, 520, 420, 400]","[0.6618, 0.6593, 0.6605, 0.6674]","[0.6618, 0.6593, 0.6605, 0.6674]",acc,0.7247374653816223,0.7247374653816223,0.7879388332366943,,0.6136612765682168,0.7025465272409105,0.7063632257568045,0.6210806194421543,acc,0.6614298224449158,0.6614298224449158,1.0712823867797852,,0.5334783097272626,0.6330621216254827,0.552859261944675,0.5550314181044179,acc,0.665195882320404,0.665195882320404,1.0663402080535889,,0.5387823453807282,0.636948909231447,0.5467461233652239,0.557042980868647
roman-empire,ResNet,5,512,3e-05,1,4,"[610, 540, 350, 480]","[0.6625, 0.6595, 0.6584, 0.6625]","[0.6625, 0.6595, 0.6584, 0.6625]",acc,0.7340923547744751,0.7340923547744751,0.7506011128425598,,0.6338833532859284,0.7149580934310863,0.7138287406334142,0.6407802881668395,acc,0.6603707075119019,0.6603707075119019,1.0820574760437012,,0.5366667168523616,0.6343509192771866,0.5505685083885505,0.5581582366034358,acc,0.6659018397331238,0.6659018397331238,1.0726666450500488,,0.5467937970496718,0.6405108145273843,0.5543559474562316,0.5645878846114036
