study,setting,backbone,n_splits,mean_test_acc_percent,sample_sd_test_acc_percent,source
members,k2,SAGE,5,87.7126693725586,0.5588674982725125,ablation/results_k/roman-empire_k2.csv
members,k2,GAT-sep,5,89.90822196006775,0.28714416668329834,ablation/results_k/roman-empire_k2.csv
members,k2,GT-sep,5,87.6950204372406,0.41077400452686946,ablation/results_k/roman-empire_k2.csv
members,k4,SAGE,5,89.50229167938232,0.32528946490151756,ablation/results_k/roman-empire_k4.csv
members,k4,GAT-sep,5,90.85068583488464,0.38639147435031795,ablation/results_k/roman-empire_k4.csv
members,k4,GT-sep,5,89.62936639785767,0.2547238789964433,ablation/results_k/roman-empire_k4.csv
members,k8,SAGE,5,90.82597613334656,0.36457290376295437,ablation/results_k/roman-empire_k8.csv
members,k8,GAT-sep,5,91.36603951454163,0.4822771047717305,ablation/results_k/roman-empire_k8.csv
members,k8,GT-sep,5,90.84009766578674,0.3137374382780479,ablation/results_k/roman-empire_k8.csv
initialization,default,SAGE,5,89.50229167938232,0.32528946490151756,ablation/results_init/roman-empire_default.csv
initialization,default,GAT-sep,5,90.97775936126709,0.18316098401080266,ablation/results_init/roman-empire_default.csv
initialization,default,GT-sep,5,89.62936639785767,0.2547238789964433,ablation/results_init/roman-empire_default.csv
initialization,ones_all,SAGE,5,85.41828274726868,0.5823417730151038,ablation/results_init/roman-empire_ones_all.csv
initialization,ones_all,GAT-sep,5,88.65513205528259,0.39195414768463577,ablation/results_init/roman-empire_ones_all.csv
initialization,ones_all,GT-sep,5,86.58312559127808,0.5677165963279366,ablation/results_init/roman-empire_ones_all.csv
initialization,xavier_all,SAGE,5,87.19731450080872,0.2715893115563715,ablation/results_init/roman-empire_xavier_all.csv
initialization,xavier_all,GAT-sep,5,89.58347678184509,0.5326114171337851,ablation/results_init/roman-empire_xavier_all.csv
initialization,xavier_all,GT-sep,5,88.04447412490845,0.7934855699820151,ablation/results_init/roman-empire_xavier_all.csv
