dataset,comparison,metric_name,n_backbones,n_splits_per_backbone,backbone_wins,backbone_ties,backbone_losses,mean_backbone_delta_pp,median_backbone_delta_pp,minimum_backbone_delta_pp,maximum_backbone_delta_pp
roman-empire,GNNM-ENS,acc,8,10,6,0,2,1.122264713048935,1.2945646047592163,-1.1824923753738403,2.5750094652175903
roman-empire,GNNM-BASE,acc,8,10,7,0,1,2.0470791310071945,2.1311336755752563,-0.07236182689666748,4.380515813827515
roman-empire,ENS-BASE,acc,8,10,8,0,0,0.9248144179582596,0.847158133983612,0.2859151363372803,1.8866926431655884
amazon-ratings,GNNM-ENS,acc,8,10,5,0,3,0.0883958488702774,0.14290422201156616,-0.6990039348602295,0.47852396965026855
amazon-ratings,GNNM-BASE,acc,8,10,7,0,1,1.23795535415411,1.4502689242362976,-0.32663702964782715,1.7066794633865356
amazon-ratings,ENS-BASE,acc,8,10,8,0,0,1.1495595052838326,1.219990849494934,0.37236690521240234,1.4698684215545654
minesweeper,GNNM-ENS,roc_auc,8,10,3,0,5,-0.33918875000000054,-0.018750000000001266,-1.6624199999999998,0.23821999999999896
minesweeper,GNNM-BASE,roc_auc,8,10,5,0,3,-0.04967124999999843,0.19692500000000057,-1.249119999999998,0.5249300000000023
minesweeper,ENS-BASE,roc_auc,8,10,8,0,0,0.28951750000000215,0.27546000000000154,0.13747999999999982,0.48533000000000376
questions,GNNM-ENS,roc_auc,8,10,8,0,0,1.010055349808016,0.7811411215190645,0.4804367953563593,2.6265559016321527
questions,GNNM-BASE,roc_auc,8,10,8,0,0,1.509078401741824,1.2650366305017897,0.8265275023146579,3.354869097617461
questions,ENS-BASE,roc_auc,8,10,8,0,0,0.4990230519338079,0.4368646229932882,0.2926515034321575,0.8263681890701878
tolokers,GNNM-ENS,roc_auc,8,10,6,0,2,0.1700567878339279,0.4113152707623313,-0.795544818872701,0.6262183830447188
tolokers,GNNM-BASE,roc_auc,8,10,6,0,2,0.5316115327157029,0.6489728302275583,-0.7921624926456372,1.4058106873374865
tolokers,ENS-BASE,roc_auc,8,10,7,0,1,0.3615547448817751,0.326818118965701,-0.008659161833808326,0.8779068348747054
