dataset,backbone,comparison,metric_name,n_splits,mean_paired_delta_pp,split_wins,split_ties,split_losses
roman-empire,GCN,GNNM-ENS,acc,10,2.4938231706619263,10,0,0
roman-empire,SAGE,GNNM-ENS,acc,10,2.5750094652175903,10,0,0
roman-empire,GAT,GNNM-ENS,acc,10,-1.1824923753738403,0,0,10
roman-empire,GAT-sep,GNNM-ENS,acc,10,1.0483580827713013,10,0,0
roman-empire,GT,GNNM-ENS,acc,10,1.2424999475479126,10,0,0
roman-empire,GT-sep,GNNM-ENS,acc,10,1.6043072938919065,10,0,0
roman-empire,ResNet,GNNM-ENS,acc,10,-0.1500171422958374,4,0,6
roman-empire,TAG,GNNM-ENS,acc,10,1.34662926197052,10,0,0
roman-empire,GCN,GNNM-BASE,acc,10,4.380515813827515,10,0,0
roman-empire,SAGE,GNNM-BASE,acc,10,3.3568662405014034,10,0,0
roman-empire,GAT,GNNM-BASE,acc,10,-0.07236182689666748,5,0,5
roman-empire,GAT-sep,GNNM-BASE,acc,10,1.9608181715011597,10,0,0
roman-empire,GT,GNNM-BASE,acc,10,2.003178596496582,10,0,0
roman-empire,GT-sep,GNNM-BASE,acc,10,2.35262930393219,10,0,0
roman-empire,ResNet,GNNM-BASE,acc,10,0.13589799404144287,7,0,3
roman-empire,TAG,GNNM-BASE,acc,10,2.2590887546539307,10,0,0
roman-empire,GCN,ENS-BASE,acc,10,1.8866926431655884,10,0,0
roman-empire,SAGE,ENS-BASE,acc,10,0.7818567752838134,10,0,0
roman-empire,GAT,ENS-BASE,acc,10,1.1101305484771729,10,0,0
roman-empire,GAT-sep,ENS-BASE,acc,10,0.9124600887298584,10,0,0
roman-empire,GT,ENS-BASE,acc,10,0.7606786489486694,10,0,0
roman-empire,GT-sep,ENS-BASE,acc,10,0.7483220100402832,10,0,0
roman-empire,ResNet,ENS-BASE,acc,10,0.2859151363372803,9,0,1
roman-empire,TAG,ENS-BASE,acc,10,0.9124594926834105,10,0,0
amazon-ratings,GCN,GNNM-ENS,acc,10,-0.6990039348602295,2,0,8
amazon-ratings,SAGE,GNNM-ENS,acc,10,0.47852396965026855,9,0,1
amazon-ratings,GAT,GNNM-ENS,acc,10,-0.12902319431304932,4,0,6
amazon-ratings,GAT-sep,GNNM-ENS,acc,10,0.18128395080566406,6,0,4
amazon-ratings,GT,GNNM-ENS,acc,10,0.4213613271713257,8,0,2
amazon-ratings,GT-sep,GNNM-ENS,acc,10,0.4229938983917237,8,0,2
amazon-ratings,ResNet,GNNM-ENS,acc,10,-0.07349371910095215,4,0,6
amazon-ratings,TAG,GNNM-ENS,acc,10,0.10452449321746826,6,0,4
amazon-ratings,GCN,GNNM-BASE,acc,10,-0.32663702964782715,3,0,7
