dataset,comparison,mean_paired_delta_pp,backbone_wins,backbone_losses
roman-empire,GNNM-ENS,1.122264713048935,6,2
roman-empire,GNNM-BASE,2.047079131007194,7,1
roman-empire,ENS-BASE,0.9248144179582595,8,0
amazon-ratings,GNNM-ENS,0.0883958488702774,5,3
amazon-ratings,GNNM-BASE,1.23795535415411,7,1
amazon-ratings,ENS-BASE,1.1495595052838326,8,0
minesweeper,GNNM-ENS,-0.33918875000000054,3,5
minesweeper,GNNM-BASE,-0.04967124999999842,5,3
minesweeper,ENS-BASE,0.28951750000000215,8,0
questions,GNNM-ENS,1.010055349808016,8,0
questions,GNNM-BASE,1.509078401741824,8,0
questions,ENS-BASE,0.49902305193380797,8,0
tolokers,GNNM-ENS,0.17005678783392789,6,2
tolokers,GNNM-BASE,0.5316115327157029,6,2
tolokers,ENS-BASE,0.3615547448817751,7,1
