policy,dataset,backbone,variant,metric_name,n_splits,mean_percent,population_sd_percent
per_split_validation,roman-empire,GCN,BASE,acc,10,73.35862755775452,0.7321841043236826
mean_validation,roman-empire,GCN,BASE,acc,10,73.42392981052399,0.7583706472044424
split0_validation,roman-empire,GCN,BASE,acc,10,72.19555020332336,1.3912439146191082
per_split_validation,roman-empire,SAGE,BASE,acc,10,86.68372452259064,0.5514478254287116
mean_validation,roman-empire,SAGE,BASE,acc,10,86.70313894748688,0.5372534684702434
split0_validation,roman-empire,SAGE,BASE,acc,10,86.70313894748688,0.5372534684702434
per_split_validation,roman-empire,GAT,BASE,acc,10,82.78326690196991,0.8742031601778371
mean_validation,roman-empire,GAT,BASE,acc,10,82.49205589294434,1.1239329261932647
split0_validation,roman-empire,GAT,BASE,acc,10,82.49205589294434,1.1239329261932647
per_split_validation,roman-empire,GAT-sep,BASE,acc,10,89.22873079776764,0.577914388938494
mean_validation,roman-empire,GAT-sep,BASE,acc,10,89.16342914104462,0.6759871141940577
split0_validation,roman-empire,GAT-sep,BASE,acc,10,89.16342914104462,0.6759871141940577
per_split_validation,roman-empire,GT,BASE,acc,10,88.24920237064362,0.5331558820972132
mean_validation,roman-empire,GT,BASE,acc,10,88.24920237064362,0.5331558820972132
split0_validation,roman-empire,GT,BASE,acc,10,88.24920237064362,0.5331558820972132
per_split_validation,roman-empire,GT-sep,BASE,acc,10,87.4602872133255,0.47947491957883537
mean_validation,roman-empire,GT-sep,BASE,acc,10,87.4602872133255,0.47947491957883537
split0_validation,roman-empire,GT-sep,BASE,acc,10,87.4602872133255,0.47947491957883537
per_split_validation,roman-empire,ResNet,BASE,acc,10,65.87715983390808,0.336094580162567
mean_validation,roman-empire,ResNet,BASE,acc,10,65.80656468868256,0.4296538021847777
split0_validation,roman-empire,ResNet,BASE,acc,10,65.80656468868256,0.4296538021847777
per_split_validation,roman-empire,TAG,BASE,acc,10,87.42145895957947,0.5226079849776444
mean_validation,roman-empire,TAG,BASE,acc,10,87.44616746902466,0.5541969813404382
split0_validation,roman-empire,TAG,BASE,acc,10,87.44616746902466,0.5541969813404382
per_split_validation,roman-empire,GCN,ENS,acc,10,75.2453202009201,0.7290683318289338
mean_validation,roman-empire,GCN,ENS,acc,10,75.0405901670456,1.1665729642660014
split0_validation,roman-empire,GCN,ENS,acc,10,75.0405901670456,1.1665729642660014
per_split_validation,roman-empire,SAGE,ENS,acc,10,87.46558129787445,0.4662049868084801
mean_validation,roman-empire,SAGE,ENS,acc,10,87.46558129787445,0.4662049868084801
split0_validation,roman-empire,SAGE,ENS,acc,10,87.46558129787445,0.4662049868084801
per_split_validation,roman-empire,GAT,ENS,acc,10,83.89339745044708,0.3987455503153538
mean_validation,roman-empire,GAT,ENS,acc,10,83.84221494197845,0.4081687995242155
split0_validation,roman-empire,GAT,ENS,acc,10,83.84221494197845,0.4081687995242155
per_split_validation,roman-empire,GAT-sep,ENS,acc,10,90.1411908864975,0.41982673155664657
mean_validation,roman-empire,GAT-sep,ENS,acc,10,90.1411908864975,0.41982673155664657
split0_validation,roman-empire,GAT-sep,ENS,acc,10,90.1411908864975,0.41982673155664657
per_split_validation,roman-empire,GT,ENS,acc,10,89.00988101959229,0.43454540527422686
mean_validation,roman-empire,GT,ENS,acc,10,89.00988101959229,0.43454540527422686
split0_validation,roman-empire,GT,ENS,acc,10,89.00988101959229,0.43454540527422686
per_split_validation,roman-empire,GT-sep,ENS,acc,10,88.20860922336578,0.3748480436218446
mean_validation,roman-empire,GT-sep,ENS,acc,10,88.20860922336578,0.3748480436218446
split0_validation,roman-empire,GT-sep,ENS,acc,10,88.20860922336578,0.3748480436218446
per_split_validation,roman-empire,ResNet,ENS,acc,10,66.16307497024536,0.48788232421637423
mean_validation,roman-empire,ResNet,ENS,acc,10,66.15072131156921,0.5020825037831522
split0_validation,roman-empire,ResNet,ENS,acc,10,66.15072131156921,0.5020825037831522
per_split_validation,roman-empire,TAG,ENS,acc,10,88.33391845226288,0.598927589756732
mean_validation,roman-empire,TAG,ENS,acc,10,88.28803062438965,0.6313948245517959
split0_validation,roman-empire,TAG,ENS,acc,10,88.28803062438965,0.6313948245517959
per_split_validation,roman-empire,GCN,GNNM,acc,10,77.73914337158203,0.5415180413183908
mean_validation,roman-empire,GCN,GNNM,acc,10,77.53794312477112,0.9646527782175489
split0_validation,roman-empire,GCN,GNNM,acc,10,77.53794312477112,0.9646527782175489
per_split_validation,roman-empire,SAGE,GNNM,acc,10,90.04059076309204,0.4636074136321314
mean_validation,roman-empire,SAGE,GNNM,acc,10,90.0070571899414,0.5066127121052623
split0_validation,roman-empire,SAGE,GNNM,acc,10,90.0070571899414,0.5066127121052623
per_split_validation,roman-empire,GAT,GNNM,acc,10,82.71090507507324,0.4801220745314868
mean_validation,roman-empire,GAT,GNNM,acc,10,82.74973273277283,0.39788562438808767
split0_validation,roman-empire,GAT,GNNM,acc,10,82.74973273277283,0.39788562438808767
per_split_validation,roman-empire,GAT-sep,GNNM,acc,10,91.1895489692688,0.32656094523549284
mean_validation,roman-empire,GAT-sep,GNNM,acc,10,91.12071752548218,0.44309109089848514
split0_validation,roman-empire,GAT-sep,GNNM,acc,10,90.88774919509888,0.21659567896177365
per_split_validation,roman-empire,GT,GNNM,acc,10,90.2523809671402,0.30722130473459164
mean_validation,roman-empire,GT,GNNM,acc,10,90.29297411441803,0.23493844771491054
split0_validation,roman-empire,GT,GNNM,acc,10,90.29297411441803,0.23493844771491054
per_split_validation,roman-empire,GT-sep,GNNM,acc,10,89.81291651725769,0.4416375648404244
mean_validation,roman-empire,GT-sep,GNNM,acc,10,89.82527077198029,0.41060349523545586
split0_validation,roman-empire,GT-sep,GNNM,acc,10,89.82527077198029,0.41060349523545586
per_split_validation,roman-empire,ResNet,GNNM,acc,10,66.01305782794952,0.4510753790007473
mean_validation,roman-empire,ResNet,GNNM,acc,10,65.77655911445618,0.38111130451939085
split0_validation,roman-empire,ResNet,GNNM,acc,10,65.77655911445618,0.38111130451939085
per_split_validation,roman-empire,TAG,GNNM,acc,10,89.6805477142334,0.274108503041369
mean_validation,roman-empire,TAG,GNNM,acc,10,89.64348435401917,0.30301140519908815
split0_validation,roman-empire,TAG,GNNM,acc,10,89.64348435401917,0.30301140519908815
per_split_validation,amazon-ratings,GCN,BASE,acc,10,50.30377209186554,0.3917229451533018
mean_validation,amazon-ratings,GCN,BASE,acc,10,50.30377209186554,0.3917229451533018
split0_validation,amazon-ratings,GCN,BASE,acc,10,50.30377209186554,0.3917229451533018
per_split_validation,amazon-ratings,SAGE,BASE,acc,10,53.7759256362915,0.6056916723955846
mean_validation,amazon-ratings,SAGE,BASE,acc,10,53.70570003986359,0.5447687319635318
split0_validation,amazon-ratings,SAGE,BASE,acc,10,53.70570003986359,0.5447687319635318
per_split_validation,amazon-ratings,GAT,BASE,acc,10,51.70994520187377,0.5123512110083882
mean_validation,amazon-ratings,GAT,BASE,acc,10,51.72627747058869,0.5467540266910444
split0_validation,amazon-ratings,GAT,BASE,acc,10,51.72627747058869,0.5467540266910444
per_split_validation,amazon-ratings,GAT-sep,BASE,acc,10,54.43083345890045,0.4679482258743283
mean_validation,amazon-ratings,GAT-sep,BASE,acc,10,54.59088563919068,0.3710755700824986
split0_validation,amazon-ratings,GAT-sep,BASE,acc,10,54.59088563919068,0.3710755700824986
per_split_validation,amazon-ratings,GT,BASE,acc,10,53.82165551185608,0.44284646754932827
mean_validation,amazon-ratings,GT,BASE,acc,10,53.73183012008666,0.36824545659691676
split0_validation,amazon-ratings,GT,BASE,acc,10,53.846153020858765,0.46158882973884935
per_split_validation,amazon-ratings,GT-sep,BASE,acc,10,53.75306129455566,0.29497413575703374
mean_validation,amazon-ratings,GT-sep,BASE,acc,10,53.61097455024719,0.5243115110632703
split0_validation,amazon-ratings,GT-sep,BASE,acc,10,53.57341110706329,0.5091273671150018
per_split_validation,amazon-ratings,ResNet,BASE,acc,10,48.210027515888214,0.44609892033998
mean_validation,amazon-ratings,ResNet,BASE,acc,10,48.273721635341644,0.4793781895831335
split0_validation,amazon-ratings,ResNet,BASE,acc,10,48.317817747592926,0.5592679467329926
per_split_validation,amazon-ratings,TAG,BASE,acc,10,52.25216269493102,0.19884754542152644
mean_validation,amazon-ratings,TAG,BASE,acc,10,52.240731120109565,0.417345678020665
split0_validation,amazon-ratings,TAG,BASE,acc,10,52.240731120109565,0.417345678020665
per_split_validation,amazon-ratings,GCN,ENS,acc,10,50.67613899707795,0.474381639819124
mean_validation,amazon-ratings,GCN,ENS,acc,10,50.749632120132446,0.4974766716920105
split0_validation,amazon-ratings,GCN,ENS,acc,10,50.749632120132446,0.4974766716920105
per_split_validation,amazon-ratings,SAGE,ENS,acc,10,54.93058919906616,0.4383633215368713
mean_validation,amazon-ratings,SAGE,ENS,acc,10,54.72480833530427,0.4383996495672217
split0_validation,amazon-ratings,SAGE,ENS,acc,10,54.8799604177475,0.394274230958029
per_split_validation,amazon-ratings,GAT,ENS,acc,10,53.021395206451416,0.6181675856075349
mean_validation,amazon-ratings,GAT,ENS,acc,10,53.11938643455505,0.47633362950425795
split0_validation,amazon-ratings,GAT,ENS,acc,10,53.11938643455505,0.47633362950425795
per_split_validation,amazon-ratings,GAT-sep,ENS,acc,10,55.58386266231536,0.5062987955820837
mean_validation,amazon-ratings,GAT-sep,ENS,acc,10,55.65735638141632,0.4033977420733333
split0_validation,amazon-ratings,GAT-sep,ENS,acc,10,55.65735638141632,0.4033977420733333
per_split_validation,amazon-ratings,GT,ENS,acc,10,55.10697364807129,0.3933772160932897
mean_validation,amazon-ratings,GT,ENS,acc,10,55.10043978691102,0.3221812684967051
split0_validation,amazon-ratings,GT,ENS,acc,10,55.0498116016388,0.3748543267289479
per_split_validation,amazon-ratings,GT-sep,ENS,acc,10,54.896292090415955,0.4362206357236556
mean_validation,amazon-ratings,GT-sep,ENS,acc,10,55.056344866752625,0.48872713784359706
split0_validation,amazon-ratings,GT-sep,ENS,acc,10,54.821165800094604,0.3649754379894249
per_split_validation,amazon-ratings,ResNet,ENS,acc,10,49.516576528549194,0.6140200836638832
mean_validation,amazon-ratings,ResNet,ENS,acc,10,49.29772883653641,0.5377749042905252
split0_validation,amazon-ratings,ResNet,ENS,acc,10,49.39898669719696,0.4005841410767492
per_split_validation,amazon-ratings,TAG,ENS,acc,10,53.72203111648559,0.41626715981505047
mean_validation,amazon-ratings,TAG,ENS,acc,10,53.76449406147004,0.36394788094488406
split0_validation,amazon-ratings,TAG,ENS,acc,10,53.76449406147004,0.36394788094488406
per_split_validation,amazon-ratings,GCN,GNNM,acc,10,49.97713506221771,0.5742897790677612
mean_validation,amazon-ratings,GCN,GNNM,acc,10,50.05716145038605,0.501097818214057
split0_validation,amazon-ratings,GCN,GNNM,acc,10,49.46594774723053,0.6695190432379862
per_split_validation,amazon-ratings,SAGE,GNNM,acc,10,55.40911316871643,0.4522509705382112
mean_validation,amazon-ratings,SAGE,GNNM,acc,10,55.369916558265686,0.4980040741410366
split0_validation,amazon-ratings,SAGE,GNNM,acc,10,55.267025232315056,0.374565200476295
per_split_validation,amazon-ratings,GAT,GNNM,acc,10,52.89237201213837,0.44248206196477424
mean_validation,amazon-ratings,GAT,GNNM,acc,10,52.89237201213837,0.44248206196477424
split0_validation,amazon-ratings,GAT,GNNM,acc,10,52.89237201213837,0.44248206196477424
per_split_validation,amazon-ratings,GAT-sep,GNNM,acc,10,55.76514661312103,0.43568230170917066
mean_validation,amazon-ratings,GAT-sep,GNNM,acc,10,55.794544219970696,0.32029214319409277
split0_validation,amazon-ratings,GAT-sep,GNNM,acc,10,55.62306046485901,0.612859818951359
