policy,dataset,backbone,variant,split,selected_depth,test_metric,metric_name
per_split_validation,roman-empire,GCN,BASE,0,5,0.7359688878059387,acc
per_split_validation,roman-empire,GCN,BASE,1,1,0.735262930393219,acc
per_split_validation,roman-empire,GCN,BASE,2,5,0.7290857434272766,acc
per_split_validation,roman-empire,GCN,BASE,3,4,0.7446169853210449,acc
per_split_validation,roman-empire,GCN,BASE,4,1,0.718849241733551,acc
per_split_validation,roman-empire,GCN,BASE,5,5,0.7396752238273621,acc
per_split_validation,roman-empire,GCN,BASE,6,1,0.7299681901931763,acc
per_split_validation,roman-empire,GCN,BASE,7,5,0.7426756024360657,acc
per_split_validation,roman-empire,GCN,BASE,8,1,0.7319096326828003,acc
per_split_validation,roman-empire,GCN,BASE,9,4,0.7278503179550171,acc
mean_validation,roman-empire,GCN,BASE,0,1,0.7310271859169006,acc
mean_validation,roman-empire,GCN,BASE,1,1,0.735262930393219,acc
mean_validation,roman-empire,GCN,BASE,2,1,0.7403811812400818,acc
mean_validation,roman-empire,GCN,BASE,3,1,0.7423226237297058,acc
mean_validation,roman-empire,GCN,BASE,4,1,0.718849241733551,acc
mean_validation,roman-empire,GCN,BASE,5,1,0.7412636280059814,acc
mean_validation,roman-empire,GCN,BASE,6,1,0.7299681901931763,acc
mean_validation,roman-empire,GCN,BASE,7,1,0.7442640066146851,acc
mean_validation,roman-empire,GCN,BASE,8,1,0.7319096326828003,acc
mean_validation,roman-empire,GCN,BASE,9,1,0.7271443605422974,acc
split0_validation,roman-empire,GCN,BASE,0,5,0.7359688878059387,acc
split0_validation,roman-empire,GCN,BASE,1,5,0.7222025990486145,acc
split0_validation,roman-empire,GCN,BASE,2,5,0.7290857434272766,acc
split0_validation,roman-empire,GCN,BASE,3,5,0.7153194546699524,acc
split0_validation,roman-empire,GCN,BASE,4,5,0.7089657187461853,acc
split0_validation,roman-empire,GCN,BASE,5,5,0.7396752238273621,acc
split0_validation,roman-empire,GCN,BASE,6,5,0.718849241733551,acc
split0_validation,roman-empire,GCN,BASE,7,5,0.7426756024360657,acc
split0_validation,roman-empire,GCN,BASE,8,5,0.6992587447166443,acc
split0_validation,roman-empire,GCN,BASE,9,5,0.7075538039207458,acc
per_split_validation,roman-empire,SAGE,BASE,0,5,0.8609247803688049,acc
per_split_validation,roman-empire,SAGE,BASE,1,5,0.8667489886283875,acc
per_split_validation,roman-empire,SAGE,BASE,2,5,0.8715142607688904,acc
per_split_validation,roman-empire,SAGE,BASE,3,5,0.8669254779815674,acc
per_split_validation,roman-empire,SAGE,BASE,4,5,0.8660430312156677,acc
per_split_validation,roman-empire,SAGE,BASE,5,5,0.8789269328117371,acc
per_split_validation,roman-empire,SAGE,BASE,6,4,0.8619837164878845,acc
per_split_validation,roman-empire,SAGE,BASE,7,5,0.8649840950965881,acc
per_split_validation,roman-empire,SAGE,BASE,8,5,0.8709847927093506,acc
per_split_validation,roman-empire,SAGE,BASE,9,5,0.8593363761901855,acc
mean_validation,roman-empire,SAGE,BASE,0,5,0.8609247803688049,acc
mean_validation,roman-empire,SAGE,BASE,1,5,0.8667489886283875,acc
mean_validation,roman-empire,SAGE,BASE,2,5,0.8715142607688904,acc
mean_validation,roman-empire,SAGE,BASE,3,5,0.8669254779815674,acc
mean_validation,roman-empire,SAGE,BASE,4,5,0.8660430312156677,acc
mean_validation,roman-empire,SAGE,BASE,5,5,0.8789269328117371,acc
mean_validation,roman-empire,SAGE,BASE,6,5,0.8639251589775085,acc
mean_validation,roman-empire,SAGE,BASE,7,5,0.8649840950965881,acc
mean_validation,roman-empire,SAGE,BASE,8,5,0.8709847927093506,acc
mean_validation,roman-empire,SAGE,BASE,9,5,0.8593363761901855,acc
split0_validation,roman-empire,SAGE,BASE,0,5,0.8609247803688049,acc
split0_validation,roman-empire,SAGE,BASE,1,5,0.8667489886283875,acc
split0_validation,roman-empire,SAGE,BASE,2,5,0.8715142607688904,acc
split0_validation,roman-empire,SAGE,BASE,3,5,0.8669254779815674,acc
split0_validation,roman-empire,SAGE,BASE,4,5,0.8660430312156677,acc
split0_validation,roman-empire,SAGE,BASE,5,5,0.8789269328117371,acc
split0_validation,roman-empire,SAGE,BASE,6,5,0.8639251589775085,acc
split0_validation,roman-empire,SAGE,BASE,7,5,0.8649840950965881,acc
split0_validation,roman-empire,SAGE,BASE,8,5,0.8709847927093506,acc
split0_validation,roman-empire,SAGE,BASE,9,5,0.8593363761901855,acc
per_split_validation,roman-empire,GAT,BASE,0,5,0.8078008890151978,acc
per_split_validation,roman-empire,GAT,BASE,1,5,0.8316272497177124,acc
per_split_validation,roman-empire,GAT,BASE,2,4,0.8303917646408081,acc
per_split_validation,roman-empire,GAT,BASE,3,5,0.8370984792709351,acc
per_split_validation,roman-empire,GAT,BASE,4,5,0.8282738924026489,acc
per_split_validation,roman-empire,GAT,BASE,5,5,0.8236851096153259,acc
per_split_validation,roman-empire,GAT,BASE,6,5,0.8425697088241577,acc
per_split_validation,roman-empire,GAT,BASE,7,4,0.8263325095176697,acc
per_split_validation,roman-empire,GAT,BASE,8,4,0.823508620262146,acc
per_split_validation,roman-empire,GAT,BASE,9,3,0.8270384669303894,acc
mean_validation,roman-empire,GAT,BASE,0,5,0.8078008890151978,acc
mean_validation,roman-empire,GAT,BASE,1,5,0.8316272497177124,acc
mean_validation,roman-empire,GAT,BASE,2,5,0.8180373907089233,acc
mean_validation,roman-empire,GAT,BASE,3,5,0.8370984792709351,acc
mean_validation,roman-empire,GAT,BASE,4,5,0.8282738924026489,acc
mean_validation,roman-empire,GAT,BASE,5,5,0.8236851096153259,acc
mean_validation,roman-empire,GAT,BASE,6,5,0.8425697088241577,acc
mean_validation,roman-empire,GAT,BASE,7,5,0.8055065274238586,acc
mean_validation,roman-empire,GAT,BASE,8,5,0.8243910670280457,acc
mean_validation,roman-empire,GAT,BASE,9,5,0.8302152752876282,acc
split0_validation,roman-empire,GAT,BASE,0,5,0.8078008890151978,acc
split0_validation,roman-empire,GAT,BASE,1,5,0.8316272497177124,acc
split0_validation,roman-empire,GAT,BASE,2,5,0.8180373907089233,acc
split0_validation,roman-empire,GAT,BASE,3,5,0.8370984792709351,acc
split0_validation,roman-empire,GAT,BASE,4,5,0.8282738924026489,acc
split0_validation,roman-empire,GAT,BASE,5,5,0.8236851096153259,acc
split0_validation,roman-empire,GAT,BASE,6,5,0.8425697088241577,acc
split0_validation,roman-empire,GAT,BASE,7,5,0.8055065274238586,acc
split0_validation,roman-empire,GAT,BASE,8,5,0.8243910670280457,acc
split0_validation,roman-empire,GAT,BASE,9,5,0.8302152752876282,acc
per_split_validation,roman-empire,GAT-sep,BASE,0,5,0.8893399238586426,acc
per_split_validation,roman-empire,GAT-sep,BASE,1,5,0.8985174298286438,acc
per_split_validation,roman-empire,GAT-sep,BASE,2,5,0.8935756683349609,acc
per_split_validation,roman-empire,GAT-sep,BASE,3,5,0.8967525362968445,acc
per_split_validation,roman-empire,GAT-sep,BASE,4,5,0.8949876427650452,acc
per_split_validation,roman-empire,GAT-sep,BASE,5,5,0.8997529149055481,acc
per_split_validation,roman-empire,GAT-sep,BASE,6,5,0.8962230682373047,acc
per_split_validation,roman-empire,GAT-sep,BASE,7,5,0.8822802305221558,acc
per_split_validation,roman-empire,GAT-sep,BASE,8,4,0.8858100771903992,acc
per_split_validation,roman-empire,GAT-sep,BASE,9,5,0.8856335878372192,acc
mean_validation,roman-empire,GAT-sep,BASE,0,5,0.8893399238586426,acc
mean_validation,roman-empire,GAT-sep,BASE,1,5,0.8985174298286438,acc
mean_validation,roman-empire,GAT-sep,BASE,2,5,0.8935756683349609,acc
mean_validation,roman-empire,GAT-sep,BASE,3,5,0.8967525362968445,acc
mean_validation,roman-empire,GAT-sep,BASE,4,5,0.8949876427650452,acc
mean_validation,roman-empire,GAT-sep,BASE,5,5,0.8997529149055481,acc
mean_validation,roman-empire,GAT-sep,BASE,6,5,0.8962230682373047,acc
mean_validation,roman-empire,GAT-sep,BASE,7,5,0.8822802305221558,acc
mean_validation,roman-empire,GAT-sep,BASE,8,5,0.8792799115180969,acc
mean_validation,roman-empire,GAT-sep,BASE,9,5,0.8856335878372192,acc
split0_validation,roman-empire,GAT-sep,BASE,0,5,0.8893399238586426,acc
split0_validation,roman-empire,GAT-sep,BASE,1,5,0.8985174298286438,acc
split0_validation,roman-empire,GAT-sep,BASE,2,5,0.8935756683349609,acc
split0_validation,roman-empire,GAT-sep,BASE,3,5,0.8967525362968445,acc
