dataset,model,num_layers,split,num_model_seeds,best_steps,individual_val_accs,train_acc,val_acc,test_acc,test_loss,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc
amazon-ratings,ResNet,5,0,4,"[993, 993, 954, 52]","[0.4475, 0.449, 0.4606, 0.3854]",0.8967009782791138,0.46594804525375366,0.4848930239677429,1.577337622642517,0.4271401185708016,0.4782015261716958,0.468058561237232,0.4091021711747135,
amazon-ratings,ResNet,5,1,4,"[996, 924, 1000, 1000]","[0.4545, 0.4588, 0.4602, 0.4553]",0.8864935636520386,0.4711742699146271,0.47231748700141907,1.80704665184021,0.41359482399548797,0.46692654565960906,0.4370591370567836,0.4019037316161465,
amazon-ratings,ResNet,5,2,4,"[996, 999, 984, 988]","[0.462, 0.4508, 0.4555, 0.4501]",0.8953127264976501,0.4693777561187744,0.47558385133743286,1.8719953298568726,0.40468209819883566,0.46941433494747165,0.4271441808916193,0.3955862215945726,
amazon-ratings,ResNet,5,3,4,"[993, 987, 1000, 994]","[0.4702, 0.4718, 0.4702, 0.4527]",0.8810223937034607,0.4816266596317291,0.47346070408821106,1.7993032932281494,0.4101214603544909,0.46726337430818765,0.4394933484498421,0.3963237627574413,
amazon-ratings,ResNet,5,4,4,"[965, 975, 993, 998]","[0.4591, 0.464, 0.463, 0.4686]",0.9050301909446716,0.475910484790802,0.4764004647731781,1.8879855871200562,0.4042046606115508,0.4714394445002873,0.4178346300252017,0.3964145414692089,
amazon-ratings,ResNet,5,5,4,"[1000, 987, 1000, 957]","[0.455, 0.4656, 0.4655, 0.4632]",0.8745712637901306,0.4731340706348419,0.4571288526058197,1.8425981998443604,0.3928235692066299,0.45302771487079074,0.40483727282819687,0.38647120309567107,
amazon-ratings,ResNet,5,6,4,"[999, 995, 964, 1000]","[0.4638, 0.4633, 0.4717, 0.4596]",0.8833088278770447,0.48195329308509827,0.4731340706348419,1.8232324123382568,0.41280024942673554,0.4680121549285798,0.4348956661602273,0.4011390025334184,
amazon-ratings,ResNet,5,7,4,"[985, 974, 965, 975]","[0.4496, 0.4491, 0.446, 0.453]",0.8726931214332581,0.46333494782447815,0.4726441204547882,1.79026460647583,0.4072431131679452,0.4657809320820119,0.43463421289596377,0.39472552052369647,
amazon-ratings,ResNet,5,8,4,"[998, 999, 996, 125]","[0.4553, 0.4524, 0.4627, 0.3895]",0.8765311241149902,0.4785235822200775,0.4710109233856201,1.5926350355148315,0.40575394727195374,0.463174965498719,0.4458207206009067,0.39001384652499727,
amazon-ratings,ResNet,5,9,4,"[980, 980, 82, 986]","[0.4444, 0.4529, 0.3908, 0.4563]",0.8818389773368835,0.4652947783470154,0.48146334290504456,1.5617451667785645,0.4042712515201381,0.473201298766011,0.43633069463000557,0.39100216843492236,
amazon-ratings,GCN,5,0,4,"[454, 528, 884, 901]","[0.4877, 0.4851, 0.489, 0.4882]",0.6749142408370972,0.4883227050304413,0.48897600173950195,1.487700343132019,0.41749916911075324,0.48085651791294876,0.44016150725585723,0.408167091829724,
amazon-ratings,GCN,5,1,4,"[508, 450, 551, 992]","[0.4873, 0.4857, 0.4859, 0.4906]",0.669933021068573,0.48848602175712585,0.4935488998889923,1.4349294900894165,0.41935565365988553,0.48630848612611804,0.43911371804413546,0.4100986989251072,
amazon-ratings,GCN,5,2,4,"[389, 363, 464, 305]","[0.4766, 0.4821, 0.4826, 0.4749]",0.6087701916694641,0.48358646035194397,0.48374977707862854,1.347097396850586,0.3903318134682262,0.46912630411381334,0.42975955083015444,0.38037205862251705,
amazon-ratings,GCN,5,3,4,"[853, 387, 930, 987]","[0.4865, 0.4872, 0.4926, 0.4919]",0.6995753645896912,0.4945288300514221,0.4834231436252594,1.583567500114441,0.42373304181690036,0.47978023398771147,0.43183554635203275,0.4189078263495823,
amazon-ratings,GCN,5,4,4,"[880, 526, 940, 993]","[0.4864, 0.4828, 0.4906, 0.4908]",0.6925526857376099,0.49011921882629395,0.48358646035194397,1.6204897165298462,0.40815047450357067,0.4787791064649563,0.4143022534145516,0.40625879413244126,
amazon-ratings,GCN,5,5,4,"[881, 990, 927, 985]","[0.4918, 0.4913, 0.496, 0.4913]",0.7037400007247925,0.494202196598053,0.486526221036911,1.6263668537139893,0.4223850272068173,0.4830557182552451,0.4290001945443193,0.41808561770501945,
amazon-ratings,GCN,5,6,4,"[965, 995, 850, 340]","[0.4823, 0.4877, 0.4873, 0.4757]",0.6989220976829529,0.4897925853729248,0.4881593883037567,1.5565202236175537,0.41477777449997627,0.4831920292929269,0.4248437825988051,0.4102379859161682,
amazon-ratings,GCN,5,7,4,"[444, 513, 989, 280]","[0.4771, 0.4746, 0.4802, 0.473]",0.6553159952163696,0.4827698767185211,0.48048341274261475,1.3993077278137207,0.4043087674597185,0.4715510882628288,0.4337133752394607,0.39320141528450137,
amazon-ratings,GCN,5,8,4,"[586, 998, 401, 827]","[0.4872, 0.4888, 0.4846, 0.49]",0.6755675077438354,0.49224236607551575,0.48260655999183655,1.5239051580429077,0.4063689288762369,0.47237966166489875,0.42964536639671885,0.40066093889473464,
amazon-ratings,GCN,5,9,4,"[967, 995, 617, 757]","[0.4815, 0.478, 0.4741, 0.4728]",0.7011268734931946,0.4752572178840637,0.47460395097732544,1.6755855083465576,0.4078563579240918,0.4722554869864616,0.409102501275252,0.40950744015551094,
amazon-ratings,SAGE,5,0,4,"[972, 994, 968, 988]","[0.5154, 0.5131, 0.521, 0.5187]",0.9638249278068542,0.527519166469574,0.5454842448234558,1.9274214506149292,0.4925403404308061,0.5403635627609764,0.512443243273445,0.48236347203760543,
amazon-ratings,SAGE,5,1,4,"[975, 998, 912, 1000]","[0.5275, 0.5306, 0.5306, 0.5239]",0.9634982943534851,0.5422178506851196,0.5307855606079102,1.9649040699005127,0.481818321171088,0.5263709014206954,0.5010139038005296,0.4720881791905233,
amazon-ratings,SAGE,5,2,4,"[995, 950, 996, 970]","[0.5153, 0.5166, 0.5153, 0.5172]",0.964886486530304,0.5268658995628357,0.530458927154541,2.0128064155578613,0.4682111198875757,0.526003565607568,0.4859856163205893,0.45965145445207806,
amazon-ratings,SAGE,5,3,4,"[964, 957, 981, 920]","[0.5292, 0.5272, 0.5326, 0.5213]",0.9560672640800476,0.5312755107879639,0.5317654609680176,1.9148138761520386,0.4738066818763224,0.5266472676355185,0.498302502319929,0.46243794957118256,
amazon-ratings,SAGE,5,4,4,"[986, 994, 951, 991]","[0.5275, 0.5223, 0.5321, 0.5236]",0.9673362374305725,0.5387881994247437,0.5382981896400452,1.974784016609192,0.4638688321314435,0.532580731823234,0.48129673965196595,0.4552489578335721,
amazon-ratings,SAGE,5,5,4,"[987, 949, 964, 969]","[0.5208, 0.5203, 0.5195, 0.5272]",0.9684795141220093,0.5342152714729309,0.5397680997848511,2.0286669731140137,0.4865592931402062,0.5351612237524132,0.5059174616474688,0.47586544632716343,
