dataset,model,num_layers,split,num_model_seeds,best_steps,individual_val_accs,train_acc,val_acc,test_acc,test_loss,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc
minesweeper,ResNet,5,0,4,"[18, 1, 40, 36]","[0.8, 0.7872, 0.8, 0.8]",0.7999999523162842,0.7999999523162842,0.7999999523162842,0.5022038221359253,,,,,0.512634
minesweeper,ResNet,5,1,4,"[22, 2, 2, 8]","[0.8, 0.8, 0.8, 0.8]",0.7999999523162842,0.7999999523162842,0.7999999523162842,0.520374596118927,,,,,0.5307434999999999
minesweeper,ResNet,5,3,4,"[2, 11, 1, 36]","[0.8, 0.8, 0.8, 0.8]",0.7999999523162842,0.7999999523162842,0.7999999523162842,0.5135748386383057,,,,,0.5197275
minesweeper,ResNet,5,2,4,"[12, 15, 22, 42]","[0.8, 0.8, 0.8, 0.8]",0.7999999523162842,0.7999999523162842,0.7999999523162842,0.5317792892456055,,,,,0.5220750000000001
minesweeper,ResNet,5,4,4,"[16, 104, 20, 8]","[0.8, 0.8, 0.8, 0.8]",0.7999999523162842,0.7999999523162842,0.7999999523162842,0.5484074354171753,,,,,0.5007495
minesweeper,ResNet,5,5,4,"[8, 1, 2, 360]","[0.8, 0.6856, 0.8, 0.8]",0.7999999523162842,0.7999999523162842,0.7999999523162842,0.512790322303772,,,,,0.49231349999999996
minesweeper,ResNet,5,6,4,"[2, 5, 27, 30]","[0.8, 0.8, 0.8, 0.8]",0.7999999523162842,0.7999999523162842,0.7999999523162842,0.5696364045143127,,,,,0.503565
minesweeper,ResNet,5,7,4,"[13, 3, 12, 14]","[0.8, 0.8, 0.8, 0.8]",0.7999999523162842,0.7999999523162842,0.7999999523162842,0.6637256741523743,,,,,0.5164009999999999
minesweeper,ResNet,5,8,4,"[58, 40, 38, 27]","[0.8, 0.8, 0.8, 0.8]",0.7999999523162842,0.7999999523162842,0.7999999523162842,0.5487595796585083,,,,,0.49657399999999996
minesweeper,ResNet,5,9,4,"[65, 45, 39, 9]","[0.8, 0.8, 0.8, 0.8]",0.7999999523162842,0.7999999523162842,0.7999999523162842,0.568633496761322,,,,,0.5122820000000001
minesweeper,GCN,5,1,4,"[481, 470, 458, 508]","[0.856, 0.8596, 0.856, 0.8528]",0.8669999837875366,0.8567999601364136,0.847599983215332,0.3082025647163391,,,,,0.896915
minesweeper,GCN,5,0,4,"[714, 659, 688, 639]","[0.83, 0.8368, 0.828, 0.8372]",0.8793999552726746,0.8331999778747559,0.8491999506950378,0.31777510046958923,,,,,0.8964820000000001
minesweeper,GCN,5,2,4,"[838, 735, 990, 367]","[0.8476, 0.8452, 0.8424, 0.8432]",0.8831999897956848,0.8455999493598938,0.8575999736785889,0.29724130034446716,,,,,0.9047155
minesweeper,GCN,5,3,4,"[755, 503, 742, 702]","[0.8404, 0.8388, 0.8404, 0.8404]",0.8754000067710876,0.8399999737739563,0.8527999520301819,0.3226918876171112,,,,,0.89064
minesweeper,GCN,5,5,4,"[298, 588, 308, 552]","[0.84, 0.8472, 0.8416, 0.8428]",0.8673999905586243,0.848800003528595,0.8539999723434448,0.30046600103378296,,,,,0.905574
minesweeper,GCN,5,4,4,"[976, 812, 588, 801]","[0.8456, 0.8512, 0.8524, 0.846]",0.8829999566078186,0.8519999980926514,0.8479999899864197,0.3278655409812927,,,,,0.8941674999999999
minesweeper,GCN,5,6,4,"[309, 395, 292, 290]","[0.8524, 0.8572, 0.8512, 0.8468]",0.854200005531311,0.8519999980926514,0.8471999764442444,0.3262484669685364,,,,,0.8839049999999998
minesweeper,GCN,5,7,4,"[808, 355, 643, 407]","[0.8432, 0.8452, 0.8344, 0.8412]",0.8667999505996704,0.8467999696731567,0.8507999777793884,0.32479989528656006,,,,,0.892127
minesweeper,GCN,5,8,4,"[671, 673, 893, 594]","[0.8508, 0.8528, 0.8516, 0.8536]",0.8667999505996704,0.8551999926567078,0.8579999804496765,0.2993178367614746,,,,,0.905454
minesweeper,GCN,5,9,4,"[447, 677, 619, 671]","[0.8424, 0.8444, 0.8392, 0.84]",0.866599977016449,0.8455999493598938,0.8563999533653259,0.29870229959487915,,,,,0.905336
minesweeper,SAGE,5,0,4,"[636, 933, 718, 782]","[0.872, 0.8764, 0.8696, 0.8708]",0.9111999869346619,0.8736000061035156,0.8899999856948853,0.24452142417430878,,,,,0.9428009999999999
minesweeper,SAGE,5,1,4,"[725, 809, 800, 769]","[0.8908, 0.8944, 0.8936, 0.886]",0.902999997138977,0.8935999870300293,0.884399950504303,0.24341873824596405,,,,,0.942573
minesweeper,SAGE,5,2,4,"[810, 877, 806, 762]","[0.8848, 0.8848, 0.8824, 0.888]",0.9065999984741211,0.887999951839447,0.884399950504303,0.24039757251739502,,,,,0.943058
minesweeper,SAGE,5,3,4,"[725, 733, 789, 752]","[0.878, 0.8788, 0.878, 0.8724]",0.9021999835968018,0.8783999681472778,0.884399950504303,0.26980695128440857,,,,,0.9328949999999999
minesweeper,SAGE,5,5,4,"[863, 750, 656, 625]","[0.8748, 0.8792, 0.8756, 0.8712]",0.9001999497413635,0.8779999613761902,0.8804000020027161,0.26126164197921753,,,,,0.9393469999999999
minesweeper,SAGE,5,4,4,"[934, 915, 982, 944]","[0.8848, 0.8816, 0.8912, 0.8872]",0.9077999591827393,0.8887999653816223,0.8815999627113342,0.2714630365371704,,,,,0.936295
minesweeper,SAGE,5,6,4,"[946, 757, 863, 873]","[0.894, 0.8876, 0.8844, 0.8876]",0.9107999801635742,0.88919997215271,0.8755999803543091,0.2764734923839569,,,,,0.9299409999999999
minesweeper,SAGE,5,7,4,"[772, 876, 821, 791]","[0.886, 0.8856, 0.89, 0.8916]",0.9041999578475952,0.8899999856948853,0.8871999979019165,0.24180492758750916,,,,,0.943997
minesweeper,SAGE,5,8,4,"[803, 776, 818, 953]","[0.8844, 0.8856, 0.8864, 0.8864]",0.9049999713897705,0.887999951839447,0.887999951839447,0.25882434844970703,,,,,0.938636
minesweeper,SAGE,5,9,4,"[696, 669, 834, 825]","[0.8844, 0.8824, 0.874, 0.8784]",0.9055999517440796,0.8795999884605408,0.8935999870300293,0.24834543466567993,,,,,0.941786
minesweeper,GAT,5,0,4,"[440, 354, 441, 538]","[0.8588, 0.8552, 0.8556, 0.8588]",0.9045999646186829,0.8592000007629395,0.8763999938964844,0.27469778060913086,,,,,0.92536
minesweeper,GAT,5,1,4,"[600, 525, 541, 544]","[0.8728, 0.8688, 0.8692, 0.8764]",0.9083999991416931,0.8743999600410461,0.8811999559402466,0.26627683639526367,,,,,0.9319999999999999
minesweeper,GAT,5,2,4,"[604, 481, 433, 463]","[0.8744, 0.87, 0.868, 0.8684]",0.9061999917030334,0.8747999668121338,0.8723999857902527,0.28368833661079407,,,,,0.9224959999999999
minesweeper,GAT,5,3,4,"[555, 581, 592, 597]","[0.8636, 0.8604, 0.864, 0.8752]",0.9175999760627747,0.8687999844551086,0.8775999546051025,0.2778604030609131,,,,,0.9251200000000002
minesweeper,GAT,5,4,4,"[638, 618, 569, 507]","[0.8732, 0.8744, 0.8744, 0.87]",0.913599967956543,0.8763999938964844,0.8755999803543091,0.2719566822052002,,,,,0.9305730000000001
minesweeper,GAT,5,5,4,"[404, 633, 718, 715]","[0.872, 0.8772, 0.8692, 0.864]",0.9149999618530273,0.8747999668121338,0.8736000061035156,0.28186121582984924,,,,,0.9252569999999999
minesweeper,GAT,5,6,4,"[519, 604, 601, 585]","[0.8772, 0.8772, 0.8764, 0.8784]",0.9197999835014343,0.8823999762535095,0.8671999573707581,0.2848844826221466,,,,,0.9176759999999999
minesweeper,GAT,5,7,4,"[523, 710, 599, 622]","[0.8728, 0.8808, 0.876, 0.8768]",0.9133999943733215,0.8815999627113342,0.876800000667572,0.28922152519226074,,,,,0.92711
minesweeper,GAT,5,8,4,"[514, 490, 353, 352]","[0.8724, 0.8696, 0.8784, 0.8724]",0.9075999855995178,0.8783999681472778,0.8811999559402466,0.2567371428012848,,,,,0.9351240000000001
minesweeper,GAT,5,9,4,"[465, 536, 585, 585]","[0.8772, 0.8752, 0.8748, 0.8744]",0.9075999855995178,0.8783999681472778,0.8815999627113342,0.25861015915870667,,,,,0.938061
minesweeper,GAT-sep,5,0,4,"[401, 420, 445, 499]","[0.8752, 0.8708, 0.874, 0.8728]",0.9147999882698059,0.8747999668121338,0.8919999599456787,0.26166287064552307,,,,,0.940412
minesweeper,GAT-sep,5,1,4,"[453, 434, 411, 484]","[0.8872, 0.882, 0.8828, 0.8828]",0.915399968624115,0.8847999572753906,0.8831999897956848,0.26758939027786255,,,,,0.937174
minesweeper,GAT-sep,5,2,4,"[436, 392, 467, 329]","[0.882, 0.8796, 0.8816, 0.8828]",0.9099999666213989,0.8840000033378601,0.8823999762535095,0.26324403285980225,,,,,0.9370900000000001
minesweeper,GAT-sep,5,3,4,"[590, 468, 458, 542]","[0.8796, 0.8828, 0.882, 0.8836]",0.9199999570846558,0.8871999979019165,0.8811999559402466,0.28704917430877686,,,,,0.9324859999999999
minesweeper,GAT-sep,5,4,4,"[500, 496, 486, 498]","[0.8776, 0.8852, 0.8844, 0.8832]",0.9251999855041504,0.8883999586105347,0.884399950504303,0.27296915650367737,,,,,0.9379749999999999
minesweeper,GAT-sep,5,5,4,"[288, 341, 402, 354]","[0.8732, 0.8732, 0.878, 0.8804]",0.9109999537467957,0.8819999694824219,0.8831999897956848,0.25768885016441345,,,,,0.9395469999999999
minesweeper,GAT-sep,5,6,4,"[472, 534, 337, 403]","[0.8872, 0.8808, 0.8828, 0.8852]",0.911799967288971,0.8859999775886536,0.8751999735832214,0.2803882658481598,,,,,0.928068
minesweeper,GAT-sep,5,7,4,"[485, 591, 479, 511]","[0.8828, 0.8848, 0.8864, 0.8756]",0.918999969959259,0.8855999708175659,0.892799973487854,0.2678322494029999,,,,,0.9403050000000001
minesweeper,GAT-sep,5,8,4,"[413, 470, 636, 565]","[0.8816, 0.8808, 0.8812, 0.8896]",0.9223999977111816,0.88919997215271,0.8840000033378601,0.27315106987953186,,,,,0.938385
minesweeper,GAT-sep,5,9,4,"[449, 580, 505, 473]","[0.8812, 0.88, 0.8864, 0.8824]",0.9231999516487122,0.8851999640464783,0.897599995136261,0.2581571340560913,,,,,0.9437699999999999
minesweeper,GT,5,0,4,"[437, 500, 449, 457]","[0.8632, 0.8712, 0.8704, 0.87]",0.9133999943733215,0.868399977684021,0.8835999965667725,0.2955239415168762,,,,,0.9279519999999999
minesweeper,GT,5,1,4,"[490, 510, 528, 430]","[0.8816, 0.8816, 0.8796, 0.8808]",0.915399968624115,0.8840000033378601,0.8775999546051025,0.2920379936695099,,,,,0.9290459999999999
minesweeper,GT,5,2,4,"[513, 546, 582, 517]","[0.8808, 0.8764, 0.8768, 0.884]",0.920199990272522,0.8855999708175659,0.8775999546051025,0.30394497513771057,,,,,0.923914
minesweeper,GT,5,3,4,"[489, 451, 502, 535]","[0.8728, 0.8708, 0.868, 0.88]",0.9215999841690063,0.8743999600410461,0.8811999559402466,0.29759398102760315,,,,,0.9251310000000001
minesweeper,GT,5,4,4,"[506, 467, 432, 409]","[0.882, 0.878, 0.8832, 0.8784]",0.9125999808311462,0.8823999762535095,0.8799999952316284,0.2982122004032135,,,,,0.9270870000000001
minesweeper,GT,5,5,4,"[383, 389, 323, 436]","[0.8704, 0.8724, 0.8716, 0.868]",0.9071999788284302,0.8743999600410461,0.8787999749183655,0.27679717540740967,,,,,0.9299969999999999
