Loading data...

============================================================
minesweeper GAT 1L h=512 lr=3e-05 split=2 (ensemble x4)
============================================================

  Training model seed 0 (seed=2000)
  [mseed=2000] Step    1 | loss 0.7846 | val_acc=0.5312 val_roc_auc=0.5356 val_loss=0.6707 val_metric_name=roc_auc val_metric=0.5356
  [mseed=2000] Step   50 | loss 0.4125 | val_acc=0.8136 val_roc_auc=0.8234 val_loss=0.3959 val_metric_name=roc_auc val_metric=0.8234
  [mseed=2000] Step  100 | loss 0.3778 | val_acc=0.8204 val_roc_auc=0.8399 val_loss=0.3702 val_metric_name=roc_auc val_metric=0.8399
  [mseed=2000] Step  150 | loss 0.3634 | val_acc=0.8272 val_roc_auc=0.8480 val_loss=0.3587 val_metric_name=roc_auc val_metric=0.8480
  [mseed=2000] Step  200 | loss 0.3579 | val_acc=0.8284 val_roc_auc=0.8535 val_loss=0.3519 val_metric_name=roc_auc val_metric=0.8535
  [mseed=2000] Step  250 | loss 0.3469 | val_acc=0.8304 val_roc_auc=0.8569 val_loss=0.3478 val_metric_name=roc_auc val_metric=0.8569
  [mseed=2000] Step  300 | loss 0.3402 | val_acc=0.8324 val_roc_auc=0.8603 val_loss=0.3436 val_metric_name=roc_auc val_metric=0.8603
  [mseed=2000] Step  350 | loss 0.3383 | val_acc=0.8308 val_roc_auc=0.8632 val_loss=0.3411 val_metric_name=roc_auc val_metric=0.8632
  [mseed=2000] Step  400 | loss 0.3325 | val_acc=0.8252 val_roc_auc=0.8652 val_loss=0.3394 val_metric_name=roc_auc val_metric=0.8652
  [mseed=2000] Step  450 | loss 0.3340 | val_acc=0.8280 val_roc_auc=0.8674 val_loss=0.3371 val_metric_name=roc_auc val_metric=0.8674
  [mseed=2000] Step  500 | loss 0.3273 | val_acc=0.8284 val_roc_auc=0.8687 val_loss=0.3359 val_metric_name=roc_auc val_metric=0.8687
  [mseed=2000] Step  550 | loss 0.3324 | val_acc=0.8284 val_roc_auc=0.8695 val_loss=0.3349 val_metric_name=roc_auc val_metric=0.8695
  [mseed=2000] Step  600 | loss 0.3234 | val_acc=0.8312 val_roc_auc=0.8706 val_loss=0.3338 val_metric_name=roc_auc val_metric=0.8706
