dataset,model,num_layers,split,best_step,train_acc,val_acc,test_acc,test_loss,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc
questions,ResNet,1,1,361,0.9713409543037415,0.9717088937759399,0.9713023900985718,0.1280767023563385,,,,,0.7130284755107836
questions,ResNet,1,0,698,0.9727718830108643,0.972281277179718,0.9713841676712036,0.13309748470783234,,,,,0.7120030985271606
questions,ResNet,1,2,683,0.973017156124115,0.9718724489212036,0.9719564914703369,0.13284608721733093,,,,,0.7057343532459497
questions,ResNet,1,3,981,0.9742436408996582,0.971545398235321,0.9730193614959717,0.13294926285743713,,,,,0.6957371008221949
questions,ResNet,1,4,363,0.9718315601348877,0.970973014831543,0.9712206721305847,0.13284026086330414,,,,,0.7137745925390606
questions,ResNet,1,6,354,0.971586287021637,0.9712183475494385,0.9713841676712036,0.1311584860086441,,,,,0.6894735505380862
questions,ResNet,1,5,890,0.9744889736175537,0.9719542264938354,0.9718747138977051,0.1331920474767685,,,,,0.7075493697891293
questions,ResNet,1,7,503,0.9721586108207703,0.9720360040664673,0.9722835421562195,0.12650848925113678,,,,,0.7152049484079066
questions,ResNet,1,8,764,0.9727718830108643,0.973017156124115,0.9738369584083557,0.12947694957256317,,,,,0.7071050243703085
questions,ResNet,1,9,1000,0.9732216000556946,0.9726083278656006,0.972610592842102,0.1300378441810608,,,,,0.7100630557203845
questions,ResNet,2,0,559,0.9733442664146423,0.9721177220344543,0.9712206721305847,0.13424967229366302,,,,,0.7086766841603385
questions,ResNet,2,1,310,0.9717497825622559,0.9726901054382324,0.9722017645835876,0.12765364348888397,,,,,0.7091186052471781
questions,ResNet,2,2,485,0.9726492166519165,0.9719542264938354,0.9722017645835876,0.13351580500602722,,,,,0.7062723240569926
questions,ResNet,2,3,672,0.9739983677864075,0.970973014831543,0.9722017645835876,0.13312673568725586,,,,,0.6976223075484462
