dataset,model,num_layers,hidden_dim,lr,split,num_model_seeds,best_steps,individual_val_metrics,individual_val_accs,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
questions,ResNet,1,512,3e-05,0,4,"[690, 640, 710, 820]","[0.7146, 0.7085, 0.7134, 0.7083]","[0.9723, 0.9725, 0.9724, 0.9721]",roc_auc,0.8104295758793273,0.9730989336967468,0.11441709101200104,0.8104295758793273,,,,,roc_auc,0.7121902221914345,0.972281277179718,0.13075722754001617,0.7121902221914345,,,,,roc_auc,0.7085062882553813,0.9718747138977051,0.1327461451292038,0.7085062882553813,,,,
questions,ResNet,2,512,3e-05,0,4,"[560, 510, 640, 630]","[0.7126, 0.7101, 0.714, 0.7093]","[0.9721, 0.9717, 0.9716, 0.971]",roc_auc,0.8102708842053005,0.9733850955963135,0.11274152994155884,0.8102708842053005,,,,,roc_auc,0.7133020452695564,0.9719542264938354,0.13118226826190948,0.7133020452695564,,,,,roc_auc,0.707066004169851,0.9717112183570862,0.13410891592502594,0.707066004169851,,,,
questions,ResNet,3,512,3e-05,0,4,"[430, 460, 520, 490]","[0.7131, 0.7099, 0.716, 0.7111]","[0.9711, 0.9711, 0.9702, 0.9701]",roc_auc,0.8078449624485508,0.9734668731689453,0.1099981814622879,0.8078449624485508,,,,,roc_auc,0.7142186354478754,0.9710547924041748,0.12925462424755096,0.7142186354478754,,,,,roc_auc,0.7068367316310675,0.9705665707588196,0.13288384675979614,0.7068367316310675,,,,
questions,ResNet,4,512,3e-05,0,4,"[510, 470, 530, 460]","[0.7134, 0.7104, 0.7175, 0.7104]","[0.9706, 0.9707, 0.971, 0.9706]",roc_auc,0.7996604783263773,0.9728536605834961,0.11152635514736176,0.7996604783263773,,,,,roc_auc,0.7145611877918825,0.9710547924041748,0.12876932322978973,0.7145611877918825,,,,,roc_auc,0.7083149969176351,0.9703212976455688,0.1325078010559082,0.7083149969176351,,,,
questions,ResNet,5,512,3e-05,0,4,"[440, 500, 400, 480]","[0.7148, 0.7081, 0.7146, 0.7111]","[0.9698, 0.97, 0.9687, 0.97]",roc_auc,0.801215558595847,0.973017156124115,0.11048923432826996,0.801215558595847,,,,,roc_auc,0.7136985146828765,0.9699918031692505,0.12937064468860626,0.7136985146828765,,,,,roc_auc,0.706226723526872,0.9690949320793152,0.13397541642189026,0.706226723526872,,,,
questions,ResNet,1,512,3e-05,1,4,"[550, 610, 470, 490]","[0.7273, 0.7326, 0.7317, 0.7309]","[0.9728, 0.9729, 0.9718, 0.9729]",roc_auc,0.766186406433103,0.9718724489212036,0.12464548647403717,0.766186406433103,,,,,roc_auc,0.7323901887097426,0.9728536605834961,0.12532684206962585,0.7323901887097426,,,,,roc_auc,0.7168766984754416,0.9724470376968384,0.1274264007806778,0.7168766984754416,,,,
questions,ResNet,2,512,3e-05,1,4,"[330, 520, 420, 580]","[0.7258, 0.7288, 0.7341, 0.7304]","[0.9725, 0.9724, 0.9726, 0.9728]",roc_auc,0.7729362577859367,0.9719951152801514,0.12283322960138321,0.7729362577859367,,,,,roc_auc,0.7316239197824843,0.9726901054382324,0.12559083104133606,0.7316239197824843,,,,,roc_auc,0.7155578618777259,0.9720382690429688,0.1275058537721634,0.7155578618777259,,,,
questions,ResNet,3,512,3e-05,1,4,"[390, 380, 360, 460]","[0.7237, 0.7259, 0.7277, 0.7286]","[0.9722, 0.9727, 0.9725, 0.9725]",roc_auc,0.7655647437784667,0.9718315601348877,0.12148357927799225,0.7655647437784667,,,,,roc_auc,0.7284372708957507,0.9724448323249817,0.1238156408071518,0.7284372708957507,,,,,roc_auc,0.7105503464485845,0.9720382690429688,0.12579657137393951,0.7105503464485845,,,,
questions,ResNet,4,512,3e-05,1,4,"[390, 390, 390, 350]","[0.7242, 0.7257, 0.7308, 0.7254]","[0.9724, 0.9723, 0.9721, 0.9724]",roc_auc,0.7680545693850337,0.9719951152801514,0.11911433190107346,0.7680545693850337,,,,,roc_auc,0.7283208931529941,0.972281277179718,0.12272422015666962,0.7283208931529941,,,,,roc_auc,0.7118107681899938,0.9724470376968384,0.12477394938468933,0.7118107681899938,,,,
questions,ResNet,5,512,3e-05,1,4,"[370, 380, 320, 510]","[0.7233, 0.7271, 0.7319, 0.726]","[0.972, 0.9717, 0.9726, 0.9708]",roc_auc,0.7667263275779459,0.9719542264938354,0.11864523589611053,0.7667263275779459,,,,,roc_auc,0.7295683748102222,0.9721994996070862,0.12244772166013718,0.7295683748102222,,,,,roc_auc,0.7108638933848062,0.971792995929718,0.12443217635154724,0.7108638933848062,,,,
