Loading data...

============================================================
questions GCN 1L h=512 lr=3e-05 split=4 (ensemble x4)
============================================================

  Training model seed 0 (seed=4000)
  [mseed=4000] Step    1 | loss 0.6001 | val_acc=0.9696 val_roc_auc=0.4501 val_loss=0.3766 val_metric_name=roc_auc val_metric=0.4501
  [mseed=4000] Step   50 | loss 0.1350 | val_acc=0.9702 val_roc_auc=0.5783 val_loss=0.1462 val_metric_name=roc_auc val_metric=0.5783
  [mseed=4000] Step  100 | loss 0.1312 | val_acc=0.9702 val_roc_auc=0.6149 val_loss=0.1400 val_metric_name=roc_auc val_metric=0.6149
  [mseed=4000] Step  150 | loss 0.1291 | val_acc=0.9702 val_roc_auc=0.6436 val_loss=0.1377 val_metric_name=roc_auc val_metric=0.6436
  [mseed=4000] Step  200 | loss 0.1276 | val_acc=0.9704 val_roc_auc=0.6643 val_loss=0.1360 val_metric_name=roc_auc val_metric=0.6643
  [mseed=4000] Step  250 | loss 0.1262 | val_acc=0.9706 val_roc_auc=0.6796 val_loss=0.1346 val_metric_name=roc_auc val_metric=0.6796
  [mseed=4000] Step  300 | loss 0.1250 | val_acc=0.9706 val_roc_auc=0.6927 val_loss=0.1331 val_metric_name=roc_auc val_metric=0.6927
  [mseed=4000] Step  350 | loss 0.1244 | val_acc=0.9710 val_roc_auc=0.7046 val_loss=0.1317 val_metric_name=roc_auc val_metric=0.7046
  [mseed=4000] Step  400 | loss 0.1222 | val_acc=0.9708 val_roc_auc=0.7141 val_loss=0.1305 val_metric_name=roc_auc val_metric=0.7141
  [mseed=4000] Step  450 | loss 0.1215 | val_acc=0.9709 val_roc_auc=0.7209 val_loss=0.1293 val_metric_name=roc_auc val_metric=0.7209
  [mseed=4000] Step  500 | loss 0.1199 | val_acc=0.9708 val_roc_auc=0.7259 val_loss=0.1285 val_metric_name=roc_auc val_metric=0.7259
  [mseed=4000] Step  550 | loss 0.1191 | val_acc=0.9710 val_roc_auc=0.7298 val_loss=0.1277 val_metric_name=roc_auc val_metric=0.7298
  [mseed=4000] Step  600 | loss 0.1174 | val_acc=0.9710 val_roc_auc=0.7326 val_loss=0.1270 val_metric_name=roc_auc val_metric=0.7326
  [mseed=4000] Step  650 | loss 0.1172 | val_acc=0.9712 val_roc_auc=0.7350 val_loss=0.1266 val_metric_name=roc_auc val_metric=0.7350
  [mseed=4000] Step  700 | loss 0.1157 | val_acc=0.9711 val_roc_auc=0.7369 val_loss=0.1261 val_metric_name=roc_auc val_metric=0.7369
  [mseed=4000] Step  750 | loss 0.1149 | val_acc=0.9711 val_roc_auc=0.7383 val_loss=0.1256 val_metric_name=roc_auc val_metric=0.7383
  [mseed=4000] Step  800 | loss 0.1128 | val_acc=0.9712 val_roc_auc=0.7397 val_loss=0.1256 val_metric_name=roc_auc val_metric=0.7397
  [mseed=4000] Step  850 | loss 0.1122 | val_acc=0.9713 val_roc_auc=0.7404 val_loss=0.1253 val_metric_name=roc_auc val_metric=0.7404
  [mseed=4000] Step  900 | loss 0.1110 | val_acc=0.9713 val_roc_auc=0.7415 val_loss=0.1251 val_metric_name=roc_auc val_metric=0.7415
  [mseed=4000] Step  950 | loss 0.1099 | val_acc=0.9716 val_roc_auc=0.7424 val_loss=0.1248 val_metric_name=roc_auc val_metric=0.7424
  [mseed=4000] Step 1000 | loss 0.1083 | val_acc=0.9714 val_roc_auc=0.7431 val_loss=0.1249 val_metric_name=roc_auc val_metric=0.7431
  [mseed=4000] Step 1050 | loss 0.1076 | val_acc=0.9713 val_roc_auc=0.7429 val_loss=0.1255 val_metric_name=roc_auc val_metric=0.7429
  [mseed=4000] Step 1100 | loss 0.1068 | val_acc=0.9714 val_roc_auc=0.7431 val_loss=0.1257 val_metric_name=roc_auc val_metric=0.7431
  [mseed=4000] Step 1150 | loss 0.1051 | val_acc=0.9712 val_roc_auc=0.7434 val_loss=0.1262 val_metric_name=roc_auc val_metric=0.7434
  [mseed=4000] Step 1200 | loss 0.1037 | val_acc=0.9711 val_roc_auc=0.7430 val_loss=0.1266 val_metric_name=roc_auc val_metric=0.7430
  [mseed=4000] Step 1250 | loss 0.1020 | val_acc=0.9710 val_roc_auc=0.7429 val_loss=0.1273 val_metric_name=roc_auc val_metric=0.7429
  [mseed=4000] Step 1300 | loss 0.1008 | val_acc=0.9708 val_roc_auc=0.7425 val_loss=0.1280 val_metric_name=roc_auc val_metric=0.7425
  [mseed=4000] Step 1350 | loss 0.0994 | val_acc=0.9706 val_roc_auc=0.7411 val_loss=0.1297 val_metric_name=roc_auc val_metric=0.7411
  [mseed=4000] Step 1400 | loss 0.0978 | val_acc=0.9702 val_roc_auc=0.7387 val_loss=0.1312 val_metric_name=roc_auc val_metric=0.7387
  [mseed=4000] Step 1450 | loss 0.0965 | val_acc=0.9699 val_roc_auc=0.7361 val_loss=0.1332 val_metric_name=roc_auc val_metric=0.7361
  [mseed=4000] Step 1500 | loss 0.0926 | val_acc=0.9697 val_roc_auc=0.7333 val_loss=0.1357 val_metric_name=roc_auc val_metric=0.7333
  [mseed=4000] Step 1550 | loss 0.0903 | val_acc=0.9695 val_roc_auc=0.7310 val_loss=0.1379 val_metric_name=roc_auc val_metric=0.7310
  [mseed=4000] Early stopping at step 1570
  [mseed=4000] Best val_roc_auc=0.7442 (val_acc=0.9707) @ step 1270

  Training model seed 1 (seed=4001)
  [mseed=4001] Step    1 | loss 0.7895 | val_acc=0.8204 val_roc_auc=0.5733 val_loss=0.6018 val_metric_name=roc_auc val_metric=0.5733
  [mseed=4001] Step   50 | loss 0.1359 | val_acc=0.9702 val_roc_auc=0.5859 val_loss=0.1509 val_metric_name=roc_auc val_metric=0.5859
  [mseed=4001] Step  100 | loss 0.1315 | val_acc=0.9701 val_roc_auc=0.6286 val_loss=0.1393 val_metric_name=roc_auc val_metric=0.6286
  [mseed=4001] Step  150 | loss 0.1299 | val_acc=0.9702 val_roc_auc=0.6580 val_loss=0.1370 val_metric_name=roc_auc val_metric=0.6580
  [mseed=4001] Step  200 | loss 0.1274 | val_acc=0.9704 val_roc_auc=0.6767 val_loss=0.1354 val_metric_name=roc_auc val_metric=0.6767
  [mseed=4001] Step  250 | loss 0.1262 | val_acc=0.9706 val_roc_auc=0.6877 val_loss=0.1340 val_metric_name=roc_auc val_metric=0.6877
  [mseed=4001] Step  300 | loss 0.1255 | val_acc=0.9706 val_roc_auc=0.6963 val_loss=0.1328 val_metric_name=roc_auc val_metric=0.6963
  [mseed=4001] Step  350 | loss 0.1232 | val_acc=0.9705 val_roc_auc=0.7042 val_loss=0.1316 val_metric_name=roc_auc val_metric=0.7042
  [mseed=4001] Step  400 | loss 0.1233 | val_acc=0.9706 val_roc_auc=0.7112 val_loss=0.1304 val_metric_name=roc_auc val_metric=0.7112
  [mseed=4001] Step  450 | loss 0.1222 | val_acc=0.9707 val_roc_auc=0.7173 val_loss=0.1295 val_metric_name=roc_auc val_metric=0.7173
  [mseed=4001] Step  500 | loss 0.1205 | val_acc=0.9707 val_roc_auc=0.7220 val_loss=0.1285 val_metric_name=roc_auc val_metric=0.7220
  [mseed=4001] Step  550 | loss 0.1199 | val_acc=0.9709 val_roc_auc=0.7256 val_loss=0.1277 val_metric_name=roc_auc val_metric=0.7256
  [mseed=4001] Step  600 | loss 0.1191 | val_acc=0.9707 val_roc_auc=0.7286 val_loss=0.1271 val_metric_name=roc_auc val_metric=0.7286
  [mseed=4001] Step  650 | loss 0.1184 | val_acc=0.9710 val_roc_auc=0.7314 val_loss=0.1264 val_metric_name=roc_auc val_metric=0.7314
  [mseed=4001] Step  700 | loss 0.1178 | val_acc=0.9710 val_roc_auc=0.7340 val_loss=0.1256 val_metric_name=roc_auc val_metric=0.7340
  [mseed=4001] Step  750 | loss 0.1159 | val_acc=0.9710 val_roc_auc=0.7368 val_loss=0.1250 val_metric_name=roc_auc val_metric=0.7368
  [mseed=4001] Step  800 | loss 0.1146 | val_acc=0.9710 val_roc_auc=0.7390 val_loss=0.1248 val_metric_name=roc_auc val_metric=0.7390
  [mseed=4001] Step  850 | loss 0.1144 | val_acc=0.9711 val_roc_auc=0.7409 val_loss=0.1243 val_metric_name=roc_auc val_metric=0.7409
  [mseed=4001] Step  900 | loss 0.1139 | val_acc=0.9712 val_roc_auc=0.7422 val_loss=0.1242 val_metric_name=roc_auc val_metric=0.7422
  [mseed=4001] Step  950 | loss 0.1118 | val_acc=0.9713 val_roc_auc=0.7428 val_loss=0.1242 val_metric_name=roc_auc val_metric=0.7428
  [mseed=4001] Step 1000 | loss 0.1116 | val_acc=0.9714 val_roc_auc=0.7436 val_loss=0.1240 val_metric_name=roc_auc val_metric=0.7436
  [mseed=4001] Step 1050 | loss 0.1097 | val_acc=0.9715 val_roc_auc=0.7441 val_loss=0.1240 val_metric_name=roc_auc val_metric=0.7441
  [mseed=4001] Step 1100 | loss 0.1081 | val_acc=0.9715 val_roc_auc=0.7450 val_loss=0.1240 val_metric_name=roc_auc val_metric=0.7450
  [mseed=4001] Step 1150 | loss 0.1079 | val_acc=0.9714 val_roc_auc=0.7448 val_loss=0.1245 val_metric_name=roc_auc val_metric=0.7448
  [mseed=4001] Step 1200 | loss 0.1066 | val_acc=0.9712 val_roc_auc=0.7451 val_loss=0.1246 val_metric_name=roc_auc val_metric=0.7451
  [mseed=4001] Step 1250 | loss 0.1053 | val_acc=0.9710 val_roc_auc=0.7451 val_loss=0.1254 val_metric_name=roc_auc val_metric=0.7451
  [mseed=4001] Step 1300 | loss 0.1035 | val_acc=0.9708 val_roc_auc=0.7446 val_loss=0.1262 val_metric_name=roc_auc val_metric=0.7446
  [mseed=4001] Step 1350 | loss 0.1025 | val_acc=0.9706 val_roc_auc=0.7445 val_loss=0.1266 val_metric_name=roc_auc val_metric=0.7445
  [mseed=4001] Step 1400 | loss 0.1010 | val_acc=0.9705 val_roc_auc=0.7436 val_loss=0.1275 val_metric_name=roc_auc val_metric=0.7436
  [mseed=4001] Step 1450 | loss 0.0995 | val_acc=0.9701 val_roc_auc=0.7428 val_loss=0.1289 val_metric_name=roc_auc val_metric=0.7428
  [mseed=4001] Early stopping at step 1480
  [mseed=4001] Best val_roc_auc=0.7459 (val_acc=0.9713) @ step 1180

  Training model seed 2 (seed=4002)
  [mseed=4002] Step    1 | loss 0.8712 | val_acc=0.7080 val_roc_auc=0.4635 val_loss=0.6350 val_metric_name=roc_auc val_metric=0.4635
  [mseed=4002] Step   50 | loss 0.1369 | val_acc=0.9702 val_roc_auc=0.5692 val_loss=0.1545 val_metric_name=roc_auc val_metric=0.5692
  [mseed=4002] Step  100 | loss 0.1325 | val_acc=0.9702 val_roc_auc=0.6209 val_loss=0.1402 val_metric_name=roc_auc val_metric=0.6209
  [mseed=4002] Step  150 | loss 0.1302 | val_acc=0.9702 val_roc_auc=0.6452 val_loss=0.1381 val_metric_name=roc_auc val_metric=0.6452
  [mseed=4002] Step  200 | loss 0.1281 | val_acc=0.9704 val_roc_auc=0.6644 val_loss=0.1365 val_metric_name=roc_auc val_metric=0.6644
  [mseed=4002] Step  250 | loss 0.1265 | val_acc=0.9704 val_roc_auc=0.6790 val_loss=0.1351 val_metric_name=roc_auc val_metric=0.6790
  [mseed=4002] Step  300 | loss 0.1260 | val_acc=0.9706 val_roc_auc=0.6901 val_loss=0.1338 val_metric_name=roc_auc val_metric=0.6901
  [mseed=4002] Step  350 | loss 0.1251 | val_acc=0.9706 val_roc_auc=0.6997 val_loss=0.1326 val_metric_name=roc_auc val_metric=0.6997
  [mseed=4002] Step  400 | loss 0.1231 | val_acc=0.9706 val_roc_auc=0.7079 val_loss=0.1315 val_metric_name=roc_auc val_metric=0.7079
  [mseed=4002] Step  450 | loss 0.1225 | val_acc=0.9706 val_roc_auc=0.7148 val_loss=0.1305 val_metric_name=roc_auc val_metric=0.7148
  [mseed=4002] Step  500 | loss 0.1208 | val_acc=0.9707 val_roc_auc=0.7205 val_loss=0.1295 val_metric_name=roc_auc val_metric=0.7205
  [mseed=4002] Step  550 | loss 0.1206 | val_acc=0.9707 val_roc_auc=0.7251 val_loss=0.1285 val_metric_name=roc_auc val_metric=0.7251
  [mseed=4002] Step  600 | loss 0.1196 | val_acc=0.9707 val_roc_auc=0.7290 val_loss=0.1277 val_metric_name=roc_auc val_metric=0.7290
  [mseed=4002] Step  650 | loss 0.1188 | val_acc=0.9707 val_roc_auc=0.7320 val_loss=0.1272 val_metric_name=roc_auc val_metric=0.7320
  [mseed=4002] Step  700 | loss 0.1178 | val_acc=0.9709 val_roc_auc=0.7349 val_loss=0.1263 val_metric_name=roc_auc val_metric=0.7349
  [mseed=4002] Step  750 | loss 0.1173 | val_acc=0.9709 val_roc_auc=0.7373 val_loss=0.1258 val_metric_name=roc_auc val_metric=0.7373
  [mseed=4002] Step  800 | loss 0.1153 | val_acc=0.9709 val_roc_auc=0.7395 val_loss=0.1253 val_metric_name=roc_auc val_metric=0.7395
  [mseed=4002] Step  850 | loss 0.1147 | val_acc=0.9710 val_roc_auc=0.7417 val_loss=0.1249 val_metric_name=roc_auc val_metric=0.7417
  [mseed=4002] Step  900 | loss 0.1138 | val_acc=0.9713 val_roc_auc=0.7428 val_loss=0.1246 val_metric_name=roc_auc val_metric=0.7428
  [mseed=4002] Step  950 | loss 0.1132 | val_acc=0.9715 val_roc_auc=0.7438 val_loss=0.1243 val_metric_name=roc_auc val_metric=0.7438
  [mseed=4002] Step 1000 | loss 0.1119 | val_acc=0.9715 val_roc_auc=0.7440 val_loss=0.1245 val_metric_name=roc_auc val_metric=0.7440
  [mseed=4002] Step 1050 | loss 0.1114 | val_acc=0.9715 val_roc_auc=0.7445 val_loss=0.1245 val_metric_name=roc_auc val_metric=0.7445
  [mseed=4002] Step 1100 | loss 0.1104 | val_acc=0.9714 val_roc_auc=0.7445 val_loss=0.1246 val_metric_name=roc_auc val_metric=0.7445
  [mseed=4002] Step 1150 | loss 0.1087 | val_acc=0.9715 val_roc_auc=0.7443 val_loss=0.1249 val_metric_name=roc_auc val_metric=0.7443
  [mseed=4002] Step 1200 | loss 0.1075 | val_acc=0.9715 val_roc_auc=0.7444 val_loss=0.1249 val_metric_name=roc_auc val_metric=0.7444
  [mseed=4002] Step 1250 | loss 0.1066 | val_acc=0.9713 val_roc_auc=0.7435 val_loss=0.1258 val_metric_name=roc_auc val_metric=0.7435
  [mseed=4002] Step 1300 | loss 0.1043 | val_acc=0.9712 val_roc_auc=0.7440 val_loss=0.1265 val_metric_name=roc_auc val_metric=0.7440
  [mseed=4002] Step 1350 | loss 0.1044 | val_acc=0.9710 val_roc_auc=0.7425 val_loss=0.1277 val_metric_name=roc_auc val_metric=0.7425
  [mseed=4002] Step 1400 | loss 0.1015 | val_acc=0.9708 val_roc_auc=0.7413 val_loss=0.1289 val_metric_name=roc_auc val_metric=0.7413
  [mseed=4002] Step 1450 | loss 0.1001 | val_acc=0.9707 val_roc_auc=0.7396 val_loss=0.1302 val_metric_name=roc_auc val_metric=0.7396
  [mseed=4002] Step 1500 | loss 0.0981 | val_acc=0.9706 val_roc_auc=0.7381 val_loss=0.1320 val_metric_name=roc_auc val_metric=0.7381
  [mseed=4002] Early stopping at step 1508
  [mseed=4002] Best val_roc_auc=0.7447 (val_acc=0.9715) @ step 1110

  Training model seed 3 (seed=4003)
  [mseed=4003] Step    1 | loss 0.8981 | val_acc=0.7185 val_roc_auc=0.4797 val_loss=0.6648 val_metric_name=roc_auc val_metric=0.4797
  [mseed=4003] Step   50 | loss 0.1371 | val_acc=0.9702 val_roc_auc=0.5630 val_loss=0.1536 val_metric_name=roc_auc val_metric=0.5630
  [mseed=4003] Step  100 | loss 0.1324 | val_acc=0.9702 val_roc_auc=0.6016 val_loss=0.1406 val_metric_name=roc_auc val_metric=0.6016
  [mseed=4003] Step  150 | loss 0.1298 | val_acc=0.9702 val_roc_auc=0.6301 val_loss=0.1383 val_metric_name=roc_auc val_metric=0.6301
  [mseed=4003] Step  200 | loss 0.1285 | val_acc=0.9703 val_roc_auc=0.6532 val_loss=0.1367 val_metric_name=roc_auc val_metric=0.6532
  [mseed=4003] Step  250 | loss 0.1272 | val_acc=0.9704 val_roc_auc=0.6694 val_loss=0.1354 val_metric_name=roc_auc val_metric=0.6694
  [mseed=4003] Step  300 | loss 0.1261 | val_acc=0.9706 val_roc_auc=0.6815 val_loss=0.1342 val_metric_name=roc_auc val_metric=0.6815
  [mseed=4003] Step  350 | loss 0.1247 | val_acc=0.9707 val_roc_auc=0.6918 val_loss=0.1331 val_metric_name=roc_auc val_metric=0.6918
  [mseed=4003] Step  400 | loss 0.1238 | val_acc=0.9709 val_roc_auc=0.7004 val_loss=0.1320 val_metric_name=roc_auc val_metric=0.7004
  [mseed=4003] Step  450 | loss 0.1230 | val_acc=0.9709 val_roc_auc=0.7083 val_loss=0.1311 val_metric_name=roc_auc val_metric=0.7083
  [mseed=4003] Step  500 | loss 0.1218 | val_acc=0.9710 val_roc_auc=0.7145 val_loss=0.1302 val_metric_name=roc_auc val_metric=0.7145
  [mseed=4003] Step  550 | loss 0.1205 | val_acc=0.9709 val_roc_auc=0.7194 val_loss=0.1295 val_metric_name=roc_auc val_metric=0.7194
  [mseed=4003] Step  600 | loss 0.1199 | val_acc=0.9709 val_roc_auc=0.7234 val_loss=0.1287 val_metric_name=roc_auc val_metric=0.7234
  [mseed=4003] Step  650 | loss 0.1194 | val_acc=0.9709 val_roc_auc=0.7266 val_loss=0.1281 val_metric_name=roc_auc val_metric=0.7266
  [mseed=4003] Step  700 | loss 0.1185 | val_acc=0.9707 val_roc_auc=0.7294 val_loss=0.1275 val_metric_name=roc_auc val_metric=0.7294
  [mseed=4003] Step  750 | loss 0.1178 | val_acc=0.9709 val_roc_auc=0.7319 val_loss=0.1270 val_metric_name=roc_auc val_metric=0.7319
  [mseed=4003] Step  800 | loss 0.1169 | val_acc=0.9709 val_roc_auc=0.7342 val_loss=0.1265 val_metric_name=roc_auc val_metric=0.7342
  [mseed=4003] Step  850 | loss 0.1161 | val_acc=0.9712 val_roc_auc=0.7364 val_loss=0.1260 val_metric_name=roc_auc val_metric=0.7364
  [mseed=4003] Step  900 | loss 0.1148 | val_acc=0.9711 val_roc_auc=0.7389 val_loss=0.1257 val_metric_name=roc_auc val_metric=0.7389
  [mseed=4003] Step  950 | loss 0.1140 | val_acc=0.9711 val_roc_auc=0.7408 val_loss=0.1253 val_metric_name=roc_auc val_metric=0.7408
  [mseed=4003] Step 1000 | loss 0.1129 | val_acc=0.9713 val_roc_auc=0.7417 val_loss=0.1253 val_metric_name=roc_auc val_metric=0.7417
  [mseed=4003] Step 1050 | loss 0.1126 | val_acc=0.9713 val_roc_auc=0.7424 val_loss=0.1251 val_metric_name=roc_auc val_metric=0.7424
  [mseed=4003] Step 1100 | loss 0.1112 | val_acc=0.9715 val_roc_auc=0.7435 val_loss=0.1254 val_metric_name=roc_auc val_metric=0.7435
  [mseed=4003] Step 1150 | loss 0.1093 | val_acc=0.9716 val_roc_auc=0.7441 val_loss=0.1255 val_metric_name=roc_auc val_metric=0.7441
  [mseed=4003] Step 1200 | loss 0.1082 | val_acc=0.9716 val_roc_auc=0.7449 val_loss=0.1254 val_metric_name=roc_auc val_metric=0.7449
  [mseed=4003] Step 1250 | loss 0.1072 | val_acc=0.9715 val_roc_auc=0.7448 val_loss=0.1259 val_metric_name=roc_auc val_metric=0.7448
  [mseed=4003] Step 1300 | loss 0.1048 | val_acc=0.9716 val_roc_auc=0.7449 val_loss=0.1266 val_metric_name=roc_auc val_metric=0.7449
  [mseed=4003] Step 1350 | loss 0.1044 | val_acc=0.9715 val_roc_auc=0.7447 val_loss=0.1272 val_metric_name=roc_auc val_metric=0.7447
  [mseed=4003] Step 1400 | loss 0.1032 | val_acc=0.9713 val_roc_auc=0.7431 val_loss=0.1282 val_metric_name=roc_auc val_metric=0.7431
  [mseed=4003] Step 1450 | loss 0.1005 | val_acc=0.9713 val_roc_auc=0.7416 val_loss=0.1295 val_metric_name=roc_auc val_metric=0.7416
  [mseed=4003] Step 1500 | loss 0.0999 | val_acc=0.9711 val_roc_auc=0.7401 val_loss=0.1306 val_metric_name=roc_auc val_metric=0.7401
  [mseed=4003] Step 1550 | loss 0.0976 | val_acc=0.9708 val_roc_auc=0.7384 val_loss=0.1322 val_metric_name=roc_auc val_metric=0.7384
  [mseed=4003] Early stopping at step 1578
  [mseed=4003] Best val_roc_auc=0.7451 (val_acc=0.9715) @ step 1270

--- Ensemble (4 seeds) ---
  Validation metric: roc_auc
  Individual val_metrics: ['0.7442', '0.7459', '0.7447', '0.7451']
  Individual val_accs: ['0.9707', '0.9713', '0.9715', '0.9715']
  train_acc=0.9726 train_roc_auc=0.8514 train_loss=0.1043 train_metric_name=roc_auc train_metric=0.8514
  val_acc=0.9715 val_roc_auc=0.7483 val_loss=0.1247 val_metric_name=roc_auc val_metric=0.7483
  test_acc=0.9713 test_roc_auc=0.7431 test_loss=0.1254 test_metric_name=roc_auc test_metric=0.7431
  test_roc_auc=0.7431

============================================================
questions GCN 2L h=512 lr=3e-05 split=4 (ensemble x4)
============================================================

  Training model seed 0 (seed=4000)
  [mseed=4000] Step    1 | loss 0.8731 | val_acc=0.9572 val_roc_auc=0.5304 val_loss=0.5200 val_metric_name=roc_auc val_metric=0.5304
  [mseed=4000] Step   50 | loss 0.1338 | val_acc=0.9702 val_roc_auc=0.6400 val_loss=0.1364 val_metric_name=roc_auc val_metric=0.6400
  [mseed=4000] Step  100 | loss 0.1299 | val_acc=0.9702 val_roc_auc=0.6691 val_loss=0.1367 val_metric_name=roc_auc val_metric=0.6691
  [mseed=4000] Step  150 | loss 0.1280 | val_acc=0.9705 val_roc_auc=0.6899 val_loss=0.1346 val_metric_name=roc_auc val_metric=0.6899
  [mseed=4000] Step  200 | loss 0.1250 | val_acc=0.9705 val_roc_auc=0.7064 val_loss=0.1322 val_metric_name=roc_auc val_metric=0.7064
  [mseed=4000] Step  250 | loss 0.1231 | val_acc=0.9707 val_roc_auc=0.7212 val_loss=0.1302 val_metric_name=roc_auc val_metric=0.7212
  [mseed=4000] Step  300 | loss 0.1211 | val_acc=0.9708 val_roc_auc=0.7340 val_loss=0.1283 val_metric_name=roc_auc val_metric=0.7340
  [mseed=4000] Step  350 | loss 0.1185 | val_acc=0.9709 val_roc_auc=0.7442 val_loss=0.1264 val_metric_name=roc_auc val_metric=0.7442
  [mseed=4000] Step  400 | loss 0.1174 | val_acc=0.9711 val_roc_auc=0.7523 val_loss=0.1252 val_metric_name=roc_auc val_metric=0.7523
  [mseed=4000] Step  450 | loss 0.1160 | val_acc=0.9711 val_roc_auc=0.7580 val_loss=0.1240 val_metric_name=roc_auc val_metric=0.7580
  [mseed=4000] Step  500 | loss 0.1140 | val_acc=0.9711 val_roc_auc=0.7623 val_loss=0.1229 val_metric_name=roc_auc val_metric=0.7623
  [mseed=4000] Step  550 | loss 0.1124 | val_acc=0.9709 val_roc_auc=0.7658 val_loss=0.1222 val_metric_name=roc_auc val_metric=0.7658
  [mseed=4000] Step  600 | loss 0.1106 | val_acc=0.9711 val_roc_auc=0.7683 val_loss=0.1213 val_metric_name=roc_auc val_metric=0.7683
  [mseed=4000] Step  650 | loss 0.1099 | val_acc=0.9713 val_roc_auc=0.7704 val_loss=0.1213 val_metric_name=roc_auc val_metric=0.7704
