dataset,model,num_layers,split,best_step,train_acc,val_acc,test_acc,test_loss,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc
roman-empire,ResNet,1,0,684,0.7385050058364868,0.6533097624778748,0.6551358699798584,1.1353753805160522,0.5352765339748937,0.6326349168971874,0.5307765307249366,0.5676378890819904,
roman-empire,ResNet,1,1,596,0.7236784100532532,0.6649602651596069,0.6641369462013245,1.0940521955490112,0.534881375565842,0.6359702170704368,0.5441181677661622,0.5503107641908977,
roman-empire,ResNet,1,2,563,0.7250022292137146,0.6533097624778748,0.6565477848052979,1.0975462198257446,0.5249951327525065,0.6290506956217048,0.5440271352474021,0.5354909375005366,
roman-empire,ResNet,1,3,599,0.7276498079299927,0.654898464679718,0.6625485420227051,1.0886805057525635,0.5411878578764328,0.6376489230294102,0.5865742901849983,0.5480588573381395,
roman-empire,ResNet,1,4,746,0.7556262016296387,0.6559576392173767,0.6510765552520752,1.170779824256897,0.5416235476625523,0.6313079541262585,0.5511764179552952,0.5539543242336303,
roman-empire,ResNet,1,5,656,0.73117995262146,0.6593115329742432,0.6650193929672241,1.0695842504501343,0.5474304715795277,0.6432256579077446,0.5596665410132959,0.559131248615086,
roman-empire,ResNet,1,6,612,0.732415497303009,0.6561341285705566,0.6591951847076416,1.12812340259552,0.534373918211602,0.635332784614774,0.547284614968565,0.5483842399626448,
roman-empire,ResNet,1,7,537,0.7214720845222473,0.6518976092338562,0.6609600782394409,1.1147456169128418,0.5269282472728963,0.6300736503181429,0.555072778116094,0.5370356788162487,
roman-empire,ResNet,1,8,368,0.6948195099830627,0.6559576392173767,0.6583127379417419,1.0889335870742798,0.5233955610468779,0.6278644795410754,0.5462039110924438,0.5369848589961577,
roman-empire,ResNet,1,9,695,0.7455652952194214,0.6564871668815613,0.6447228789329529,1.1664166450500488,0.5231899388924983,0.6212953181768149,0.5286179909209934,0.5412765661429999,
roman-empire,ResNet,2,0,518,0.7269437909126282,0.6550750136375427,0.6572538018226624,1.1163541078567505,0.5377758744088729,0.6325359377222006,0.5408711705547115,0.5704812990009381,
roman-empire,ResNet,2,1,439,0.7119407057762146,0.6616063117980957,0.6629015207290649,1.0797215700149536,0.5323810410704302,0.6347016170701397,0.5427723190985111,0.5493505198723189,
