dataset,model,num_layers,split,num_model_seeds,best_steps,individual_val_accs,train_acc,val_acc,test_acc,test_loss,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc
roman-empire,ResNet,2,0,4,"[518, 437, 564, 493]","[0.6551, 0.6591, 0.6579, 0.6593]",0.7290619015693665,0.6589584946632385,0.6591951847076416,1.0978375673294067,0.5373532139434034,0.6335735296245966,0.5374159274411777,0.5705355658314386,
roman-empire,ResNet,1,1,4,"[705, 753, 597, 666]","[0.6658, 0.665, 0.6635, 0.6643]",0.7416821122169495,0.6670785546302795,0.6667842864990234,1.0990428924560547,0.5416111766828217,0.6402597976595289,0.5481954282554706,0.5564446538711951,
roman-empire,ResNet,4,2,4,"[318, 368, 405, 342]","[0.6537, 0.6501, 0.6507, 0.654]",0.7127349972724915,0.656663715839386,0.6630780100822449,1.0723329782485962,0.5308722780475406,0.6356680043226591,0.547636570560527,0.546235864376948,
roman-empire,ResNet,4,3,4,"[542, 424, 532, 413]","[0.654, 0.6553, 0.6572, 0.6547]",0.7294148802757263,0.6564871668815613,0.6660783290863037,1.0680712461471558,0.5418891184132916,0.6428374531760311,0.5507017405005318,0.5582081866517277,
roman-empire,ResNet,2,4,4,"[557, 426, 408, 355]","[0.6577, 0.6558, 0.6597, 0.6597]",0.7234136462211609,0.6584289073944092,0.6611365675926208,1.1083298921585083,0.539646425763531,0.6356620439061543,0.5668647047483026,0.5530797263268363,
roman-empire,ResNet,2,5,4,"[516, 286, 448, 422]","[0.6584, 0.6542, 0.6577, 0.6531]",0.7055864334106445,0.6598411202430725,0.665195882320404,1.0429407358169556,0.5328747782749477,0.6315410793530785,0.5608460432740159,0.547784020354221,
roman-empire,ResNet,1,6,4,"[591, 350, 606, 688]","[0.6538, 0.6526, 0.6535, 0.6579]",0.7294148802757263,0.6552515029907227,0.6579597592353821,1.101760983467102,0.5313108276107033,0.6313413394215436,0.5548501174077402,0.5413183401307687,
roman-empire,ResNet,1,7,4,"[610, 617, 616, 669]","[0.6567, 0.6537, 0.656, 0.6588]",0.739122748374939,0.6591350436210632,0.6618425250053406,1.1168073415756226,0.5336420743560315,0.6330618852352459,0.5671403130374636,0.5437689946402132,
roman-empire,ResNet,2,8,4,"[427, 569, 580, 448]","[0.6554, 0.65, 0.6526, 0.6526]",0.7309151887893677,0.6559576392173767,0.6660783290863037,1.0888625383377075,0.5408978781214171,0.6417149328282424,0.5608179032068931,0.560980007220507,
roman-empire,ResNet,1,9,4,"[437, 707, 418, 293]","[0.6574, 0.6579, 0.6533, 0.6556]",0.7150295972824097,0.6586054563522339,0.6501941084861755,1.1154714822769165,0.5125095969000637,0.6174445096810374,0.5430861140602542,0.5283537920283184,
roman-empire,GCN,1,0,4,"[908, 944, 980, 970]","[0.7446, 0.7393, 0.7426, 0.7428]",0.9115700721740723,0.747043251991272,0.739851713180542,0.8975803852081299,0.6674456040007757,0.7349132396702983,0.676327280447969,0.6680224973516107,
roman-empire,GCN,4,1,4,"[528, 540, 525, 683]","[0.7407, 0.7375, 0.7423, 0.7425]",0.9436060786247253,0.751632809638977,0.7402046918869019,0.8393454551696777,0.676094566984164,0.737358441056651,0.6778404868152245,0.6827839484558618,
roman-empire,GCN,1,2,4,"[976, 927, 859, 979]","[0.7384, 0.738, 0.7333, 0.738]",0.9060983061790466,0.7428066730499268,0.7462053894996643,0.8692127466201782,0.689865409537171,0.7406819975609757,0.708405718176634,0.6816025268895959,
roman-empire,GCN,1,3,4,"[952, 959, 889, 994]","[0.7359, 0.7395, 0.7389, 0.7428]",0.9072456359863281,0.7436892986297607,0.7430285811424255,0.8805280327796936,0.6752665981051207,0.7351492922971278,0.7006176919633348,0.6674736765579052,
