dataset,model,num_layers,split,best_step,train_acc,val_acc,test_acc,test_loss,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc
roman-empire,ResNet,3,0,811,0.706910252571106,0.6593115329742432,0.6569007635116577,1.0860872268676758,0.5218619404712892,0.6231003882820614,0.53138665181282,0.5585527767726165,
roman-empire,ResNet,4,1,796,0.706733763217926,0.6586054563522339,0.6623720526695251,1.0697615146636963,0.5344006183176693,0.6306087233971092,0.5359053457566425,0.5749914487103801,
roman-empire,ResNet,1,2,814,0.7108816504478455,0.6589584946632385,0.6599011421203613,1.0958690643310547,0.53061803632268,0.6327953621988472,0.547128601964802,0.5576551466375917,
roman-empire,ResNet,2,3,970,0.7242962121963501,0.6577228307723999,0.6673137545585632,1.0885329246520996,0.5419665647891102,0.6414199578741778,0.5428715368938551,0.574852108857944,
roman-empire,ResNet,5,4,841,0.714853048324585,0.6573697924613953,0.6540769338607788,1.1064175367355347,0.5361822075368763,0.6276383431714327,0.5444761957340034,0.5692548219248093,
roman-empire,ResNet,5,5,813,0.7017915844917297,0.6647837162017822,0.6678432822227478,1.0440717935562134,0.5401443157690158,0.6351908510848819,0.5541114748471985,0.581297790237419,
roman-empire,ResNet,5,6,830,0.7109699249267578,0.6587820053100586,0.6531944870948792,1.090119481086731,0.5215662043700269,0.6180025863031285,0.601135374286961,0.5444268763448108,
roman-empire,ResNet,1,7,994,0.7238548994064331,0.6584289073944092,0.6644899249076843,1.1123708486557007,0.5319481529534312,0.632309355435123,0.5890106939365067,0.5413866121601089,
roman-empire,ResNet,3,8,918,0.7152060866355896,0.6586054563522339,0.6616660356521606,1.0811705589294434,0.5396899487376873,0.6340505936650488,0.5409663619968206,0.5781478447656263,
roman-empire,ResNet,3,9,839,0.7145000696182251,0.6637246012687683,0.6558418273925781,1.107155203819275,0.5175394239383379,0.6189949535041529,0.5480842891138781,0.5419554981942655,
roman-empire,GCN,4,0,1000,0.9489895105361938,0.7542806267738342,0.7426756024360657,0.8770660758018494,0.6868098079570398,0.7433296580557474,0.6872210282745543,0.6948423763707803,
roman-empire,GCN,5,1,988,0.9706116318702698,0.760811984539032,0.7610306739807129,0.8530258536338806,0.7000104577187456,0.7579647963548286,0.7096270132943595,0.6978908774353425,
roman-empire,GCN,5,2,1000,0.9699938297271729,0.7588702440261841,0.7571478486061096,0.8422932624816895,0.7022527139699999,0.7563688900452415,0.7017973683774683,0.707835729318234,
roman-empire,GCN,4,3,989,0.9518136382102966,0.7555162906646729,0.7585598230361938,0.8380953669548035,0.7105632812614977,0.7592255571126675,0.7110712796519354,0.7173283435618326,
roman-empire,GCN,4,4,988,0.9491659998893738,0.767166793346405,0.753441572189331,0.8362618088722229,0.6886155825364249,0.7495706876621505,0.6842544368239811,0.7038177553884434,
roman-empire,GCN,4,5,997,0.9555202722549438,0.7622241377830505,0.7622660994529724,0.7909518480300903,0.7014795014837275,0.7605413870885156,0.7086282734797598,0.7025922343648479,
roman-empire,GCN,5,6,980,0.9641691446304321,0.7505736947059631,0.7504411935806274,0.8471266031265259,0.6958589524599996,0.7509156021853809,0.69965738918543,0.6973190732749212,
roman-empire,GCN,5,7,997,0.9691113233566284,0.7622241377830505,0.7680903673171997,0.8009439706802368,0.7139430966046807,0.7681279902645438,0.7126664418588846,0.7196236024069392,
roman-empire,GCN,5,8,981,0.9644338488578796,0.753574550151825,0.7504411935806274,0.8559918403625488,0.700450373089365,0.7505740489538055,0.7002718021932555,0.7096853275715493,
roman-empire,GCN,5,9,970,0.9615215063095093,0.7585172057151794,0.7575008869171143,0.8240064978599548,0.7000522014024484,0.7559956010934621,0.7100765602257995,0.6988124755516227,
roman-empire,SAGE,5,0,992,0.9923219680786133,0.8746690154075623,0.8711612820625305,0.5545892715454102,0.8367795992049973,0.869745072518841,0.8295103696631956,0.8474676547565786,
roman-empire,SAGE,5,1,998,0.9901156425476074,0.8792585730552673,0.8785739541053772,0.5177246928215027,0.8464939046714117,0.8769609505973897,0.8453217628577668,0.8493966888204845,
roman-empire,SAGE,5,2,978,0.9871150255203247,0.8706089854240417,0.8715142607688904,0.5109717845916748,0.8400662994540521,0.8698987581626588,0.8354982496856975,0.847172462678291,
roman-empire,SAGE,5,3,979,0.9894978404045105,0.8780229091644287,0.8746911287307739,0.5385636687278748,0.8445330047171136,0.8738688813203566,0.8367643801828902,0.8542892976994121,
roman-empire,SAGE,5,4,974,0.9879093170166016,0.8778464198112488,0.8716907501220703,0.5518307685852051,0.8404853594526368,0.8691999029699646,0.8335249961542452,0.8499362875299904,
roman-empire,SAGE,5,5,985,0.992057204246521,0.8732568025588989,0.8865160346031189,0.5028223395347595,0.8550235621870711,0.885209789371859,0.8538583376782222,0.8577779467590392,
roman-empire,SAGE,5,6,994,0.9914394617080688,0.8642541766166687,0.8722202181816101,0.5701512098312378,0.8411919867899049,0.8705570027788536,0.8358757957534002,0.850052842926664,
roman-empire,SAGE,5,7,993,0.9908216595649719,0.872197687625885,0.8736321926116943,0.5601746439933777,0.8399298978874644,0.872077649533096,0.8355583431022585,0.8473422857807125,
roman-empire,SAGE,5,8,998,0.9865854978561401,0.8714916110038757,0.8690434098243713,0.5512381792068481,0.8362314387184971,0.8677665739667813,0.8303260221552846,0.844544340332745,
roman-empire,SAGE,5,9,986,0.9894096255302429,0.8729037642478943,0.8761030435562134,0.5400630235671997,0.842519835936141,0.8747371013499593,0.8344048734757563,0.8538306206341949,
roman-empire,GAT,4,0,997,0.9055688381195068,0.79011470079422,0.7905047535896301,0.7175495028495789,0.7272391330836748,0.7876325126499107,0.728397953022364,0.7472301880553329,
roman-empire,GAT,4,1,1000,0.9143941402435303,0.7931156158447266,0.7973878979682922,0.6924029588699341,0.7344515650488825,0.7931911971060751,0.7446344310321922,0.7459492680963701,
roman-empire,GAT,5,2,978,0.9188068509101868,0.7885259985923767,0.7959759831428528,0.6534159779548645,0.7442724795633261,0.7921650549335344,0.7502052591357727,0.753997291434844,
roman-empire,GAT,4,3,997,0.9090107083320618,0.7985877990722656,0.7883868217468262,0.6773761510848999,0.7390452430566281,0.7873552679377034,0.7423175703667982,0.747831483514287,
roman-empire,GAT,5,4,999,0.9123643040657043,0.8019417524337769,0.7892693281173706,0.7163713574409485,0.727395010474734,0.7850726982787394,0.7267239792671202,0.7494104849644598,
roman-empire,GAT,5,5,1000,0.9126290678977966,0.7881729602813721,0.7929756045341492,0.6760627031326294,0.7261222559444189,0.7876986424130499,0.7439886792808451,0.7341330311321164,
roman-empire,GAT,5,6,999,0.9248962998390198,0.7848190665245056,0.7912107110023499,0.6953891515731812,0.7330011844288736,0.7889787903982022,0.7356461117900522,0.7490168226484615,
roman-empire,GAT,5,7,976,0.9107757806777954,0.7968225479125977,0.8010942339897156,0.6775725483894348,0.7437989258100717,0.7982043831660035,0.7490362817522809,0.763380434760281,
roman-empire,GAT,5,8,994,0.9176595211029053,0.7977051734924316,0.7924461364746094,0.707496166229248,0.7362598815385165,0.7907136019144277,0.7394087773622777,0.7490901041208833,
roman-empire,GAT,5,9,998,0.9083046913146973,0.7871138453483582,0.7853865027427673,0.70607990026474,0.7215534694575442,0.7807524383223514,0.7275527728113583,0.7374373003504436,
roman-empire,GAT-sep,5,0,982,0.9922336935997009,0.8944395184516907,0.8905753493309021,0.46448981761932373,0.8599902767738438,0.889405425421522,0.8535256738970962,0.8710389729630226,
roman-empire,GAT-sep,5,1,994,0.9917042255401611,0.89496910572052,0.895517110824585,0.42168718576431274,0.8695014327506566,0.8950027963695937,0.8647664144990617,0.8764745414913975,
roman-empire,GAT-sep,5,2,984,0.9897626042366028,0.8838481903076172,0.8939286470413208,0.40938857197761536,0.8684033709075112,0.893115373304261,0.8613064091903976,0.8801019142432595,
roman-empire,GAT-sep,5,3,987,0.9904686212539673,0.8979699611663818,0.8898693919181824,0.45303183794021606,0.8619052036760794,0.8900407613611653,0.8540189732062626,0.8730683163245023,
roman-empire,GAT-sep,5,4,996,0.9905568957328796,0.8983229994773865,0.8865160346031189,0.4427218437194824,0.8591918568066311,0.8850616042719271,0.8524145275643022,0.8700733178135005,
roman-empire,GAT-sep,5,5,992,0.9924984574317932,0.8956751823425293,0.9015178084373474,0.39807507395744324,0.8750864002165767,0.901074493152479,0.8712458991874173,0.8818078702386544,
roman-empire,GAT-sep,5,6,997,0.9925867319107056,0.886849045753479,0.8877514600753784,0.4677349627017975,0.8628300034213617,0.8865295160936336,0.8586085443465006,0.8715673470739111,
roman-empire,GAT-sep,5,7,998,0.9935575127601624,0.8916151523590088,0.8919872641563416,0.46276915073394775,0.8651899953121274,0.8911318736666105,0.8592834172348861,0.8751325959938797,
roman-empire,GAT-sep,5,8,998,0.9917042255401611,0.8935568928718567,0.8893399238586426,0.42922165989875793,0.8637390485664347,0.8890354765905577,0.8567246469864871,0.8738558168608024,
roman-empire,GAT-sep,5,9,988,0.9901156425476074,0.89496910572052,0.8900458812713623,0.42600032687187195,0.8621935316164585,0.8888787260069434,0.8557897471638478,0.8721973637614691,
roman-empire,GT,5,0,1000,0.9931162595748901,0.8882612586021423,0.8859865665435791,0.4625266492366791,0.8553340664380106,0.8838577496610978,0.8489830775622988,0.8661880344096093,
roman-empire,GT,5,1,950,0.9946165680885315,0.8900264501571655,0.8865160346031189,0.44334083795547485,0.8556387930721739,0.8843511160891337,0.8584137943754566,0.8560727507923117,
roman-empire,GT,5,2,1000,0.9950578212738037,0.8854368925094604,0.886163055896759,0.4391917884349823,0.8585409290022489,0.8842066330335148,0.8583193739970152,0.8619281695864954,
roman-empire,GT,5,3,974,0.9970876574516296,0.8909090757369995,0.8879279494285583,0.46934017539024353,0.8592975892351344,0.8858877826671462,0.8569540515505819,0.8645780535024457,
roman-empire,GT,5,4,998,0.9924984574317932,0.8930273652076721,0.8868690133094788,0.4534018337726593,0.8576461049416056,0.8848037338913268,0.8507328961812303,0.8687873450452084,
roman-empire,GT,5,5,996,0.9957638382911682,0.8880847096443176,0.8884574174880981,0.4353015422821045,0.8606840936290215,0.8868135899211387,0.8594239434938528,0.8644254203747279,
roman-empire,GT,5,6,998,0.9963816404342651,0.8812003135681152,0.8808683156967163,0.47546640038490295,0.8538897042680865,0.878931407631995,0.8523138076524103,0.8587841067380655,
roman-empire,GT,4,7,999,0.9924984574317932,0.8836716413497925,0.881750762462616,0.4708205759525299,0.850500887739685,0.8801291407003546,0.8528034240975627,0.8512870934953504,
