dataset,model,num_layers,split,num_model_seeds,best_steps,individual_val_accs,train_acc,val_acc,test_acc,test_loss,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc
tolokers,ResNet,5,0,4,"[99, 136, 94, 90]","[0.7819, 0.7819, 0.7833, 0.7822]",0.782275915145874,0.7829193472862244,0.7829931974411011,0.4678735136985779,,,,,0.7189402134864666
tolokers,ResNet,5,1,4,"[180, 438, 664, 535]","[0.7839, 0.7833, 0.7829, 0.7839]",0.782446026802063,0.7839400768280029,0.7823129296302795,0.45380812883377075,,,,,0.7291468404057165
tolokers,ResNet,5,2,4,"[126, 91, 103, 726]","[0.7819, 0.7816, 0.7826, 0.7812]",0.7821058034896851,0.7829193472862244,0.7829931974411011,0.4422602355480194,,,,,0.7432428035756408
tolokers,ResNet,5,3,4,"[899, 104, 802, 896]","[0.7836, 0.7795, 0.7829, 0.7833]",0.7826160788536072,0.783599853515625,0.781632661819458,0.45332539081573486,,,,,0.7356857785044018
tolokers,ResNet,5,4,4,"[765, 627, 513, 698]","[0.7809, 0.7805, 0.7812, 0.7812]",0.7839769124984741,0.7808778285980225,0.7802721261978149,0.45853549242019653,,,,,0.7430838545775956
tolokers,ResNet,5,5,4,"[990, 102, 996, 984]","[0.7792, 0.7792, 0.7775, 0.7778]",0.7858479619026184,0.777815580368042,0.7809523940086365,0.45892825722694397,,,,,0.7210878889675161
tolokers,ResNet,5,6,4,"[772, 793, 930, 977]","[0.7843, 0.7819, 0.7833, 0.7829]",0.782446026802063,0.7825790643692017,0.7819728255271912,0.4488421380519867,,,,,0.742810353849616
tolokers,ResNet,5,7,4,"[134, 93, 128, 129]","[0.7877, 0.787, 0.785, 0.7863]",0.781255304813385,0.7873426079750061,0.7782313227653503,0.47462013363838196,,,,,0.7089477779675676
tolokers,ResNet,5,9,4,"[913, 396, 201, 621]","[0.7819, 0.7809, 0.7799, 0.7802]",0.7832964658737183,0.7808778285980225,0.7809523940086365,0.45027098059654236,,,,,0.7347307288743565
tolokers,ResNet,5,8,4,"[998, 928, 732, 881]","[0.7822, 0.7819, 0.7826, 0.7829]",0.7817656397819519,0.7815583348274231,0.7819728255271912,0.4577724039554596,,,,,0.7246417038790334
tolokers,GCN,5,0,4,"[669, 824, 633, 527]","[0.8166, 0.8203, 0.8207, 0.8231]",0.8219085335731506,0.8230690360069275,0.8156462907791138,0.4052642285823822,,,,,0.8335898885391334
tolokers,GCN,5,1,4,"[776, 924, 998, 999]","[0.8139, 0.8135, 0.8163, 0.8197]",0.8261609077453613,0.8166042566299438,0.8153061270713806,0.38886767625808716,,,,,0.8405704269458204
tolokers,GCN,5,2,4,"[870, 765, 744, 981]","[0.82, 0.8112, 0.8122, 0.8122]",0.8282020688056946,0.8145627379417419,0.8258503675460815,0.40243974328041077,,,,,0.8381872087064737
tolokers,GCN,5,3,4,"[790, 804, 863, 623]","[0.8057, 0.8054, 0.8118, 0.8129]",0.823609471321106,0.808438241481781,0.8190476298332214,0.38979169726371765,,,,,0.8400464714000255
tolokers,GCN,5,4,4,"[968, 977, 721, 949]","[0.8112, 0.8074, 0.8108, 0.8149]",0.8304133415222168,0.8132017254829407,0.8258503675460815,0.38107138872146606,,,,,0.8521604862958174
tolokers,GCN,5,5,4,"[835, 779, 942, 798]","[0.8173, 0.8186, 0.8197, 0.821]",0.8302432298660278,0.8193262815475464,0.8023809790611267,0.41413143277168274,,,,,0.8256027861149746
tolokers,GCN,5,6,4,"[947, 909, 914, 967]","[0.8237, 0.8261, 0.822, 0.8272]",0.832794725894928,0.8240898251533508,0.8108843564987183,0.40780743956565857,,,,,0.8294080725756381
tolokers,GCN,5,7,4,"[951, 950, 886, 992]","[0.8088, 0.8016, 0.8057, 0.8129]",0.824289858341217,0.8087784647941589,0.8020408153533936,0.41328832507133484,,,,,0.8305115649799772
tolokers,GCN,5,8,4,"[810, 938, 602, 559]","[0.818, 0.8078, 0.8105, 0.8146]",0.8276917934417725,0.8155835270881653,0.8173469305038452,0.3973475992679596,,,,,0.8387389549086431
tolokers,GCN,5,9,4,"[885, 967, 588, 784]","[0.8173, 0.8159, 0.8098, 0.8156]",0.8305834531784058,0.8162640333175659,0.8115646243095398,0.40008172392845154,,,,,0.8378052566365443
tolokers,SAGE,5,0,4,"[725, 639, 843, 756]","[0.8023, 0.8088, 0.8081, 0.8057]",0.8251403570175171,0.8050357103347778,0.8068027496337891,0.41954943537712097,,,,,0.829704619213782
tolokers,SAGE,5,1,4,"[939, 857, 721, 978]","[0.7993, 0.8033, 0.7969, 0.805]",0.823609471321106,0.8023136854171753,0.8136054277420044,0.41780224442481995,,,,,0.8328541139660927
tolokers,SAGE,5,2,4,"[659, 714, 347, 649]","[0.7986, 0.7958, 0.7948, 0.7952]",0.8183364868164062,0.7975501418113708,0.8125850558280945,0.3922715485095978,,,,,0.8406734557206728
tolokers,SAGE,5,3,4,"[607, 847, 966, 651]","[0.8033, 0.803, 0.8047, 0.7945]",0.823609471321106,0.8006124496459961,0.8051020503044128,0.41391947865486145,,,,,0.8368458011707323
tolokers,SAGE,5,4,4,"[956, 682, 850, 951]","[0.8037, 0.7982, 0.8081, 0.8033]",0.8261609077453613,0.8012929558753967,0.8061224818229675,0.43537312746047974,,,,,0.8345717120942224
tolokers,SAGE,5,5,4,"[655, 871, 978, 805]","[0.803, 0.7989, 0.805, 0.803]",0.8251403570175171,0.8046954274177551,0.8003401756286621,0.43385130167007446,,,,,0.8279656697277058
tolokers,SAGE,5,6,4,"[857, 905, 991, 845]","[0.8064, 0.8088, 0.8071, 0.8044]",0.8282020688056946,0.8094589710235596,0.8105442523956299,0.4229101836681366,,,,,0.8323132128981181
tolokers,SAGE,5,7,4,"[623, 659, 643, 852]","[0.8047, 0.8149, 0.8098, 0.8112]",0.8239496946334839,0.8135420083999634,0.8010204434394836,0.4171643853187561,,,,,0.8290013800433264
tolokers,SAGE,5,8,4,"[766, 697, 745, 715]","[0.8006, 0.8044, 0.7972, 0.8044]",0.8203776478767395,0.8029941916465759,0.8023809790611267,0.43957245349884033,,,,,0.8304553058463406
