Loading data...

============================================================
Training TABM-tolokers GCN 1L h=512 lr=3e-05 split=7
============================================================
Step    1 | loss 1.1672 | val_acc=0.2191 val_roc_auc=0.4502 val_loss=0.9297 val_metric_name=roc_auc val_metric=0.4502
Step   50 | loss 0.5224 | val_acc=0.7822 val_roc_auc=0.7274 val_loss=0.4817 val_metric_name=roc_auc val_metric=0.7274
Step  100 | loss 0.4980 | val_acc=0.7911 val_roc_auc=0.7503 val_loss=0.4602 val_metric_name=roc_auc val_metric=0.7503
Step  150 | loss 0.4886 | val_acc=0.7907 val_roc_auc=0.7588 val_loss=0.4539 val_metric_name=roc_auc val_metric=0.7588
Step  200 | loss 0.4813 | val_acc=0.7894 val_roc_auc=0.7636 val_loss=0.4499 val_metric_name=roc_auc val_metric=0.7636
Step  250 | loss 0.4731 | val_acc=0.7901 val_roc_auc=0.7667 val_loss=0.4468 val_metric_name=roc_auc val_metric=0.7667
Step  300 | loss 0.4709 | val_acc=0.7897 val_roc_auc=0.7690 val_loss=0.4445 val_metric_name=roc_auc val_metric=0.7690
Step  350 | loss 0.4669 | val_acc=0.7901 val_roc_auc=0.7708 val_loss=0.4426 val_metric_name=roc_auc val_metric=0.7708
Step  400 | loss 0.4613 | val_acc=0.7907 val_roc_auc=0.7724 val_loss=0.4409 val_metric_name=roc_auc val_metric=0.7724
Step  450 | loss 0.4605 | val_acc=0.7907 val_roc_auc=0.7737 val_loss=0.4393 val_metric_name=roc_auc val_metric=0.7737
Step  500 | loss 0.4550 | val_acc=0.7904 val_roc_auc=0.7748 val_loss=0.4379 val_metric_name=roc_auc val_metric=0.7748
Step  550 | loss 0.4544 | val_acc=0.7907 val_roc_auc=0.7760 val_loss=0.4364 val_metric_name=roc_auc val_metric=0.7760
Step  600 | loss 0.4497 | val_acc=0.7918 val_roc_auc=0.7772 val_loss=0.4350 val_metric_name=roc_auc val_metric=0.7772
Step  650 | loss 0.4482 | val_acc=0.7921 val_roc_auc=0.7785 val_loss=0.4333 val_metric_name=roc_auc val_metric=0.7785
Step  700 | loss 0.4478 | val_acc=0.7938 val_roc_auc=0.7797 val_loss=0.4320 val_metric_name=roc_auc val_metric=0.7797
Step  750 | loss 0.4447 | val_acc=0.7941 val_roc_auc=0.7809 val_loss=0.4305 val_metric_name=roc_auc val_metric=0.7809
Step  800 | loss 0.4445 | val_acc=0.7911 val_roc_auc=0.7822 val_loss=0.4295 val_metric_name=roc_auc val_metric=0.7822
Step  850 | loss 0.4414 | val_acc=0.7918 val_roc_auc=0.7834 val_loss=0.4280 val_metric_name=roc_auc val_metric=0.7834
Step  900 | loss 0.4397 | val_acc=0.7914 val_roc_auc=0.7847 val_loss=0.4267 val_metric_name=roc_auc val_metric=0.7847
Step  950 | loss 0.4382 | val_acc=0.7911 val_roc_auc=0.7860 val_loss=0.4255 val_metric_name=roc_auc val_metric=0.7860
Step 1000 | loss 0.4378 | val_acc=0.7911 val_roc_auc=0.7872 val_loss=0.4241 val_metric_name=roc_auc val_metric=0.7872
Step 1050 | loss 0.4363 | val_acc=0.7921 val_roc_auc=0.7885 val_loss=0.4231 val_metric_name=roc_auc val_metric=0.7885
Step 1100 | loss 0.4366 | val_acc=0.7921 val_roc_auc=0.7895 val_loss=0.4225 val_metric_name=roc_auc val_metric=0.7895
Step 1150 | loss 0.4340 | val_acc=0.7921 val_roc_auc=0.7907 val_loss=0.4211 val_metric_name=roc_auc val_metric=0.7907
Step 1200 | loss 0.4338 | val_acc=0.7914 val_roc_auc=0.7921 val_loss=0.4202 val_metric_name=roc_auc val_metric=0.7921
Step 1250 | loss 0.4316 | val_acc=0.7914 val_roc_auc=0.7934 val_loss=0.4192 val_metric_name=roc_auc val_metric=0.7934
Step 1300 | loss 0.4316 | val_acc=0.7921 val_roc_auc=0.7949 val_loss=0.4182 val_metric_name=roc_auc val_metric=0.7949
Step 1350 | loss 0.4296 | val_acc=0.7935 val_roc_auc=0.7963 val_loss=0.4169 val_metric_name=roc_auc val_metric=0.7963
Step 1400 | loss 0.4299 | val_acc=0.7931 val_roc_auc=0.7975 val_loss=0.4162 val_metric_name=roc_auc val_metric=0.7975
Step 1450 | loss 0.4280 | val_acc=0.7935 val_roc_auc=0.7992 val_loss=0.4150 val_metric_name=roc_auc val_metric=0.7992
Step 1500 | loss 0.4278 | val_acc=0.7928 val_roc_auc=0.8008 val_loss=0.4137 val_metric_name=roc_auc val_metric=0.8008
Step 1550 | loss 0.4259 | val_acc=0.7928 val_roc_auc=0.8021 val_loss=0.4127 val_metric_name=roc_auc val_metric=0.8021
Step 1600 | loss 0.4255 | val_acc=0.7941 val_roc_auc=0.8031 val_loss=0.4119 val_metric_name=roc_auc val_metric=0.8031
Step 1650 | loss 0.4246 | val_acc=0.7948 val_roc_auc=0.8046 val_loss=0.4107 val_metric_name=roc_auc val_metric=0.8046
Step 1700 | loss 0.4236 | val_acc=0.7962 val_roc_auc=0.8056 val_loss=0.4096 val_metric_name=roc_auc val_metric=0.8056
Step 1750 | loss 0.4220 | val_acc=0.7965 val_roc_auc=0.8065 val_loss=0.4089 val_metric_name=roc_auc val_metric=0.8065
Step 1800 | loss 0.4232 | val_acc=0.7969 val_roc_auc=0.8074 val_loss=0.4082 val_metric_name=roc_auc val_metric=0.8074
