Loading data...

============================================================
Training TABM-tolokers TAG 1L h=512 lr=3e-05 split=8
============================================================
Step    1 | loss 0.8609 | val_acc=0.7822 val_roc_auc=0.4648 val_loss=0.5479 val_metric_name=roc_auc val_metric=0.4648
Step   50 | loss 0.5009 | val_acc=0.7816 val_roc_auc=0.7534 val_loss=0.4570 val_metric_name=roc_auc val_metric=0.7534
Step  100 | loss 0.4753 | val_acc=0.7850 val_roc_auc=0.7689 val_loss=0.4433 val_metric_name=roc_auc val_metric=0.7689
Step  150 | loss 0.4645 | val_acc=0.7877 val_roc_auc=0.7778 val_loss=0.4356 val_metric_name=roc_auc val_metric=0.7778
Step  200 | loss 0.4527 | val_acc=0.7887 val_roc_auc=0.7832 val_loss=0.4301 val_metric_name=roc_auc val_metric=0.7832
Step  250 | loss 0.4450 | val_acc=0.7894 val_roc_auc=0.7873 val_loss=0.4259 val_metric_name=roc_auc val_metric=0.7873
Step  300 | loss 0.4389 | val_acc=0.7904 val_roc_auc=0.7905 val_loss=0.4224 val_metric_name=roc_auc val_metric=0.7905
Step  350 | loss 0.4357 | val_acc=0.7901 val_roc_auc=0.7932 val_loss=0.4198 val_metric_name=roc_auc val_metric=0.7932
Step  400 | loss 0.4331 | val_acc=0.7911 val_roc_auc=0.7959 val_loss=0.4173 val_metric_name=roc_auc val_metric=0.7959
Step  450 | loss 0.4253 | val_acc=0.7924 val_roc_auc=0.7983 val_loss=0.4152 val_metric_name=roc_auc val_metric=0.7983
Step  500 | loss 0.4244 | val_acc=0.7965 val_roc_auc=0.8005 val_loss=0.4132 val_metric_name=roc_auc val_metric=0.8005
Step  550 | loss 0.4211 | val_acc=0.7969 val_roc_auc=0.8027 val_loss=0.4115 val_metric_name=roc_auc val_metric=0.8027
Step  600 | loss 0.4184 | val_acc=0.7982 val_roc_auc=0.8048 val_loss=0.4099 val_metric_name=roc_auc val_metric=0.8048
Step  650 | loss 0.4166 | val_acc=0.8013 val_roc_auc=0.8067 val_loss=0.4083 val_metric_name=roc_auc val_metric=0.8067
Step  700 | loss 0.4123 | val_acc=0.8030 val_roc_auc=0.8084 val_loss=0.4070 val_metric_name=roc_auc val_metric=0.8084
Step  750 | loss 0.4101 | val_acc=0.8037 val_roc_auc=0.8099 val_loss=0.4060 val_metric_name=roc_auc val_metric=0.8099
Step  800 | loss 0.4120 | val_acc=0.8044 val_roc_auc=0.8117 val_loss=0.4045 val_metric_name=roc_auc val_metric=0.8117
Step  850 | loss 0.4067 | val_acc=0.8050 val_roc_auc=0.8130 val_loss=0.4035 val_metric_name=roc_auc val_metric=0.8130
Step  900 | loss 0.4060 | val_acc=0.8054 val_roc_auc=0.8146 val_loss=0.4023 val_metric_name=roc_auc val_metric=0.8146
Step  950 | loss 0.4037 | val_acc=0.8047 val_roc_auc=0.8160 val_loss=0.4012 val_metric_name=roc_auc val_metric=0.8160
Step 1000 | loss 0.4004 | val_acc=0.8067 val_roc_auc=0.8174 val_loss=0.4002 val_metric_name=roc_auc val_metric=0.8174
Step 1050 | loss 0.3987 | val_acc=0.8071 val_roc_auc=0.8185 val_loss=0.3994 val_metric_name=roc_auc val_metric=0.8185
Step 1100 | loss 0.3975 | val_acc=0.8071 val_roc_auc=0.8198 val_loss=0.3988 val_metric_name=roc_auc val_metric=0.8198
Step 1150 | loss 0.3973 | val_acc=0.8071 val_roc_auc=0.8207 val_loss=0.3985 val_metric_name=roc_auc val_metric=0.8207
Step 1200 | loss 0.3947 | val_acc=0.8071 val_roc_auc=0.8218 val_loss=0.3978 val_metric_name=roc_auc val_metric=0.8218
Step 1250 | loss 0.3941 | val_acc=0.8088 val_roc_auc=0.8224 val_loss=0.3974 val_metric_name=roc_auc val_metric=0.8224
Step 1300 | loss 0.3919 | val_acc=0.8061 val_roc_auc=0.8232 val_loss=0.3972 val_metric_name=roc_auc val_metric=0.8232
Step 1350 | loss 0.3898 | val_acc=0.8064 val_roc_auc=0.8241 val_loss=0.3969 val_metric_name=roc_auc val_metric=0.8241
Step 1400 | loss 0.3904 | val_acc=0.8074 val_roc_auc=0.8247 val_loss=0.3963 val_metric_name=roc_auc val_metric=0.8247
Step 1450 | loss 0.3895 | val_acc=0.8074 val_roc_auc=0.8253 val_loss=0.3963 val_metric_name=roc_auc val_metric=0.8253
Step 1500 | loss 0.3877 | val_acc=0.8081 val_roc_auc=0.8259 val_loss=0.3960 val_metric_name=roc_auc val_metric=0.8259
Step 1550 | loss 0.3854 | val_acc=0.8095 val_roc_auc=0.8262 val_loss=0.3966 val_metric_name=roc_auc val_metric=0.8262
Step 1600 | loss 0.3857 | val_acc=0.8095 val_roc_auc=0.8269 val_loss=0.3962 val_metric_name=roc_auc val_metric=0.8269
Step 1650 | loss 0.3851 | val_acc=0.8081 val_roc_auc=0.8275 val_loss=0.3961 val_metric_name=roc_auc val_metric=0.8275
Step 1700 | loss 0.3832 | val_acc=0.8088 val_roc_auc=0.8281 val_loss=0.3963 val_metric_name=roc_auc val_metric=0.8281
