dataset,model,num_layers,hidden_dim,lr,split,best_step,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
amazon-ratings,ResNet,1,512,3e-05,0,2090,acc,0.9914257526397705,0.9914257526397705,0.02456549182534218,,0.9904054441521033,0.9914250911742191,0.9906563687385024,0.9901780306374848,acc,0.4711742699146271,0.4711742699146271,3.2066586017608643,,0.41345282454811433,0.4667736133500656,0.435116169221825,0.40088715078162984,acc,0.4886493384838104,0.4886493384838104,3.045423984527588,,0.4312751891700586,0.48504924660290716,0.4518133214077299,0.4188712681399661
amazon-ratings,ResNet,1,512,3e-05,1,1620,acc,0.9857912659645081,0.9857912659645081,0.05363992601633072,,0.9851190210424647,0.9857810745786064,0.9866699796032163,0.9836159755707431,acc,0.49273231625556946,0.49273231625556946,2.728579044342041,,0.4323635166398837,0.4873481546836408,0.45567539109205635,0.4192788163964106,acc,0.47885024547576904,0.47885024547576904,2.7541277408599854,,0.42630893326032987,0.4741809839022138,0.455370284171701,0.41088054831935067
amazon-ratings,ResNet,1,512,3e-05,2,1760,acc,0.9840764403343201,0.9840764403343201,0.05418724566698074,,0.9841425745276744,0.9840702040278011,0.9847015701346438,0.9836642404849947,acc,0.4817899763584137,0.4817899763584137,2.761049747467041,,0.4269105912302771,0.4766377531893689,0.45858732009808173,0.4103293934079207,acc,0.4834231436252594,0.4834231436252594,2.720126152038574,,0.41566382490756465,0.4780379606866332,0.4436690311051284,0.40151325064346927
amazon-ratings,ResNet,1,512,3e-05,3,2150,acc,0.9906908273696899,0.9906908273696899,0.026377344503998756,,0.9899546942934897,0.9906895179688753,0.9898550522569971,0.9900634230467492,acc,0.4995917081832886,0.4995917081832886,3.0362799167633057,,0.4452278795904162,0.49496028484065885,0.4741150414231642,0.4288426717703853,acc,0.4848930239677429,0.4848930239677429,3.0770809650421143,,0.4166104032406297,0.47865150188767425,0.44939464599851425,0.4012555172506895
amazon-ratings,ResNet,1,512,3e-05,4,1760,acc,0.9887310266494751,0.9887310266494751,0.03605767339468002,,0.9873891909166316,0.9887283012941863,0.9880767416081024,0.986725566556552,acc,0.4881593883037567,0.4881593883037567,2.8741085529327393,,0.4237201579604644,0.4833789366455225,0.4443324982389445,0.4115898889531831,acc,0.4860362410545349,0.4860362410545349,2.9200220108032227,,0.4217451586323705,0.48050259260456474,0.4487077354161017,0.4071741447613495
amazon-ratings,ResNet,1,512,3e-05,5,1410,acc,0.968969464302063,0.968969464302063,0.10566984862089157,,0.9677445345303717,0.9689478712611909,0.9735083568263156,0.9624054451565286,acc,0.49109911918640137,0.49109911918640137,2.4059252738952637,,0.4215543256323283,0.483979776924672,0.4553016292452662,0.4063126491055199,acc,0.4791768789291382,0.4791768789291382,2.4289963245391846,,0.4102945507248462,0.4730353402901568,0.43663653819073833,0.3970071220793851
amazon-ratings,ResNet,1,512,3e-05,6,2320,acc,0.9928139448165894,0.9928139448165894,0.01812645047903061,,0.9918125084411835,0.9928123318924935,0.9918951875055744,0.9917347577678475,acc,0.4899559020996094,0.4899559020996094,3.3179523944854736,,0.4295075305663379,0.4861835386818777,0.4483378690281448,0.4176165110082127,acc,0.4822799265384674,0.4822799265384674,3.308506727218628,,0.4221502467497582,0.4786865172367086,0.4388775329716994,0.4114525466364835
amazon-ratings,ResNet,1,512,3e-05,7,3700,acc,0.9942838549613953,0.9942838549613953,0.011635596863925457,,0.9936321849518827,0.9942838682434316,0.9934700144597386,0.9938038563311308,acc,0.48130002617836,0.48130002617836,4.053605079650879,,0.4210877402144013,0.4769295919521137,0.44184474130010487,0.4087421405260286,acc,0.48211660981178284,0.48211660981178284,4.018795967102051,,0.4201166176126005,0.47771606910699493,0.44278193291091716,0.4072392155781971
amazon-ratings,ResNet,1,512,3e-05,8,1370,acc,0.9735423922538757,0.9735423922538757,0.09140551090240479,,0.972394465780234,0.9735466434900554,0.9756272567541314,0.9693780412964175,acc,0.47721704840660095,0.47721704840660095,2.5039141178131104,,0.41224530828552763,0.4720279926542744,0.4341387531531559,0.3999840599144568,acc,0.47248080372810364,0.47248080372810364,2.494553804397583,,0.4122680146838726,0.46791366943040247,0.4361968428728299,0.399498758476181
amazon-ratings,ResNet,1,512,3e-05,9,2270,acc,0.9911807775497437,0.9911807775497437,0.021656034514307976,,0.9899330880939743,0.9911805157654354,0.9890996682247003,0.9907764764223226,acc,0.4866895377635956,0.4866895377635956,3.26171875,,0.43003966719746645,0.482961815433787,0.4492217131418982,0.4179452373478698,acc,0.48946595191955566,0.48946595191955566,3.2516214847564697,,0.42304384049937127,0.48576991329522806,0.43737950342601095,0.413631689166976
amazon-ratings,ResNet,2,512,3e-05,0,1930,acc,0.9914257526397705,0.9914257526397705,0.022696789354085922,,0.9896154870505323,0.9914287892605278,0.9880655104409005,0.991208753503234,acc,0.4773803651332855,0.4773803651332855,3.4324092864990234,,0.41874191213064405,0.4746386831544779,0.42813873680807485,0.4121014724770803,acc,0.48750612139701843,0.48750612139701843,3.3321380615234375,,0.43004628387970667,0.4851665621460244,0.43876969148573375,0.42369871104272444
amazon-ratings,ResNet,2,512,3e-05,1,2210,acc,0.9925689697265625,0.9925689697265625,0.01892860420048237,,0.9911082079943467,0.9925706366963958,0.9898261766685739,0.9924197697290784,acc,0.4866895377635956,0.4866895377635956,3.53178334236145,,0.4290819686950922,0.48388805768556525,0.43994405760732247,0.42152459380137924,acc,0.4870161712169647,0.4870161712169647,3.5037786960601807,,0.4319472337861597,0.484636558174861,0.4448631452277983,0.4233818439602099
amazon-ratings,ResNet,2,512,3e-05,2,2120,acc,0.9904458522796631,0.9904458522796631,0.026830215007066727,,0.9892891226442296,0.9904470334229629,0.9874671000488666,0.9911660644601934,acc,0.48195329308509827,0.48195329308509827,3.3185575008392334,,0.42211880787410944,0.4782650557094791,0.4334443757066742,0.41480377789667494,acc,0.4848930239677429,0.4848930239677429,3.3028597831726074,,0.4170466088667261,0.48098520907735615,0.4301025154713015,0.40878763323808787
amazon-ratings,ResNet,2,512,3e-05,3,2090,acc,0.9919973611831665,0.9919973611831665,0.020186735317111015,,0.98996938330126,0.9920021631175366,0.987299433960634,0.9927074458765108,acc,0.49175241589546204,0.49175241589546204,3.359241008758545,,0.4353305174719866,0.4897682024649495,0.4425320375784989,0.42971928806669074,acc,0.48211660981178284,0.48211660981178284,3.4167587757110596,,0.42134343700029336,0.47892760276803326,0.4354569772108291,0.4118896955531609
amazon-ratings,ResNet,2,512,3e-05,4,2110,acc,0.9920790195465088,0.9920790195465088,0.019858716055750847,,0.9902474437637491,0.9920851948168117,0.9876399881560237,0.992946723828045,acc,0.49289563298225403,0.49289563298225403,3.4643046855926514,,0.43206761303426433,0.49039339808527094,0.44136291889450596,0.42539452669653277,acc,0.47558385133743286,0.47558385133743286,3.5950217247009277,,0.410747629981146,0.4719689965399174,0.42180253455106564,0.40362987145532153
amazon-ratings,ResNet,2,512,3e-05,5,2450,acc,0.9929772615432739,0.9929772615432739,0.017039112746715546,,0.9916802290128055,0.9929766539486022,0.9899343736764725,0.9934685719898306,acc,0.4866895377635956,0.4866895377635956,3.6809184551239014,,0.42361260521944766,0.4821683352958002,0.441011916261704,0.41400291005170964,acc,0.4822799265384674,0.4822799265384674,3.702984094619751,,0.4130423571870921,0.4786197995257106,0.4237304277737569,0.4069056963821193
amazon-ratings,ResNet,2,512,3e-05,6,1210,acc,0.955332338809967,0.955332338809967,0.13650904595851898,,0.955023578719141,0.9553666581444662,0.953082655937268,0.9574663229215531,acc,0.48587292432785034,0.48587292432785034,2.3664355278015137,,0.42612848617634624,0.48387685822456755,0.4349570888152507,0.41981748160952764,acc,0.4742773175239563,0.4742773175239563,2.4288852214813232,,0.4117532777242946,0.4709091856662911,0.4240189006430164,0.40424364218957604
amazon-ratings,ResNet,2,512,3e-05,7,2300,acc,0.9927322864532471,0.9927322864532471,0.016856631264090538,,0.991781970758187,0.9927345418179856,0.9897168394707941,0.9938933284431946,acc,0.4785235822200775,0.4785235822200775,3.805325746536255,,0.4214918511748502,0.4767583794602754,0.43094171054242913,0.41544731266230117,acc,0.4897925853729248,0.4897925853729248,3.7381227016448975,,0.428491961443625,0.4874629259470842,0.43860539296751766,0.4222984380944442
amazon-ratings,ResNet,2,512,3e-05,8,1770,acc,0.9915890693664551,0.9915890693664551,0.02558884769678116,,0.9900238609498159,0.9915922625078081,0.9876918679166777,0.9924045610333728,acc,0.48325982689857483,0.48325982689857483,3.323521852493286,,0.4207224649242834,0.47986440304304323,0.4304955132909981,0.4138078088090992,acc,0.4773803651332855,0.4773803651332855,3.3040850162506104,,0.41873579211512046,0.47314030700046084,0.43271762358556,0.40969270037386474
amazon-ratings,ResNet,2,512,3e-05,9,3410,acc,0.9923239946365356,0.9923239946365356,0.015000127255916595,,0.990737299023348,0.9923277769903847,0.9887166495331712,0.992793462056652,acc,0.48962926864624023,0.48962926864624023,4.267061710357666,,0.4361965874549866,0.487399769132843,0.4462844403178071,0.4286667144307277,acc,0.4909358024597168,0.4909358024597168,4.215707778930664,,0.42061986953128727,0.48827326685968,0.43000052133908523,0.4140716383294996
amazon-ratings,ResNet,3,512,3e-05,0,1870,acc,0.9902825355529785,0.9902825355529785,0.026742713525891304,,0.9881099208749815,0.9902887340498855,0.9850237347465824,0.9912944206039747,acc,0.47346070408821106,0.47346070408821106,3.457944869995117,,0.4171338368537588,0.47209316067737744,0.4209271727566103,0.414745726434217,acc,0.48325982689857483,0.48325982689857483,3.28010892868042,,0.4258769196269891,0.4821171335508149,0.43059926530876036,0.42274551543005456
amazon-ratings,ResNet,3,512,3e-05,1,2310,acc,0.9928139448165894,0.9928139448165894,0.01710697077214718,,0.9911292742013538,0.992815427807686,0.9896963932672858,0.9925861160651278,acc,0.48472970724105835,0.48472970724105835,3.6778042316436768,,0.4303236176630511,0.48197525957196,0.44107798464683434,0.42310960108173923,acc,0.4816266596317291,0.4816266596317291,3.6969189643859863,,0.422977793877003,0.47877962664755375,0.4358287479250088,0.4147345746196335
amazon-ratings,ResNet,3,512,3e-05,2,3240,acc,0.9928956031799316,0.9928956031799316,0.014907244592905045,,0.9916341743363498,0.9928985580292404,0.9895800540874505,0.9937576417551431,acc,0.48358646035194397,0.48358646035194397,4.123191833496094,,0.4275058763570326,0.4801387076704294,0.4398443732849566,0.4188935356018608,acc,0.48211660981178284,0.48211660981178284,4.149527072906494,,0.41794034430516175,0.47881680590790276,0.4291948303904358,0.4108819597929769
amazon-ratings,ResNet,3,512,3e-05,3,2270,acc,0.9920790195465088,0.9920790195465088,0.021068602800369263,,0.9906168092252446,0.9920814063336748,0.9885038277302515,0.992767672154814,acc,0.49289563298225403,0.49289563298225403,3.476478338241577,,0.440879662502262,0.49059614196083723,0.44898667217091826,0.434441373958221,acc,0.47885024547576904,0.47885024547576904,3.492413282394409,,0.41578014217672976,0.475908474568737,0.42628941438642876,0.40847565948279935
amazon-ratings,ResNet,3,512,3e-05,4,2030,acc,0.9905275106430054,0.9905275106430054,0.024203507229685783,,0.9884708022669291,0.9905379232823683,0.9854035932210484,0.9916808920881529,acc,0.49175241589546204,0.49175241589546204,3.4371604919433594,,0.4314153711704961,0.49004986790739113,0.4365845398187866,0.42710447040888333,acc,0.47411400079727173,0.47411400079727173,3.550065517425537,,0.4103612712195034,0.47181693522170376,0.4161031992665154,0.4057855342379031
amazon-ratings,ResNet,3,512,3e-05,5,1640,acc,0.9867711663246155,0.9867711663246155,0.040631163865327835,,0.9848258128924202,0.9867767928976944,0.9815826913397029,0.988188112031786,acc,0.4866895377635956,0.4866895377635956,3.114687204360962,,0.4245097318059557,0.48379057585874696,0.4349736228377356,0.4175824794849504,acc,0.47672709822654724,0.47672709822654724,3.11574387550354,,0.41651558912825093,0.4746508088650098,0.4237904468099095,0.41133783771635224
amazon-ratings,ResNet,3,512,3e-05,6,2210,acc,0.9922423362731934,0.9922423362731934,0.01901101879775524,,0.9902600012373168,0.9922483015773231,0.9872614879418313,0.9933465209281401,acc,0.4839131236076355,0.4839131236076355,3.5607447624206543,,0.4227578941529641,0.4823846357031704,0.4277036143196584,0.41927463113967045,acc,0.48636287450790405,0.48636287450790405,3.6098923683166504,,0.4303086521786129,0.48385675990718546,0.44015460923613425,0.42342728904522076
