dataset,model,num_layers,hidden_dim,lr,split,num_model_seeds,best_steps,individual_val_metrics,individual_val_accs,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
amazon-ratings,ResNet,1,512,3e-05,0,4,"[2090, 1420, 3100, 1810]","[0.4712, 0.4774, 0.4795, 0.474]","[0.4712, 0.4774, 0.4795, 0.474]",acc,0.9923239946365356,0.9923239946365356,0.023310059681534767,,0.9910038456162915,0.9923225413727723,0.9907180528396632,0.9913064636247138,acc,0.48374977707862854,0.48374977707862854,2.6895954608917236,,0.4300474195663976,0.4773840591990116,0.4770701792232285,0.40887969475260977,acc,0.5002449750900269,0.5002449750900269,2.598083019256592,,0.4500393386097348,0.4953943551986343,0.49522651271131213,0.4283833779004083
amazon-ratings,ResNet,2,512,3e-05,0,4,"[1930, 3180, 2590, 60]","[0.4774, 0.4751, 0.4795, 0.3897]","[0.4774, 0.4751, 0.4795, 0.3897]",acc,0.9937939047813416,0.9937939047813416,0.016479451209306717,,0.9926714655835731,0.9937932552821276,0.9921263464055807,0.9932264371604169,acc,0.48374977707862854,0.48374977707862854,2.587292432785034,,0.4245137073210117,0.47781247209387906,0.4538250047147242,0.40873826405736696,acc,0.5118405818939209,0.5118405818939209,2.49377179145813,,0.45652537365335527,0.5067097892641338,0.4899444384912554,0.43841495419098553
amazon-ratings,ResNet,3,512,3e-05,0,4,"[1870, 3270, 2570, 2360]","[0.4735, 0.4795, 0.48, 0.4751]","[0.4735, 0.4795, 0.48, 0.4751]",acc,0.9930589199066162,0.9930589199066162,0.015562158077955246,,0.9911355820144987,0.9930622269356832,0.9892245482920071,0.9930999206188066,acc,0.48195329308509827,0.48195329308509827,3.2478833198547363,,0.42755446843712097,0.47743959922399837,0.4471319290148251,0.41563528637520797,acc,0.5041646361351013,0.5041646361351013,3.1288468837738037,,0.44773239874636583,0.5002045327038657,0.4684167930086103,0.43536519747221547
amazon-ratings,ResNet,4,512,3e-05,0,4,"[2820, 2620, 2130, 1460]","[0.4761, 0.474, 0.4797, 0.4612]","[0.4761, 0.474, 0.4797, 0.4612]",acc,0.9923239946365356,0.9923239946365356,0.018252717331051826,,0.9902198917767914,0.992328565805335,0.9876470908002635,0.9928771138541993,acc,0.48211660981178284,0.48211660981178284,3.0125226974487305,,0.4266659024924184,0.47776538896100335,0.4452388756988701,0.4153315688042989,acc,0.5007349252700806,0.5007349252700806,2.8873114585876465,,0.4458789613453642,0.49737652622702033,0.46317900869653583,0.4348824963756952
amazon-ratings,ResNet,5,512,3e-05,0,4,"[3120, 2620, 1770, 50]","[0.4704, 0.4738, 0.4748, 0.3849]","[0.4704, 0.4738, 0.4748, 0.3849]",acc,0.9929772615432739,0.9929772615432739,0.017806997522711754,,0.9916748270833686,0.9929771805198969,0.9906613647432643,0.9927161034426784,acc,0.48423975706100464,0.48423975706100464,2.5460684299468994,,0.4287709083819702,0.4791906061683001,0.454636335476029,0.41428678432650123,acc,0.5043279528617859,0.5043279528617859,2.4282631874084473,,0.45183315346593744,0.50009096108345,0.47914300840840107,0.4361231273183453
amazon-ratings,ResNet,1,512,3e-05,1,4,"[2490, 1870, 1530, 1380]","[0.4829, 0.4813, 0.4857, 0.4789]","[0.4829, 0.4813, 0.4857, 0.4789]",acc,0.990119218826294,0.990119218826294,0.03426629677414894,,0.9892728511952023,0.9901134358531596,0.9897641302939671,0.9887984244099085,acc,0.49011921882629395,0.49011921882629395,2.5113701820373535,,0.4341817124601664,0.48393256427874815,0.4766492927726288,0.4140632486100221,acc,0.4968152940273285,0.4968152940273285,2.522753953933716,,0.44117154252860197,0.49069187836396344,0.4860913691875319,0.4209450708558055
amazon-ratings,ResNet,2,512,3e-05,1,4,"[2410, 2990, 2380, 1710]","[0.4837, 0.4922, 0.486, 0.4826]","[0.4837, 0.4922, 0.486, 0.4826]",acc,0.9939572215080261,0.9939572215080261,0.014570629224181175,,0.9926418923784203,0.9939582641490879,0.9917808402860148,0.9935121878385724,acc,0.49126243591308594,0.49126243591308594,3.1872751712799072,,0.43179325890009945,0.4860492075119589,0.45614648775740213,0.41758182395265403,acc,0.4958353638648987,0.4958353638648987,3.179041862487793,,0.4420716604982176,0.4910968172469448,0.4727117657016778,0.4254267588423687
amazon-ratings,ResNet,3,512,3e-05,1,4,"[3280, 3400, 2460, 2490]","[0.487, 0.4859, 0.4869, 0.4842]","[0.487, 0.4859, 0.4869, 0.4842]",acc,0.994202196598053,0.994202196598053,0.013000358827412128,,0.9928712048467933,0.9942041443072277,0.9918492070324388,0.9939049176443188,acc,0.4968152940273285,0.4968152940273285,3.395543336868286,,0.44218694366459993,0.49271098005664865,0.46344677556830643,0.42906861871189445,acc,0.5012248754501343,0.5012248754501343,3.3946850299835205,,0.4484061878289056,0.49721898169788437,0.47406659679368424,0.4336163641549303
amazon-ratings,ResNet,4,512,3e-05,1,4,"[1530, 4400, 2370, 3410]","[0.4816, 0.487, 0.4847, 0.4857]","[0.4816, 0.487, 0.4847, 0.4857]",acc,0.9939572215080261,0.9939572215080261,0.01330166682600975,,0.9926395033213152,0.9939592709127557,0.9916032504040327,0.993686466860118,acc,0.49926507472991943,0.49926507472991943,3.2615177631378174,,0.44397812311228524,0.49521585235721766,0.4642642101602827,0.4313471978162358,acc,0.4968152940273285,0.4968152940273285,3.28780198097229,,0.44308940905223526,0.4928312933834848,0.46778329854344475,0.42872156028746744
amazon-ratings,ResNet,5,512,3e-05,1,4,"[1510, 1800, 2070, 3220]","[0.4754, 0.4787, 0.4818, 0.4841]","[0.4754, 0.4787, 0.4818, 0.4841]",acc,0.9930589199066162,0.9930589199066162,0.01905151456594467,,0.9914833680634916,0.9930606287934277,0.9900546416951073,0.9929362131535795,acc,0.4899559020996094,0.4899559020996094,2.9244160652160645,,0.43188489654978746,0.48609036967107794,0.4479098669421675,0.42140654901545077,acc,0.4937122166156769,0.4937122166156769,2.934807062149048,,0.4423669552456705,0.48996613870329364,0.46222740505242726,0.4302798630920687
