Loading data...

============================================================
Training TABM-tolokers GCN 1L h=512 lr=3e-05 split=2
============================================================
Training for 5000 steps
Step    1 | loss 1.0948 | val_acc=0.2817 val_roc_auc=0.5113 val_loss=0.7830 val_metric_name=roc_auc val_metric=0.5113
Step   50 | loss 0.5175 | val_acc=0.7887 val_roc_auc=0.7148 val_loss=0.4907 val_metric_name=roc_auc val_metric=0.7148
Step  100 | loss 0.5010 | val_acc=0.7873 val_roc_auc=0.7286 val_loss=0.4760 val_metric_name=roc_auc val_metric=0.7286
Step  150 | loss 0.4942 | val_acc=0.7877 val_roc_auc=0.7340 val_loss=0.4697 val_metric_name=roc_auc val_metric=0.7340
Step  200 | loss 0.4844 | val_acc=0.7880 val_roc_auc=0.7379 val_loss=0.4655 val_metric_name=roc_auc val_metric=0.7379
Step  250 | loss 0.4821 | val_acc=0.7887 val_roc_auc=0.7409 val_loss=0.4621 val_metric_name=roc_auc val_metric=0.7409
Step  300 | loss 0.4731 | val_acc=0.7894 val_roc_auc=0.7435 val_loss=0.4595 val_metric_name=roc_auc val_metric=0.7435
Step  350 | loss 0.4673 | val_acc=0.7897 val_roc_auc=0.7460 val_loss=0.4568 val_metric_name=roc_auc val_metric=0.7460
Step  400 | loss 0.4682 | val_acc=0.7897 val_roc_auc=0.7480 val_loss=0.4548 val_metric_name=roc_auc val_metric=0.7480
Step  450 | loss 0.4627 | val_acc=0.7904 val_roc_auc=0.7498 val_loss=0.4526 val_metric_name=roc_auc val_metric=0.7498
Step  500 | loss 0.4609 | val_acc=0.7904 val_roc_auc=0.7516 val_loss=0.4510 val_metric_name=roc_auc val_metric=0.7516
Step  550 | loss 0.4583 | val_acc=0.7901 val_roc_auc=0.7531 val_loss=0.4492 val_metric_name=roc_auc val_metric=0.7531
Step  600 | loss 0.4548 | val_acc=0.7887 val_roc_auc=0.7547 val_loss=0.4474 val_metric_name=roc_auc val_metric=0.7547
Step  650 | loss 0.4542 | val_acc=0.7901 val_roc_auc=0.7562 val_loss=0.4460 val_metric_name=roc_auc val_metric=0.7562
