Loading data...

============================================================
Training TABM-tolokers GT-sep 1L h=512 lr=3e-05 split=0
============================================================
Training for 20000 steps
Step    1 | loss 0.8329 | val_acc=0.7550 val_roc_auc=0.4249 val_loss=0.5719 val_metric_name=roc_auc val_metric=0.4249
Step   50 | loss 0.4985 | val_acc=0.7819 val_roc_auc=0.7483 val_loss=0.4522 val_metric_name=roc_auc val_metric=0.7483
Step  100 | loss 0.4703 | val_acc=0.7792 val_roc_auc=0.7605 val_loss=0.4409 val_metric_name=roc_auc val_metric=0.7605
Step  150 | loss 0.4567 | val_acc=0.7775 val_roc_auc=0.7669 val_loss=0.4400 val_metric_name=roc_auc val_metric=0.7669
Step  200 | loss 0.4455 | val_acc=0.7785 val_roc_auc=0.7710 val_loss=0.4400 val_metric_name=roc_auc val_metric=0.7710
Step  250 | loss 0.4389 | val_acc=0.7765 val_roc_auc=0.7733 val_loss=0.4404 val_metric_name=roc_auc val_metric=0.7733
Step  300 | loss 0.4343 | val_acc=0.7771 val_roc_auc=0.7756 val_loss=0.4402 val_metric_name=roc_auc val_metric=0.7756
Step  350 | loss 0.4314 | val_acc=0.7765 val_roc_auc=0.7781 val_loss=0.4393 val_metric_name=roc_auc val_metric=0.7781
Step  400 | loss 0.4247 | val_acc=0.7795 val_roc_auc=0.7798 val_loss=0.4385 val_metric_name=roc_auc val_metric=0.7798
Step  450 | loss 0.4223 | val_acc=0.7802 val_roc_auc=0.7821 val_loss=0.4380 val_metric_name=roc_auc val_metric=0.7821
Step  500 | loss 0.4212 | val_acc=0.7819 val_roc_auc=0.7841 val_loss=0.4375 val_metric_name=roc_auc val_metric=0.7841
Step  550 | loss 0.4190 | val_acc=0.7846 val_roc_auc=0.7862 val_loss=0.4363 val_metric_name=roc_auc val_metric=0.7862
Step  600 | loss 0.4154 | val_acc=0.7887 val_roc_auc=0.7889 val_loss=0.4337 val_metric_name=roc_auc val_metric=0.7889
Step  650 | loss 0.4145 | val_acc=0.7877 val_roc_auc=0.7911 val_loss=0.4331 val_metric_name=roc_auc val_metric=0.7911
Step  700 | loss 0.4111 | val_acc=0.7873 val_roc_auc=0.7939 val_loss=0.4312 val_metric_name=roc_auc val_metric=0.7939
Step  750 | loss 0.4079 | val_acc=0.7870 val_roc_auc=0.7954 val_loss=0.4297 val_metric_name=roc_auc val_metric=0.7954
Step  800 | loss 0.4065 | val_acc=0.7833 val_roc_auc=0.7963 val_loss=0.4311 val_metric_name=roc_auc val_metric=0.7963
Step  850 | loss 0.4041 | val_acc=0.7846 val_roc_auc=0.7978 val_loss=0.4277 val_metric_name=roc_auc val_metric=0.7978
Step  900 | loss 0.4016 | val_acc=0.7836 val_roc_auc=0.7986 val_loss=0.4285 val_metric_name=roc_auc val_metric=0.7986
Step  950 | loss 0.4010 | val_acc=0.7839 val_roc_auc=0.7995 val_loss=0.4270 val_metric_name=roc_auc val_metric=0.7995
Step 1000 | loss 0.4008 | val_acc=0.7812 val_roc_auc=0.8001 val_loss=0.4272 val_metric_name=roc_auc val_metric=0.8001
Step 1050 | loss 0.3960 | val_acc=0.7792 val_roc_auc=0.8009 val_loss=0.4274 val_metric_name=roc_auc val_metric=0.8009
Step 1100 | loss 0.3937 | val_acc=0.7778 val_roc_auc=0.8011 val_loss=0.4286 val_metric_name=roc_auc val_metric=0.8011
Step 1150 | loss 0.3942 | val_acc=0.7775 val_roc_auc=0.8018 val_loss=0.4297 val_metric_name=roc_auc val_metric=0.8018
Step 1200 | loss 0.3932 | val_acc=0.7809 val_roc_auc=0.8022 val_loss=0.4277 val_metric_name=roc_auc val_metric=0.8022
Step 1250 | loss 0.3920 | val_acc=0.7782 val_roc_auc=0.8029 val_loss=0.4293 val_metric_name=roc_auc val_metric=0.8029
Step 1300 | loss 0.3900 | val_acc=0.7805 val_roc_auc=0.8033 val_loss=0.4269 val_metric_name=roc_auc val_metric=0.8033
