Loading data...

============================================================
Training TABM-tolokers SAGE 1L h=512 lr=3e-05 split=2
============================================================
Training for 20000 steps
Step    1 | loss 1.4922 | val_acc=0.2212 val_roc_auc=0.4790 val_loss=1.1137 val_metric_name=roc_auc val_metric=0.4790
Step   50 | loss 0.5197 | val_acc=0.7819 val_roc_auc=0.7310 val_loss=0.4714 val_metric_name=roc_auc val_metric=0.7310
Step  100 | loss 0.4969 | val_acc=0.7816 val_roc_auc=0.7413 val_loss=0.4598 val_metric_name=roc_auc val_metric=0.7413
Step  150 | loss 0.4853 | val_acc=0.7833 val_roc_auc=0.7479 val_loss=0.4531 val_metric_name=roc_auc val_metric=0.7479
Step  200 | loss 0.4772 | val_acc=0.7829 val_roc_auc=0.7519 val_loss=0.4486 val_metric_name=roc_auc val_metric=0.7519
Step  250 | loss 0.4693 | val_acc=0.7836 val_roc_auc=0.7545 val_loss=0.4456 val_metric_name=roc_auc val_metric=0.7545
Step  300 | loss 0.4613 | val_acc=0.7843 val_roc_auc=0.7567 val_loss=0.4436 val_metric_name=roc_auc val_metric=0.7567
Step  350 | loss 0.4587 | val_acc=0.7833 val_roc_auc=0.7584 val_loss=0.4417 val_metric_name=roc_auc val_metric=0.7584
Step  400 | loss 0.4544 | val_acc=0.7843 val_roc_auc=0.7599 val_loss=0.4408 val_metric_name=roc_auc val_metric=0.7599
Step  450 | loss 0.4530 | val_acc=0.7839 val_roc_auc=0.7613 val_loss=0.4397 val_metric_name=roc_auc val_metric=0.7613
Step  500 | loss 0.4494 | val_acc=0.7833 val_roc_auc=0.7627 val_loss=0.4388 val_metric_name=roc_auc val_metric=0.7627
Step  550 | loss 0.4475 | val_acc=0.7829 val_roc_auc=0.7641 val_loss=0.4381 val_metric_name=roc_auc val_metric=0.7641
Step  600 | loss 0.4439 | val_acc=0.7829 val_roc_auc=0.7654 val_loss=0.4374 val_metric_name=roc_auc val_metric=0.7654
Step  650 | loss 0.4430 | val_acc=0.7822 val_roc_auc=0.7668 val_loss=0.4366 val_metric_name=roc_auc val_metric=0.7668
Step  700 | loss 0.4404 | val_acc=0.7822 val_roc_auc=0.7680 val_loss=0.4360 val_metric_name=roc_auc val_metric=0.7680
Step  750 | loss 0.4392 | val_acc=0.7822 val_roc_auc=0.7690 val_loss=0.4354 val_metric_name=roc_auc val_metric=0.7690
Step  800 | loss 0.4375 | val_acc=0.7829 val_roc_auc=0.7701 val_loss=0.4348 val_metric_name=roc_auc val_metric=0.7701
Step  850 | loss 0.4353 | val_acc=0.7829 val_roc_auc=0.7712 val_loss=0.4342 val_metric_name=roc_auc val_metric=0.7712
Step  900 | loss 0.4355 | val_acc=0.7822 val_roc_auc=0.7723 val_loss=0.4338 val_metric_name=roc_auc val_metric=0.7723
Step  950 | loss 0.4335 | val_acc=0.7833 val_roc_auc=0.7732 val_loss=0.4335 val_metric_name=roc_auc val_metric=0.7732
Step 1000 | loss 0.4341 | val_acc=0.7839 val_roc_auc=0.7741 val_loss=0.4332 val_metric_name=roc_auc val_metric=0.7741
Step 1050 | loss 0.4315 | val_acc=0.7839 val_roc_auc=0.7754 val_loss=0.4325 val_metric_name=roc_auc val_metric=0.7754
Step 1100 | loss 0.4324 | val_acc=0.7829 val_roc_auc=0.7764 val_loss=0.4322 val_metric_name=roc_auc val_metric=0.7764
Step 1150 | loss 0.4297 | val_acc=0.7836 val_roc_auc=0.7774 val_loss=0.4320 val_metric_name=roc_auc val_metric=0.7774
Step 1200 | loss 0.4292 | val_acc=0.7826 val_roc_auc=0.7784 val_loss=0.4314 val_metric_name=roc_auc val_metric=0.7784
Step 1250 | loss 0.4288 | val_acc=0.7843 val_roc_auc=0.7795 val_loss=0.4311 val_metric_name=roc_auc val_metric=0.7795
Step 1300 | loss 0.4291 | val_acc=0.7843 val_roc_auc=0.7805 val_loss=0.4307 val_metric_name=roc_auc val_metric=0.7805
Step 1350 | loss 0.4259 | val_acc=0.7833 val_roc_auc=0.7813 val_loss=0.4303 val_metric_name=roc_auc val_metric=0.7813
Step 1400 | loss 0.4254 | val_acc=0.7843 val_roc_auc=0.7822 val_loss=0.4299 val_metric_name=roc_auc val_metric=0.7822
Step 1450 | loss 0.4247 | val_acc=0.7843 val_roc_auc=0.7827 val_loss=0.4298 val_metric_name=roc_auc val_metric=0.7827
Step 1500 | loss 0.4245 | val_acc=0.7846 val_roc_auc=0.7834 val_loss=0.4295 val_metric_name=roc_auc val_metric=0.7834
Step 1550 | loss 0.4231 | val_acc=0.7850 val_roc_auc=0.7841 val_loss=0.4293 val_metric_name=roc_auc val_metric=0.7841
Step 1600 | loss 0.4220 | val_acc=0.7843 val_roc_auc=0.7849 val_loss=0.4290 val_metric_name=roc_auc val_metric=0.7849
