Loading data...

============================================================
Training TABM-tolokers TAG 1L h=512 lr=3e-05 split=1
============================================================
Training for 20000 steps
Step    1 | loss 0.9251 | val_acc=0.7812 val_roc_auc=0.4354 val_loss=0.5778 val_metric_name=roc_auc val_metric=0.4354
Step   50 | loss 0.5010 | val_acc=0.7880 val_roc_auc=0.7615 val_loss=0.4523 val_metric_name=roc_auc val_metric=0.7615
Step  100 | loss 0.4810 | val_acc=0.7887 val_roc_auc=0.7744 val_loss=0.4377 val_metric_name=roc_auc val_metric=0.7744
Step  150 | loss 0.4624 | val_acc=0.7897 val_roc_auc=0.7820 val_loss=0.4308 val_metric_name=roc_auc val_metric=0.7820
Step  200 | loss 0.4578 | val_acc=0.7897 val_roc_auc=0.7875 val_loss=0.4253 val_metric_name=roc_auc val_metric=0.7875
Step  250 | loss 0.4481 | val_acc=0.7928 val_roc_auc=0.7923 val_loss=0.4214 val_metric_name=roc_auc val_metric=0.7923
Step  300 | loss 0.4452 | val_acc=0.7938 val_roc_auc=0.7966 val_loss=0.4178 val_metric_name=roc_auc val_metric=0.7966
Step  350 | loss 0.4354 | val_acc=0.7958 val_roc_auc=0.7996 val_loss=0.4152 val_metric_name=roc_auc val_metric=0.7996
Step  400 | loss 0.4325 | val_acc=0.7955 val_roc_auc=0.8019 val_loss=0.4133 val_metric_name=roc_auc val_metric=0.8019
Step  450 | loss 0.4284 | val_acc=0.7965 val_roc_auc=0.8041 val_loss=0.4118 val_metric_name=roc_auc val_metric=0.8041
Step  500 | loss 0.4273 | val_acc=0.7972 val_roc_auc=0.8055 val_loss=0.4107 val_metric_name=roc_auc val_metric=0.8055
Step  550 | loss 0.4230 | val_acc=0.7999 val_roc_auc=0.8072 val_loss=0.4096 val_metric_name=roc_auc val_metric=0.8072
Step  600 | loss 0.4218 | val_acc=0.8006 val_roc_auc=0.8088 val_loss=0.4087 val_metric_name=roc_auc val_metric=0.8088
Step  650 | loss 0.4176 | val_acc=0.8010 val_roc_auc=0.8101 val_loss=0.4077 val_metric_name=roc_auc val_metric=0.8101
Step  700 | loss 0.4153 | val_acc=0.7999 val_roc_auc=0.8116 val_loss=0.4067 val_metric_name=roc_auc val_metric=0.8116
Step  750 | loss 0.4152 | val_acc=0.8010 val_roc_auc=0.8129 val_loss=0.4059 val_metric_name=roc_auc val_metric=0.8129
