model,num_layers,split,best_step,train_acc,val_acc,test_acc,test_loss
GAT-sep,5,0,998,0.9998235106468201,0.8850838541984558,0.8775149583816528,0.6359655857086182
GT,5,0,965,0.9998235106468201,0.8737863898277283,0.8662195205688477,0.6649103760719299
GT-sep,5,0,986,0.9998235106468201,0.8684906959533691,0.8623366951942444,0.722332775592804
TAG,5,0,950,0.9999117851257324,0.864783763885498,0.8572184443473816,0.7780857086181641
ResNet,5,0,440,0.7187362313270569,0.6515445709228516,0.6554888486862183,1.0937118530273438
ResNet,1,0,683,0.7380637526512146,0.6538393497467041,0.6549593806266785,1.13410484790802
ResNet,2,0,458,0.7167946696281433,0.654898464679718,0.6563712954521179,1.107229471206665
ResNet,3,0,386,0.7077045440673828,0.6564871668815613,0.6563712954521179,1.0981566905975342
ResNet,4,0,356,0.702056348323822,0.6531332731246948,0.6556653380393982,1.0899518728256226
GCN,5,0,524,0.9281616806983948,0.7189761400222778,0.6990821957588196,0.9887662529945374
GCN,1,0,965,0.9098932147026062,0.7438658475875854,0.7296152114868164,0.936774730682373
GCN,2,0,727,0.9338099360466003,0.728861391544342,0.7239674925804138,0.9501311779022217
GCN,3,0,662,0.9515488743782043,0.7309796810150146,0.7206141948699951,0.9727429151535034
GCN,4,0,880,0.9874680042266846,0.7318623065948486,0.7147899270057678,1.1169649362564087
GAT-sep,5,0,998,0.9998235106468201,0.8852603435516357,0.8775149583816528,0.6360265016555786,0.8435041812992701,0.8764021802563668,0.8386151962588667,0.8530319742426994
