dataset,model,num_layers,hidden_dim,lr,split,best_step,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
amazon-ratings,ResNet,1,256,3e-05,0,2890,acc,0.9644781947135925,0.9644781947135925,0.12267319113016129,,0.9672610879119095,0.9644869967927316,0.9668697642951148,0.9678936254894908,acc,0.46807119250297546,0.46807119250297546,2.350001335144043,,0.4125141314985961,0.4650755182419041,0.4240889385666325,0.40499016555705847,acc,0.4768904149532318,0.4768904149532318,2.2941744327545166,,0.4235698698464513,0.4737751334297806,0.44172995076856675,0.412404099674441
amazon-ratings,ResNet,1,256,6e-05,0,2580,acc,0.9908541440963745,0.9908541440963745,0.03333890065550804,,0.9895353397972396,0.9908530973324468,0.9884168612073694,0.9906723872709027,acc,0.4710109233856201,0.4710109233856201,2.9833054542541504,,0.41345376172031456,0.4687744729033704,0.4213223421964207,0.40782758771865246,acc,0.4844030737876892,0.4844030737876892,2.8655502796173096,,0.4326772300781404,0.4821993672777556,0.4442613036402195,0.42443102387622506
amazon-ratings,ResNet,1,256,0.0001,0,1940,acc,0.9924873113632202,0.9924873113632202,0.02469111606478691,,0.991250958672306,0.9924870850255934,0.9901239545082265,0.9924071000261605,acc,0.4728074371814728,0.4728074371814728,3.162897825241089,,0.41405616850821314,0.4702169958858855,0.4228858052905581,0.40780167308073445,acc,0.4829331934452057,0.4829331934452057,3.032622814178467,,0.431362576570496,0.48081554951397665,0.44335527995685337,0.4227664069070869
amazon-ratings,ResNet,1,256,1e-05,0,650,acc,0.4147476553916931,0.4147476553916931,1.3556032180786133,,0.20999585666398551,0.3316288531766239,0.25975134746817224,0.2533850863012342,acc,0.39425116777420044,0.39425116777420044,1.3923016786575317,,0.19579952967665315,0.3118337632912668,0.23929381942875624,0.23856393614470256,acc,0.38984158635139465,0.38984158635139465,1.3863450288772583,,0.19451812032996485,0.3092667815709128,0.23316035530621787,0.23685811562456277
amazon-ratings,ResNet,1,384,3e-05,0,250,acc,0.4195655584335327,0.4195655584335327,1.3547852039337158,,0.21609622800768094,0.3393804256938402,0.2653813361303737,0.2588845986325176,acc,0.39523109793663025,0.39523109793663025,1.398925542831421,,0.19901603423424277,0.3150685725179249,0.4306942507884428,0.24175116502799576,acc,0.3896782696247101,0.3896782696247101,1.3943812847137451,,0.1955753058809333,0.3106007441659556,0.22117137343285548,0.23865103345478916
amazon-ratings,ResNet,1,384,6e-05,0,1560,acc,0.9906091690063477,0.9906091690063477,0.030782628804445267,,0.9892730127370626,0.9906094795763847,0.9884563547371347,0.9901120710222469,acc,0.4806467294692993,0.4806467294692993,3.0111875534057617,,0.41432762610578144,0.4763315032683339,0.4284298312702939,0.4058815624451945,acc,0.49158909916877747,0.49158909916877747,2.922208309173584,,0.43018217868587066,0.48830406799489184,0.4445104127918147,0.42090284608267325
amazon-ratings,ResNet,1,384,0.0001,0,1640,acc,0.9937939047813416,0.9937939047813416,0.013833393342792988,,0.9922960380971183,0.9937939516370321,0.9919616238490981,0.9926541649060324,acc,0.4822799265384674,0.4822799265384674,3.7094979286193848,,0.41794779839095214,0.4787241522030626,0.4291310438856358,0.4104509254484959,acc,0.49011921882629395,0.49011921882629395,3.5997705459594727,,0.42824414343864703,0.4876135583406433,0.43647983585103683,0.422039201141119
amazon-ratings,ResNet,1,384,1e-05,0,680,acc,0.4186673164367676,0.4186673164367676,1.3547070026397705,,0.214570967762924,0.3375076665097139,0.26370763808953745,0.2581665281277946,acc,0.39572104811668396,0.39572104811668396,1.3993526697158813,,0.19958395996046538,0.31575113563247265,0.43354011696003736,0.24226847762863538,acc,0.3878817558288574,0.3878817558288574,1.3947733640670776,,0.19391003241840477,0.3083059263108155,0.22022836188276323,0.2374658624495333
amazon-ratings,ResNet,1,512,3e-05,0,2090,acc,0.9914257526397705,0.9914257526397705,0.02456549182534218,,0.9904054441521033,0.9914250911742191,0.9906563687385024,0.9901780306374848,acc,0.4711742699146271,0.4711742699146271,3.2066586017608643,,0.41345282454811433,0.4667736133500656,0.435116169221825,0.40088715078162984,acc,0.4886493384838104,0.4886493384838104,3.045423984527588,,0.4312751891700586,0.48504924660290716,0.4518133214077299,0.4188712681399661
amazon-ratings,ResNet,1,512,6e-05,0,2420,acc,0.9944471716880798,0.9944471716880798,0.011067625135183334,,0.9933124576985028,0.9944473839727155,0.9923398939588399,0.9943030143496999,acc,0.48048341274261475,0.48048341274261475,4.338184356689453,,0.4223194103225252,0.47670003504528186,0.43982647826765014,0.4117286179858713,acc,0.49273231625556946,0.49273231625556946,4.10860538482666,,0.43611831654456373,0.4900439476339103,0.449690670870424,0.4268762086425736
amazon-ratings,ResNet,1,512,0.0001,0,1260,acc,0.9942838549613953,0.9942838549613953,0.01211786549538374,,0.9933477664518687,0.9942845606506737,0.9926620277773976,0.9940436932474471,acc,0.4790135622024536,0.4790135622024536,4.052127361297607,,0.4193994037272429,0.4743937097501124,0.4394562352664984,0.40753889678772726,acc,0.4878327548503876,0.4878327548503876,3.8291661739349365,,0.43152295672532964,0.48473725047416544,0.44685511694149255,0.4211814768625284
amazon-ratings,ResNet,1,512,1e-05,0,4330,acc,0.9729707837104797,0.9729707837104797,0.09308242797851562,,0.9742800526550971,0.9729746889061572,0.9745128145859449,0.9742149145015997,acc,0.46709129214286804,0.46709129214286804,2.527963161468506,,0.41241542092289246,0.46327459289855105,0.43450051496220227,0.39997773528443387,acc,0.48309651017189026,0.48309651017189026,2.438037157058716,,0.4276105215591441,0.47990861122873196,0.44926813861950166,0.41518763434646244
dataset,model,num_layers,hidden_dim,lr,split,best_step,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
amazon-ratings,ResNet,1,256,3e-05,2,3010,acc,0.9663563370704651,0.9663563370704651,0.11829707026481628,,0.9677893958987702,0.9663901272722476,0.971244008746136,0.9646536357283187,acc,0.46970438957214355,0.46970438957214355,2.403871536254883,,0.4146492419986826,0.4658002080934052,0.43535367679389425,0.40242303490804304,acc,0.47623714804649353,0.47623714804649353,2.3907129764556885,,0.4081538600347752,0.4713815169668726,0.43245964920095237,0.3959906455124663
amazon-ratings,ResNet,1,256,6e-05,2,1400,acc,0.9597419500350952,0.9597419500350952,0.14146016538143158,,0.9602776840370245,0.9597657054498405,0.9656720312299069,0.955310111647486,acc,0.4700310230255127,0.4700310230255127,2.3057804107666016,,0.4147590668723879,0.46592734421174353,0.43811491369924604,0.40133427961717993,acc,0.47346070408821106,0.47346070408821106,2.290348768234253,,0.4003595338382233,0.46782550454843774,0.4246980946504896,0.3888035703317856
amazon-ratings,ResNet,1,256,0.0001,2,1000,acc,0.9723174571990967,0.9723174571990967,0.09870428591966629,,0.9727640536583643,0.9723445220057018,0.9757716144543827,0.9700021659810376,acc,0.47182753682136536,0.47182753682136536,2.4766855239868164,,0.41536905204953667,0.4678771139272392,0.43761566399852525,0.4025775759291671,acc,0.4775436818599701,0.4775436818599701,2.4683635234832764,,0.4064697032980321,0.4727423854915264,0.42566764127309104,0.39618191463099706
amazon-ratings,ResNet,1,256,1e-05,2,1130,acc,0.4185856580734253,0.4185856580734253,1.3429759740829468,,0.2237113609392456,0.34619749877098227,0.38147857332631724,0.2607011299523224,acc,0.39735424518585205,0.39735424518585205,1.385515570640564,,0.20702251791138188,0.3242453594295629,0.2683646552855995,0.2463087200361629,acc,0.38837170600891113,0.38837170600891113,1.394818663597107,,0.1986980031988868,0.31350467903159607,0.3131494114131984,0.23886347776058076
amazon-ratings,ResNet,1,384,3e-05,2,3250,acc,0.9907724857330322,0.9907724857330322,0.02509915828704834,,0.990139584004669,0.9907706728275565,0.98961961466835,0.9906932159997304,acc,0.47934019565582275,0.47934019565582275,3.2077455520629883,,0.4261232262631348,0.4756667234558743,0.4457003130617537,0.41380964931271097,acc,0.4956720471382141,0.4956720471382141,3.1738336086273193,,0.4242440078882098,0.49081522851272436,0.44431247071163005,0.4128801831356056
amazon-ratings,ResNet,1,384,6e-05,2,2610,acc,0.9930589199066162,0.9930589199066162,0.0146744754165411,,0.9924425622398836,0.9930573858483127,0.992152972983613,0.9927462142701542,acc,0.48260655999183655,0.48260655999183655,3.781717300415039,,0.42532218897813207,0.4792732762850408,0.44029357398518904,0.4155678887777096,acc,0.4893026351928711,0.4893026351928711,3.754267692565918,,0.4208082110390926,0.4849266198626221,0.43882470511629396,0.40996628377565514
amazon-ratings,ResNet,1,384,0.0001,2,1620,acc,0.9931405782699585,0.9931405782699585,0.014788457192480564,,0.9922911727513389,0.9931395554405861,0.9916667573346711,0.9929468621516545,acc,0.4827698767185211,0.4827698767185211,3.751410484313965,,0.4291719947582342,0.47919312738763864,0.447752289433069,0.4178130428524295,acc,0.49011921882629395,0.49011921882629395,3.730285406112671,,0.422832116626917,0.48547974970250074,0.4441709315769346,0.4109282035655619
amazon-ratings,ResNet,1,384,1e-05,2,670,acc,0.4143393635749817,0.4143393635749817,1.3546777963638306,,0.21386528221202333,0.3357137598169983,0.4603659328508426,0.2535458562651093,acc,0.3911481201648712,0.3911481201648712,1.3899918794631958,,0.19752232806528278,0.31284780050590627,0.22865087551731875,0.23821613735613,acc,0.3927813172340393,0.3927813172340393,1.3958055973052979,,0.19562303128338035,0.3116291969363057,0.21341026963853263,0.23790610096316683
amazon-ratings,ResNet,1,512,3e-05,2,1760,acc,0.9840764403343201,0.9840764403343201,0.05418724566698074,,0.9841425745276744,0.9840702040278011,0.9847015701346438,0.9836642404849947,acc,0.4817899763584137,0.4817899763584137,2.761049747467041,,0.4269105912302771,0.4766377531893689,0.45858732009808173,0.4103293934079207,acc,0.4834231436252594,0.4834231436252594,2.720126152038574,,0.41566382490756465,0.4780379606866332,0.4436690311051284,0.40151325064346927
amazon-ratings,ResNet,1,512,6e-05,2,1710,acc,0.9928956031799316,0.9928956031799316,0.014986170455813408,,0.9921139806293248,0.9928927109322089,0.991946215793489,0.9923085302466319,acc,0.4844030737876892,0.4844030737876892,3.729264259338379,,0.42855666412690435,0.4797126195816353,0.45401519714030697,0.4137287767301604,acc,0.4878327548503876,0.4878327548503876,3.6848623752593994,,0.4205840136524257,0.48211094163264134,0.45002475473055564,0.4056167754492523
amazon-ratings,ResNet,1,512,0.0001,2,1700,acc,0.9935489296913147,0.9935489296913147,0.012792514637112617,,0.9928487332328677,0.9935462284068277,0.9921626273546013,0.9935493332688294,acc,0.4871794879436493,0.4871794879436493,4.260870933532715,,0.43145789274824564,0.48403418327849823,0.44665163635445293,0.42111784800836255,acc,0.49158909916877747,0.49158909916877747,4.195430755615234,,0.4199943378854762,0.4868853590951307,0.4389250658753225,0.408945099682659
amazon-ratings,ResNet,1,512,1e-05,2,5000,acc,0.9804834127426147,0.9804834127426147,0.06899277120828629,,0.9810347866418481,0.9804799938785788,0.9815425109108287,0.9806475674510722,acc,0.47623714804649353,0.47623714804649353,2.6898865699768066,,0.4210920355660034,0.47138821180134355,0.4493804193878894,0.40628623593297525,acc,0.4834231436252594,0.4834231436252594,2.6541075706481934,,0.41965846866926276,0.47855873458284975,0.4461990437423201,0.4056918632827561
dataset,model,num_layers,hidden_dim,lr,split,best_step,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
