dataset,model,num_layers,hidden_dim,lr,split,num_model_seeds,best_steps,individual_val_metrics,individual_val_accs,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
amazon-ratings,ResNet,1,256,3e-05,0,4,"[2890, 3390, 3000, 340]","[0.4681, 0.4663, 0.4699, 0.3951]","[0.4681, 0.4663, 0.4699, 0.3951]",acc,0.9771353602409363,0.9771353602409363,0.12218016386032104,,0.9775322490370453,0.9771386580729156,0.9810416741481873,0.9741701996683844,acc,0.48048341274261475,0.48048341274261475,1.7612906694412231,,0.4208733802821055,0.47234222056331215,0.48605565754759006,0.39810729451589927,acc,0.5018781423568726,0.5018781423568726,1.6866068840026855,,0.4482725390614467,0.4953617348726126,0.5300187747556169,0.4204677474575586
amazon-ratings,ResNet,1,256,6e-05,0,4,"[2580, 2780, 3880, 2480]","[0.471, 0.4697, 0.4782, 0.4656]","[0.471, 0.4697, 0.4782, 0.4656]",acc,0.9930589199066162,0.9930589199066162,0.021616993471980095,,0.991696940592757,0.9930592414949626,0.9908186561765009,0.9926049951257051,acc,0.48570960760116577,0.48570960760116577,2.5735504627227783,,0.4296638654645551,0.4799754688768984,0.46639739364391647,0.41189053194576397,acc,0.5105340480804443,0.5105340480804443,2.4525904655456543,,0.45489516686395337,0.5055037590991379,0.4943550692831771,0.43557596113382724
amazon-ratings,ResNet,1,256,0.0001,0,4,"[1940, 890, 1800, 1230]","[0.4728, 0.4682, 0.4793, 0.4679]","[0.4728, 0.4682, 0.4793, 0.4679]",acc,0.9918340444564819,0.9918340444564819,0.031128734350204468,,0.9905752213866856,0.991833073273441,0.990225355045007,0.9909469755819323,acc,0.48472970724105835,0.48472970724105835,2.364204168319702,,0.4275578843311051,0.4786921400554896,0.4689981502266086,0.40882765274263566,acc,0.5062877535820007,0.5062877535820007,2.2540929317474365,,0.4510485887673347,0.5011630159678943,0.49719619143953653,0.4300776860677435
amazon-ratings,ResNet,1,256,1e-05,0,4,"[650, 1100, 5000, 880]","[0.3943, 0.391, 0.4499, 0.3951]","[0.3943, 0.391, 0.4499, 0.3951]",acc,0.6520496606826782,0.6520496606826782,0.9566271901130676,,0.4609067539406594,0.6152097498405049,0.7933074132327429,0.4583446635523841,acc,0.443736732006073,0.443736732006073,1.3345707654953003,,0.27825877100622487,0.4013774876293415,0.5757493481186565,0.29381920696505376,acc,0.448962926864624,0.448962926864624,1.3145748376846313,,0.2850591941032223,0.408275170774433,0.6219341955518949,0.29844171386197754
amazon-ratings,ResNet,1,384,3e-05,0,4,"[250, 3570, 3860, 2360]","[0.3952, 0.473, 0.4793, 0.4846]","[0.3952, 0.473, 0.4793, 0.4846]",acc,0.9927322864532471,0.9927322864532471,0.0299447700381279,,0.9913044752668778,0.9927308330976908,0.9921160655548835,0.9905072486519984,acc,0.494038850069046,0.494038850069046,2.229261636734009,,0.4323237855972266,0.4865297735660118,0.4870154484899505,0.4103054907325404,acc,0.5025314092636108,0.5025314092636108,2.1870310306549072,,0.44418678934564804,0.4961918513662989,0.49537376343588085,0.42204034156679926
amazon-ratings,ResNet,1,384,6e-05,0,4,"[1560, 1310, 1570, 1630]","[0.4806, 0.4743, 0.4782, 0.4805]","[0.4806, 0.4743, 0.4782, 0.4805]",acc,0.9921606779098511,0.9921606779098511,0.023454394191503525,,0.990916092327217,0.9921603149439084,0.9907316892104019,0.9911245560480811,acc,0.49126243591308594,0.49126243591308594,2.6173899173736572,,0.43140995719134734,0.4845778095430584,0.4718139614032295,0.4126559619809168,acc,0.505797803401947,0.505797803401947,2.5582056045532227,,0.4462116130049111,0.5000460869286172,0.4872359156728014,0.42688572426383764
amazon-ratings,ResNet,1,384,0.0001,0,4,"[1640, 2180, 1410, 920]","[0.4823, 0.4782, 0.474, 0.4818]","[0.4823, 0.4782, 0.474, 0.4818]",acc,0.9938755631446838,0.9938755631446838,0.013190189376473427,,0.9923641318347745,0.9938759137757619,0.9915215577568157,0.9932384206219691,acc,0.4930589497089386,0.4930589497089386,3.0611395835876465,,0.4317516969467846,0.48665172894003267,0.46760547296140864,0.4140606689605888,acc,0.5089008808135986,0.5089008808135986,2.9793643951416016,,0.4500741171887664,0.5036138944353091,0.4853626669003477,0.4319206942287698
amazon-ratings,ResNet,1,384,1e-05,0,4,"[680, 4810, 620, 720]","[0.3957, 0.4664, 0.3923, 0.3897]","[0.3957, 0.4664, 0.3923, 0.3897]",acc,0.7858076095581055,0.7858076095581055,0.7155348062515259,,0.6178473087973531,0.761333020940929,0.8709091715285165,0.5932543121592107,acc,0.45957863330841064,0.45957863330841064,1.337056279182434,,0.3192854194155755,0.42903927626519733,0.5995794479022628,0.3194553511061494,acc,0.46480482816696167,0.46480482816696167,1.3205400705337524,,0.3205979115185695,0.4347957753347828,0.5993796695842738,0.3223609346556463
amazon-ratings,ResNet,1,512,3e-05,0,4,"[2090, 1420, 3100, 1810]","[0.4712, 0.4774, 0.4795, 0.474]","[0.4712, 0.4774, 0.4795, 0.474]",acc,0.9923239946365356,0.9923239946365356,0.023310059681534767,,0.9910038456162915,0.9923225413727723,0.9907180528396632,0.9913064636247138,acc,0.48374977707862854,0.48374977707862854,2.6895954608917236,,0.4300474195663976,0.4773840591990116,0.4770701792232285,0.40887969475260977,acc,0.5002449750900269,0.5002449750900269,2.598083019256592,,0.4500393386097348,0.4953943551986343,0.49522651271131213,0.4283833779004083
amazon-ratings,ResNet,1,512,6e-05,0,4,"[2420, 740, 1030, 960]","[0.4805, 0.4785, 0.4749, 0.4753]","[0.4805, 0.4785, 0.4749, 0.4753]",acc,0.9930589199066162,0.9930589199066162,0.01933400146663189,,0.9915939920346176,0.9930573119167571,0.9920381441620979,0.9911528924762288,acc,0.48358646035194397,0.48358646035194397,2.740172863006592,,0.42899469086781117,0.47725076603372907,0.47530840321235984,0.4084895317722575,acc,0.508084237575531,0.508084237575531,2.637777090072632,,0.4551632058966438,0.5030729314559812,0.4967522063725676,0.43470077423017883
