dataset,model,num_layers,hidden_dim,lr,split,num_model_seeds,best_steps,individual_val_metrics,individual_val_accs,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
minesweeper,ResNet,1,256,3e-05,0,4,"[10, 280, 10, 10]","[0.5186, 0.5039, 0.5226, 0.5098]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.510547875,0.7999999523162842,0.5033665895462036,0.510547875,,,,,roc_auc,0.523754,0.7999999523162842,0.5019600987434387,0.523754,,,,,roc_auc,0.5235479999999999,0.7999999523162842,0.5022522211074829,0.5235479999999999,,,,
minesweeper,ResNet,1,256,6e-05,0,4,"[40, 30, 10, 30]","[0.503, 0.5096, 0.5141, 0.5174]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.514343875,0.7999999523162842,0.5183030366897583,0.514343875,,,,,roc_auc,0.5171,0.7999999523162842,0.5185387134552002,0.5171,,,,,roc_auc,0.526075,0.7999999523162842,0.5172823071479797,0.526075,,,,
minesweeper,ResNet,1,256,0.0001,0,4,"[30, 20, 130, 20]","[0.503, 0.5103, 0.503, 0.5174]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.514662875,0.7999999523162842,0.510856032371521,0.514662875,,,,,roc_auc,0.5151239999999999,0.7999999523162842,0.511505663394928,0.5151239999999999,,,,,roc_auc,0.521215,0.7999999523162842,0.5102525949478149,0.521215,,,,
minesweeper,ResNet,1,256,1e-05,0,4,"[10, 470, 20, 10]","[0.5186, 0.503, 0.5226, 0.5128]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.5023308750000001,0.7999999523162842,0.5038073658943176,0.5023308750000001,,,,,roc_auc,0.5263540000000001,0.7999999523162842,0.5017856359481812,0.5263540000000001,,,,,roc_auc,0.515322,0.7999999523162842,0.502614438533783,0.515322,,,,
minesweeper,ResNet,1,384,3e-05,0,4,"[50, 50, 50, 70]","[0.5204, 0.503, 0.5174, 0.5177]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.514343875,0.7999999523162842,0.5151151418685913,0.514343875,,,,,roc_auc,0.5171,0.7999999523162842,0.5157071352005005,0.5171,,,,,roc_auc,0.526075,0.7999999523162842,0.5145523548126221,0.526075,,,,
minesweeper,ResNet,1,384,6e-05,0,4,"[40, 40, 30, 80]","[0.5151, 0.5151, 0.516, 0.5144]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.5145086249999999,0.7999999523162842,0.5070443153381348,0.5145086249999999,,,,,roc_auc,0.515953,0.7999999523162842,0.5074036121368408,0.515953,,,,,roc_auc,0.521903,0.7999999523162842,0.5064809322357178,0.521903,,,,
minesweeper,ResNet,1,384,0.0001,0,4,"[30, 20, 50, 60]","[0.5177, 0.5181, 0.5144, 0.5144]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.514662875,0.7999999523162842,0.5121206641197205,0.514662875,,,,,roc_auc,0.5151239999999999,0.7999999523162842,0.512702226638794,0.5151239999999999,,,,,roc_auc,0.521215,0.7999999523162842,0.5115529894828796,0.521215,,,,
minesweeper,ResNet,1,384,1e-05,0,4,"[190, 200, 130, 510]","[0.5171, 0.503, 0.5042, 0.5144]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.516878125,0.7999999523162842,0.5176817178726196,0.516878125,,,,,roc_auc,0.503878,0.7999999523162842,0.5183508396148682,0.503878,,,,,roc_auc,0.526323,0.7999999523162842,0.5170775055885315,0.526323,,,,
minesweeper,ResNet,1,512,3e-05,0,4,"[30, 40, 20, 30]","[0.5011, 0.5156, 0.508, 0.5077]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.5134546249999999,0.7999999523162842,0.5197478532791138,0.5134546249999999,,,,,roc_auc,0.509385,0.7999999523162842,0.5205281376838684,0.509385,,,,,roc_auc,0.519745,0.7999999523162842,0.5193023085594177,0.519745,,,,
minesweeper,ResNet,1,512,6e-05,0,4,"[170, 20, 20, 20]","[0.503, 0.5163, 0.5053, 0.5095]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.513466875,0.7999999523162842,0.5173072218894958,0.513466875,,,,,roc_auc,0.507396,0.7999999523162842,0.5184134840965271,0.507396,,,,,roc_auc,0.518731,0.7999999523162842,0.5168706774711609,0.518731,,,,
minesweeper,ResNet,1,512,0.0001,0,4,"[150, 20, 40, 40]","[0.503, 0.5156, 0.5078, 0.5151]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.514614875,0.7999999523162842,0.5056126713752747,0.514614875,,,,,roc_auc,0.5142439999999999,0.7999999523162842,0.5060878992080688,0.5142439999999999,,,,,roc_auc,0.521027,0.7999999523162842,0.5053231120109558,0.521027,,,,
minesweeper,ResNet,1,512,1e-05,0,4,"[50, 10, 60, 220]","[0.4938, 0.5031, 0.508, 0.5022]","[0.8, 0.7068, 0.8, 0.8]",roc_auc,0.5138123749999999,0.7999999523162842,0.5007716417312622,0.5138123749999999,,,,,roc_auc,0.49368999999999996,0.7999999523162842,0.5015478134155273,0.49368999999999996,,,,,roc_auc,0.522013,0.7999999523162842,0.5004766583442688,0.522013,,,,
minesweeper,ResNet,2,256,3e-05,0,4,"[40, 50, 40, 30]","[0.5238, 0.4972, 0.5142, 0.5054]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.513320375,0.7999999523162842,0.5279735326766968,0.513320375,,,,,roc_auc,0.519706,0.7999999523162842,0.5280681848526001,0.519706,,,,,roc_auc,0.5265949999999999,0.7999999523162842,0.5271500945091248,0.5265949999999999,,,,
minesweeper,ResNet,2,256,6e-05,0,4,"[20, 30, 20, 20]","[0.5238, 0.5104, 0.5162, 0.5069]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.513320375,0.7999999523162842,0.5386369824409485,0.513320375,,,,,roc_auc,0.519706,0.7999999523162842,0.538831353187561,0.519706,,,,,roc_auc,0.5265949999999999,0.7999999523162842,0.5376971364021301,0.5265949999999999,,,,
minesweeper,ResNet,2,256,0.0001,0,4,"[20, 20, 20, 10]","[0.5189, 0.5134, 0.5151, 0.5076]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.5145086249999999,0.7999999523162842,0.5191152095794678,0.5145086249999999,,,,,roc_auc,0.515953,0.7999999523162842,0.5194407105445862,0.515953,,,,,roc_auc,0.521903,0.7999999523162842,0.5182268619537354,0.521903,,,,
minesweeper,ResNet,2,256,1e-05,0,4,"[110, 10, 90, 590]","[0.5238, 0.516, 0.5214, 0.5019]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.499664125,0.7999999523162842,0.5033764243125916,0.499664125,,,,,roc_auc,0.518416,0.7999999523162842,0.5027231574058533,0.518416,,,,,roc_auc,0.49650700000000003,0.7999999523162842,0.5032508373260498,0.49650700000000003,,,,
minesweeper,ResNet,2,384,3e-05,0,4,"[30, 190, 20, 20]","[0.5155, 0.4938, 0.5094, 0.523]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.5145086249999999,0.7999999523162842,0.5224271416664124,0.5145086249999999,,,,,roc_auc,0.515953,0.7999999523162842,0.5228527188301086,0.515953,,,,,roc_auc,0.521903,0.7999999523162842,0.5216430425643921,0.521903,,,,
minesweeper,ResNet,2,384,6e-05,0,4,"[20, 110, 40, 10]","[0.5158, 0.5011, 0.5135, 0.523]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.508257125,0.7999999523162842,0.5180551409721375,0.508257125,,,,,roc_auc,0.5188980000000001,0.7999999523162842,0.5182279944419861,0.5188980000000001,,,,,roc_auc,0.5151490000000001,0.7999999523162842,0.5173196196556091,0.5151490000000001,,,,
minesweeper,ResNet,2,384,0.0001,0,4,"[10, 250, 30, 40]","[0.5215, 0.503, 0.5144, 0.5173]","[0.8, 0.8, 0.8, 0.8]",roc_auc,0.514616125,0.7999999523162842,0.5108823180198669,0.514616125,,,,,roc_auc,0.514367,0.7999999523162842,0.511315107345581,0.514367,,,,,roc_auc,0.520131,0.7999999523162842,0.51026451587677,0.520131,,,,
minesweeper,ResNet,2,384,1e-05,0,4,"[10, 10, 280, 60]","[0.5033, 0.514, 0.5019, 0.52]","[0.8, 0.6924, 0.8, 0.8]",roc_auc,0.512261875,0.7999999523162842,0.5020591020584106,0.512261875,,,,,roc_auc,0.514826,0.7999999523162842,0.5019974708557129,0.514826,,,,,roc_auc,0.5108689999999999,0.7999999523162842,0.5023073554039001,0.5108689999999999,,,,
