Loading data...

============================================================
minesweeper GAT 1L h=256 lr=3e-05 split=9 (ensemble x4)
============================================================

  Training model seed 0 (seed=9000)
Training for 5000 steps
  [mseed=9000] Step    1 | loss 0.6726 | val_acc=0.7628 val_roc_auc=0.4375 val_loss=0.6289 val_metric_name=roc_auc val_metric=0.4375
  [mseed=9000] Step   50 | loss 0.4793 | val_acc=0.8000 val_roc_auc=0.7325 val_loss=0.4685 val_metric_name=roc_auc val_metric=0.7325
  [mseed=9000] Step  100 | loss 0.4460 | val_acc=0.8080 val_roc_auc=0.7639 val_loss=0.4385 val_metric_name=roc_auc val_metric=0.7639
  [mseed=9000] Step  150 | loss 0.4221 | val_acc=0.8096 val_roc_auc=0.8019 val_loss=0.4109 val_metric_name=roc_auc val_metric=0.8019
  [mseed=9000] Step  200 | loss 0.4024 | val_acc=0.8132 val_roc_auc=0.8288 val_loss=0.3866 val_metric_name=roc_auc val_metric=0.8288
  [mseed=9000] Step  250 | loss 0.3850 | val_acc=0.8188 val_roc_auc=0.8409 val_loss=0.3696 val_metric_name=roc_auc val_metric=0.8409
  [mseed=9000] Step  300 | loss 0.3780 | val_acc=0.8200 val_roc_auc=0.8500 val_loss=0.3588 val_metric_name=roc_auc val_metric=0.8500
  [mseed=9000] Step  350 | loss 0.3658 | val_acc=0.8264 val_roc_auc=0.8571 val_loss=0.3521 val_metric_name=roc_auc val_metric=0.8571
  [mseed=9000] Step  400 | loss 0.3636 | val_acc=0.8284 val_roc_auc=0.8608 val_loss=0.3471 val_metric_name=roc_auc val_metric=0.8608
  [mseed=9000] Step  450 | loss 0.3563 | val_acc=0.8292 val_roc_auc=0.8629 val_loss=0.3438 val_metric_name=roc_auc val_metric=0.8629
  [mseed=9000] Step  500 | loss 0.3489 | val_acc=0.8288 val_roc_auc=0.8641 val_loss=0.3419 val_metric_name=roc_auc val_metric=0.8641
  [mseed=9000] Step  550 | loss 0.3479 | val_acc=0.8276 val_roc_auc=0.8653 val_loss=0.3397 val_metric_name=roc_auc val_metric=0.8653
  [mseed=9000] Step  600 | loss 0.3420 | val_acc=0.8264 val_roc_auc=0.8665 val_loss=0.3376 val_metric_name=roc_auc val_metric=0.8665
  [mseed=9000] Step  650 | loss 0.3436 | val_acc=0.8284 val_roc_auc=0.8674 val_loss=0.3364 val_metric_name=roc_auc val_metric=0.8674
  [mseed=9000] Step  700 | loss 0.3390 | val_acc=0.8276 val_roc_auc=0.8682 val_loss=0.3355 val_metric_name=roc_auc val_metric=0.8682
  [mseed=9000] Step  750 | loss 0.3383 | val_acc=0.8316 val_roc_auc=0.8689 val_loss=0.3349 val_metric_name=roc_auc val_metric=0.8689
  [mseed=9000] Step  800 | loss 0.3384 | val_acc=0.8292 val_roc_auc=0.8696 val_loss=0.3338 val_metric_name=roc_auc val_metric=0.8696
  [mseed=9000] Step  850 | loss 0.3353 | val_acc=0.8296 val_roc_auc=0.8705 val_loss=0.3329 val_metric_name=roc_auc val_metric=0.8705
  [mseed=9000] Step  900 | loss 0.3328 | val_acc=0.8288 val_roc_auc=0.8712 val_loss=0.3323 val_metric_name=roc_auc val_metric=0.8712
  [mseed=9000] Step  950 | loss 0.3311 | val_acc=0.8280 val_roc_auc=0.8721 val_loss=0.3314 val_metric_name=roc_auc val_metric=0.8721
  [mseed=9000] Step 1000 | loss 0.3288 | val_acc=0.8272 val_roc_auc=0.8728 val_loss=0.3308 val_metric_name=roc_auc val_metric=0.8728
  [mseed=9000] Step 1050 | loss 0.3293 | val_acc=0.8280 val_roc_auc=0.8729 val_loss=0.3306 val_metric_name=roc_auc val_metric=0.8729
