Loading data...

============================================================
minesweeper GT 1L h=256 lr=3e-05 split=1 (ensemble x4)
============================================================

  Training model seed 0 (seed=1000)
Training for 5000 steps
  [mseed=1000] Step    1 | loss 0.6322 | val_acc=0.8000 val_roc_auc=0.5316 val_loss=0.5772 val_metric_name=roc_auc val_metric=0.5316
  [mseed=1000] Step   50 | loss 0.4744 | val_acc=0.8000 val_roc_auc=0.8172 val_loss=0.4687 val_metric_name=roc_auc val_metric=0.8172
  [mseed=1000] Step  100 | loss 0.3988 | val_acc=0.8200 val_roc_auc=0.8483 val_loss=0.3673 val_metric_name=roc_auc val_metric=0.8483
  [mseed=1000] Step  150 | loss 0.3582 | val_acc=0.8284 val_roc_auc=0.8664 val_loss=0.3487 val_metric_name=roc_auc val_metric=0.8664
  [mseed=1000] Step  200 | loss 0.3367 | val_acc=0.8300 val_roc_auc=0.8720 val_loss=0.3408 val_metric_name=roc_auc val_metric=0.8720
  [mseed=1000] Step  250 | loss 0.3417 | val_acc=0.8296 val_roc_auc=0.8742 val_loss=0.3379 val_metric_name=roc_auc val_metric=0.8742
  [mseed=1000] Step  300 | loss 0.3379 | val_acc=0.8312 val_roc_auc=0.8748 val_loss=0.3361 val_metric_name=roc_auc val_metric=0.8748
  [mseed=1000] Step  350 | loss 0.3343 | val_acc=0.8328 val_roc_auc=0.8756 val_loss=0.3337 val_metric_name=roc_auc val_metric=0.8756
  [mseed=1000] Step  400 | loss 0.3332 | val_acc=0.8336 val_roc_auc=0.8763 val_loss=0.3333 val_metric_name=roc_auc val_metric=0.8763
  [mseed=1000] Step  450 | loss 0.3304 | val_acc=0.8340 val_roc_auc=0.8772 val_loss=0.3319 val_metric_name=roc_auc val_metric=0.8772
  [mseed=1000] Step  500 | loss 0.3287 | val_acc=0.8284 val_roc_auc=0.8778 val_loss=0.3316 val_metric_name=roc_auc val_metric=0.8778
  [mseed=1000] Step  550 | loss 0.3311 | val_acc=0.8300 val_roc_auc=0.8778 val_loss=0.3311 val_metric_name=roc_auc val_metric=0.8778
  [mseed=1000] Step  600 | loss 0.3269 | val_acc=0.8316 val_roc_auc=0.8784 val_loss=0.3299 val_metric_name=roc_auc val_metric=0.8784
  [mseed=1000] Step  650 | loss 0.3268 | val_acc=0.8300 val_roc_auc=0.8789 val_loss=0.3301 val_metric_name=roc_auc val_metric=0.8789
  [mseed=1000] Step  700 | loss 0.3275 | val_acc=0.8324 val_roc_auc=0.8791 val_loss=0.3292 val_metric_name=roc_auc val_metric=0.8791
  [mseed=1000] Step  750 | loss 0.3265 | val_acc=0.8332 val_roc_auc=0.8791 val_loss=0.3286 val_metric_name=roc_auc val_metric=0.8791
  [mseed=1000] Step  800 | loss 0.3265 | val_acc=0.8308 val_roc_auc=0.8799 val_loss=0.3282 val_metric_name=roc_auc val_metric=0.8799
  [mseed=1000] Step  850 | loss 0.3255 | val_acc=0.8312 val_roc_auc=0.8796 val_loss=0.3282 val_metric_name=roc_auc val_metric=0.8796
  [mseed=1000] Step  900 | loss 0.3221 | val_acc=0.8312 val_roc_auc=0.8799 val_loss=0.3280 val_metric_name=roc_auc val_metric=0.8799
  [mseed=1000] Step  950 | loss 0.3233 | val_acc=0.8312 val_roc_auc=0.8798 val_loss=0.3281 val_metric_name=roc_auc val_metric=0.8798
