Loading data...

============================================================
Training TABM-minesweeper GAT 1L h=256 lr=3e-05 split=9
============================================================
Training for 5000 steps
Step    1 | loss 0.7979 | val_acc=0.8008 val_roc_auc=0.6557 val_loss=0.5299 val_metric_name=roc_auc val_metric=0.6557
Step   50 | loss 0.4604 | val_acc=0.8160 val_roc_auc=0.7942 val_loss=0.4152 val_metric_name=roc_auc val_metric=0.7942
Step  100 | loss 0.4310 | val_acc=0.8196 val_roc_auc=0.8250 val_loss=0.3955 val_metric_name=roc_auc val_metric=0.8250
Step  150 | loss 0.4149 | val_acc=0.8192 val_roc_auc=0.8373 val_loss=0.3815 val_metric_name=roc_auc val_metric=0.8373
Step  200 | loss 0.3954 | val_acc=0.8200 val_roc_auc=0.8453 val_loss=0.3672 val_metric_name=roc_auc val_metric=0.8453
Step  250 | loss 0.3848 | val_acc=0.8216 val_roc_auc=0.8475 val_loss=0.3618 val_metric_name=roc_auc val_metric=0.8475
Step  300 | loss 0.3827 | val_acc=0.8216 val_roc_auc=0.8493 val_loss=0.3582 val_metric_name=roc_auc val_metric=0.8493
Step  350 | loss 0.3744 | val_acc=0.8220 val_roc_auc=0.8512 val_loss=0.3551 val_metric_name=roc_auc val_metric=0.8512
Step  400 | loss 0.3707 | val_acc=0.8220 val_roc_auc=0.8535 val_loss=0.3520 val_metric_name=roc_auc val_metric=0.8535
Step  450 | loss 0.3650 | val_acc=0.8220 val_roc_auc=0.8557 val_loss=0.3491 val_metric_name=roc_auc val_metric=0.8557
Step  500 | loss 0.3605 | val_acc=0.8228 val_roc_auc=0.8576 val_loss=0.3468 val_metric_name=roc_auc val_metric=0.8576
Step  550 | loss 0.3589 | val_acc=0.8232 val_roc_auc=0.8591 val_loss=0.3447 val_metric_name=roc_auc val_metric=0.8591
Step  600 | loss 0.3548 | val_acc=0.8248 val_roc_auc=0.8607 val_loss=0.3429 val_metric_name=roc_auc val_metric=0.8607
Step  650 | loss 0.3538 | val_acc=0.8252 val_roc_auc=0.8620 val_loss=0.3413 val_metric_name=roc_auc val_metric=0.8620
Step  700 | loss 0.3527 | val_acc=0.8244 val_roc_auc=0.8636 val_loss=0.3394 val_metric_name=roc_auc val_metric=0.8636
Step  750 | loss 0.3498 | val_acc=0.8264 val_roc_auc=0.8651 val_loss=0.3381 val_metric_name=roc_auc val_metric=0.8651
Step  800 | loss 0.3469 | val_acc=0.8248 val_roc_auc=0.8659 val_loss=0.3369 val_metric_name=roc_auc val_metric=0.8659
Step  850 | loss 0.3451 | val_acc=0.8260 val_roc_auc=0.8668 val_loss=0.3361 val_metric_name=roc_auc val_metric=0.8668
Step  900 | loss 0.3435 | val_acc=0.8268 val_roc_auc=0.8674 val_loss=0.3350 val_metric_name=roc_auc val_metric=0.8674
Step  950 | loss 0.3430 | val_acc=0.8272 val_roc_auc=0.8679 val_loss=0.3344 val_metric_name=roc_auc val_metric=0.8679
