Loading data...

============================================================
Training TABM-minesweeper GCN 1L h=256 lr=3e-05 split=6
============================================================
Training for 5000 steps
Step    1 | loss 1.0933 | val_acc=0.2404 val_roc_auc=0.4469 val_loss=0.9047 val_metric_name=roc_auc val_metric=0.4469
Step   50 | loss 0.5326 | val_acc=0.8008 val_roc_auc=0.7491 val_loss=0.4676 val_metric_name=roc_auc val_metric=0.7491
Step  100 | loss 0.4942 | val_acc=0.8048 val_roc_auc=0.7798 val_loss=0.4366 val_metric_name=roc_auc val_metric=0.7798
Step  150 | loss 0.4742 | val_acc=0.8060 val_roc_auc=0.7953 val_loss=0.4185 val_metric_name=roc_auc val_metric=0.7953
Step  200 | loss 0.4534 | val_acc=0.8100 val_roc_auc=0.8062 val_loss=0.4052 val_metric_name=roc_auc val_metric=0.8062
Step  250 | loss 0.4438 | val_acc=0.8128 val_roc_auc=0.8146 val_loss=0.3960 val_metric_name=roc_auc val_metric=0.8146
Step  300 | loss 0.4367 | val_acc=0.8132 val_roc_auc=0.8198 val_loss=0.3894 val_metric_name=roc_auc val_metric=0.8198
Step  350 | loss 0.4240 | val_acc=0.8164 val_roc_auc=0.8234 val_loss=0.3845 val_metric_name=roc_auc val_metric=0.8234
Step  400 | loss 0.4198 | val_acc=0.8176 val_roc_auc=0.8261 val_loss=0.3813 val_metric_name=roc_auc val_metric=0.8261
Step  450 | loss 0.4136 | val_acc=0.8204 val_roc_auc=0.8282 val_loss=0.3790 val_metric_name=roc_auc val_metric=0.8282
Step  500 | loss 0.4107 | val_acc=0.8220 val_roc_auc=0.8303 val_loss=0.3770 val_metric_name=roc_auc val_metric=0.8303
Step  550 | loss 0.4065 | val_acc=0.8216 val_roc_auc=0.8322 val_loss=0.3752 val_metric_name=roc_auc val_metric=0.8322
Step  600 | loss 0.4028 | val_acc=0.8216 val_roc_auc=0.8334 val_loss=0.3736 val_metric_name=roc_auc val_metric=0.8334
Step  650 | loss 0.3998 | val_acc=0.8228 val_roc_auc=0.8347 val_loss=0.3721 val_metric_name=roc_auc val_metric=0.8347
Step  700 | loss 0.3998 | val_acc=0.8224 val_roc_auc=0.8361 val_loss=0.3708 val_metric_name=roc_auc val_metric=0.8361
Step  750 | loss 0.3964 | val_acc=0.8232 val_roc_auc=0.8371 val_loss=0.3694 val_metric_name=roc_auc val_metric=0.8371
Step  800 | loss 0.3941 | val_acc=0.8228 val_roc_auc=0.8383 val_loss=0.3681 val_metric_name=roc_auc val_metric=0.8383
Step  850 | loss 0.3926 | val_acc=0.8236 val_roc_auc=0.8394 val_loss=0.3666 val_metric_name=roc_auc val_metric=0.8394
Step  900 | loss 0.3929 | val_acc=0.8248 val_roc_auc=0.8405 val_loss=0.3653 val_metric_name=roc_auc val_metric=0.8405
Step  950 | loss 0.3900 | val_acc=0.8252 val_roc_auc=0.8415 val_loss=0.3638 val_metric_name=roc_auc val_metric=0.8415
Step 1000 | loss 0.3880 | val_acc=0.8260 val_roc_auc=0.8428 val_loss=0.3623 val_metric_name=roc_auc val_metric=0.8428
Step 1050 | loss 0.3860 | val_acc=0.8264 val_roc_auc=0.8438 val_loss=0.3607 val_metric_name=roc_auc val_metric=0.8438
Step 1100 | loss 0.3845 | val_acc=0.8268 val_roc_auc=0.8454 val_loss=0.3590 val_metric_name=roc_auc val_metric=0.8454
Step 1150 | loss 0.3832 | val_acc=0.8268 val_roc_auc=0.8465 val_loss=0.3572 val_metric_name=roc_auc val_metric=0.8465
Step 1200 | loss 0.3807 | val_acc=0.8260 val_roc_auc=0.8478 val_loss=0.3555 val_metric_name=roc_auc val_metric=0.8478
Step 1250 | loss 0.3788 | val_acc=0.8268 val_roc_auc=0.8495 val_loss=0.3535 val_metric_name=roc_auc val_metric=0.8495
Step 1300 | loss 0.3802 | val_acc=0.8272 val_roc_auc=0.8511 val_loss=0.3515 val_metric_name=roc_auc val_metric=0.8511
Step 1350 | loss 0.3773 | val_acc=0.8272 val_roc_auc=0.8527 val_loss=0.3497 val_metric_name=roc_auc val_metric=0.8527
Step 1400 | loss 0.3740 | val_acc=0.8272 val_roc_auc=0.8546 val_loss=0.3478 val_metric_name=roc_auc val_metric=0.8546
Step 1450 | loss 0.3729 | val_acc=0.8272 val_roc_auc=0.8561 val_loss=0.3460 val_metric_name=roc_auc val_metric=0.8561
Step 1500 | loss 0.3715 | val_acc=0.8296 val_roc_auc=0.8580 val_loss=0.3443 val_metric_name=roc_auc val_metric=0.8580
Step 1550 | loss 0.3718 | val_acc=0.8316 val_roc_auc=0.8599 val_loss=0.3426 val_metric_name=roc_auc val_metric=0.8599
Step 1600 | loss 0.3693 | val_acc=0.8324 val_roc_auc=0.8616 val_loss=0.3413 val_metric_name=roc_auc val_metric=0.8616
Step 1650 | loss 0.3679 | val_acc=0.8324 val_roc_auc=0.8631 val_loss=0.3400 val_metric_name=roc_auc val_metric=0.8631
Step 1700 | loss 0.3678 | val_acc=0.8328 val_roc_auc=0.8649 val_loss=0.3387 val_metric_name=roc_auc val_metric=0.8649
Step 1750 | loss 0.3671 | val_acc=0.8328 val_roc_auc=0.8655 val_loss=0.3377 val_metric_name=roc_auc val_metric=0.8655
Step 1800 | loss 0.3643 | val_acc=0.8328 val_roc_auc=0.8669 val_loss=0.3367 val_metric_name=roc_auc val_metric=0.8669
Step 1850 | loss 0.3662 | val_acc=0.8336 val_roc_auc=0.8677 val_loss=0.3359 val_metric_name=roc_auc val_metric=0.8677
Step 1900 | loss 0.3655 | val_acc=0.8336 val_roc_auc=0.8685 val_loss=0.3352 val_metric_name=roc_auc val_metric=0.8685
Step 1950 | loss 0.3644 | val_acc=0.8344 val_roc_auc=0.8691 val_loss=0.3344 val_metric_name=roc_auc val_metric=0.8691
Step 2000 | loss 0.3620 | val_acc=0.8344 val_roc_auc=0.8699 val_loss=0.3337 val_metric_name=roc_auc val_metric=0.8699
Step 2050 | loss 0.3629 | val_acc=0.8340 val_roc_auc=0.8705 val_loss=0.3329 val_metric_name=roc_auc val_metric=0.8705
