Loading data...

============================================================
Training TABM-minesweeper SAGE 1L h=256 lr=3e-05 split=2
============================================================
Training for 5000 steps
Step    1 | loss 0.7211 | val_acc=0.8000 val_roc_auc=0.5428 val_loss=0.5304 val_metric_name=roc_auc val_metric=0.5428
Step   50 | loss 0.5008 | val_acc=0.8000 val_roc_auc=0.8436 val_loss=0.4526 val_metric_name=roc_auc val_metric=0.8436
Step  100 | loss 0.4506 | val_acc=0.7996 val_roc_auc=0.8513 val_loss=0.3896 val_metric_name=roc_auc val_metric=0.8513
Step  150 | loss 0.4144 | val_acc=0.8184 val_roc_auc=0.8563 val_loss=0.3574 val_metric_name=roc_auc val_metric=0.8563
Step  200 | loss 0.3887 | val_acc=0.8276 val_roc_auc=0.8609 val_loss=0.3447 val_metric_name=roc_auc val_metric=0.8609
Step  250 | loss 0.3803 | val_acc=0.8316 val_roc_auc=0.8635 val_loss=0.3387 val_metric_name=roc_auc val_metric=0.8635
Step  300 | loss 0.3694 | val_acc=0.8340 val_roc_auc=0.8654 val_loss=0.3364 val_metric_name=roc_auc val_metric=0.8654
Step  350 | loss 0.3600 | val_acc=0.8332 val_roc_auc=0.8667 val_loss=0.3349 val_metric_name=roc_auc val_metric=0.8667
Step  400 | loss 0.3577 | val_acc=0.8340 val_roc_auc=0.8682 val_loss=0.3341 val_metric_name=roc_auc val_metric=0.8682
Step  450 | loss 0.3530 | val_acc=0.8332 val_roc_auc=0.8689 val_loss=0.3335 val_metric_name=roc_auc val_metric=0.8689
Step  500 | loss 0.3502 | val_acc=0.8308 val_roc_auc=0.8692 val_loss=0.3334 val_metric_name=roc_auc val_metric=0.8692
Step  550 | loss 0.3447 | val_acc=0.8304 val_roc_auc=0.8696 val_loss=0.3330 val_metric_name=roc_auc val_metric=0.8696
Step  600 | loss 0.3459 | val_acc=0.8312 val_roc_auc=0.8702 val_loss=0.3330 val_metric_name=roc_auc val_metric=0.8702
Step  650 | loss 0.3422 | val_acc=0.8316 val_roc_auc=0.8707 val_loss=0.3327 val_metric_name=roc_auc val_metric=0.8707
Step  700 | loss 0.3400 | val_acc=0.8312 val_roc_auc=0.8709 val_loss=0.3323 val_metric_name=roc_auc val_metric=0.8709
Step  750 | loss 0.3404 | val_acc=0.8324 val_roc_auc=0.8712 val_loss=0.3320 val_metric_name=roc_auc val_metric=0.8712
Step  800 | loss 0.3351 | val_acc=0.8324 val_roc_auc=0.8715 val_loss=0.3318 val_metric_name=roc_auc val_metric=0.8715
Step  850 | loss 0.3375 | val_acc=0.8320 val_roc_auc=0.8717 val_loss=0.3315 val_metric_name=roc_auc val_metric=0.8717
Step  900 | loss 0.3332 | val_acc=0.8328 val_roc_auc=0.8717 val_loss=0.3314 val_metric_name=roc_auc val_metric=0.8717
Step  950 | loss 0.3329 | val_acc=0.8316 val_roc_auc=0.8718 val_loss=0.3313 val_metric_name=roc_auc val_metric=0.8718
Step 1000 | loss 0.3332 | val_acc=0.8328 val_roc_auc=0.8722 val_loss=0.3310 val_metric_name=roc_auc val_metric=0.8722
Step 1050 | loss 0.3319 | val_acc=0.8328 val_roc_auc=0.8724 val_loss=0.3311 val_metric_name=roc_auc val_metric=0.8724
Step 1100 | loss 0.3310 | val_acc=0.8308 val_roc_auc=0.8726 val_loss=0.3308 val_metric_name=roc_auc val_metric=0.8726
Step 1150 | loss 0.3304 | val_acc=0.8308 val_roc_auc=0.8727 val_loss=0.3310 val_metric_name=roc_auc val_metric=0.8727
Step 1200 | loss 0.3282 | val_acc=0.8312 val_roc_auc=0.8730 val_loss=0.3304 val_metric_name=roc_auc val_metric=0.8730
Step 1250 | loss 0.3288 | val_acc=0.8316 val_roc_auc=0.8730 val_loss=0.3306 val_metric_name=roc_auc val_metric=0.8730
Step 1300 | loss 0.3276 | val_acc=0.8312 val_roc_auc=0.8730 val_loss=0.3308 val_metric_name=roc_auc val_metric=0.8730
Step 1350 | loss 0.3257 | val_acc=0.8316 val_roc_auc=0.8732 val_loss=0.3303 val_metric_name=roc_auc val_metric=0.8732
Step 1400 | loss 0.3262 | val_acc=0.8308 val_roc_auc=0.8733 val_loss=0.3301 val_metric_name=roc_auc val_metric=0.8733
Step 1450 | loss 0.3267 | val_acc=0.8308 val_roc_auc=0.8734 val_loss=0.3302 val_metric_name=roc_auc val_metric=0.8734
Step 1500 | loss 0.3251 | val_acc=0.8320 val_roc_auc=0.8736 val_loss=0.3300 val_metric_name=roc_auc val_metric=0.8736
Step 1550 | loss 0.3245 | val_acc=0.8316 val_roc_auc=0.8737 val_loss=0.3298 val_metric_name=roc_auc val_metric=0.8737
Step 1600 | loss 0.3216 | val_acc=0.8328 val_roc_auc=0.8738 val_loss=0.3299 val_metric_name=roc_auc val_metric=0.8738
Step 1650 | loss 0.3228 | val_acc=0.8328 val_roc_auc=0.8740 val_loss=0.3299 val_metric_name=roc_auc val_metric=0.8740
Step 1700 | loss 0.3216 | val_acc=0.8328 val_roc_auc=0.8742 val_loss=0.3295 val_metric_name=roc_auc val_metric=0.8742
Step 1750 | loss 0.3215 | val_acc=0.8324 val_roc_auc=0.8742 val_loss=0.3297 val_metric_name=roc_auc val_metric=0.8742
Step 1800 | loss 0.3227 | val_acc=0.8320 val_roc_auc=0.8742 val_loss=0.3296 val_metric_name=roc_auc val_metric=0.8742
Step 1850 | loss 0.3225 | val_acc=0.8320 val_roc_auc=0.8745 val_loss=0.3294 val_metric_name=roc_auc val_metric=0.8745
Step 1900 | loss 0.3200 | val_acc=0.8324 val_roc_auc=0.8746 val_loss=0.3292 val_metric_name=roc_auc val_metric=0.8746
Step 1950 | loss 0.3193 | val_acc=0.8328 val_roc_auc=0.8748 val_loss=0.3293 val_metric_name=roc_auc val_metric=0.8748
Step 2000 | loss 0.3202 | val_acc=0.8324 val_roc_auc=0.8749 val_loss=0.3290 val_metric_name=roc_auc val_metric=0.8749
Step 2050 | loss 0.3198 | val_acc=0.8328 val_roc_auc=0.8750 val_loss=0.3290 val_metric_name=roc_auc val_metric=0.8750
Step 2100 | loss 0.3177 | val_acc=0.8328 val_roc_auc=0.8751 val_loss=0.3292 val_metric_name=roc_auc val_metric=0.8751
Step 2150 | loss 0.3183 | val_acc=0.8324 val_roc_auc=0.8751 val_loss=0.3289 val_metric_name=roc_auc val_metric=0.8751
Step 2200 | loss 0.3187 | val_acc=0.8324 val_roc_auc=0.8752 val_loss=0.3288 val_metric_name=roc_auc val_metric=0.8752
Step 2250 | loss 0.3198 | val_acc=0.8324 val_roc_auc=0.8754 val_loss=0.3289 val_metric_name=roc_auc val_metric=0.8754
Step 2300 | loss 0.3179 | val_acc=0.8324 val_roc_auc=0.8755 val_loss=0.3288 val_metric_name=roc_auc val_metric=0.8755
Step 2350 | loss 0.3169 | val_acc=0.8328 val_roc_auc=0.8757 val_loss=0.3285 val_metric_name=roc_auc val_metric=0.8757
Step 2400 | loss 0.3171 | val_acc=0.8328 val_roc_auc=0.8754 val_loss=0.3286 val_metric_name=roc_auc val_metric=0.8754
Step 2450 | loss 0.3171 | val_acc=0.8332 val_roc_auc=0.8758 val_loss=0.3289 val_metric_name=roc_auc val_metric=0.8758
Step 2500 | loss 0.3171 | val_acc=0.8328 val_roc_auc=0.8757 val_loss=0.3286 val_metric_name=roc_auc val_metric=0.8757
Step 2550 | loss 0.3174 | val_acc=0.8332 val_roc_auc=0.8758 val_loss=0.3288 val_metric_name=roc_auc val_metric=0.8758
Step 2600 | loss 0.3170 | val_acc=0.8332 val_roc_auc=0.8760 val_loss=0.3286 val_metric_name=roc_auc val_metric=0.8760
Step 2650 | loss 0.3174 | val_acc=0.8320 val_roc_auc=0.8761 val_loss=0.3288 val_metric_name=roc_auc val_metric=0.8761
Step 2700 | loss 0.3171 | val_acc=0.8320 val_roc_auc=0.8761 val_loss=0.3290 val_metric_name=roc_auc val_metric=0.8761
Step 2750 | loss 0.3150 | val_acc=0.8320 val_roc_auc=0.8763 val_loss=0.3286 val_metric_name=roc_auc val_metric=0.8763
Step 2800 | loss 0.3148 | val_acc=0.8316 val_roc_auc=0.8761 val_loss=0.3290 val_metric_name=roc_auc val_metric=0.8761
Step 2850 | loss 0.3155 | val_acc=0.8328 val_roc_auc=0.8764 val_loss=0.3285 val_metric_name=roc_auc val_metric=0.8764
Step 2900 | loss 0.3150 | val_acc=0.8312 val_roc_auc=0.8763 val_loss=0.3289 val_metric_name=roc_auc val_metric=0.8763
Step 2950 | loss 0.3136 | val_acc=0.8316 val_roc_auc=0.8765 val_loss=0.3291 val_metric_name=roc_auc val_metric=0.8765
Step 3000 | loss 0.3146 | val_acc=0.8312 val_roc_auc=0.8764 val_loss=0.3291 val_metric_name=roc_auc val_metric=0.8764
Step 3050 | loss 0.3144 | val_acc=0.8324 val_roc_auc=0.8765 val_loss=0.3288 val_metric_name=roc_auc val_metric=0.8765
Step 3100 | loss 0.3136 | val_acc=0.8312 val_roc_auc=0.8765 val_loss=0.3293 val_metric_name=roc_auc val_metric=0.8765
Step 3150 | loss 0.3136 | val_acc=0.8328 val_roc_auc=0.8766 val_loss=0.3290 val_metric_name=roc_auc val_metric=0.8766
Step 3200 | loss 0.3135 | val_acc=0.8320 val_roc_auc=0.8767 val_loss=0.3291 val_metric_name=roc_auc val_metric=0.8767
Step 3250 | loss 0.3135 | val_acc=0.8320 val_roc_auc=0.8767 val_loss=0.3292 val_metric_name=roc_auc val_metric=0.8767
Step 3300 | loss 0.3137 | val_acc=0.8320 val_roc_auc=0.8767 val_loss=0.3291 val_metric_name=roc_auc val_metric=0.8767
Step 3350 | loss 0.3136 | val_acc=0.8316 val_roc_auc=0.8767 val_loss=0.3293 val_metric_name=roc_auc val_metric=0.8767
Step 3400 | loss 0.3114 | val_acc=0.8320 val_roc_auc=0.8768 val_loss=0.3291 val_metric_name=roc_auc val_metric=0.8768
Step 3450 | loss 0.3129 | val_acc=0.8320 val_roc_auc=0.8766 val_loss=0.3298 val_metric_name=roc_auc val_metric=0.8766
Step 3500 | loss 0.3122 | val_acc=0.8320 val_roc_auc=0.8767 val_loss=0.3297 val_metric_name=roc_auc val_metric=0.8767
Step 3550 | loss 0.3123 | val_acc=0.8320 val_roc_auc=0.8767 val_loss=0.3299 val_metric_name=roc_auc val_metric=0.8767
Step 3600 | loss 0.3118 | val_acc=0.8316 val_roc_auc=0.8769 val_loss=0.3291 val_metric_name=roc_auc val_metric=0.8769
Step 3650 | loss 0.3128 | val_acc=0.8320 val_roc_auc=0.8769 val_loss=0.3296 val_metric_name=roc_auc val_metric=0.8769
Step 3700 | loss 0.3114 | val_acc=0.8316 val_roc_auc=0.8769 val_loss=0.3294 val_metric_name=roc_auc val_metric=0.8769
Step 3750 | loss 0.3113 | val_acc=0.8320 val_roc_auc=0.8769 val_loss=0.3299 val_metric_name=roc_auc val_metric=0.8769
Step 3800 | loss 0.3125 | val_acc=0.8316 val_roc_auc=0.8768 val_loss=0.3295 val_metric_name=roc_auc val_metric=0.8768
Step 3850 | loss 0.3107 | val_acc=0.8316 val_roc_auc=0.8770 val_loss=0.3298 val_metric_name=roc_auc val_metric=0.8770
Step 3900 | loss 0.3115 | val_acc=0.8316 val_roc_auc=0.8765 val_loss=0.3303 val_metric_name=roc_auc val_metric=0.8765
Step 3950 | loss 0.3102 | val_acc=0.8316 val_roc_auc=0.8769 val_loss=0.3297 val_metric_name=roc_auc val_metric=0.8769
Step 4000 | loss 0.3117 | val_acc=0.8316 val_roc_auc=0.8770 val_loss=0.3299 val_metric_name=roc_auc val_metric=0.8770
Step 4050 | loss 0.3096 | val_acc=0.8316 val_roc_auc=0.8769 val_loss=0.3299 val_metric_name=roc_auc val_metric=0.8769
Step 4100 | loss 0.3101 | val_acc=0.8316 val_roc_auc=0.8770 val_loss=0.3300 val_metric_name=roc_auc val_metric=0.8770
Step 4150 | loss 0.3106 | val_acc=0.8316 val_roc_auc=0.8768 val_loss=0.3299 val_metric_name=roc_auc val_metric=0.8768
Step 4200 | loss 0.3101 | val_acc=0.8312 val_roc_auc=0.8769 val_loss=0.3298 val_metric_name=roc_auc val_metric=0.8769
Step 4250 | loss 0.3101 | val_acc=0.8316 val_roc_auc=0.8768 val_loss=0.3304 val_metric_name=roc_auc val_metric=0.8768
Step 4300 | loss 0.3086 | val_acc=0.8316 val_roc_auc=0.8766 val_loss=0.3304 val_metric_name=roc_auc val_metric=0.8766
Step 4350 | loss 0.3102 | val_acc=0.8312 val_roc_auc=0.8766 val_loss=0.3307 val_metric_name=roc_auc val_metric=0.8766
Step 4400 | loss 0.3099 | val_acc=0.8296 val_roc_auc=0.8767 val_loss=0.3310 val_metric_name=roc_auc val_metric=0.8767
Early stopping at step 4403

--- Final (best ckpt @ step 3890) ---
  train_acc=0.8444 train_roc_auc=0.8934 train_loss=0.3064 train_metric_name=roc_auc train_metric=0.8934
  val_acc=0.8316 val_roc_auc=0.8770 val_loss=0.3296 val_metric_name=roc_auc val_metric=0.8770
  test_acc=0.8388 test_roc_auc=0.8832 test_loss=0.3193 test_metric_name=roc_auc test_metric=0.8832
  test_roc_auc=0.8832

============================================================
Training TABM-minesweeper SAGE 1L h=256 lr=6e-05 split=2
============================================================
Training for 5000 steps
Step    1 | loss 0.7211 | val_acc=0.8000 val_roc_auc=0.5311 val_loss=0.5141 val_metric_name=roc_auc val_metric=0.5311
Step   50 | loss 0.4586 | val_acc=0.8000 val_roc_auc=0.8483 val_loss=0.4064 val_metric_name=roc_auc val_metric=0.8483
