dataset,model,num_layers,hidden_dim,lr,split,best_step,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
questions,ResNet,1,256,3e-05,1,780,roc_auc,0.7629885296341837,0.9719133377075195,0.1255074292421341,0.7629885296341837,,,,,roc_auc,0.729008999647865,0.9727718830108643,0.12605507671833038,0.729008999647865,,,,,roc_auc,0.7071815639942831,0.9722835421562195,0.12832622230052948,0.7071815639942831,,,,
questions,ResNet,1,256,6e-05,1,420,roc_auc,0.7617236432698913,0.9719542264938354,0.1248132735490799,0.7617236432698913,,,,,roc_auc,0.7287326025088178,0.9728536605834961,0.12526682019233704,0.7287326025088178,,,,,roc_auc,0.7060407426306079,0.9723653197288513,0.12760427594184875,0.7060407426306079,,,,
questions,ResNet,1,256,0.0001,1,320,roc_auc,0.7730668941112632,0.9719951152801514,0.12217440456151962,0.7730668941112632,,,,,roc_auc,0.7292728122889355,0.9726901054382324,0.12469290941953659,0.7292728122889355,,,,,roc_auc,0.7071316920221007,0.9722017645835876,0.12712012231349945,0.7071316920221007,,,,
questions,ResNet,1,256,1e-05,1,2200,roc_auc,0.7675517667365165,0.9719542264938354,0.12494499236345291,0.7675517667365165,,,,,roc_auc,0.7287771677952306,0.9726901054382324,0.12620490789413452,0.7287771677952306,,,,,roc_auc,0.7085009778138991,0.9721199870109558,0.12841369211673737,0.7085009778138991,,,,
questions,ResNet,1,384,3e-05,1,630,roc_auc,0.7701113843525046,0.9721994996070862,0.12432526797056198,0.7701113843525046,,,,,roc_auc,0.7298054020978011,0.9724448323249817,0.126291424036026,0.7298054020978011,,,,,roc_auc,0.7123224176823848,0.9722835421562195,0.1281685084104538,0.7123224176823848,,,,
questions,ResNet,1,384,6e-05,1,340,roc_auc,0.7648274826963153,0.9721177220344543,0.12431290000677109,0.7648274826963153,,,,,roc_auc,0.7293580174220251,0.9726083278656006,0.12555387616157532,0.7293580174220251,,,,,roc_auc,0.7106208829647964,0.9723653197288513,0.12753081321716309,0.7106208829647964,,,,
questions,ResNet,1,384,0.0001,1,210,roc_auc,0.7552510838254565,0.9716680645942688,0.12500838935375214,0.7552510838254565,,,,,roc_auc,0.7284535499252436,0.9719542264938354,0.12501083314418793,0.7284535499252436,,,,,roc_auc,0.7089455541214799,0.9713841676712036,0.12699086964130402,0.7089455541214799,,,,
questions,ResNet,1,384,1e-05,1,1690,roc_auc,0.7707874547564206,0.9721586108207703,0.12477169185876846,0.7707874547564206,,,,,roc_auc,0.7302701048900588,0.9724448323249817,0.12677130103111267,0.7302701048900588,,,,,roc_auc,0.7129773336504207,0.9722835421562195,0.12857481837272644,0.7129773336504207,,,,
questions,ResNet,1,512,3e-05,1,360,roc_auc,0.7527082647824557,0.9713409543037415,0.1267319619655609,0.7527082647824557,,,,,roc_auc,0.726953223767383,0.9717088937759399,0.12613053619861603,0.726953223767383,,,,,roc_auc,0.7129809124262022,0.9713023900985718,0.1280824840068817,0.7129809124262022,,,,
questions,ResNet,1,512,6e-05,1,220,roc_auc,0.7534253791224332,0.9713818430900574,0.1254408061504364,0.7534253791224332,,,,,roc_auc,0.7278663503224057,0.9717906713485718,0.12500686943531036,0.7278663503224057,,,,,roc_auc,0.7128596958271476,0.9713841676712036,0.12701961398124695,0.7128596958271476,,,,
questions,ResNet,1,512,0.0001,1,150,roc_auc,0.7468009397964543,0.9713000655174255,0.12502539157867432,0.7468009397964543,,,,,roc_auc,0.7282140981013572,0.9717088937759399,0.12403595447540283,0.7282140981013572,,,,,roc_auc,0.7118592548296157,0.9714659452438354,0.12593773007392883,0.7118592548296157,,,,
questions,ResNet,1,512,1e-05,1,920,roc_auc,0.7522661621322064,0.9713409543037415,0.12767621874809265,0.7522661621322064,,,,,roc_auc,0.7262258628751537,0.9717906713485718,0.12698394060134888,0.7262258628751537,,,,,roc_auc,0.7122200185172786,0.9713023900985718,0.12896408140659332,0.7122200185172786,,,,
